Penang Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
BAGAN,MCA,CHAW CHEK SAM @ CHAW KAU CHAI,MALE
BUKIT MERTAJAM,NASMA,TAN CHIN SENG,MALE
,,,
Perak Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
BATU GAJAH,DAP,DING CHECK MING @ TING CHEK MING,MALE
BERUAS,DAP,GONG NGIE HEA,MALE
GOPENG,SDP,LEONG WAI MAN,MALE
,,,
Pahang Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
RAUB,DAP,CHIA KAM CHIEW,MALE
,,,
Selangor Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
PETALING JAYA,MCA,LEE PHON YONG,MALE
HULU LANGAT,DAP,LAM MAN YOON,MALE
PUCHONG,SDP,YEOH PON SAN @ YANG PO SAN,MALE
SEPANG,SDP,TAI SIEW SIONG,MALE
,,,
Kuala Lumpur Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
TITIWANGSA,DAP,YEE KAI WAH,MALE
KEPONG,NASMA,WONG KIM LIN,MALE
,,,
Negeri Sembilan Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
TAMPIN,DAP,HENG KAU @ YEE KONG,MALE
,,,
Melaka Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
SELANDAR,DAP,ANG KUAN MENG,MALE
BATU BERENDAM,DAP,KAN YEW HONG,MALE
,,,
Johor Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
SEGAMAT,DAP,CHAN YIEK NUNG @ CHAN HENG JIB,MALE
LEDANG,DAP,LEE TIONG KING @ LEE TIONG KANG,MALE
LABIS,DAP,TAN TIEN LIM,MALE
PONTIAN,DAP,CHONG KEE KIAM,MALE
BATU PAHAT,SDP,TAN LEM (TEM) HUAT,MALE
PONTIAN,SDP,CHUAH AH HOCK,MALE
,,,
Sarawak Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
BINTULU,DAP,GOH NGIAP JUN @ GOH NGIAP JOOB,MALE
SIBU,PLUS,TANG LUNG CHIEW,MALE
RAJANG,INDEPENDENT - TYPEWRITER,SIEW CHEE KIONG @ SHAW CHEE KIONG,MALE
BARAM,INDEPENDENT - TELEPHONE,WONG AH SIEW,MALE
MAS GADING,INDEPENDENT - BICYCLE,CHONG KIM MOOK,MALE
