COALITION,PARTY/ INDEPENDENTS,FEMALE,MALE,TOTAL CANDIDATES
GPS,PBB,4,43,47
GPS,SUPP,,18,18
GPS,PRS,,11,11
GPS,PDP,,6,6
PH,PKR,5,23,28
PH,DAP,4,22,26
PH,AMANAH,1,7,8
PN,PAS,,1,1
,PSB,10,60,70
,PBK,13,60,73
,ASPIRASI,6,9,15
,PBDSB,,11,11
,SEDAR,,5,5
,INDEPENDENTS,2,28,30
GRAND TOTAL,,45,304,349
