UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY/MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - EARLY VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2021)
P.215_N.61,SARAWAK,P.215,KAPIT,N.61,PELAGUS,7894,0.63,0.55,N/A,0.14,,N/A,100.00,0.00,0.00,10.87,24.04,21.48,20.33,12.02,7.08,2.91,1.25,48.25,51.75,RURAL
P.215_N.62,SARAWAK,P.215,KAPIT,N.62,KATIBAS,10530,3.51,4.56,90.01,0.27,,1.65,99.26,0.00,0.74,7.62,21.77,20.55,21.69,15.29,8.21,3.44,1.44,48.03,51.97,RURAL
P.215_N.63,SARAWAK,P.215,KAPIT,N.63,BUKIT GORAM,12150,5.50,18.34,N/A,0.25,,N/A,99.20,0.01,0.79,8.35,22.13,22.16,22.54,13.73,7.28,2.63,1.19,45.92,54.08,RURAL
P.216_N.64,SARAWAK,P.216,HULU RAJANG,N.64,BALEH,10137,0.63,0.55,92.00,0.14,,N/A,100.00,0.00,0.00,7.74,22.56,21.29,20.42,13.03,8.77,4.12,2.06,47.97,52.03,RURAL
P.216_N.65,SARAWAK,P.216,HULU RAJANG,N.65,BELAGA,8003,3.69,3.22,N/A,0.26,N/A,N/A,99.23,0.00,0.77,8.66,21.99,22.03,22.2,13.46,6.3,3.05,2.31,50.18,49.82,RURAL
P.216_N.66,SARAWAK,P.216,HULU RAJANG,N.66,MURUM,9738,0.84,1.54,18.35,0.37,N/A,N/A,100.00,0.00,0.00,11.02,22.5,22.49,20.98,12.33,5.9,2.96,1.82,50.15,49.85,RURAL
P.217_N.67,SARAWAK,P.217,BINTULU,N.67,JEPAK,14643,54.90,6.46,N/A,0.51,,N/A,99.69,0.00,0.31,8.02,21.83,23.29,22.02,16.01,6.34,1.78,0.71,50.02,49.98,RURAL
P.217_N.68,SARAWAK,P.217,BINTULU,N.68,TANJONG BATU,22743,11.46,70.17,N/A,0.84,,N/A,98.45,0.01,1.53,11.56,24.16,20.97,22.52,14.93,4.47,1.23,0.17,50.24,49.76,URBAN
P.217_N.69,SARAWAK,P.217,BINTULU,N.69,KEMENA,14252,6.17,3.85,N/A,0.34,,N/A,100.00,0.00,0.00,7.21,19.43,22.28,23.01,15.42,8.68,2.54,1.44,50.29,49.71,RURAL
P.217_N.70,SARAWAK,P.217,BINTULU,N.70,SAMALAJU,17981,19.08,11.89,N/A,1.82,,N/A,97.55,0.00,2.45,14.65,25.22,21.54,21.05,12.32,3.88,0.92,0.42,51.67,48.33,URBAN
P.218_N.71,SARAWAK,P.218,SIBUTI,N.71,BEKENU,12674,0.00,12.53,35.56,0.71,,N/A,99.76,0.00,0.24,5.74,19.24,20.36,20.78,21.22,9.39,2.48,0.77,51.25,48.75,RURAL
P.218_N.72,SARAWAK,P.218,SIBUTI,N.72,LAMBIR,19907,25.30,27.36,27.20,2.00,13,5.13,96.49,0.02,3.50,10.31,26.16,22.17,20.04,13.77,5.78,1.34,0.42,51.43,48.57,RURAL
P.219_N.73,SARAWAK,P.219,MIRI,N.73,PIASAU,21377,20.35,58.58,12.37,0.93,,N/A,98.13,0.00,1.87,5.1,15.38,17.43,21.37,23.01,11.72,4.45,1.54,49.09,50.91,URBAN
P.219_N.74,SARAWAK,P.219,MIRI,N.74,PUJUT,27567,20.09,66.52,7.97,1.00,,N/A,99.97,0.03,0.00,6.2,20.46,21.82,22.34,19.09,7.27,2.22,0.6,48.75,51.25,URBAN
P.219_N.75,SARAWAK,P.219,MIRI,N.75,SENADIN,34117,21.29,N/A,23.14,1.23,,N/A,98.13,0.01,1.86,10.7,25.66,24.71,20.73,12.58,4.44,0.94,0.23,48.74,51.26,URBAN
P.220_N.76,SARAWAK,P.220,BARAM,N.76,MARUDI,16478,10.14,13.33,61.10,0.00,15.42,0.01,99.50,0.01,0.50,8.03,19.24,20.74,22.03,16.85,7.97,3.34,1.78,50.02,49.98,RURAL
P.220_N.77,SARAWAK,P.220,BARAM,N.77,TELANG USAN,11465,0.68,4.04,1.35,0.19,92.95,0.79,99.91,0.00,0.09,7.46,18.63,19.66,22.57,16.59,6.7,4.61,3.79,51.08,48.92,RURAL
P.220_N.78,SARAWAK,P.220,BARAM,N.78,MULU,9572,1.05,3.24,27.43,0.32,63.68,4.28,100.00,0.00,0.00,6.46,17.19,19.59,23.68,17.37,8.18,4.6,2.94,51.15,48.85,RURAL
P.221_N.79,SARAWAK,P.221,LIMBANG,N.79,BUKIT KOTA,16975,N/A,25.65,7.86,0.45,N/A,N/A,97.65,0.00,2.35,8.22,23.03,21.63,20.04,16.99,6.77,2.55,0.75,51.96,48.04,SEMI URBAN
P.221_N.80,SARAWAK,P.221,LIMBANG,N.80,BATU DANAU,9375,4.18,3.17,51.25,0.26,N/A,N/A,99.93,0.02,0.05,6.49,20.94,22.39,23.33,17.03,6.81,2.18,0.84,51.22,48.78,RURAL
P.222_N.81,SARAWAK,P.222,LAWAS,N.81,BA'KELALAN,8503,2.86,4.44,2.79,0.33,85.97,N/A,100.00,0.00,0.00,9.06,21.12,21.95,23.16,15.18,6.02,2.52,1,52.76,47.24,RURAL
P.222_N.82,SARAWAK,P.222,LAWAS,N.82,BUKIT SARI,13054,N/A,12.09,1.46,0.19,,N/A,99.09,0.00,0.91,9.48,24.11,21.65,19.63,16,6.07,2.23,0.83,51.39,48.61,RURAL
