UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY AND MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - MILITARY VOTERS (%),ELECTORS - POLICE VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2016)
P.203_N.34,SARAWAK,P.203,LUBOK ANTU,N.34,BATANG AI,9492,1.5,3.7,94.1,,,0.7,99.62,0,0,0.38,8.49,20.93,22.1,22.06,14.4,8.25,2.7,1.06,50.27,49.73,RURAL
P.204_N.35,SARAWAK,P.204,BETONG,N.35,SARIBAS,9879,80.4,3.8,14.2,,,1.6,99.97,0,0,0.03,13.04,24.72,20.81,19.79,13.5,5.88,1.8,0.46,49.36,50.64,RURAL
P.204_N.36,SARAWAK,P.204,BETONG,N.36,LAYAR,9094,13.9,13.4,71.5,,,1.2,98.78,0,0,1.22,9.98,19.79,19.77,22.23,16.34,8.53,3,0.37,49.43,50.57,RURAL
P.204_N.37,SARAWAK,P.204,BETONG,N.37,BUKIT SABAN,8897,26.6,4.7,68,,,0.7,99.94,0,0,0.06,9.5,22.02,19.85,21.66,15.34,8.27,2.85,0.5,49.94,50.06,RURAL
P.205_N.38,SARAWAK,P.205,SARATOK,N.38,KALAKA,7327,58,13,28.5,,,0.5,98.5,0,0,1.5,10.46,21.91,21.49,22.44,14.91,6.24,2.18,0.38,48.17,51.83,SEMI-URBAN
P.205_N.39,SARAWAK,P.205,SARATOK,N.39,KRIAN,11959,,3.6,95,,,1.4,100,0,0,0,10.41,19.47,19.58,23.32,16.49,7.87,2.47,0.38,50.68,49.32,RURAL
P.205_N.40,SARAWAK,P.205,SARATOK,N.40,KABONG,9287,64.7,6.6,28.3,,,0.4,99.86,0,0,0.14,11.59,23.48,21.12,20.6,14.73,5.88,1.99,0.6,48.19,51.81,RURAL
P.206_N.41,SARAWAK,P.206,TANJONG MANIS,N.41,KUALA RAJANG,10259,70.4,5.4,23.4,,,0.8,99.91,0.02,0,0.07,12.32,23.08,22.74,20.41,13.37,7.08,1.62,0.38,47.79,52.21,RURAL
P.206_N.42,SARAWAK,P.206,TANJONG MANIS,N.42,SEMOP,9617,70.6,5.1,23.8,,,0.5,100,0,0,0,9.63,22.27,22.4,22.37,13.81,6.59,2.01,0.92,48.75,51.25,RURAL
P.207_N.43,SARAWAK,P.207,IGAN,N.43,DARO,8491,59,3.6,36.8,,,0.6,99.07,0,0,0.93,11.56,24.68,20.48,20.91,13.32,6.62,1.89,0.54,48.52,51.48,RURAL
