UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2016),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,PH2,PH2 CANDIDATE,PH2 CANDIDATE GENDER,PH2 CANDIDATE AGE,PH2 CANDIDATE VOTE,PH2 CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,STAR,STAR CANDIDATE,STAR CANDIDATE GENDER,STAR CANDIDATE AGE,STAR CANDIDATE VOTE,STAR CANDIDATE LOST DEPOSIT,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE GENDER,PBDSB CANDIDATE AGE,PBDSB CANDIDATE VOTE,PBDSB CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.199_N.23,SARAWAK,P.199,SERIAN,N.23,BUKIT SEMUJA,BN - DIRECT,,13365,"3,144",70.70%,"9,452",195,117,"9,140",Direct,JOHN ILUS,MALE,54,5451,,DAP,EDWARD ANAK ANDREW LUWAK @ EDWARD LUWAK,MALE,64,2307,,,,,,,,,,,,,,STAR,JOHNNY BOB ANAK APUT,MALE,53,53,LOST DEPOSIT,PBDSB,COBBOLD ANAK LUSOI,MALE,54,133,LOST DEPOSIT,INDEPENDENT - FLOWER,FREDERICK BAYOI AK. MANGGIE,MALE,73,"1,196",,,,,,,
P.200_N.24,SARAWAK,P.200,BATANG SADONG,N.24,SADONG JAYA,BN - PBB,,6749,"3,467",72.20%,"4,874",20,80,"4,774",PBB,IR AIDEL LARIWOO,MALE,44,3925,,PAN,OTHMAN BIN MUSTAPHA @ MOS,MALE,61,157,LOST DEPOSIT,,,,,,,PAS,CIKGU ASAN SINGKRO,MALE,63,458,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - FLOWER,AWANG RABIEE,MALE,,234,LOST DEPOSIT,,,,,,
P.200_N.25,SARAWAK,P.200,BATANG SADONG,N.25,SIMUNJAN,BN - PBB,,7774,"2,712",76.10%,"5,915",27,123,"5,765",PBB,AWLA BIN DRIS,MALE,55,4101,,PKR,JAMILAH BINTI BAHARUDDIN,FEMALE,,1389,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,HIPNI BIN KANAINI,MALE,,275,LOST DEPOSIT,,,,,,
P.200_N.26,SARAWAK,P.200,BATANG SADONG,N.26,GEDONG,BN - PBB,,7087,"3,365",74.70%,"5,297",26,112,"5,159",PBB,MOHD. NARODEN MAJAIS,MALE,63,4064,,PAN,RAPELSON RICHARD HAMIT,MALE,30,699,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,UJA ANAK BANSI,MALE,,396,LOST DEPOSIT,,,,,,
P.201_N.27,SARAWAK,P.201,BATANG LUPAR,N.27,SEBUYAU,BN - PBB,,9041,"2,742",73.20%,"6,620",18,118,"6,484",PBB,DATUK JULAIHI NARAWI,MALE,61,4531,,PAN,ANDREW ANAK JAIN,MALE,47,164,LOST DEPOSIT,,,,,,,PAS,USTAZ HAJI WAN ABDILLAH,MALE,44,1789,,,,,,,,,,,,,,,,,,,,,,,,,
P.201_N.28,SARAWAK,P.201,BATANG LUPAR,N.28,LINGGA,BN - PBB,,8988,"2,943",70.60%,"6,350",0,113,"6,237",PBB,HAJAH SIMOI BINTI PERI,FEMALE,52,4169,,PKR,ABANG ZULKIFLI BIN ABANG ENGKEH,MALE,56,1226,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,DATO WAN ABDILLAH EDRUCE,MALE,56,842,,,,,,,
P.201_N.29,SARAWAK,P.201,BATANG LUPAR,N.29,BETING MARO,BN - PBB,,10474,"1,707",76.70%,"8,035",19,104,"7,912",PBB,RAZAILI BIN HAJI GAPOR,MALE,60,4758,,PAN,ANDRI ZULKARNAEN BIN HAMDEN,MALE,44,103,LOST DEPOSIT,,,,,,,PAS,HAMIDAH MOKHTAR,FEMALE,26,3051,,,,,,,,,,,,,,,,,,,,,,,,,
P.202_N.30,SARAWAK,P.202,SRI AMAN,N.30,BALAI RINGIN,BN - PRS,,9945,"2,039",78.40%,"7,794",87,0,"7,707",PRS,SNOWDAN LAWAN,MALE,45,4478,,PKR,NICHOLAS MUJAH ANAK ASON,MALE,,700,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,PBDSB,POK ANAK UNGKUT,MALE,,90,LOST DEPOSIT,INDEPENDENT - KEY,ENTUSA ANAK IMAM,MALE,59,"2,439",,,,,,,
P.202_N.31,SARAWAK,P.202,SRI AMAN,N.31,BUKIT BEGUNAN,BN - PRS,,9389,"4,695",69.70%,"6,547",17,125,"6,405",PRS,MONG ANAK DAGANG,MALE,61,5550,,PKR,JUBRI ANAK ATAK,MALE,53,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.202_N.32,SARAWAK,P.202,SRI AMAN,N.32,SIMANGGANG,BN - SUPP,,11472,"1,388",71.50%,"8,205",47,83,"8,075",SUPP,FRANCIS HARDEN ANAK HOLLIS,MALE,60,4094,,PKR,NORINA UMOI ANAK UTOT,FEMALE,55,580,LOST DEPOSIT,DAP,LEON JIMAT DONALD,MALE,42,695,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DATO DR NGU PIEW SENG,MALE,,"2,706",,,,,,,
P.203_N.33,SARAWAK,P.203,LUBOK ANTU,N.33,ENGKILILI,BN - DIRECT,,10682,"3,857",73.80%,"7,888",23,73,"7,792",Direct,JOHNICHAL RAYONG NGIPA,MALE,54,5513,,PKR,NICHOLAS BAWIN ANAK ANGGAT,MALE,,532,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BIRD,ADAN ANAK SANDOM,MALE,,91,LOST DEPOSIT,INDEPENDENT - FLOWER,DR. RIDI BAUK,MALE,,"1,656",
