UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2016),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,PH2,PH2 CANDIDATE,PH2 CANDIDATE GENDER,PH2 CANDIDATE AGE,PH2 CANDIDATE VOTE,PH2 CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,STAR,STAR CANDIDATE,STAR CANDIDATE GENDER,STAR CANDIDATE AGE,STAR CANDIDATE VOTE,STAR CANDIDATE LOST DEPOSIT,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE GENDER,PBDSB CANDIDATE AGE,PBDSB CANDIDATE VOTE,PBDSB CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.213_N.56,SARAWAK,P.213,MUKAH,N.56,DALAT,BN - PBB,,11440,"6,330",70.60%,"8,080",46,150,"7,884",PBB,FATIMAH BINTI ABDULLAH,FEMALE,59,7107,,PKR,SIM ENG HUA,MALE,,777,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.213_N.57,SARAWAK,P.213,MUKAH,N.57,TELLIAN,BN - PBB,,8914,"4,421",65.70%,"5,858",22,83,"5,753",PBB,YUSSIBNOSH BALO,MALE,48,5087,,PKR,ASINI @ HASNI BIN YAHYA,MALE,,666,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.213_N.58,SARAWAK,P.213,MUKAH,N.58,BALINGIAN,BN - PBB,,7967,"2,964",69.70%,"5,552",10,90,"5,452",PBB,ABDUL YAKUB HAJI ARBI,MALE,56,4208,,PAN,NURZAITI BINTI HAMDAN,FEMALE,37,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.214_N.59,SARAWAK,P.214,SELANGAU,N.59,TAMIN,BN - PRS,,14948,"2,085",77.00%,"11,508",10,169,"11,329",PRS,IR. CHRISTOPHER GIRA,MALE,46,6230,,PKR,SIMON ANAK JOSEPH,MALE,48,954,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,DR. ALI ANAK PUJI,MALE,,"4,145",,,,,,,
P.214_N.60,SARAWAK,P.214,SELANGAU,N.60,KAKUS,BN - PRS,,12953,"5,211",74.00%,"9,589",7,203,"9,379",PRS,JOHN SIKIE TAYAI,MALE,66,7054,,PKR,JOSHUA ANAK JABING @ JOSHUA JABENG,MALE,66,1843,,,,,,,,PAS,CLEMENT BAYANG,MALE,60,482,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.215_N.61,SARAWAK,P.215,KAPIT,N.61,PELAGUS,BN - PRS,,7186,"3,284",64.90%,"4,665",12,60,"4,593",PRS,WILSON NYABONG ANAK IJANG,MALE,57,3778,,DAP,BENDINDANG ANAK MANJAH,MALE,,494,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FLOWER,YONG ANAK SIBAT,MALE,,321,LOST DEPOSIT,,,,,,
P.215_N.62,SARAWAK,P.215,KAPIT,N.62,KATIBAS,BN - PBB,,9666,"3,053",66.80%,"6,454",14,131,"6,309",PBB,DATUK AMBROSE BLIKAU ENTURAN,MALE,63,4681,,DAP,PAREN ANAK NYAWI,MALE,35,1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.215_N.63,SARAWAK,P.215,KAPIT,N.63,BUKIT GORAM,BN - PBB,,11510,"2,586",58.70%,"6,762",46,110,"6,606",PBB,JEFFERSON JAMIT ANAK UNYAT,MALE,58,4596,,DAP,LARRY ANAK ASAP,MALE,29,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.216_N.64,SARAWAK,P.216,HULU RAJANG,N.64,BALEH,BN - PRS,,9624,"4,843",60.50%,"5,820",14,55,"5,751",PRS,JAMES JEMUT MASING,MALE,67,5297,,DAP,AGOP ANAK LINSONG,MALE,,454,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.216_N.65,SARAWAK,P.216,HULU RAJANG,N.65,BELAGA,BN - PRS,,7096,"3,686",65.90%,"4,674",11,51,"4,612",PRS,LIWAN LAGANG,MALE,58,4149,,PKR,ALEXANDER LEHAN,MALE,,463,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.216_N.66,SARAWAK,P.216,HULU RAJANG,N.66,MURUM,BN - PRS,,8242,"2,200",75.50%,"6,219",20,153,"6,046",PRS,CHUKPAI UGON,MALE,48,3265,,DAP,MATHEW SILEK,MALE,45,687,LOST DEPOSIT,PKR,ABUN SUI ANYIT,MALE,43,"1,065",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,STANLEY AJANG BATOK,MALE,63,"1,029",,,,,,,
P.217_N.67,SARAWAK,P.217,BINTULU,N.67,JEPAK,BN - PBB,,13789,"4,201",67.90%,"9,369",14,140,"9,215",PBB,DATUK HAJI TALIB ZULPILIP,MALE,65,6342,,PKR,ABDUL JALIL BIN BUJANG,MALE,57,2141,,,,,,,,PAS,HAJI KIPRAWI AMAN,MALE,67,406,LOST DEPOSIT,STAR,MOHD ANUAR HAMID,MALE,,136,LOST DEPOSIT,,,,,,,INDEPENDENT - AEROPLANE,WONG HAU MING,MALE,55,190,LOST DEPOSIT,,,,,,
P.217_N.68,SARAWAK,P.217,BINTULU,N.68,TANJONG BATU,PH - DAP,,19674,"2,548",69.20%,"13,619",14,96,"13,509",SUPP,PAU CHIONG UNG,MALE,64,5436,,DAP,CHIEW CHIU SING,MALE,,7984,,,,,,,,,,,,,,STAR,CHIENG LEA PHING,MALE,54,89,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.217_N.69,SARAWAK,P.217,BINTULU,N.69,KEMENA,BN - PBB,,12991,"4,868",74.60%,"9,694",3,175,"9,516",PBB,DATUK DR STEPHEN RUNDI ANAK UTOM,MALE,56,7192,,DAP,LEIGHTON ANAK MANJAH,MALE,50,2324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.217_N.70,SARAWAK,P.217,BINTULU,N.70,SAMALAJU,BN - PRS,,13251,"2,464",68.10%,"9,026",11,120,"8,895",PRS,MAJANG ANAK RENGGI,MALE,59,5456,,DAP,BABA ANAK EMPERAN,MALE,48,2992,,,,,,,,PAS,ZHARUDIN,MALE,31,447,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.218_N.71,SARAWAK,P.218,SIBUTI,N.71,BEKENU,BN - DIRECT,,12250,"4,789",69.70%,"8,540",32,125,"8,383",Direct,ROSEY YUNUS,FEMALE,60,6009,,PKR,BILL ANAK KAYONG,MALE,43,1220,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,589,LOST DEPOSIT,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,565,LOST DEPOSIT
P.218_N.72,SARAWAK,P.218,SIBUTI,N.72,LAMBIR,BN - PBB,,17533,"4,907",63.60%,"11,148",15,205,"10,928",PBB,RIPIN LAMAT,MALE,46,7503,,PKR,MOHDAK BIN ISMAIL,MALE,,2596,,,,,,,,PAS,MOHAMMAD ARIFIRIAZUL BIN PAIJO,MALE,32,829,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.219_N.73,SARAWAK,P.219,MIRI,N.73,PIASAU,BN - SUPP,,21120,"2,112",64.60%,"13,634",25,123,"13,486",SUPP,SEBASTIAN TING CHIEW YEW,MALE,61,7799,,DAP,ALAN LING SIE KIONG,MALE,33,5687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.219_N.74,SARAWAK,P.219,MIRI,N.74,PUJUT,PH - DAP,,26202,"1,759",65.30%,"17,098",32,139,"16,927",Direct,HII KING CHIONG,MALE,59,7140,,DAP,TING TIONG CHOON,MALE,51,8899,,,,,,,,PAS,JOFRI JARAIEE,MALE,54,513,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,FONG PAU TECK,MALE,47,375,LOST DEPOSIT,,,,,,
P.219_N.75,SARAWAK,P.219,MIRI,N.75,SENADIN,BN - SUPP,,27874,"3,538",65.90%,"18,358",34,167,"18,157",SUPP,DATUK LEE KIM SHIN,MALE,66,10683,,DAP,BARU LANGUB,MALE,64,7145,,,,,,,,,,,,,,,,,,,,PBDSB,PHILEMON ANAK JOHN EDAN,MALE,,329,LOST DEPOSIT,,,,,,,,,,,,
P.220_N.76,SARAWAK,P.220,BARAM,N.76,MARUDI,BN - SPDP,,14858,"1,387",66.00%,"9,807",21,131,"9,655",SPDP,DATU DR. PENGUANG MANGGIL,MALE,59,5493,,PKR,ELIA BIT,FEMALE,28,4106,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,LOUIS JALONG,MALE,58,56,LOST DEPOSIT,,,,,,
P.220_N.77,SARAWAK,P.220,BARAM,N.77,TELANG USAN,BN - PBB,,10000,167,63.90%,"6,388",11,82,"6,295",PBB,DENNIS NGAU,MALE,48,3231,,PKR,ROLAND ENGAN,MALE,44,3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.220_N.78,SARAWAK,P.220,BARAM,N.78,MULU,BN - DIRECT,,8600,"1,708",62.30%,"5,356",9,111,"5,236",Direct,GERAWAT GALA,MALE,59,3198,,PKR,PAULS BAYA,MALE,,"1,490",,DAP,PAUL ANYIE RAJA,MALE,,309,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,DR ROLAND DOM MATTU,MALE,,239,LOST DEPOSIT,,,,,,
P.221_N.79,SARAWAK,P.221,LIMBANG,N.79,BUKIT KOTA,BN - PBB,Y,16437,0,0.00%,0,0,0,0,PBB,ABDUL RAHMAN BIN ISMAIL,MALE,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.221_N.80,SARAWAK,P.221,LIMBANG,N.80,BATU DANAU,BN - DIRECT,,8657,"2,939",68.30%,"5,909",13,103,"5,793",Direct,PALU @ PAULUS PALU ANAK GUMBANG,MALE,65,4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FLOWER,ALI ANAK ADAP,MALE,49,"1,427",,,,,,,
P.222_N.81,SARAWAK,P.222,LAWAS,N.81,BA`KELALAN,PH - PKR,,7375,538,70.90%,"5,229",16,35,"5,178",SPDP,WILLIE LIAU,MALE,48,2320,,PKR,BARU BIAN,MALE,58,2858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.222_N.82,SARAWAK,P.222,LAWAS,N.82,BUKIT SARI,BN - PBB,Y,12418,0,0.00%,0,0,0,0,PBB,TENGAH B. ALI HASSIN,MALE,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
