UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2006),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE GENDER,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,PKR,PKR CANDIDATE,PKR CANDIDATE GENDER,PKR CANDIDATE AGE,PKR CANDIDATE VOTE,PKR CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE GENDER,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPDENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.201_N.24,Sarawak,P.201,BATANG LUPAR,N.24,BETING MARO,BN - PBB,,7267,895,65.29%,4745,3,45,4697,PBB,BOLHASSAN BIN DI @ AHMAD BIN DI,MALE,53,2796,,,,,,,,,,,,,,,,,,,,PAS,ALEM BIN DIN,MALE,,1901,,,,,,,,,,,,,,,,,,,
P.202_N.25,Sarawak,P.202,SRI AMAN,N.25,BALAI RINGIN,BN - PRS,,8244,1516,66.35%,5470,18,76,5376,PRS,SNOWDAN LAWAN,MALE,35,3075,,SNAP,IBI ANAK UDING,FEMALE,44,1559,,,,,,,,,,,,,,,,,,,,INDEPENDENT,COBBOLD ANAK LUSOI,MALE,44,742,,,,,,,,,,,,,
P.202_N.26,Sarawak,P.202,SRI AMAN,N.26,BUKIT BEGUNAN,BN - PRS,,7644,1007,68.66%,5249,5,85,5159,PRS,MONG ANAK DAGANG,MALE,50,3083,,SNAP,DANIEL TAJEM ANAK MIRI,MALE,70,2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.202_N.27,Sarawak,P.202,SRI AMAN,N.27,SIMANGGANG,BN - SUPP,,9849,4258,63.44%,6249,74,145,6030,SUPP,FRANCIS HARDEN ANAK HOLLIS,MALE,50,5144,,SNAP,PELI ANAK ARON,MALE,58,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.203_N.28,Sarawak,P.203,LUBOK ANTU,N.28,ENGKILILI,SNAP,,9477,426,68.77%,6518,4,56,6458,SUPP,JONATHAN KRAI PILO,MALE,,3016,,SNAP,JOHNICHAL RAYONG ANAK NGIPA,MALE,45,3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.203_N.29,Sarawak,P.203,LUBOK ANTU,N.29,BATANG AIR,BN - PRS,,7997,806,73.32%,5864,10,70,5784,PRS,DUBLIN UNTING ANAK INGKOT,MALE,50,3295,,SNAP,NICHOLAS BAWIN ANAK ANGGAT,MALE,,2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.204_N.30,Sarawak,P.204,BETONG,N.30,SARIBAS,BN - PBB,,7145,94,68.25%,4877,5,84,4788,PBB,WAHBI BIN JUNAIDI,MALE,,2441,,,,,,,,PKR,ABANG ZULKIFLI BIN ABANG ENGKEH,MALE,46,2347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.204_N.31,Sarawak,P.204,BETONG,N.31,LAYAR,BN - PBB,,7415,2677,67.91%,5036,10,64,4962,PBB,ALFRED JABU ANAK NUMPANG,MALE,66,3767,,SNAP,DAYRELL WALTER ENTRIE,MALE,33,1090,,,,,,,,,,,,,,,,,,,,INDEPENDENT,PETER ANAK JABAN,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,
P.204_N.32,Sarawak,P.204,BETONG,N.32,BUKIT SABAN,BN - PBB,,6876,1838,69.24%,4761,12,71,4678,PBB,ROBERT LAWSON CHUAT AK VINCENT ENTERING,MALE,48,3258,,SNAP,EDWIN DUNDANG ANAK BUGAK,MALE,66,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.205_N.33,Sarawak,P.205,SARATOK,N.33,KALAKA,BN - PBB,,13379,5929,67.39%,9017,18,136,8863,PBB,ABDUL WAHAB BIN AZIZ,MALE,59,7396,,,,,,,,PKR,JINI BIN SAHINI,MALE,44,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
