UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2006),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE GENDER,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,PKR,PKR CANDIDATE,PKR CANDIDATE GENDER,PKR CANDIDATE AGE,PKR CANDIDATE VOTE,PKR CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE GENDER,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPDENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.215_N.54,Sarawak,P.215,KAPIT,N.54,PELAGUS,BN - PRS,,13898,3239,67.64%,9401,44,125,9232,PRS,LARRY SOON @ LARRY SNG WEI SHIEN,MALE,27,5965,,SNAP,SIMON ANAK SIBAT,MALE,50,541,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT,JEFFERY NUING ANAK EBOM,MALE,,2726,,,,,,,,,,,,,
P.215_N.55,Sarawak,P.215,KAPIT,N.55,KATIBAS,BN - PBB,,8146,3332,61.01%,4970,1,97,4872,PBB,AMBROSE BLIKAU ANAK ENTURAN,MALE,53,3887,,SNAP,ABD HALIM BIN ABDULLAH,MALE,,555,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT,STEPHEN AYOT ANAK KALI,MALE,,430,LOST DEPOSIT,,,,,,,,,,,,
P.216_N.56,Sarawak,P.216,HULU RAJANG,N.56,BALEH,BN - PRS,,9731,4802,61.20%,5956,3,95,5858,PRS,JAMES JEMUT MASING,MALE,57,5330,,SNAP,LUCIUS ANAK JIMBON,MALE,,528,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.216_N.57,Sarawak,P.216,HULU RAJANG,N.57,BELAGA,BN - PRS,,6691,227,66.79%,4469,11,63,4395,PRS,LIWAN LAGANG,MALE,48,1855,,SNAP,JOHN BAMPA,MALE,43,912,,,,,,,,,,,,,,,,,,,,INDEPENDENT,STANLEY AJANG BATOK,MALE,53,1628,,,,,,,,,,,,,
P.217_N.58,Sarawak,P.217,BINTULU,N.58,JEPAK,BN - PBB,,12049,3179,57.30%,6905,3,87,6815,PBB,DATUK TALIB BIN ZULPILIP,MALE,55,4997,,,,,,,,,,,,,,DAP,WAN SAIMI BIN WAN DAHLAN,MALE,,1818,,,,,,,,,,,,,,,,,,,,,,,,,
P.217_N.59,Sarawak,P.217,BINTULU,N.59,KIDURONG,DAP,,23726,1664,65.30%,15495,39,86,15370,SUPP,PAUL YONG KHING KEE,MALE,47,6853,,,,,,,,,,,,,,DAP,CHIEW CHIU SING,MALE,56,8517,,,,,,,,,,,,,,,,,,,,,,,,,
P.217_N.60,Sarawak,P.217,BINTULU,N.60,KEMENA,BN - PBB,,13338,1572,60.37%,8053,1,124,7928,PBB,STEPHEN RUNDI ANAK UTOM,MALE,46,4750,,SNAP,JOHN BRIAN ANTHONY ANAK JEREMY GUANG,MALE,,3178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.218_N.61,Sarawak,P.218,SIBUTI,N.61,BEKENU,BN - SPDP,,10095,3072,57.02%,5757,3,112,5642,SPDP,ROSEY BTE YUNUS,MALE,50,4357,,,,,,,,PKR,MOHDAK BIN ISMAIL,MALE,,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.218_N.62,Sarawak,P.218,SIBUTI,N.62,LAMBIR,BN - PBB,,11245,2834,52.77%,5935,5,102,5828,PBB,SWIN BIN JEMA`AH @ AIDAN WING,MALE,51,4331,,,,,,,,PKR,SAJI BIN SAMAT,MALE,,1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.219_N.63,Sarawak,P.219,MIRI,N.63,PIASAU,BN - SUPP,,17256,3918,54.09%,9334,13,93,9228,SUPP,GEORGE CHAN HONG NAM,MALE,70,6573,,,,,,,,PKR,NGU HEE HIENG,MALE,,2655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.219_N.64,Sarawak,P.219,MIRI,N.64,PUJUT,BN - SUPP,,20098,1370,58.65%,11789,96,77,11616,SUPP,CHIA CHU FATT,MALE,52,6493,,,,,,,,,,,,,,DAP,FONG PAU TECK,MALE,37,5123,,,,,,,,,,,,,,,,,,,,,,,,,
