UNIQUE CODE (2005),STATE (2005),PARLIAMENTARY CONSTITUENCY CODE (2005),PARLIAMENTARY CONSTITUENCY NAME (2005),STATE CONSTITUENCY CODE (2005),STATE CONSTITUENCY NAME (2005),AREA (SQ KM),NOTES
P.192_N.1,SARAWAK,P.192,MAS GADING,N.1,OPAR,1010,
P.192_N.2,SARAWAK,P.192,MAS GADING,N.2,TASIK BIRU,471,
P.193_N.3,SARAWAK,P.193,SANTUBONG,N.3,TANJONG DATU,905,
P.193_N.4,SARAWAK,P.193,SANTUBONG,N.4,PANTAI DAMAI,373,
P.193_N.5,SARAWAK,P.193,SANTUBONG,N.5,DEMAK LAUT,223,
P.194_N.6,SARAWAK,P.194,PETRA JAYA,N.6,TUPONG,101,
P.194_N.7,SARAWAK,P.194,PETRA JAYA,N.7,SAMARIANG,21,
P.194_N.8,SARAWAK,P.194,PETRA JAYA,N.8,SATOK,4,
P.195_N.9,SARAWAK,P.195,BANDAR KUCHING,N.9,PADUNGAN,6,
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,14,
P.196_N.11,SARAWAK,P.196,STAMPIN,N.11,BATU LINTANG,22,
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,51,
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KAWAH,154,
P.197_N.14,SARAWAK,P.197,KOTA SAMARAHAN,N.14,ASAJAYA,371,
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,MUARA TUANG,374,
P.198_N.16,SARAWAK,P.198,MAMBONG,N.16,BENGOH,667,
P.198_N.17,SARAWAK,P.198,MAMBONG,N.17,TARAT,664,
P.199_N.18,SARAWAK,P.199,SERIAN,N.18,TEBEDU,595,
P.199_N.19,SARAWAK,P.199,SERIAN,N.19,KEDUP,868,
P.200_N.20,SARAWAK,P.200,BATANG SADONG,N.20,SADONG JAYA,151,
P.200_N.21,SARAWAK,P.200,BATANG SADONG,N.21,SIMUNJAN,846,
P.201_N.22,SARAWAK,P.201,BATANG LUPAR,N.22,SEBUYAU,582,
P.201_N.23,SARAWAK,P.201,BATANG LUPAR,N.23,LINGGA,970,
P.201_N.24,SARAWAK,P.201,BATANG LUPAR,N.24,BETING MARO,472,
P.202_N.25,SARAWAK,P.202,SRI AMAN,N.25,BALAI RINGIN,1314,
P.202_N.26,SARAWAK,P.202,SRI AMAN,N.26,BUKIT BEGUNAN,1057,
P.202_N.27,SARAWAK,P.202,SRI AMAN,N.27,SIMANGGANG,307,
P.203_N.28,SARAWAK,P.203,LUBOK ANTU,N.28,ENGKILILI,1298,
P.203_N.29,SARAWAK,P.203,LUBOK ANTU,N.29,BATANG AIR,1996,
P.204_N.30,SARAWAK,P.204,BETONG,N.30,SARIBAS,414,
P.204_N.31,SARAWAK,P.204,BETONG,N.31,LAYAR,409,
P.204_N.32,SARAWAK,P.204,BETONG,N.32,BUKIT SABAN,575,
P.205_N.33,SARAWAK,P.205,SARATOK,N.33,KALAKA,779,
P.205_N.34,SARAWAK,P.205,SARATOK,N.34,KRIAN,887,
P.206_N.35,SARAWAK,P.206,TANJONG MANIS,N.35,BELAWAI,778,
P.206_N.36,SARAWAK,P.206,TANJONG MANIS,N.36,SEMOP,1246,
P.207_N.37,SARAWAK,P.207,IGAN,N.37,DARO,1482,
P.207_N.38,SARAWAK,P.207,IGAN,N.38,JEMORENG,724,
P.208_N.39,SARAWAK,P.208,SARIKEI,N.39,REPOK,144,
P.208_N.40,SARAWAK,P.208,SARIKEI,N.40,MERADONG,568,
P.209_N.41,SARAWAK,P.209,JULAU,N.41,PAKAN,852,
P.209_N.42,SARAWAK,P.209,JULAU,N.42,MELUAN,2006,
P.210_N.43,SARAWAK,P.210,KANOWIT,N.43,NGEMAH,1211,
P.210_N.44,SARAWAK,P.210,KANOWIT,N.44,MACHAN,976,
P.211_N.45,SARAWAK,P.211,LANANG,N.45,BUKIT ASSEK,53,
P.211_N.46,SARAWAK,P.211,LANANG,N.46,DUDONG,666,
P.212_N.47,SARAWAK,P.212,SIBU,N.47,BAWANG ASSAN,1074,
P.212_N.48,SARAWAK,P.212,SIBU,N.48,PELAWAN,13,
P.212_N.49,SARAWAK,P.212,SIBU,N.49,NANGKA,312,
P.213_N.50,SARAWAK,P.213,MUKAH,N.50,DALAT,1601,
P.213_N.51,SARAWAK,P.213,MUKAH,N.51,BALINGIAN,1384,
P.214_N.52,SARAWAK,P.214,SELANGAU,N.52,TAMIN,3492,
P.214_N.53,SARAWAK,P.214,SELANGAU,N.53,KAKUS,5549,
P.215_N.54,SARAWAK,P.215,KAPIT,N.54,PELAGUS,3251,
P.215_N.55,SARAWAK,P.215,KAPIT,N.55,KATIBAS,3820,
P.216_N.56,SARAWAK,P.216,HULU RAJANG,N.56,BALEH,12364,
P.216_N.57,SARAWAK,P.216,HULU RAJANG,N.57,BELAGA,19453,
P.217_N.58,SARAWAK,P.217,BINTULU,N.58,JEPAK,984,
P.217_N.59,SARAWAK,P.217,BINTULU,N.59,KIDURONG,1728,
P.217_N.60,SARAWAK,P.217,BINTULU,N.60,KEMENA,7312,
P.218_N.61,SARAWAK,P.218,SIBUTI,N.61,BEKENU,1103,
P.218_N.62,SARAWAK,P.218,SIBUTI,N.62,LAMBIR,473,
P.219_N.63,SARAWAK,P.219,MIRI,N.63,PIASAU,36,
P.219_N.64,SARAWAK,P.219,MIRI,N.64,PUJUT,17,
P.219_N.65,SARAWAK,P.219,MIRI,N.65,SENADIN,718,
P.220_N.66,SARAWAK,P.220,BARAM,N.66,MARUDI,3538,
P.220_N.67,SARAWAK,P.220,BARAM,N.67,TELANG USAN,15386,
P.221_N.68,SARAWAK,P.221,LIMBANG,N.68,BUKIT KOTA,468,
P.221_N.69,SARAWAK,P.221,LIMBANG,N.69,BATU DANAU,3743,
P.222_N.70,SARAWAK,P.222,LAWAS,N.70,BA`KELALAN,6398,
P.222_N.71,SARAWAK,P.222,LAWAS,N.71,BUKIT SARI,575,
