UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.192_N.1,SARAWAK,P.192,MAS GADING,N.1,OPAR,BN - SUPP,RANUM ANAK MINA,MALE,55,
P.192_N.2,SARAWAK,P.192,MAS GADING,N.2,TASIK BIRU,BN - SPDP,PETER NANSIAN ANAK NGUSIE,MALE,57,
P.193_N.3,SARAWAK,P.193,SANTUBONG,N.3,TANJONG DATU,BN - PBB,ADENAN BIN SATEM,MALE,62,
P.193_N.4,SARAWAK,P.193,SANTUBONG,N.4,PANTAI DAMAI,BN - PBB,ABDUL RAHMAN BIN JUNAIDI,MALE,45,
P.193_N.5,SARAWAK,P.193,SANTUBONG,N.5,DEMAK LAUT,BN - PBB,ABG. DRAUP ZAMAHARI BIN ABG. HAJI ZEN,MALE,,
P.194_N.6,SARAWAK,P.194,PETRA JAYA,N.6,TUPONG,BN - PBB,DAUD BIN ABDUL RAHMAN,MALE,55,
P.194_N.7,SARAWAK,P.194,PETRA JAYA,N.7,SAMARIANG,BN - PBB,SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,FEMALE,37,
P.194_N.8,SARAWAK,P.194,PETRA JAYA,N.8,SATOK,BN - PBB,DATO SRI ABG ABD RAHMAN ZOHARI BIN ABG OPENG,MALE,56,
P.195_N.9,SARAWAK,P.195,BANDAR KUCHING,N.9,PADUNGAN,PKR,NG KIM HO,MALE,45,
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,DAP,VIOLET YONG WUI WUI,FEMALE,29,
P.196_N.11,SARAWAK,P.196,STAMPIN,N.11,BATU LINTANG,DAP,VOON LEE SHAN,MALE,56,
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,DAP,CHONG CHIENG JEN,MALE,35,
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KAWAH,BN - SUPP,TAN JOO PHOI,MALE,54,
P.197_N.14,SARAWAK,P.197,KOTA SAMARAHAN,N.14,ASAJAYA,BN - PBB,ABD KARIM RAHMAN HAMZAH,MALE,46,
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,MUARA TUANG,BN - PBB,MOHAMAD ALI MAHMUD,MALE,55,
P.198_N.16,SARAWAK,P.198,MAMBONG,N.16,BENGOH,BN - SUPP,JERIP ANAK SUSIL,MALE,52,
P.198_N.17,SARAWAK,P.198,MAMBONG,N.17,TARAT,BN - PBB,ROLAND SAGAH WEE INN,MALE,51,
P.199_N.18,SARAWAK,P.199,SERIAN,N.18,TEBEDU,BN - PBB,MICHAEL MANYIN ANAK JAWONG,MALE,61,
P.199_N.19,SARAWAK,P.199,SERIAN,N.19,KEDUP,BN - PBB,FREDERICK BAYOI AK MANGGIE,MALE,63,
P.200_N.20,SARAWAK,P.200,BATANG SADONG,N.20,SADONG JAYA,BN - PBB,WAN WAHAP @ WAN ABD. WAHAB BIN WAN SANUSI,MALE,56,
P.200_N.21,SARAWAK,P.200,BATANG SADONG,N.21,SIMUNJAN,BN - PBB,MOHD. NARODEN BIN MAJAIS,MALE,53,
P.201_N.22,SARAWAK,P.201,BATANG LUPAR,N.22,SEBUYAU,BN - PBB,JULAIHI BIN NARAWI,MALE,51,
