UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 153,JOHOR,P. 153,SEMBRONG,BN - UMNO,,33181,11570,75.98,25211,66,739,24406,UMNO,HISHAMMUDDIN BIN DATUK HUSSEIN,MALE,47,17988,,PKR,LEE SANG,MALE,,6418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 154,JOHOR,P. 154,MERSING,BN - UMNO,,36445,13736,75.59,27548,195,857,26496,UMNO,ABD. LATIFF BIN AHMAD,MALE,50,20116,,PAS,SHAHAR BIN ABDULLAH,MALE,,6380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 155,JOHOR,P. 155,TENGGARA,BN - UMNO,,32297,14049,79.83,25784,435,1336,24013,UMNO,HALIMAH BINTI MOHD SADIQUE,FEMALE,46,19031,,PAS,SALLEH BIN FARMIN,MALE,,4982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 156,JOHOR,P. 156,KOTA TINGGI,BN - UMNO,,34190,18961,79.29,27109,53,653,26403,UMNO,SYED HAMID BIN S JAAFAR ALBAR,MALE,64,22682,,PAS,ONN BIN JAAFAR,MALE,,3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 157,JOHOR,P. 157,PENGERANG,BN - UMNO,Y,33002,,,,,,,UMNO,AZALINA BINTI OTHMAN,FEMALE,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 158,JOHOR,P. 158,TEBRAU,BN - MCA,,62505,14851,77.91,48700,62,1539,47099,MCA,LING BAN SAN @ TENG BOON SOON,MALE,,30975,,PAS,ROSLANI BIN SHARIF,MALE,,16124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 159,JOHOR,P. 159,PASIR GUDANG,BN - UMNO,,72862,17281,76.71,55891,263,1211,54417,UMNO,MOHAMED KHALED BIN NORDIN,MALE,50,35849,,PKR,MD RIZAN BIN MOHD SAMAN,MALE,,18568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 160,JOHOR,P. 160,JOHOR BAHRU,BN - UMNO,,89725,25349,69.59,62440,112,1391,60937,UMNO,SHARIL@SHAHRIR BIN AB SAMAD,MALE,59,43143,,,,,,,,,,,,,,PRM,HASSAN BIN ABDUL KARIM,MALE,57,17794,,,,,,,,,,,,,,,,,,,
P. 161,JOHOR,P. 161,PULAI,BN - UMNO,,79622,20449,71.42,56863,161,1079,55623,UMNO,NUR JAZLAN BIN MOHAMED,MALE,42,38036,,PAS,ABDULLAH BIN IDERIS,MALE,,17587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 162,JOHOR,P. 162,GELANG PATAH,BN - MCA,,78676,8851,77.19,60728,75,2244,58409,MCA,TAN AH ENG,FEMALE,55,33630,,PKR,ZALIHA BINTI MUSTAFA,FEMALE,44,24779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
