UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 183,SABAH,P. 183,BELURAN,BN - UMNO,,19181,4352,64.38,12349,36,468,11845,UMNO,RONALD KIANDEE,MALE,47,7090,,PKR,MICHAEL @ RADIO BIN LUBAN,MALE,,1271,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,PETRUS RINING,MALE,,571,LOST DEPOSIT,INDEPENDENT - OIL PALM,RAMSAH BIN TASIM @ RAMSAH BIN TASHIM,MALE,,2738,,INDEPENDENT - UMBRELLA,NORDIN BIN KANING,MALE,,175,LOST DEPOSIT
P. 184,SABAH,P. 184,LIBARAN,BN - UMNO,,31435,7529,65.33,20536,116,613,19807,UMNO,JUSLIE BIN AJIROL,MALE,55,13668,,PKR,AHMAD THAMRIN @ TAMRIN B. MOHD JAINI,MALE,,6139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 185,SABAH,P. 185,BATU SAPI,BN - PBS,,26004,3708,63.06,16398,418,730,15250,PBS,CHONG KET WAH @ CHONG KET FAH,MALE,52,9479,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,CHUNG KWONG WING,MALE,,5771,,,,,,,,,,,,,
P. 186,SABAH,P. 186,SANDAKAN,BN - LDP,,32847,176,61.03,20048,57,644,19347,LDP,LIEW VUI KEONG,MALE,48,8297,,,,,,,,DAP,CHONG CHUI LIN @ SHANTY,FEMALE,,8121,,,,,,,,INDEPENDENT - OIL PALM,FONG VUN KUI,MALE,,2929,,,,,,,,,,,,,
P. 187,SABAH,P. 187,KINABATANGAN,BN - UMNO,,19554,6326,65.53,12814,22,589,12203,UMNO,MOKTAR BIN RADIN,MALE,49,8507,,PKR,AHMAD BIN ABDUL,MALE,,2181,,,,,,,,,,,,,,INDEPENDENT - KEY,DASIM @ RICKY BIN JIKAH,MALE,,1515,LOST DEPOSIT,,,,,,,,,,,,
P. 188,SABAH,P. 188,SILAM,BN - UMNO,,43488,9792,63.37,27557,138,989,26430,UMNO,SALLEH BIN KALBI,MALE,,18111,,PKR,HASHBULLAH BIN IMAM OHANG,MALE,,8319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 189,SABAH,P. 189,SEMPORNA,BN - UMNO,,35216,17462,63.07,22209,1,832,21376,UMNO,MOHD SHAFIE BIN APDAL,MALE,52,19419,,PKR,AB AZIS BIN AB HAMID,MALE,,1957,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 190,SABAH,P. 190,TAWAU,BN - SAPP,,42560,4867,63.61,27071,39,735,26297,SAPP,CHUA SOON BUI,FEMALE,,13943,,PKR,BERHAN @ BIRHAN BIN RUSLAN,MALE,,3278,LOST DEPOSIT,DAP,CHAN FOONG HIN,MALE,30,9076,,,,,,,,,,,,,,,,,,,,,,,,,
P. 191,SABAH,P. 191,KALABAKAN,BN - UMNO,Y,36018,,,,,,,UMNO,ABDUL GHAPUR BIN SALLEH,MALE,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 192,SARAWAK,P. 192,MAS GADING,BN - SPDP,,21968,4301,67.37,14800,29,188,14583,SPDP,TEKHEE @ TIKI ANAK LAFE,MALE,55,8551,,,,,,,,,,,,,,SNAP,PATAU ANAK RUBIS,MALE,62,4250,,INDEPENDENT - OIL PALM,FAVIAN ANAK TISEN,MALE,,1476,LOST DEPOSIT,INDEPENDENT - ROOSTER,APIN ANAK BAENG,MALE,,306,LOST DEPOSIT,,,,,,
P. 193,SARAWAK,P. 193,SANTUBONG,BN - PBB,,30836,11945,64.73,19959,56,248,19655,PBB,WAN JUNAIDI BIN TUANKU JAAFAR,MALE,62,15800,,PKR,RAHAMAT IDIL BIN LATIP,MALE,,3855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 194,SARAWAK,P. 194,PETRA JAYA,BN - PBB,,40533,14397,61.74,25027,131,263,24633,PBB,FADILLAH BIN YUSOF,MALE,46,19515,,PKR,MOHAMAD BIN JOLHI,MALE,,5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 195,SARAWAK,P. 195,BANDAR KUCHING,DAP,,53216,9952,68.13,36257,165,242,35850,SUPP,SIM YAW YEN,MALE,44,12949,,,,,,,,DAP,CHONG CHIENG JEN,MALE,37,22901,,,,,,,,,,,,,,,,,,,,,,,,,
P. 196,SARAWAK,P. 196,STAMPIN,BN - SUPP,,67257,3070,65.3,43922,434,428,43060,SUPP,YONG KHOON HIAN @ YONG KHOON SENG,MALE,67,21966,,PKR,SEE CHEE HOW,MALE,44,2198,LOST DEPOSIT,DAP,VOON LEE SHAN,MALE,53,18896,,,,,,,,,,,,,,,,,,,,,,,,,
P. 197,SARAWAK,P. 197,KOTA SAMARAHAN,BN - PBB,,28517,11411,75.14,21428,374,449,20605,PBB,DATO SRI SULAIMAN ABDUL RAHMAN B ABDUL TAIB,MALE,39,15559,,PKR,HUSSAIN BIN ABANG APOK,MALE,,4148,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,AWG BAKAR BIN AWG DAUD,MALE,,898,LOST DEPOSIT,,,,,,,,,,,,
P. 198,SARAWAK,P. 198,MAMBONG,BN - PBB,,36147,6657,61.71,22306,126,473,21707,PBB,JAMES DAWOS MAMIT,MALE,49,14182,,PKR,MAJEN ANAK PANYOG,MALE,,7525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 199,SARAWAK,P. 199,SERIAN,BN - SUPP,,27901,13427,66.36,18516,25,332,18159,SUPP,DATUK RICHARD RIOT ANAK JAEM,MALE,57,15793,,,,,,,,,,,,,,SNAP,BELAYONG ANAK JAYANG,MALE,,2366,,,,,,,,,,,,,,,,,,,
P. 200,SARAWAK,P. 200,BATANG SADONG,BN - PBB,,16794,5425,66.21,11120,9,170,10941,PBB,NANCY BINTI SHUKRI,FEMALE,47,8183,,PKR,PIEE BIN LING,MALE,,2758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 201,SARAWAK,P. 201,BATANG LUPAR,BN - PBB,,22417,8092,64.21,14393,12,193,14188,PBB,ROHANI BINTI ABDUL KARIM,FEMALE,53,11015,,PAS,ABANG EDDY ALLYANNI BIN ABANG FAUZI,MALE,,2923,,,,,,,,,,,,,,INDEPENDENT - BOOK,ALI BIN SEMSU,MALE,,250,LOST DEPOSIT,,,,,,,,,,,,
P. 202,SARAWAK,P. 202,SRI AMAN,BN - PRS,,25724,4252,60.31,15513,154,211,15148,PRS,MASIR ANAK KUJAT,MALE,54,9700,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,COBBOLD ANAK LUSOI,MALE,46,5448,,,,,,,,,,,,,
P. 203,SARAWAK,P. 203,LUBOK ANTU,BN - PRS,,17190,1610,70.03,12038,11,99,11928,PRS,WILLIAM @ NYALLAU ANAK BADAK,MALE,,6769,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,NICHOLAS BAWIN ANAK ANGGAT,MALE,,5159,,,,,,,,,,,,,
P. 204,SARAWAK,P. 204,BETONG,BN - PBB,,22088,11709,72.22,15953,0,246,15707,PBB,DOUGLAS UGGAH EMBAS,MALE,53,13708,,,,,,,,,,,,,,SNAP,EDMUND STANLEY JUGOL ANAK BENEDICT SANDIN,MALE,,1999,,,,,,,,,,,,,,,,,,,
P. 205,SARAWAK,P. 205,SARATOK,BN - SPDP,,23982,8706,68.66,16467,15,218,16234,SPDP,JELAING ANAK MERSAT,MALE,60,12470,,PKR,MOHD YAHYA BIN ABDULLAH,MALE,,3764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 206,SARAWAK,P. 206,TANJONG MANIS,BN - PBB,Y,17052,,,,,,,PBB,NORAH BINTI ABD RAHMAN,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 207,SARAWAK,P. 207,IGAN,BN - PBB,Y,15735,,,,,,,PBB,WAHAB BIN HAJI DOLAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 208,SARAWAK,P. 208,SARIKEI,BN - SUPP,,31675,51,70.23,22246,179,176,21891,SUPP,DING KUONG HIING,MALE,53,10588,,,,,,,,DAP,WONG HUA SEH,MALE,58,10537,,,,,,,,INDEPENDENT - SCISSOR,KUNG CHIN CHUN,FEMALE,,545,LOST DEPOSIT,INDEPENDENT - OIL PALM,LAU KIENG CHAI,MALE,,116,LOST DEPOSIT,INDEPENDENT - CLOCK,NGU TIENG HAI,MALE,,105,LOST DEPOSIT
P. 209,SARAWAK,P. 209,JULAU,BN - PRS,,20306,7584,65.56,13313,13,182,13118,PRS,JOSEPH SALANG ANAK GANDUM,MALE,57,10351,,PKR,LABANG ANAK JAMBA,MALE,,2767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 210,SARAWAK,P. 210,KANOWIT,BN - PRS,Y,17613,,,,,,,PRS,AGO ANAK DAGANG,MALE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 211,SARAWAK,P. 211,LANANG,BN - SUPP,,49530,4864,69.54,34443,102,253,34088,SUPP,TIONG THAI KING,MALE,63,19476,,,,,,,,DAP,WONG KEE WOAN,MALE,46,14612,,,,,,,,,,,,,,,,,,,,,,,,,
P. 212,SARAWAK,P. 212,SIBU,BN - SUPP,,53679,3235,67.77,36379,192,334,35853,SUPP,ROBERT LAU HOI CHEW,MALE,66,19138,,PKR,LIM CHIN CHUANG,MALE,,812,LOST DEPOSIT,DAP,WONG HO LENG,MALE,49,15903,,,,,,,,,,,,,,,,,,,,,,,,,
P. 213,SARAWAK,P. 213,MUKAH,BN - PBB,,22851,6298,63.17,14435,32,521,13882,PBB,MUHAMMAD LEO MICHAEL TOYAD ABDULLAH,MALE,59,10090,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,HAI BIN MERAWIN @ BONAVENTURE,MALE,,3792,,,,,,,,,,,,,
P. 214,SARAWAK,P. 214,SELANGAU,BN - PRS,Y,20057,,,,,,,PRS,JOSEPH ENTULU ANAK BELAUN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 215,SARAWAK,P. 215,KAPIT,BN - PBB,Y,22723,,,,,,,PBB,ALEXANDER NANTA LINGGI,MALE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 216,SARAWAK,P. 216,HULU RAJANG,BN - PRS,,17696,2164,63.09,11164,9,139,11016,PRS,ABIT JOO,MALE,,6590,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,GEORGE ANAK LAGONG,MALE,,4426,,,,,,,,,,,,,
P. 217,SARAWAK,P. 217,BINTULU,BN - SPDP,,50404,14965,64.73,32629,50,288,32291,SPDP,TIONG KING SING,MALE,47,23628,,,,,,,,DAP,LIM SU KIEN,FEMALE,35,8663,,,,,,,,,,,,,,,,,,,,,,,,,
P. 218,SARAWAK,P. 218,SIBUTI,BN - PBB,,22143,3648,58.84,13030,10,192,12828,PBB,AHMAD LAI BIN BUJANG,MALE,59,8238,,PKR,MICHAEL TEO YU KENG,MALE,61,4590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 219,SARAWAK,P. 219,MIRI,BN - SUPP,,55963,5216,60.7,33969,204,273,33492,SUPP,PETER CHIN FAH KUI,MALE,63,19354,,,,,,,,DAP,FONG PAU TECK,MALE,,14138,,,,,,,,,,,,,,,,,,,,,,,,,
P. 220,SARAWAK,P. 220,BARAM,BN - SPDP,,24425,4044,49.65,12126,11,167,11948,SPDP,JACOB DUNGAU SAGAN,MALE,62,7996,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,KEBING WAN,MALE,,3952,,,,,,,,,,,,,
P. 221,SARAWAK,P. 221,LIMBANG,BN - PBB,,20315,676,60.94,12380,89,113,12178,PBB,HASBI BIN HABIBOLLAH,MALE,45,6427,,PKR,LAU LIAK KOI,MALE,,5751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 222,SARAWAK,P. 222,LAWAS,BN - PBB,,15717,7792,59.44,9342,0,82,9260,PBB,HENRY SUM AGONG,MALE,62,8526,,PKR,JAPAR BIN SUYUT,MALE,,734,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
