UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MUSLIM BUMIPUTERA VOTERS,NON MUSLIM BUMIPUTERA VOTERS,CHINESE VOTERS,OTHER VOTERS,ELECTORS - ORDINARY VOTERS,ELECTORS - MILITARY AND POLICE VOTERS,ELECTORS - POLICE VOTERS,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS,URBAN-RURAL CLASSIFICATION (2025)
P. 177_N. 32,SABAH,P. 177,BEAUFORT,N. 32,KLIAS,22277,,,,,22083,0,194,1233,3984,4699,4190,3612,2826,1179,382,172,11226,11051,SEMI URBAN
P. 177_N. 33,SABAH,P. 177,BEAUFORT,N. 33,KUALA PENYU,22288,,,,,22254,0,34,1211,3825,4542,4416,3694,2989,1133,383,95,11228,11060,RURAL
P. 178_N. 34,SABAH,P. 178,SIPITANG,N. 34,LUMADAN,22165,,,,,22165,0,0,1344,4496,5058,4241,3149,2432,989,292,164,11158,11007,RURAL
P. 178_N. 35,SABAH,P. 178,SIPITANG,N. 35,SINDUMIN,25536,,,,,25375,0,161,1676,5335,6058,4392,3640,2907,1023,349,156,13022,12514,RURAL
P. 179_N. 36,SABAH,P. 179,RANAU,N. 36,KUNDASANG,24582,,,,,24582,0,0,1918,5852,6247,4405,2606,2115,773,379,287,12446,12136,RURAL
P. 179_N. 37,SABAH,P. 179,RANAU,N. 37,KARANAAN,18696,,,,,18498,0,198,1153,3613,4084,3531,2813,2210,832,286,174,9438,9258,RURAL
P. 179_N. 38,SABAH,P. 179,RANAU,N. 38,PAGINATAN,26881,,,,,26881,0,0,2128,6651,6885,4914,2990,1984,839,279,211,13515,13366,SEMI URBAN
P. 180_N. 39,SABAH,P. 180,KENINGAU,N. 39,TAMBUNAN,29187,,,,,29169,0,18,1965,6780,7734,5098,3547,2612,991,340,120,14527,14660,SEMI URBAN
P. 180_N. 40,SABAH,P. 180,KENINGAU,N. 40,BINGKOR,31305,,,,,30522,0,783,2337,7055,7556,5695,4263,2805,1062,287,245,15921,15384,SEMI URBAN
P. 180_N. 41,SABAH,P. 180,KENINGAU,N. 41,LIAWAN,32661,,,,,32661,0,0,2589,8533,8556,5236,3531,2828,950,255,183,16586,16075,URBAN
P. 181_N. 42,SABAH,P. 181,TENOM,N. 42,MELALAP,21320,,,,,21141,0,179,1428,4356,4837,3871,3003,2358,924,303,240,10805,10515,RURAL
