COALITION,PARTY,VOTES,SEATS WON
,WARISAN,288703,25
GRS,PGRS,204412,22
BN,UMNO,130648,5
,STAR,73410,2
,INDEPENDENTS,69771,5
,UPKO,64471,3
,KDM,54050,1
GRS,PBS,49465,6
PH,PKR,39747,1
PH,DAP,34786,0
PN,PPBM,24978,0
GRS,DIRECT,20519,1
PN,PAS,15214,1
,PIS,13265,0
BN,PBRS,10184,1
,SAPP,7733,0
GRS,USNO,5326,0
GRS,PCS,4604,0
BN,MCA,3752,0
GRS,PHRS,2063,0
,PKAN,1542,0
,PKS,1477,0
,PR,1414,0
PH,AMANAH,1405,0
PN,GERAKAN,1392,0
,PBK,1337,0
,PPRS,1124,0
,RUMPUN,898,0
,SPP,429,0
,GAS,293,0
,PBM,213,0
,ASPIRASI,141,0
,BERSAMA,131,0
,PERPADUAN,73,0
