UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%)
P. 167_N. 01,SABAH,P. 167,KUDAT,N. 01,BANGGI,9484,2.2,0.1,0.0,0.0,47.1,0.1,50.5
P. 167_N. 02,SABAH,P. 167,KUDAT,N. 02,BENGKOKA,18056,2.1,0.7,0.0,0.0,93.3,0.3,3.5
P. 167_N. 03,SABAH,P. 167,KUDAT,N. 03,PITAS,17574,5.4,0.9,0.1,0.0,89.4,0.5,3.7
P. 167_N. 04,SABAH,P. 167,KUDAT,N. 04,TANJONG KAPOR,34001,5.4,14.1,0.2,0.0,60.8,0.4,19.1
P. 168_N. 05,SABAH,P. 168,KOTA MARUDU,N. 05,MATUNGGONG,29176,1.6,1.2,0.0,0.0,93.8,0.2,3.2
P. 168_N. 06,SABAH,P. 168,KOTA MARUDU,N. 06,BANDAU,27390,4.8,3.3,0.1,0.0,89.8,0.4,1.5
P. 168_N. 07,SABAH,P. 168,KOTA MARUDU,N. 07,TANDEK,29244,1.9,1.4,0.1,0.0,95.1,0.4,1.1
P. 169_N. 08,SABAH,P. 169,KOTA BELUD,N. 08,PINTASAN,15896,3.4,0.3,0.1,0.0,90.1,0.4,5.8
P. 169_N. 09,SABAH,P. 169,KOTA BELUD,N. 09,TEMPASUK,17116,4.6,0.4,0.1,0.0,93.7,0.2,1.1
P. 169_N. 10,SABAH,P. 169,KOTA BELUD,N. 10,USUKAN,24235,4.4,2.6,0.4,0.0,87.7,0.4,4.4
P. 169_N. 11,SABAH,P. 169,KOTA BELUD,N. 11,KADAMAIAN,26240,0.9,0.5,0.1,0.0,97.7,0.4,0.4
P. 170_N. 12,SABAH,P. 170,TUARAN,N. 12,SULAMAN,18352,8.1,2.0,0.4,0.0,84.6,0.6,4.5
P. 170_N. 13,SABAH,P. 170,TUARAN,N. 13,PANTAI DALIT,26346,8.7,6.0,0.3,0.0,79.7,0.6,4.7
P. 170_N. 14,SABAH,P. 170,TUARAN,N. 14,TAMPARULI,26767,2.4,5.2,0.2,0.0,90.2,0.6,1.4
P. 170_N. 15,SABAH,P. 170,TUARAN,N. 15,KIULU,17191,0.9,0.5,0.0,0.0,97.8,0.3,0.5
P. 171_N. 16,SABAH,P. 171,SEPANGGAR,N. 16,KARAMBUNAI,39247,20.4,7.0,0.5,0.0,60.4,1.3,10.4
P. 171_N. 17,SABAH,P. 171,SEPANGGAR,N. 17,DARAU,33016,15.0,12.3,0.7,0.0,62.5,0.5,9.0
P. 171_N. 18,SABAH,P. 171,SEPANGGAR,N. 18,INANAM,45525,6.9,27.1,0.5,0.0,61.0,0.5,4.0
P. 172_N. 19,SABAH,P. 172,KOTA KINABALU,N. 19,LIKAS,19100,3.4,65.9,1.1,0.0,25.9,0.3,3.5
