UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%)
P. 172_N. 20,SABAH,P. 172,KOTA KINABALU,N. 20,API-API,17782,6.4,45.0,0.9,0.0,38.3,0.4,9.1
P. 172_N. 21,SABAH,P. 172,KOTA KINABALU,N. 21,LUYANG,35262,3.1,65.0,1.0,0.0,27.1,0.3,3.4
P. 173_N. 22,SABAH,P. 173,PUTATAN,N. 22,TANJUNG ARU,21264,8.8,18.8,0.5,0.0,56.9,0.4,14.7
P. 173_N. 23,SABAH,P. 173,PUTATAN,N. 23,PETAGAS,20116,17.3,5.9,0.7,0.0,69.6,0.8,5.7
P. 173_N. 24,SABAH,P. 173,PUTATAN,N. 24,TANJUNG KERAMAT,26113,28.0,7.2,1.0,0.0,56.6,2.0,5.2
P. 174_N. 25,SABAH,P. 174,PENAMPANG,N. 25,KAPAYAN,49597,6.7,38.8,0.9,0.0,48.9,1.2,3.5
P. 174_N. 26,SABAH,P. 174,PENAMPANG,N. 26,MOYOG,31084,2.0,6.2,0.3,0.0,89.1,0.7,1.6
P. 175_N. 27,SABAH,P. 175,PAPAR,N. 27,LIMBAHAU,20225,3.9,8.1,0.2,0.0,85.6,0.5,1.7
P. 175_N. 28,SABAH,P. 175,PAPAR,N. 28,KAWANG,23823,12.3,2.8,0.3,0.0,75.7,0.9,8.1
P. 175_N. 29,SABAH,P. 175,PAPAR,N. 29,PANTAI MANIS,20026,10.8,7.0,0.4,0.0,78.7,0.7,2.5
P. 176_N. 30,SABAH,P. 176,KIMANIS,N. 30,BONGAWAN,24019,10.5,2.9,0.1,0.0,83.2,0.7,2.6
P. 176_N. 31,SABAH,P. 176,KIMANIS,N. 31,MEMBAKUT,18563,7.5,2.4,0.2,0.0,87.5,0.5,1.8
P. 177_N. 32,SABAH,P. 177,BEAUFORT,N. 32,KLIAS,22277,10.4,8.0,0.4,0.0,77.5,0.8,2.8
P. 177_N. 33,SABAH,P. 177,BEAUFORT,N. 33,KUALA PENYU,22288,4.2,1.7,0.2,0.0,92.0,0.7,1.1
P. 178_N. 34,SABAH,P. 178,SIPITANG,N. 34,LUMADAN,22165,6.9,3.5,0.1,0.0,87.2,0.8,1.5
P. 178_N. 35,SABAH,P. 178,SIPITANG,N. 35,SINDUMIN,25536,8.7,3.0,0.2,0.0,83.0,3.0,2.0
P. 179_N. 36,SABAH,P. 179,RANAU,N. 36,KUNDASANG,24582,1.7,0.4,0.0,0.0,96.8,0.2,0.8
P. 179_N. 37,SABAH,P. 179,RANAU,N. 37,KARANAAN,18696,3.2,3.1,0.2,0.0,91.9,0.4,1.2
P. 179_N. 38,SABAH,P. 179,RANAU,N. 38,PAGINATAN,26881,2.2,0.7,0.1,0.0,95.2,0.7,1.0
P. 180_N. 39,SABAH,P. 180,KENINGAU,N. 39,TAMBUNAN,29187,0.6,0.8,0.1,0.0,97.6,0.4,0.5
P. 180_N. 40,SABAH,P. 180,KENINGAU,N. 40,BINGKOR,31305,4.1,6.1,0.2,0.0,87.4,0.8,1.5
P. 180_N. 41,SABAH,P. 180,KENINGAU,N. 41,LIAWAN,32661,11.3,12.6,0.3,0.0,70.2,1.2,4.4
P. 181_N. 42,SABAH,P. 181,TENOM,N. 42,MELALAP,21320,6.9,11.8,0.1,0.0,78.2,0.5,2.4
P. 181_N. 43,SABAH,P. 181,TENOM,N. 43,KEMABONG,23168,5.2,4.1,0.1,0.0,88.4,0.7,1.5
P. 182_N. 44,SABAH,P. 182,PENSIANGAN,N. 44,TULID,16551,1.1,0.4,0.1,0.0,97.4,0.2,0.7
P. 182_N. 45,SABAH,P. 182,PENSIANGAN,N. 45,SOOK,20349,2.5,1.8,0.1,0.0,93.7,0.5,1.4
P. 182_N. 46,SABAH,P. 182,PENSIANGAN,N. 46,NABAWAN,23392,1.0,0.4,0.0,0.0,97.6,0.4,0.6
P. 183_N. 47,SABAH,P. 183,BELURAN,N. 47,TELUPID,14965,5.6,1.1,0.1,0.0,87.2,2.0,4.0
P. 183_N. 48,SABAH,P. 183,BELURAN,N. 48,SUGUT,18435,4.3,0.5,0.0,0.0,91.3,1.1,2.8
P. 183_N. 49,SABAH,P. 183,BELURAN,N. 49,LABUK,14564,8.0,1.1,0.1,0.0,83.7,2.1,5.0
P. 184_N. 50,SABAH,P. 184,LIBARAN,N. 50,GUM-GUM,19433,29.3,15.4,0.3,0.0,45.0,1.2,8.7
P. 184_N. 51,SABAH,P. 184,LIBARAN,N. 51,SUNGAI MANILA,18217,25.3,13.3,0.2,0.0,48.2,1.3,11.8
P. 184_N. 52,SABAH,P. 184,LIBARAN,N. 52,SUNGAI SIBUGA,38678,29.5,13.7,0.4,0.0,47.7,1.0,7.7
P. 185_N. 53,SABAH,P. 185,BATU SAPI,N. 53,SEKONG,27518,12.5,20.6,0.2,0.0,59.5,0.5,6.7
P. 185_N. 54,SABAH,P. 185,BATU SAPI,N. 54,KARAMUNTING,19615,18.6,32.9,0.5,0.0,41.1,1.2,5.8
P. 186_N. 55,SABAH,P. 186,SANDAKAN,N. 55,ELOPURA,39004,14.7,41.3,0.7,0.0,36.5,0.9,5.9
P. 186_N. 56,SABAH,P. 186,SANDAKAN,N. 56,TANJONG PAPAT,16767,14.9,38.7,0.5,0.0,38.2,0.9,6.8
P. 187_N. 57,SABAH,P. 187,KINABATANGAN,N. 57,KUAMUT,18228,0.9,0.6,0.0,0.0,95.8,1.2,1.4
P. 187_N. 58,SABAH,P. 187,KINABATANGAN,N. 58,LAMAG,13859,17.3,0.8,0.3,0.0,75.4,2.3,3.8
P. 187_N. 59,SABAH,P. 187,KINABATANGAN,N. 59,SUKAU,16541,27.7,0.6,0.2,0.0,65.1,0.8,5.5
P. 188_N. 60,SABAH,P. 188,LAHAD DATU,N. 60,TUNGKU,24741,17.2,1.1,0.1,0.0,74.2,1.1,6.2
P. 188_N. 61,SABAH,P. 188,LAHAD DATU,N. 61,SEGAMA,29840,26.8,14.8,0.5,0.0,48.4,1.5,8.0
P. 188_N. 62,SABAH,P. 188,LAHAD DATU,N. 62,SILAM,28261,24.6,14.0,0.7,0.0,52.7,1.0,7.0
P. 188_N. 63,SABAH,P. 188,LAHAD DATU,N. 63,KUNAK,24854,36.9,2.4,0.3,0.0,53.3,1.2,6.0
P. 189_N. 64,SABAH,P. 189,SEMPORNA,N. 64,SULABAYAN,20258,2.4,0.1,0.0,0.0,94.9,0.0,2.5
P. 189_N. 65,SABAH,P. 189,SEMPORNA,N. 65,SENALLANG,20763,11.2,3.3,0.3,0.0,81.6,0.5,3.0
P. 189_N. 66,SABAH,P. 189,SEMPORNA,N. 66,BUGAYA,36569,6.9,1.1,0.1,0.0,87.5,0.5,3.8
P. 190_N. 67,SABAH,P. 190,TAWAU,N. 67,BALUNG,22252,44.0,5.7,0.3,0.0,40.6,2.3,7.0
P. 190_N. 68,SABAH,P. 190,TAWAU,N. 68,APAS,32241,41.4,10.3,0.3,0.0,38.5,1.1,8.4
P. 190_N. 69,SABAH,P. 190,TAWAU,N. 69,SRI TANJONG,37327,22.2,55.8,0.5,0.0,15.2,0.8,5.4
P. 191_N. 70,SABAH,P. 191,KALABAKAN,N. 70,KUKUSAN,19225,48.3,15.6,0.7,0.0,26.3,1.6,7.5
P. 191_N. 71,SABAH,P. 191,KALABAKAN,N. 71,TANJUNG BATU,27428,65.8,3.1,0.2,0.0,22.5,1.2,7.2
P. 191_N. 72,SABAH,P. 191,KALABAKAN,N. 72,MEROTAI,26179,48.1,12.3,0.4,0.0,27.5,4.1,7.6
P. 191_N. 73,SABAH,P. 191,KALABAKAN,N. 73,SEBATIK,16893,25.4,0.6,0.1,0.0,66.6,1.5,5.8
