UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 167_N. 01,SABAH,P. 167,KUDAT,N. 01,BANGGI,GRS - PGRS,DATUK MOHAMMAD BIN MOHAMARIN,MALE,44,
P. 167_N. 02,SABAH,P. 167,KUDAT,N. 02,BENGKOKA,BN - UMNO,HARUN BIN DURABI,MALE,62,
P. 167_N. 03,SABAH,P. 167,KUDAT,N. 03,PITAS,GRS - PGRS,RUDDY AWAH,MALE,56,
P. 167_N. 04,SABAH,P. 167,KUDAT,N. 04,TANJONG KAPOR,GRS - PGRS,BEN CHONG,MALE,47,
P. 168_N. 05,SABAH,P. 168,KOTA MARUDU,N. 05,MATUNGGONG,GRS - PBS,JULITA MAJUNGKI,FEMALE,54,
P. 168_N. 06,SABAH,P. 168,KOTA MARUDU,N. 06,BANDAU,INDEPENDENT - CHAIR,DATUK DR MAIJOL MAHAP,MALE,65,
P. 168_N. 07,SABAH,P. 168,KOTA MARUDU,N. 07,TANDEK,GRS - PBS,HENDRUS ANDING,MALE,55,
P. 169_N. 08,SABAH,P. 169,KOTA BELUD,N. 08,PINTASAN,INDEPENDENT - BOOK,FAIRUZ RENDDAN,MALE,41,
P. 169_N. 09,SABAH,P. 169,KOTA BELUD,N. 09,TEMPASUK,GRS - PGRS,MOHD ARSAD BIN BISTARI,MALE,50,
P. 169_N. 10,SABAH,P. 169,KOTA BELUD,N. 10,USUKAN,WARISAN,MUNIRAH MAJILIS,FEMALE,43,
P. 169_N. 11,SABAH,P. 169,KOTA BELUD,N. 11,KADAMAIAN,UPKO,EWON BENEDICK,MALE,42,
P. 170_N. 12,SABAH,P. 170,TUARAN,N. 12,SULAMAN,GRS - PGRS,HAJIJI BIN HAJI NOOR,MALE,70,
P. 170_N. 13,SABAH,P. 170,TUARAN,N. 13,PANTAI DALIT,GRS - PGRS,JASNIH DAYA,MALE,51,
P. 170_N. 14,SABAH,P. 170,TUARAN,N. 14,TAMPARULI,UPKO,WILFRED MADIUS TANGAU,MALE,67,
P. 170_N. 15,SABAH,P. 170,TUARAN,N. 15,KIULU,GRS - PBS,DATUK JONISTON BANGKUAI,MALE,63,
P. 171_N. 16,SABAH,P. 171,SEPANGGAR,N. 16,KARAMBUNAI,PN - PAS,DATUK DR. ALIAKBAR,MALE,54,
P. 171_N. 17,SABAH,P. 171,SEPANGGAR,N. 17,DARAU,WARISAN,AZHAR BIN MATUSSIN,MALE,59,
P. 171_N. 18,SABAH,P. 171,SEPANGGAR,N. 18,INANAM,WARISAN,EDNA JESSICA MAJIMBUN,FEMALE,47,
P. 172_N. 19,SABAH,P. 172,KOTA KINABALU,N. 19,LIKAS,WARISAN,THAM YUN FOOK,MALE,58,
P. 172_N. 20,SABAH,P. 172,KOTA KINABALU,N. 20,API-API,WARISAN,LOI KOK LIANG,MALE,38,
P. 172_N. 21,SABAH,P. 172,KOTA KINABALU,N. 21,LUYANG,WARISAN,SAMUEL WONG TSHUN CHUEN,MALE,31,
P. 173_N. 22,SABAH,P. 173,PUTATAN,N. 22,TANJUNG ARU,WARISAN,WONG HONG JUN,MALE,46,
P. 173_N. 23,SABAH,P. 173,PUTATAN,N. 23,PETAGAS,INDEPENDENT - ELEPHANT,AWANG AHMAD SAH,MALE,66,
P. 173_N. 24,SABAH,P. 173,PUTATAN,N. 24,TANJUNG KERAMAT,GRS - PGRS,SHAH ALFIE BIN YAHYA,MALE,39,
P. 174_N. 25,SABAH,P. 174,PENAMPANG,N. 25,KAPAYAN,WARISAN,CHIN TEK MING,MALE,55,
P. 174_N. 26,SABAH,P. 174,PENAMPANG,N. 26,MOYOG,UPKO,DONALD PETER MOJUNTIN,MALE,60,
P. 175_N. 27,SABAH,P. 175,PAPAR,N. 27,LIMBAHAU,GRS - DIRECT,DATUK JUIL NUATIM,MALE,66,
P. 175_N. 28,SABAH,P. 175,PAPAR,N. 28,KAWANG,GRS - PGRS,GULAMHAIDAR @ YUSOF BIN KHAN BAHADAR,MALE,70,
P. 175_N. 29,SABAH,P. 175,PAPAR,N. 29,PANTAI MANIS,GRS - PGRS,DATUK HAJI PENGIRAN SAIFUDDIN BIN PENGIRAN TAHIR PETRA,MALE,68,
P. 176_N. 30,SABAH,P. 176,KIMANIS,N. 30,BONGAWAN,WARISAN,DAUD BIN YUSOF,MALE,64,
P. 176_N. 31,SABAH,P. 176,KIMANIS,N. 31,MEMBAKUT,GRS - PGRS,MOHD ARIFIN BIN MOHD ARIF,MALE,62,
P. 177_N. 32,SABAH,P. 177,BEAUFORT,N. 32,KLIAS,GRS - PGRS,DATUK ISNIN HJ ALIASNIH,MALE,60,
P. 177_N. 33,SABAH,P. 177,BEAUFORT,N. 33,KUALA PENYU,GRS - PGRS,LIMUS BIN JURY,MALE,63,
P. 178_N. 34,SABAH,P. 178,SIPITANG,N. 34,LUMADAN,GRS - PBS,DATUK HJ RUSLAN BIN MUHARAM,MALE,63,
P. 178_N. 35,SABAH,P. 178,SIPITANG,N. 35,SINDUMIN,WARISAN,YUSRI BIN PUNGUT,MALE,53,
