Sabah Candidates requiring more verification for sex category,,,
State Constituency,Party,Candidate Name,Sex Category
TANJONG KAPOR,PKR,NG KIM KIAT,MALE
KARAMUNTING,PKR,TAN SHU SHEE,MALE
KAWANG,BERSEKUTU,MAIJI JAIGUL,MALE
INANAM,INDEPENDENT - KEY,CLARENCE CHIN @ CLAY,MALE
LIKAS,INDEPENDENT - UMBRELLA,KONG YU KIONG,MALE
KARAMUNTING,INDEPENDENT - OIL PALM,SAK CHEONG YU,MALE
