UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN (1),BN (1) CANDIDATE,BN (1) CANDIDATE SEX,BN (1) CANDIDATE AGE,BN (1) VOTE,BN (1) CANDIDATE LOST DEPOSIT,BN (2),BN (2) CANDIDATE,BN (2) CANDIDATE SEX,BN (2) CANDIDATE AGE,BN (2) VOTE,BN (2) CANDIDATE LOST DEPOSIT,BERJAYA,BERJAYA CANDIDATE,BERJAYA CANDIDATE SEX,BERJAYA CANDIDATE AGE,BERJAYA VOTE,BERJAYA CANDIDATE LOST DEPOSIT,AKAR,AKAR CANDIDATE,AKAR CANDIDATE SEX,AKAR CANDIDATE AGE,AKAR VOTE,AKAR CANDIDATE LOST DEPOSIT,PRS,PRS CANDIDATE,PRS CANDIDATE SEX,PRS CANDIDATE AGE,PRS VOTE,PRS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P. 140_N. 19,SABAH,P. 140,SANDAKAN,N. 19,TANJONG PAPAT,BN - PBS,,11776,2748,70.91,8350,6,61,8283,,,,,,,PBS,TAN KIT SHER,MALE,,4630,,BERJAYA,DR. YAP PAK CHAU,MALE,,469,LOST DEPOSIT,,,,,,,,,,,,,LDP,LAU NGAN SIEW,MALE,,1302,,DAP,FUNG KET WING,MALE,,1882,,,,,,,,,,,,,
P. 140_N. 20,SABAH,P. 140,SANDAKAN,N. 20,KARAMUNTING,BN - PBS,,11219,2714,73.23,8216,7,49,8160,,,,,,,PBS,DATUK LAU PUI KEONG,MALE,,4879,,BERJAYA,WONG TIEN FATT,MALE,,424,LOST DEPOSIT,,,,,,,,,,,,,LDP,DATUK NGUI TET SHIUNG,MALE,,2165,,DAP,PHANG YAU WING,MALE,,692,LOST DEPOSIT,,,,,,,,,,,,
P. 141_N. 21,SABAH,P. 141,KINABATANGAN,N. 21,SEKONG,BN - USNO,,11197,521,61.31,6865,7,119,6739,USNO,PITING BIN HAJI MOHD. ALI,MALE,,3240,,PBS,NAHALAN BIN OKK DAMSAL,MALE,,2719,,BERJAYA,HAJI ALIONG BIN HAJI HASSAN,MALE,,482,LOST DEPOSIT,,,,,,,PRS,MOHAMMAD BIN HAJI JIFLI,MALE,,174,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - SHOE,ABDULLAH BIN IBRAHIM,MALE,,66,LOST DEPOSIT,INDEPENDENT - KEY,HASSNAR B. EBRAHIM,MALE,,58,LOST DEPOSIT
P. 141_N. 22,SABAH,P. 141,KINABATANGAN,N. 22,SUKAU,BN - USNO,,7269,93,57.16,4155,2,60,4093,USNO,AKLEE BIN ABASS,MALE,,1897,,PBS,ZAKI B. HAJI GUSMIAH,MALE,,1804,,BERJAYA,DR. ADININ BIN BACHU,MALE,,305,LOST DEPOSIT,,,,,,,PRS,MOHAMAD ALIMIN BIN MOHD. AMIN,MALE,,87,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 141_N. 23,SABAH,P. 141,KINABATANGAN,N. 23,KUAMUT,BN - PBS,,4710,1053,69.64,3280,0,60,3220,USNO,ALI LATIP BIN TAHA,MALE,,459,,PBS,JOSEPH SITIN BIN SAANG,MALE,,1762,,BERJAYA,HAJJAH MARHUMAH HJ. BASRAH,FEMALE,,709,,AKAR,ATIONG BIN TITUH,MALE,,148,LOST DEPOSIT,PRS,ABDUL MAIT BIN AKMAD @ HALIM,MALE,,142,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 142_N. 24,SABAH,P. 142,KENINGAU,N. 24,TAMBUNAN,BN - PBS,,7237,5277,84.73,6132,4,64,6064,USNO,ALING BIN AMON,MALE,,239,LOST DEPOSIT,PBS,JOSEPH PAIRIN KITINGAN,MALE,,5516,,BERJAYA,NORBERT ANKANGON @ ZAKARIA ANKANGON,MALE,,62,LOST DEPOSIT,AKAR,JUANIS YAJUNI @ JOANNES BIN AJUNI,MALE,,145,LOST DEPOSIT,PRS,JOSEPH JOUTI AJUN,MALE,,96,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,EDMUND OTIGIL,MALE,,6,LOST DEPOSIT,,,,,,
P. 142_N. 25,SABAH,P. 142,KENINGAU,N. 25,BINGKOR,BN - PBS,,11007,2730,81.68,8990,5,76,8909,USNO,SAIRIN KARNO,MALE,,2493,,PBS,DATUK LAWRENCE GIMBANG,MALE,,5223,,BERJAYA,AIRIN BTE SEDOMON @ IRENE,FEMALE,,71,LOST DEPOSIT,AKAR,JOHN INJON SEDOMON,MALE,,117,LOST DEPOSIT,PRS,AYUB AMAN,MALE,,950,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - TELEPHONE,PAUL KADAU,MALE,,55,LOST DEPOSIT,,,,,,
P. 143_N. 26,SABAH,P. 143,PENAMPANG,N. 26,MOYOG,BN - PBS,,12427,7113,82.27,10224,414,145,9665,,,,,,,PBS,BERNARD GILUK DOMPOK,MALE,,7846,,BERJAYA,BRYAN MATASIM LOJINGON,MALE,,733,LOST DEPOSIT,AKAR,LAWRENCE SINSUA,MALE,,589,LOST DEPOSIT,PRS,BERNARD JOSEPH BAI,MALE,,132,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,PETER MARTIN TOJIPUN,MALE,,365,LOST DEPOSIT,,,,,,
P. 143_N. 27,SABAH,P. 143,PENAMPANG,N. 27,INANAM,BN - PBS,,13078,4580,78.26,10235,9,98,10128,USNO,LASSIM ABDUL RAHMAN,MALE,,2178,,PBS,STEVEN K. KUTAI,MALE,,6758,,BERJAYA,FRED SOLIBUN,MALE,,658,LOST DEPOSIT,AKAR,YUNGUT KIMSANG B. TALIBAN,MALE,,153,LOST DEPOSIT,PRS,FELIX K.F. GUSTI,MALE,,241,LOST DEPOSIT,LDP,HENRY LIEW YUN KUI,MALE,,140,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 144_N. 28,SABAH,P. 144,GAYA,N. 28,LIKAS,BN - PBS,,15453,5128,71.59,11063,11,92,10960,USNO,HUSSIN WAHID DALLY,MALE,,2219,,PBS,YONG TECK LEE,MALE,,7347,,BERJAYA,YAN NGAI NEN,MALE,,626,LOST DEPOSIT,,,,,,,PRS,FRANKIE YAPP LAI SING,MALE,,176,LOST DEPOSIT,LDP,CHIN NYUK FATT,MALE,,176,LOST DEPOSIT,DAP,QUEK YI THAN,MALE,,416,LOST DEPOSIT,,,,,,,,,,,,
P. 144_N. 29,SABAH,P. 144,GAYA,N. 29,API-API,BN - PBS,,17894,8537,72.77,13022,47,55,12920,,,,,,,PBS,CHAU TET ON,MALE,,9949,,BERJAYA,DATUK LIM GUAN SING,MALE,,1412,LOST DEPOSIT,,,,,,,PRS,CHANG KOK FAH,MALE,,109,LOST DEPOSIT,LDP,WONG ING HUONG,FEMALE,,385,LOST DEPOSIT,DAP,HIEW KING CHEU,MALE,,1039,LOST DEPOSIT,INDEPENDENT - TIGER,HWA KING RYH FRANCIS,MALE,,26,LOST DEPOSIT,,,,,,
P. 145_N. 30,SABAH,P. 145,TANJONG ARU,N. 30,SEMBULAN,BN - PBS,,12209,3328,69.04,8429,66,65,8298,,,,,,,PBS,PETER CHONG ON TET,MALE,,5267,,BERJAYA,CHONG JOCK CHIN,MALE,,845,LOST DEPOSIT,AKAR,FILINO HEE CHEE MIAN,MALE,,117,LOST DEPOSIT,PRS,LIM NYUK CHAN,MALE,,130,LOST DEPOSIT,LDP,Y.C. LAU,MALE,,1939,,,,,,,,,,,,,,,,,,,
P. 145_N. 31,SABAH,P. 145,TANJONG ARU,N. 31,PETAGAS,BN - PBS,,14500,2658,75.5,10948,236,50,10662,USNO,YAHYAH BIN HUSSIN,MALE,,3450,,PBS,JAMES LIGUNJANG,MALE,,6108,,BERJAYA,ABDUL WAHAB PATAIL,MALE,,472,LOST DEPOSIT,AKAR,OOI KONG EOW,MALE,,25,LOST DEPOSIT,PRS,ALBERT TOKUZIP,MALE,,105,LOST DEPOSIT,LDP,THOMAS FUNG CHIK TONG,MALE,,220,LOST DEPOSIT,,,,,,,INDEPENDENT - UMBRELLA,ARIF BIN ZAMAN,MALE,,282,LOST DEPOSIT,,,,,,
P. 146_N. 32,SABAH,P. 146,PAPAR,N. 32,KAWANG,BN - PBS,,10100,687,79.78,8058,8,110,7940,USNO,JAMES HJ. GHANI,MALE,,3269,,PBS,DATUK ARIAH TENGKU AHMAD,MALE,,3956,,BERJAYA,KASIM SALLEH,MALE,,209,LOST DEPOSIT,AKAR,GEORGE MIKIL,MALE,,58,LOST DEPOSIT,PRS,DZULKEFLI B. SHAFAR,MALE,,65,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,WENCHES LAJINGAH,MALE,,383,LOST DEPOSIT,,,,,,
P. 146_N. 33,SABAH,P. 146,PAPAR,N. 33,BUANG SAYANG,BN - PBS,,11726,421,79.86,9364,4,55,9305,USNO,ABDUL RAHIM BIN ISMAIL,MALE,,3961,,PBS,CLADIUS SUNDANG @ CLADIUS SUNDANG ALEX,MALE,,4382,,BERJAYA,HJ AHMAD NUNSI BIN HJ. MAHALI,MALE,,852,LOST DEPOSIT,AKAR,AMATUS BERNADUS ANJUN,MALE,,32,LOST DEPOSIT,PRS,MIT DAHLAN JOHARI,MALE,,78,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 147_N. 34,SABAH,P. 147,KIMANIS,N. 34,BONGAWAN,BN - USNO,,9882,127,80.15,7920,8,86,7826,USNO,KARIM BIN BUJANG,MALE,,3631,,PBS,AB. GHANI BIDIN,MALE,,3504,,BERJAYA,IBRAHIM BIN KALALI,MALE,,328,LOST DEPOSIT,AKAR,YUSOFF BIN MOHD. SAID,MALE,,169,LOST DEPOSIT,PRS,SUKAIMI B. SURADI,MALE,,194,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 147_N. 35,SABAH,P. 147,KIMANIS,N. 35,KUALA PENYU,BN - PBS,,8444,993,84.89,7168,5,93,7070,USNO,JOHN B. O.T. GHANI,MALE,,2737,,PBS,WENCES ANGANG,MALE,,3730,,BERJAYA,HJ. AWANG DAMIT BIN HJ. AWANG OTHMAN,MALE,,311,LOST DEPOSIT,AKAR,ENGKUAN BIN EYONG,MALE,,129,LOST DEPOSIT,PRS,AWG MASLIN HAJI MOHD HASHIM,MALE,,163,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 36,SABAH,P. 148,LIMBAWANG,N. 36,KLIAS,BN - PBS,,9048,791,78.75,7125,23,76,7026,USNO,HJH AZIZAH BTE DATUK HJ. MOHD. DUN,FEMALE,,2888,,PBS,DATUK LAJIM BIN HJ UKIN,MALE,,3679,,BERJAYA,LOI SIANG TONG @ CHRISTOPHER LAI,MALE,,348,LOST DEPOSIT,AKAR,DUIN BANANG,MALE,,111,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
