UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.192_N.1,SARAWAK,P.192,MAS GADING,N.1,OPAR,BN - SUPP,RANUM ANAK MINA ,MALE,60,
P.192_N.2,SARAWAK,P.192,MAS GADING,N.2,TASIK BIRU,BN - SPDP,PETER NANSIAN ANAK NGUSIE  ,MALE,62,
P.193_N.3,SARAWAK,P.193,SANTUBONG,N.3,TANJONG DATU,BN - PBB,TAN SRI DATUK AMAR  HAJI ADENAN BIN HAJI SATEM,MALE,67,
P.193_N.4,SARAWAK,P.193,SANTUBONG,N.4,PANTAI DAMAI,BN - PBB,DR ABDUL RAHMAN BIN JUNAIDI ,MALE,50,
P.193_N.5,SARAWAK,P.193,SANTUBONG,N.5,DEMAK LAUT,BN - PBB,DR. HAZLAND BIN ABG HIPNI ,MALE,46,
P.194_N.6,SARAWAK,P.194,PETRA JAYA,N.6,TUPONG,BN - PBB,DATUK HJ DAUD ABDUL RAHMAN ,MALE,60,
P.194_N.7,SARAWAK,P.194,PETRA JAYA,N.7,SAMARIANG,BN - PBB,SHARIFAH HASIDAH SAYEED AMAN GHAZALI,FEMALE,42,
P.194_N.8,SARAWAK,P.194,PETRA JAYA,N.8,SATOK,BN - PBB,DATUK AMAR ABG JOHARI TUN OPENG,MALE,61,
P.195_N.9,SARAWAK,P.195,BANDAR KUCHING,N.9,PADUNGAN,PR - DAP,WONG KING WEI,MALE,31,
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,PR - DAP,VIOLET YONG WUI WUI,FEMALE,34,
P.196_N.11,SARAWAK,P.196,STAMPIN,N.11,BATU LINTANG,PR - PKR,SEE CHEE HOW,MALE,47,
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,PR - DAP,CHONG CHIENG JEN,MALE,40,
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KAWAH,PR - DAP,CHRISTINA CHIEW WANG SEE,FEMALE,26,
P.197_N.14,SARAWAK,P.197,KOTA SAMARAHAN,N.14,ASAJAYA,BN - PBB,HJ. ABD. KARIM RAHMAN HAMZAH,MALE,51,
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,MUARA TUANG,BN - PBB,DATO' SRI HAJI MOHAMMAD ALI MAHMUD,MALE,61,
P.198_N.16,SARAWAK,P.198,MAMBONG,N.16,BENGOH,BN - SUPP,DR. JERIP ANAK SUSIL,MALE,57,
P.198_N.17,SARAWAK,P.198,MAMBONG,N.17,TARAT,BN - PBB,ROLAND SAGAH,MALE,56,
P.199_N.18,SARAWAK,P.199,SERIAN,N.18,TEBEDU,BN - PBB,MICHAEL MANYIN ANAK JAWONG,MALE,66,
P.199_N.19,SARAWAK,P.199,SERIAN,N.19,KEDUP,BN - PBB,MARTIN BEN,MALE,49,
P.200_N.20,SARAWAK,P.200,BATANG SADONG,N.20,SADONG JAYA,BN - PBB,AIDEL BIN LARIWOO,MALE,39,
P.200_N.21,SARAWAK,P.200,BATANG SADONG,N.21,SIMUNJAN,BN - PBB,MOHD. NARODEN MAJAIS,MALE,58,
P.201_N.22,SARAWAK,P.201,BATANG LUPAR,N.22,SEBUYAU,BN - PBB,HJ. JULAIHI HJ. NARAWI,MALE,56,
P.201_N.23,SARAWAK,P.201,BATANG LUPAR,N.23,LINGGA,BN - PBB,SIMOI BINTI PERI,FEMALE,47,
P.201_N.24,SARAWAK,P.201,BATANG LUPAR,N.24,BETING MARO,BN - PBB,RAZAILI BIN HAJI GAPOR,MALE,55,
P.202_N.25,SARAWAK,P.202,SRI AMAN,N.25,BALAI RINGIN,BN - PRS,SNOWDAN LAWAN,MALE,40,
P.202_N.26,SARAWAK,P.202,SRI AMAN,N.26,BUKIT BEGUNAN,BN - PRS,MONG ANAK DAGANG,MALE,56,
P.202_N.27,SARAWAK,P.202,SRI AMAN,N.27,SIMANGGANG,BN - SUPP,FRANCIS HARDEN ANAK HOLLIS,MALE,55,
P.203_N.28,SARAWAK,P.203,LUBOK ANTU,N.28,ENGKILILI,BN - SUPP,JOHNICHAL RAYONG,MALE,49,
P.203_N.29,SARAWAK,P.203,LUBOK ANTU,N.29,BATANG AIR,BN - PRS,MALCOM MUSSEN LAMOH,MALE,52,
P.204_N.30,SARAWAK,P.204,BETONG,N.30,SARIBAS,BN - PBB,RICKY @ MOHAMMAD RAZI SITAM,MALE,38,
P.204_N.31,SARAWAK,P.204,BETONG,N.31,LAYAR,BN - PBB,DATUK PATINGGI TAN SRI (DR) ALFRED JABU ANAK NUMPANG,MALE,71,
P.204_N.32,SARAWAK,P.204,BETONG,N.32,BUKIT SABAN,BN - PBB,ROBERT LAWSON CHUAT,MALE,53,
P.205_N.33,SARAWAK,P.205,SARATOK,N.33,KALAKA,BN - PBB,ABDUL WAHAB BIN AZIZ,MALE,64,
P.205_N.34,SARAWAK,P.205,SARATOK,N.34,KRIAN,PR - PKR,ALI ANAK BIJU,MALE,43,
P.206_N.35,SARAWAK,P.206,TANJONG MANIS,N.35,BELAWAI,BN - PBB,TALIF @ LEN BIN SALLEH,MALE,58,
P.206_N.36,SARAWAK,P.206,TANJONG MANIS,N.36,SEMOP,BN - PBB,ABDULLAH BIN SAIDOL,MALE,45,
P.207_N.37,SARAWAK,P.207,IGAN,N.37,DARO,BN - PBB,MURNI BIN SUHAILI,MALE,56,
P.207_N.38,SARAWAK,P.207,IGAN,N.38,JEMORENG,BN - PBB,ABU SEMAN BIN JAHWIE,MALE,54,
P.208_N.39,SARAWAK,P.208,SARIKEI,N.39,REPOK,PR - DAP,DR. WONG HUA SEH,MALE,61,
P.208_N.40,SARAWAK,P.208,SARIKEI,N.40,MERADONG,PR - DAP,TING TZE FUI,FEMALE,30,
P.209_N.41,SARAWAK,P.209,JULAU,N.41,PAKAN,BN - SPDP,WILLIAM MAWAN IKOM,MALE,62,
P.209_N.42,SARAWAK,P.209,JULAU,N.42,MELUAN,BN - SPDP,WONG ANAK JUDAT,MALE,47,
P.210_N.43,SARAWAK,P.210,KANOWIT,N.43,NGEMAH,BN - PRS,ALEXANDER ANAK VINCENT,MALE,,
P.210_N.44,SARAWAK,P.210,KANOWIT,N.44,MACHAN,BN - PBB,GRAMONG JUNA,MALE,62,
P.211_N.45,SARAWAK,P.211,LANANG,N.45,BUKIT ASSEK,PR - DAP,WONG HO LENG,MALE,52,
P.211_N.46,SARAWAK,P.211,LANANG,N.46,DUDONG,PR - DAP,YAP HOI LIONG,MALE,40,
P.212_N.47,SARAWAK,P.212,SIBU,N.47,BAWANG ASSAN,BN - SUPP,WONG SOON KOH,MALE,69,
P.212_N.48,SARAWAK,P.212,SIBU,N.48,PELAWAN,PR - DAP,DAVID WONG,MALE,48,
P.212_N.49,SARAWAK,P.212,SIBU,N.49,NANGKA,BN - PBB,ANNUAR BIN RAPA'EE,MALE,48,
P.213_N.50,SARAWAK,P.213,MUKAH,N.50,DALAT,BN - PBB,FATIMAH BT ABDULLAH @ TING SAI MING,FEMALE,54,
P.213_N.51,SARAWAK,P.213,MUKAH,N.51,BALINGIAN,BN - PBB,PEHIN SRI HAJI ABDUL TAIB BIN MAHMUD,MALE,75,
P.214_N.52,SARAWAK,P.214,SELANGAU,N.52,TAMIN,BN - PRS,JOSEPH MAUH ANAK IKEH,MALE,60,
P.214_N.53,SARAWAK,P.214,SELANGAU,N.53,KAKUS,BN - PRS,JOHN SIKIE TAYAI,MALE,61,
P.215_N.54,SARAWAK,P.215,KAPIT,N.54,PELAGUS,INDEPENDENT - CHAIR,GEORGE ANAK LAGONG,MALE,51,
P.215_N.55,SARAWAK,P.215,KAPIT,N.55,KATIBAS,BN - PBB,DATUK AMBROSE BLIKAU ENTURAN,MALE,58,
P.216_N.56,SARAWAK,P.216,HULU RAJANG,N.56,BALEH,BN - PRS,DATO SRI DR. JAMES JEMUT MASING,MALE,62,
P.216_N.57,SARAWAK,P.216,HULU RAJANG,N.57,BELAGA,BN - PRS,LIWAN LAGANG,MALE,53,
P.217_N.58,SARAWAK,P.217,BINTULU,N.58,JEPAK,BN - PBB,DATUK HAJI TALIB BIN ZULPILIP,MALE,60,
P.217_N.59,SARAWAK,P.217,BINTULU,N.59,KIDURONG,PR - DAP,CHIEW CHIU SING,MALE,61,
P.217_N.60,SARAWAK,P.217,BINTULU,N.60,KEMENA,BN - PBB,STEPHEN RUNDI ANAK UTOM,MALE,51,
P.218_N.61,SARAWAK,P.218,SIBUTI,N.61,BEKENU,BN - SPDP,ROSEY YUNUS,FEMALE,55,
P.218_N.62,SARAWAK,P.218,SIBUTI,N.62,LAMBIR,BN - PBB,RIPIN BIN LAMAT,MALE,41,
P.219_N.63,SARAWAK,P.219,MIRI,N.63,PIASAU,PR - DAP,LING SIE KIONG,MALE,28,
P.219_N.64,SARAWAK,P.219,MIRI,N.64,PUJUT,PR - DAP,FONG PAU TECK,MALE,42,
P.219_N.65,SARAWAK,P.219,MIRI,N.65,SENADIN,BN - SUPP,LEE KIM SHIN,MALE,61,
P.220_N.66,SARAWAK,P.220,BARAM,N.66,MARUDI,BN - SPDP,SYLVESTER ENTRI ANAK MURAN,MALE,57,
P.220_N.67,SARAWAK,P.220,BARAM,N.67,TELANG USAN,BN - PBB,DENNIS NGAU,MALE,43,
P.221_N.68,SARAWAK,P.221,LIMBANG,N.68,BUKIT KOTA,BN - PBB,DR. ABDUL RAHMAN BIN ISMAIL,MALE,48,
P.221_N.69,SARAWAK,P.221,LIMBANG,N.69,BATU DANAU,BN - SPDP,PAULUS PALU ANAK GUMBANG,MALE,60,
P.222_N.70,SARAWAK,P.222,LAWAS,N.70,BA'KELALAN,PR - PKR,BARU BIAN,MALE,53,
P.222_N.71,SARAWAK,P.222,LAWAS,N.71,BUKIT SARI,BN - PBB,AWANG TENGAH ALI HASAN,MALE,56,
