UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY AND MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - MILITARY VOTERS (%),ELECTORS - POLICE VOTERS (%),URBAN-RURAL CLASSIFICATION (2011)
P.210_N.43,SARAWAK,P.210,KANOWIT,N.43,NGEMAH,8058,0.36,6.71,92.93,,,,99.99,0.00,0.00,0.01,RURAL
P.210_N.44,SARAWAK,P.210,KANOWIT,N.44,MACHAN,9944,4.62,16.81,78.56,,,0.01,99.58,0.00,0.00,0.42,RURAL
P.211_N.45,SARAWAK,P.211,LANANG,N.45,BUKIT ASSEK,26926,1.66,94.62,3.67,0.01,0.02,0.02,99.95,0.00,0.00,0.05,URBAN
P.211_N.46,SARAWAK,P.211,LANANG,N.46,DUDONG,26251,11.79,51.92,36.14,0.04,0.05,0.60,97.69,0.00,0.00,2.31,URBAN
P.212_N.47,SARAWAK,P.212,SIBU,N.47,BAWANG ASSAN,16743,5.36,59.73,34.84,,0.05,0.01,100.00,0.00,0.00,0.00,RURAL
P.212_N.48,SARAWAK,P.212,SIBU,N.48,PELAWAN,28808,7.64,89.07,3.06,0.00,0.11,0.12,99.97,0.00,0.00,0.03,URBAN
P.212_N.49,SARAWAK,P.212,SIBU,N.49,NANGKA,14197,53.55,25.28,20.50,0.21,0.19,0.27,78.45,0.00,17.04,4.52,SEMI URBAN
P.213_N.50,SARAWAK,P.213,MUKAH,N.50,DALAT,11857,73.88,8.31,17.81,,,,99.54,0.00,0.00,0.46,RURAL
P.213_N.51,SARAWAK,P.213,MUKAH,N.51,BALINGIAN,11792,68.63,12.81,18.55,,,0.01,99.65,0.00,0.00,0.35,RURAL
P.214_N.52,SARAWAK,P.214,SELANGAU,N.52,TAMIN,12244,2.35,4.55,87.37,2.17,1.80,1.75,99.96,0.00,0.00,0.04,RURAL
P.214_N.53,SARAWAK,P.214,SELANGAU,N.53,KAKUS,9604,5.92,5.41,77.92,1.49,8.53,1.00,99.70,0.00,0.00,0.30,RURAL
P.215_N.54,SARAWAK,P.215,KAPIT,N.54,PELAGUS,15322,5.88,15.40,78.18,0.21,0.33,,99.50,0.00,0.00,0.50,RURAL
P.215_N.55,SARAWAK,P.215,KAPIT,N.55,KATIBAS,8542,3.54,5.51,91.31,,,,99.41,0.00,0.00,0.59,RURAL
P.216_N.56,SARAWAK,P.216,HULU RAJANG,N.56,BALEH,11287,0.23,0.19,99.03,,0.53,0.01,100.00,0.00,0.00,0.00,RURAL
P.216_N.57,SARAWAK,P.216,HULU RAJANG,N.57,BELAGA,8463,3.37,2.82,4.03,,89.78,,99.53,0.01,0.00,0.46,RURAL
P.217_N.58,SARAWAK,P.217,BINTULU,N.58,JEPAK,12979,55.20,4.47,40.30,,0.04,,100.00,0.00,0.00,0.00,RURAL
P.217_N.59,SARAWAK,P.217,BINTULU,N.59,KIDURONG,27225,15.15,38.11,46.21,0.06,0.08,0.39,99.56,0.00,0.02,0.41,URBAN
P.217_N.60,SARAWAK,P.217,BINTULU,N.60,KEMENA,14082,4.18,3.76,92.03,,0.01,0.02,100.00,0.00,0.00,0.00,RURAL
P.218_N.61,SARAWAK,P.218,SIBUTI,N.61,BEKENU,10672,48.57,14.67,36.34,,0.40,0.02,99.90,0.00,0.00,0.10,RURAL
P.218_N.62,SARAWAK,P.218,SIBUTI,N.62,LAMBIR,14144,37.26,26.48,31.19,1.46,3.56,0.06,99.99,0.01,0.00,0.00,RURAL
P.219_N.63,SARAWAK,P.219,MIRI,N.63,PIASAU,16600,19.90,64.06,13.88,0.25,1.73,0.17,99.81,0.00,0.00,0.19,SEMI URBAN
P.219_N.64,SARAWAK,P.219,MIRI,N.64,PUJUT,22577,20.19,65.37,8.95,1.86,3.12,0.50,99.20,0.01,0.00,0.79,URBAN
P.219_N.65,SARAWAK,P.219,MIRI,N.65,SENADIN,22432,28.23,50.21,17.04,0.88,3.50,0.13,94.84,0.00,3.48,1.68,SEMI URBAN
P.220_N.66,SARAWAK,P.220,BARAM,N.66,MARUDI,13093,11.24,16.50,61.94,1.52,8.49,0.31,99.86,0.00,0.00,0.14,RURAL
P.220_N.67,SARAWAK,P.220,BARAM,N.67,TELANG USAN,13623,1.26,4.57,16.03,0.56,76.00,1.58,99.80,0.00,0.00,0.20,RURAL
P.221_N.68,SARAWAK,P.221,LIMBANG,N.68,BUKIT KOTA,14471,54.18,30.95,12.83,0.10,1.90,0.04,98.29,0.00,0.00,1.71,SEMI URBAN
P.221_N.69,SARAWAK,P.221,LIMBANG,N.69,BATU DANAU,7636,4.41,1.09,26.13,0.29,68.07,0.01,99.93,0.05,0.00,0.01,RURAL
P.222_N.70,SARAWAK,P.222,LAWAS,N.70,BA'KELALAN,6958,2.72,3.29,4.05,0.26,89.67,0.01,100.00,0.00,0.00,0.00,RURAL
P.222_N.71,SARAWAK,P.222,LAWAS,N.71,BUKIT SARI,9983,70.35,13.13,3.46,0.04,12.86,0.16,99.01,0.01,0.00,0.98,RURAL
