UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2011),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR,PR CANDIDATE,PR CANDIDATE GENDER,PR CANDIDATE AGE,PR VOTE,PR CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE GENDER,SNAP CANDIDATE AGE,SNAP CANDIDATE VOTE,SNAP CANDIDATE LOST DEPOSIT,PCM,PCM CANDIDATE,PCM CANDIDATE GENDER,PCM CANDIDATE AGE,PCM VOTE,PCM CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.197_N.14,SARAWAK,P.197,KOTA SAMARAHAN,N.14,ASAJAYA,BN - PBB,,13799,4489,78.85,10881,28,148,10705,PBB,HJ. ABD. KARIM RAHMAN HAMZAH,MALE,51,7597,,PKR,ARIP BIN HAJI AMERAN,MALE,,3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,MUARA TUANG,BN - PBB,,18820,7843,77.42,14570,36,299,14235,PBB,DATO' SRI HAJI MOHAMMAD ALI MAHMUD,MALE,61,11039,,PAS,NORAINI BINTI HAMZAH,FEMALE,49,3196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.198_N.16,SARAWAK,P.198,MAMBONG,N.16,BENGOH,BN - SUPP,,21955,3646,67.55,14830,80,275,14475,SUPP,DR. JERIP ANAK SUSIL,MALE,57,8093,,PKR,WILLIE ANAK MONGIN,MALE,,4447,,SNAP,RICHARD @ PETER A/L MARGARET,MALE,,928,LOST DEPOSIT,,,,,,,INDEPENDENT - AEROPLANE,WEJOK ANAK TOMIK,MALE,,1007,LOST DEPOSIT,,,,,,,,,,,,
P.198_N.17,SARAWAK,P.198,MAMBONG,N.17,TARAT,BN - PBB,,16352,1995,69.61,11382,27,209,11146,PBB,ROLAND SAGAH,MALE,56,6287,,PKR,PETER ATO MAYAU,MALE,52,4292,,SNAP,ATENG ANAK JEROS,MALE,,567,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.199_N.18,SARAWAK,P.199,SERIAN,N.18,TEBEDU,BN - PBB,,12497,4066,73.77,9219,16,149,9054,PBB,MICHAEL MANYIN ANAK JAWONG,MALE,66,6196,,PKR,CHRISTOPHER KIYUI,MALE,47,2130,,SNAP,ANTHONY NAIS,MALE,49,468,LOST DEPOSIT,,,,,,,INDEPENDENT - BIRD,KIPLI BIN ALE,MALE,37,260,LOST DEPOSIT,,,,,,,,,,,,
P.199_N.19,SARAWAK,P.199,SERIAN,N.19,KEDUP,BN - PBB,,17466,2265,69.44,12128,213,165,11750,PBB,MARTIN BEN,MALE,49,6476,,PKR,LAINUS LUWAK,MALE,68,4211,,SNAP,SYLVESTER BELAYONG ANAK JAYANG,MALE,52,666,LOST DEPOSIT,,,,,,,INDEPENDENT - AEROPLANE,AMIN ANAK BANTI,MALE,48,397,LOST DEPOSIT,,,,,,,,,,,,
P.200_N.20,SARAWAK,P.200,BATANG SADONG,N.20,SADONG JAYA,BN - PBB,,7656,2934,73,5589,16,89,5484,PBB,AIDEL BIN LARIWOO,MALE,39,4008,,PAS,ABANG EDDY ALLYANNI,MALE,34,1074,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,MAHAYUDIN BIN WAHAB,MALE,,402,LOST DEPOSIT,,,,,,,,,,,,
P.200_N.21,SARAWAK,P.200,BATANG SADONG,N.21,SIMUNJAN,BN - PBB,,10104,4048,73.29,7405,22,85,7298,PBB,MOHD. NARODEN MAJAIS,MALE,58,5465,,PKR,DR. MASHOR HOSSEN,MALE,,1417,,,,,,,,PCM,MAC PALIMA ANAK NYAMBIL,MALE,,237,LOST DEPOSIT,INDEPENDENT - TREE,ZAINI BIN LE',MALE,,179,LOST DEPOSIT,,,,,,,,,,,,
P.201_N.22,SARAWAK,P.201,BATANG LUPAR,N.22,SEBUYAU,BN - PBB,,8042,2276,74.35,5979,11,87,5881,PBB,HJ. JULAIHI HJ. NARAWI,MALE,56,4045,,PAS,HAJI ADAM BIN AHID,MALE,62,1769,,,,,,,,,,,,,,INDEPENDENT - BOOK,ALI BIN SEMSU,MALE,,67,LOST DEPOSIT,,,,,,,,,,,,
P.201_N.23,SARAWAK,P.201,BATANG LUPAR,N.23,LINGGA,BN - PBB,,7745,2506,67.66,5240,0,83,5157,PBB,SIMOI BINTI PERI,FEMALE,47,3652,,PKR,ABG AHMAD ARABI,MALE,,1146,,SNAP,ABANG OTHMAN BIN ABANG HAJI GOM,MALE,,359,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.201_N.24,SARAWAK,P.201,BATANG LUPAR,N.24,BETING MARO,BN - PBB,,7868,391,73.82,5808,0,61,5747,PBB,RAZAILI BIN HAJI GAPOR,MALE,55,3069,,PAS,ABANG MAT,MALE,32,2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.202_N.25,SARAWAK,P.202,SRI AMAN,N.25,BALAI RINGIN,BN - PRS,,8798,2885,74.38,6544,21,110,6413,PRS,SNOWDAN LAWAN,MALE,40,4145,,PKR,IBI ANAK UDING,FEMALE,49,1260,,SNAP,DAN A/K GIANG,MALE,,765,LOST DEPOSIT,PCM,LIPEH ANAK MAWI,FEMALE,,126,LOST DEPOSIT,INDEPENDENT - KEY,COBBOLD AK LUSOI,MALE,49,85,LOST DEPOSIT,INDEPENDENT - AEROPLANE,SUJAL ANAK GANSI,MALE,,32,LOST DEPOSIT,,,,,,
P.202_N.26,SARAWAK,P.202,SRI AMAN,N.26,BUKIT BEGUNAN,BN - PRS,,7778,2773,70.35,5472,21,56,5395,PRS,MONG ANAK DAGANG,MALE,56,3671,,PKR,JIMMY DONALD,MALE,66,898,,SNAP,ANTHONY BELON,MALE,62,638,LOST DEPOSIT,,,,,,,INDEPENDENT - AEROPLANE,LIAS ANAK JULAI,MALE,,188,LOST DEPOSIT,,,,,,,,,,,,
P.202_N.27,SARAWAK,P.202,SRI AMAN,N.27,SIMANGGANG,BN - SUPP,,10488,2447,68.37,7171,35,67,7069,SUPP,FRANCIS HARDEN ANAK HOLLIS,MALE,55,4758,,DAP,LEON JIMAT DONALD,MALE,37,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.203_N.28,SARAWAK,P.203,LUBOK ANTU,N.28,ENGKILILI,BN - SUPP,,9444,3807,73.34,6926,0,70,6856,SUPP,JOHNICHAL RAYONG,MALE,49,4928,,PKR,BARUDI MAWONG,MALE,,1121,,SNAP,SEMIJIE JANTING,MALE,,393,LOST DEPOSIT,,,,,,,INDEPENDENT - TREE,JIMMY SIMON MAJA,MALE,,414,LOST DEPOSIT,,,,,,,,,,,,
P.203_N.29,SARAWAK,P.203,LUBOK ANTU,N.29,BATANG AIR,BN - PRS,,8728,2741,71.96,6281,19,83,6179,PRS,MALCOM MUSSEN LAMOH,MALE,52,4460,,PKR,NICHOLAS BAWIN ANGGAT,MALE,51,1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.204_N.30,SARAWAK,P.204,BETONG,N.30,SARIBAS,BN - PBB,,8054,1728,75.82,6107,29,76,6002,PBB,RICKY @ MOHAMMAD RAZI SITAM,MALE,38,3865,,PKR,ABANG ZULKIFLI BIN ABANG ENGKEH,MALE,51,2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.204_N.31,SARAWAK,P.204,BETONG,N.31,LAYAR,BN - PBB,,8109,1916,73.71,5977,43,91,5843,PBB,DATUK PATINGGI TAN SRI (DR) ALFRED JABU ANAK NUMPANG,MALE,71,3703,,PKR,EMBAT ANAK LAJA,MALE,,1787,,SNAP,JOE ANAK UNGGANG,MALE,,183,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,TEDEWIN NGUMBANG @ KIBAK ANAK DATU,MALE,,170,LOST DEPOSIT,,,,,,,,,,,,
P.204_N.32,SARAWAK,P.204,BETONG,N.32,BUKIT SABAN,BN - PBB,,7657,2774,75.24,5761,18,78,5665,PBB,ROBERT LAWSON CHUAT,MALE,53,3899,,PKR,EDWARD JERAH,MALE,,1125,,SNAP,DAYRELL WALTER ENTRIE,MALE,,641,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.205_N.33,SARAWAK,P.205,SARATOK,N.33,KALAKA,BN - PBB,,14167,5170,72.01,10202,71,120,10011,PBB,ABDUL WAHAB BIN AZIZ,MALE,64,6835,,PKR,MOHD YAHYA ABDULLAH,MALE,,1511,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,ISMAIL BIN HUSSAIN,MALE,,1665,,,,,,,,,,,,,
P.205_N.34,SARAWAK,P.205,SARATOK,N.34,KRIAN,PR - PKR,,11016,2090,78.87,8688,14,67,8607,SPDP,PETER NYAROK ANAK ENTRIE,MALE,69,3088,,PKR,ALI ANAK BIJU,MALE,43,5178,,SNAP,LIMAN SUJANG,MALE,56,216,LOST DEPOSIT,,,,,,,INDEPENDENT - AEROPLANE,BANYI BERIAK,MALE,54,125,LOST DEPOSIT,,,,,,,,,,,,
P.206_N.35,SARAWAK,P.206,TANJONG MANIS,N.35,BELAWAI,BN - PBB,,8623,4546,70.15,6049,43,91,5915,PBB,TALIF @ LEN BIN SALLEH,MALE,58,5164,,PKR,ABDUL WAHAB BIN ABDULLAH,MALE,,618,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,KIPRAWI BIN SUHAILI,MALE,,133,LOST DEPOSIT,,,,,,,,,,,,
P.206_N.36,SARAWAK,P.206,TANJONG MANIS,N.36,SEMOP,BN - PBB,,8891,4250,66.55,5917,6,114,5797,PBB,ABDULLAH BIN SAIDOL,MALE,45,4814,,PKR,ONG CHUNG SIEW,MALE,34,564,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,AJIJI FAUZAN,MALE,51,419,LOST DEPOSIT,,,,,,,,,,,,
P.207_N.37,SARAWAK,P.207,IGAN,N.37,DARO,BN - PBB,,7305,3197,72.07,5265,19,105,5141,PBB,MURNI BIN SUHAILI,MALE,56,3867,,PKR,JAMALUDIN BIN IBRAHIM,MALE,,475,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,MOHAMAD ZAMHARI BIN BERAWI,MALE,,670,,INDEPENDENT - AEROPLANE,MOHD. NOH BIN BAKERI,MALE,,129,LOST DEPOSIT,,,,,,
P.207_N.38,SARAWAK,P.207,IGAN,N.38,JEMORENG,BN - PBB,,8635,2926,72.9,6295,14,120,6161,PBB,ABU SEMAN BIN JAHWIE,MALE,54,4505,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,ABDUL HAFIZ BIN DR. NOH,MALE,,1579,,INDEPENDENT - AEROPLANE,ASBOR BIN ABDULLAH,MALE,,77,LOST DEPOSIT,,,,,,
P.208_N.39,SARAWAK,P.208,SARIKEI,N.39,REPOK,PR - DAP,,18481,2679,72.44,13387,23,243,13121,SUPP,DAVID TENG LUNG CHI,MALE,66,5221,,DAP,DR. WONG HUA SEH,MALE,61,7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.208_N.40,SARAWAK,P.208,SARIKEI,N.40,MERADONG,PR - DAP,,15337,2687,73.06,11205,17,107,11081,SUPP,LING KIE KING,MALE,51,4197,,DAP,TING TZE FUI,FEMALE,30,6884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
