UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2011),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR,PR CANDIDATE,PR CANDIDATE GENDER,PR CANDIDATE AGE,PR VOTE,PR CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE GENDER,SNAP CANDIDATE AGE,SNAP CANDIDATE VOTE,SNAP CANDIDATE LOST DEPOSIT,PCM,PCM CANDIDATE,PCM CANDIDATE GENDER,PCM CANDIDATE AGE,PCM VOTE,PCM CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.214_N.53,SARAWAK,P.214,SELANGAU,N.53,KAKUS,BN - PRS,,9604,602,68.5,6574,12,105,6457,PRS,JOHN SIKIE TAYAI,MALE,61,3366,,PKR,PAUL RAJA,MALE,,2764,,,,,,,,PCM,LAURANCE DICK SEKALAI,MALE,,186,LOST DEPOSIT,INDEPENDENT - AEROPLANE,ENTALI ANAK EMPIN,MALE,,141,LOST DEPOSIT,,,,,,,,,,,,
P.215_N.54,SARAWAK,P.215,KAPIT,N.54,PELAGUS,INDEPENDENT - CHAIR,,15322,2837,65.36,10014,28,172,9814,PRS,STANLEY NYITAR @ UNJA ANAK MALANG,MALE,58,2903,,PKR,EDWARD SUMBANG ANAK ASUN,MALE,58,1171,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - CHAIR,GEORGE ANAK LAGONG,MALE,51,5740,,,,,,,,,,,,,
P.215_N.55,SARAWAK,P.215,KAPIT,N.55,KATIBAS,BN - PBB,,8542,2256,63.18,5397,19,85,5293,PBB,DATUK AMBROSE BLIKAU ENTURAN,MALE,58,3326,,PKR,MUNAN ANAK LAJA,MALE,50,1070,,SNAP,TOH HENG SAN,MALE,,897,,,,,,,,,,,,,,,,,,,,,,,,,
P.216_N.56,SARAWAK,P.216,HULU RAJANG,N.56,BALEH,BN - PRS,,11287,3898,59.22,6684,0,98,6586,PRS,DATO SRI DR. JAMES JEMUT MASING,MALE,62,5242,,PKR,BENDINDANG ANAK MANJAH,MALE,,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.216_N.57,SARAWAK,P.216,HULU RAJANG,N.57,BELAGA,BN - PRS,,8463,2928,69.87,5913,0,74,5839,PRS,LIWAN LAGANG,MALE,53,3974,,PKR,ALI BASAH KESING,MALE,59,1046,,SNAP,JOHN BAMPA,MALE,,368,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,MATHEW AK MUNAN,MALE,,27,LOST DEPOSIT,INDEPENDENT - AEROPLANE,MICHAEL JOK,MALE,43,94,LOST DEPOSIT,INDEPENDENT - HOUSE,KENNETH ADAN SILEK,MALE,,330,LOST DEPOSIT
P.217_N.58,SARAWAK,P.217,BINTULU,N.58,JEPAK,BN - PBB,,12979,3128,69.36,9002,58,133,8811,PBB,DATUK HAJI TALIB BIN ZULPILIP,MALE,60,5470,,PKR,ABDUL JALIL BIN BUJANG,MALE,52,2342,,SNAP,RAMLI ANAK MALAKA,MALE,,433,LOST DEPOSIT,,,,,,,INDEPENDENT - FISH,ABDUL KUDDUS BIN RAMLEE,MALE,,477,LOST DEPOSIT,INDEPENDENT - HOUSE,AWANG ABDILLAH AWANG NASAR,MALE,,89,LOST DEPOSIT,,,,,,
P.217_N.59,SARAWAK,P.217,BINTULU,N.59,KIDURONG,PR - DAP,,27225,6930,67.3,18322,122,144,18056,SUPP,HENRY LING KUONG MENG,MALE,50,5563,,DAP,CHIEW CHIU SING,MALE,61,12493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.217_N.60,SARAWAK,P.217,BINTULU,N.60,KEMENA,BN - PBB,,14082,3349,71.29,10039,6,162,9871,PBB,STEPHEN RUNDI ANAK UTOM,MALE,51,6369,,PKR,BERNARD BINAR BAYANG,MALE,52,3020,,SNAP,CLEMENT BAYANG,MALE,54,285,LOST DEPOSIT,,,,,,,INDEPENDENT - AEROPLANE,LIAM ANAK RENGGA,MALE,42,197,LOST DEPOSIT,,,,,,,,,,,,
P.218_N.61,SARAWAK,P.218,SIBUTI,N.61,BEKENU,BN - SPDP,,10672,3714,66.86,7135,0,103,7032,SPDP,ROSEY YUNUS,FEMALE,55,4946,,PKR,ISHAK BIN MAHWI,MALE,,1232,,SNAP,THONY BADAK,MALE,,570,LOST DEPOSIT,PCM,DATIN DYG JULIANA AWG TAMBI,FEMALE,,284,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.218_N.62,SARAWAK,P.218,SIBUTI,N.62,LAMBIR,BN - PBB,,14144,1521,60.72,8588,23,143,8422,PBB,RIPIN BIN LAMAT,MALE,41,4625,,PKR,ZOLHAIDAH BINTI SUBOH,FEMALE,38,3104,,SNAP,HAJI JOHARI BIN HAJI BUJANG,MALE,58,693,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.219_N.63,SARAWAK,P.219,MIRI,N.63,PIASAU,PR - DAP,,16600,1590,63.13,10479,0,73,10406,SUPP,DR. GEORGE CHAN HONG NAM,MALE,75,4408,,DAP,LING SIE KIONG,MALE,28,5998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.219_N.64,SARAWAK,P.219,MIRI,N.64,PUJUT,PR - DAP,,22577,4103,66,14900,30,67,14803,SUPP,ANDY CHIA CHU FATT,MALE,57,5350,,DAP,FONG PAU TECK,MALE,42,9453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.219_N.65,SARAWAK,P.219,MIRI,N.65,SENADIN,BN - SUPP,,22432,58,66.05,14816,20,186,14610,SUPP,LEE KIM SHIN,MALE,61,7334,,PKR,MICHAEL TEO,MALE,,7276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.220_N.66,SARAWAK,P.220,BARAM,N.66,MARUDI,BN - SPDP,,13093,3898,58.18,7617,19,105,7493,SPDP,SYLVESTER ENTRI ANAK MURAN,MALE,57,5466,,PKR,GERANG ANAK DAGOM,MALE,,1568,,SNAP,EDWIN DUNDANG ANAK BUGAK,MALE,71,313,LOST DEPOSIT,,,,,,,INDEPENDENT - AEROPLANE,MICHAEL DING TUAH,MALE,,146,LOST DEPOSIT,,,,,,,,,,,,
P.220_N.67,SARAWAK,P.220,BARAM,N.67,TELANG USAN,BN - PBB,,13623,845,57.15,7785,22,86,7677,PBB,DENNIS NGAU,MALE,43,3597,,PKR,HARRISON NGAU LAING,MALE,51,2752,,SNAP,KEBING WAN,MALE,61,705,LOST DEPOSIT,,,,,,,INDEPENDENT - TREE,JOK DING,MALE,58,623,LOST DEPOSIT,,,,,,,,,,,,
P.221_N.68,SARAWAK,P.221,LIMBANG,N.68,BUKIT KOTA,BN - PBB,,14471,5061,65.44,9470,45,65,9360,PBB,DR. ABDUL RAHMAN BIN ISMAIL,MALE,48,6835,,DAP,LEONG KWANG YEW,MALE,35,1774,,,,,,,,,,,,,,INDEPENDENT - KEY,USOP BIN JIDIN,MALE,,398,LOST DEPOSIT,INDEPENDENT - PEN,LADIS BIN PANDIN,MALE,,353,LOST DEPOSIT,,,,,,
P.221_N.69,SARAWAK,P.221,LIMBANG,N.69,BATU DANAU,BN - SPDP,,7636,2319,68.45,5227,0,72,5155,SPDP,PAULUS PALU ANAK GUMBANG,MALE,60,3667,,PKR,DR. LAU LIAK KOI,MALE,58,1348,,SNAP,LAWRENCE COSMAS SUNANG,MALE,63,140,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.222_N.70,SARAWAK,P.222,LAWAS,N.70,BA'KELALAN,PR - PKR,,6958,473,65.9,4585,11,37,4537,SPDP,WILLIE LIAU,MALE,43,2032,,PKR,BARU BIAN,MALE,53,2505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.222_N.71,SARAWAK,P.222,LAWAS,N.71,BUKIT SARI,BN - PBB,,9983,5063,70.79,7067,0,94,6973,PBB,AWANG TENGAH ALI HASAN,MALE,56,6018,,PKR,HJ. JAPAR BIN HJ. SUYUT,MALE,50,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
