UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP CANDIDATE VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS. CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.48,PERAK,P.48,SUNGAI SIPUT,,BN - MIC,32360,7897,73.63,23827,,700,23127,MIC,DATO' S. SAMY VELLU A/L SANGALIMUTHU,MALE,46,14930,,DAP,SELLAPPAN A/L THEVARAYAN CHETTIAR,MALE,,7033,,PAS,AHMAD ZAWAZI BIN IBRAHIM,MALE,,1164,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.49,PERAK,P.49,TAIPING,,BN - GERAKAN,54176,15278,74.12,40154,,1024,39130,GERAKAN,DATO' LEONG SONNY @ DATO' LEONG KHEE SEONG,MALE,43,25841,,DAP,KONG CHEOK WAN @ KONG CHEOK SENG,MALE,,10563,,PAS,MOHAMAD BIN HAJI JUNID,MALE,,2726,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.50,PERAK,P.50,MATANG,,BN - UMNO,35162,10419,74.61,26234,,750,25484,UMNO,MOHAMAD RAZLAN BIN HAJI ABDUL HAMID,MALE,,15687,,DAP,ZAINAL ABIDIN BIN AHMAD,MALE,,5268,,PAS,ABDULLAH BIN HASSAN,MALE,,4529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.51,PERAK,P.51,PADANG RENGAS,,BN - UMNO,26631,6840,73.91,19684,,754,18930,UMNO,SAIDIN BIN MAT PIAH,MALE,,12885,,,,,,,,PAS,ABDUL HAFIDZ BIN HJ. OTHMAN,MALE,,6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.52,PERAK,P.52,KUALA KANGSAR,,BN - UMNO,26535,8556,72.19,19156,,527,18629,UMNO,RAFIDAH BT. AB. AZIZ,FEMALE,39,12159,,DAP,V. HARIKRISHNAN A/L VELLAPAN @ AIDRY,MALE,,3603,,PAS,MUHAMMAD BIN HARUN @ MOHD. NOR BIN HARON,MALE,,2867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.53,PERAK,P.53,KINTA,,BN - MCA,69362,12873,74.76,51852,,1263,50589,MCA,LIM TEAN SENG,MALE,,30229,,DAP,SOONG CHOK TAK,MALE,,17356,,PAS,MOHAMED @ MOHAMED TERMIZI BIN MAHMOOD,MALE,,2385,LOST DEPOSIT,PEKEMAS,SHAHARUDDIN BIN DAHALAN,MALE,,619,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.54,PERAK,P.54,IPOH,,BN - MCA,76613,5322,72.06,55204,,1185,54019,MCA,CHIN YAN OON @ CHIN GAN OON,MALE,,29022,,DAP,LIM CHO HOCK,MALE,,23700,,,,,,,,,,,,,,,,,,,,INDEPENDENT,LEONG WAI MAN,MALE,,1297,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.55,PERAK,P.55,MENGLEMBU,,BN - MCA,72307,2777,73.89,53425,,1824,51601,MCA,YEW FOO WENG,MALE,,27189,,DAP,LAU DAK KEE,MALE,39,24412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.56,PERAK,P.56,BERUAS,,BN - GERAKAN,31391,7432,77.08,24196,,540,23656,GERAKAN,CHEN WING SUM,MALE,50,14922,,DAP,QUEK KOK HIA @ QUEK SWEE SIANG,MALE,38,7490,,PAS,YUSOFF BIN KASSIM,MALE,,1244,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.57,PERAK,P.57,PARIT,,BN - UMNO,36187,7264,71.6,25909,,1133,24776,UMNO,AHAMED HAMBAL BIN YEOP MAJLIS,MALE,,16020,,,,,,,,PAS,OTHMAN BIN ITAM KARIB,MALE,,8756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.58,PERAK,P.58,BATU GAJAH,,BN - MCA,47717,3470,75.47,36010,,1168,34842,MCA,BAN HON KEONG @ WAN HON KEONG,MALE,,19156,,DAP,LIEW AH KIM,MALE,44,15686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.59,PERAK,P.59,BATANG PADANG,,BN - UMNO,29255,7450,75.73,22156,,1012,21144,UMNO,AZHARUL ABIDIN BIN HAJI ABD. RAHHIM,MALE,,14297,,DAP,IBRAHIM BIN SINGGEH,MALE,64,6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.60,PERAK,P.60,LUMUT,,BN - MCA,38699,1711,75.51,29220,,612,28608,MCA,NG CHENG KUAI,MALE,,14586,,DAP,DING CHEK MING @ TING CHEK MING,MALE,,12875,,PAS,MOHAMED SALLEH B. MOHD. GAUS,MALE,,1147,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.61,PERAK,P.61,HILIR PERAK,,BN - UMNO,32925,10524,72.99,24032,,1392,22640,UMNO,MEGAT JUNID BIN MEGAT AYOB,MALE,39,16582,,,,,,,,PAS,HJ. AHMAD BIN HJ. ABDUL MAJID,MALE,,6058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.62,PERAK,P.62,TELOK ANSON,,BN - GERAKAN,40382,832,69.56,28088,,705,27383,GERAKAN,HAW HEW KHEONG @ AU HOW CHEONG,MALE,,13475,,DAP,CHAN FU KING,MALE,,12643,,PAS,SHAMSUDIN BIN TAMYIS,MALE,,1265,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.63,PERAK,P.63,TANJONG MALIM,,BN - MCA,38836,11749,73.82,28667,,901,27766,MCA,MAK HOON TING @ MAK HON KAM,MALE,43,18745,,DAP,ZAKARIA BIN ABDUL MANAF,MALE,,6996,,PAS,MOHD. RUS BIN JAAFAR,MALE,,2025,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.64,PERAK,P.64,BAGAN DATOK,,BN - UMNO,35028,8805,72.96,25556,,1225,24331,UMNO,YAHYA BIN HAJI ZAKARIA,MALE,,16568,,,,,,,,PAS,MOHAMAD ARIS BIN BAKRI,MALE,,7763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.65,PAHANG,P.65,LIPIS,,BN - UMNO,36337,9617,70.74,25703,,987,24716,UMNO,MUHAMMAD GHAZALI B. SHAFIE,MALE,60,15094,,DAP,NACHIMUTHU A/L SINNASAMY @ SINNAGOUNDAN,MALE,,5477,,PAS,ZAHARIN BIN MUHAMMAD,MALE,,4145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.66,PAHANG,P.66,JERANTUT,,BN - UMNO,40514,7803,76.41,30955,,1408,29547,UMNO,WAN ABU BAKAR BIN WAN MOHAMED,MALE,,18675,,,,,,,,PAS,SYED IBRAHIM BIN SYED ABD. RAHMAN,MALE,,10872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.67,PAHANG,P.67,KUANTAN,,BN - UMNO,47137,11422,71.53,33717,,856,32861,UMNO,ABDUL RAHIM BIN ABU BAKAR,MALE,,20444,,DAP,LIM PAN CHIANG,MALE,,9022,,PAS,TENGKU ALISHAHDAN BIN TENKU ENDUT,MALE,,3395,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.68,PAHANG,P.68,RAUB,,BN - MCA,31428,6687,76.59,24072,,904,23168,MCA,TAN TIONG HONG,MALE,,12287,,DAP,LIP AH KOW @ LIP TUCK CHEE,MALE,,5600,,PAS,RAJA PUJI BIN TENGKU ABDUL HAMID,MALE,,3182,,,,,,,,,,,,,,INDEPENDENT,LOKE AH KOW @ LOKE KOON KAM,MALE,40,2099,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.69,PAHANG,P.69,MARAN,,BN - UMNO,45042,11627,76.67,34534,,1171,33363,UMNO,MOHAMED KHALIL BIN YACOB,MALE,45,22495,,,,,,,,PAS,HAJI MOHD. ALWI BIN HAJI ABDUL HAMID,MALE,,10868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.70,PAHANG,P.70,BENTONG,,BN - MCA,40222,4080,76.42,30738,,1301,29437,MCA,CHAN SIANG SUN,MALE,,15091,,DAP,LIEW FATT YUEN,MALE,,11011,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MOHAMED BASRI BIN MAHIDIN,MALE,,3335,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.71,PAHANG,P.71,PEKAN,,BN - UMNO,38260,11044,71.46,27342,,1090,26252,UMNO,MOHAMED AMIN BIN HAJI DAUD,MALE,,18648,,,,,,,,PAS,MOHAMED RUSDI BIN ARIF,MALE,,7604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.72,PAHANG,P.72,TEMERLOH,,BN - UMNO,46891,9256,75.49,35396,,1443,33953,UMNO,SABBARUDDIN CHIK,MALE,40,18162,,DAP,LIM ONG HANG @ NAM ONG HAN,MALE,,8906,,PAS,ISHAK BIN ABDULLAH,MALE,,6885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.73,SELANGOR,P.73,SABAK BERNAM,,BN - UMNO,30227,11567,68.89,20824,,977,19847,UMNO,JAMALUDDIN BIN HJ. SUHAIMI,MALE,,15707,,,,,,,,PAS,HASSAN BIN HJ. SHUKRI,MALE,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.74,SELANGOR,P.74,TANJONG KARANG,,BN - UMNO,33304,11059,68.63,22856,,1123,21733,UMNO,ZALEHA BINTI ISMAIL,FEMALE,46,16396,,,,,,,,PAS,ABDUL RAHMAN N. AWANG,MALE,,5337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.75,SELANGOR,P.75,ULU SELANGOR,,BN - MCA,40289,7377,74.68,30088,,1060,29028,MCA,LEE KIM SAI,MALE,45,14138,,DAP,PAN SU PENG @ PAN SOO PIN,MALE,,2897,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT,MOHAMED ARIF BIN DATO' HAJI KAMARUDDIN,MALE,,6761,,INDEPENDENT,WONG KIN WAH @ WONG CHANG YEE,MALE,,5232,,,,,,,,,,,,,
P.76,SELANGOR,P.76,KUALA SELANGOR,,BN - UMNO,37579,18299,74.54,28013,,1050,26963,UMNO,ABU HASSAN BIN OMAR,MALE,,21409,,DAP,AB. RASHID BIN DAUD,MALE,,3110,LOST DEPOSIT,PAS,SAYAN BIN MARBIN,MALE,,2444,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.77,SELANGOR,P.77,SELAYANG,,BN - UMNO,113159,30909,69.82,79008,,2130,76878,UMNO,RAHMAH BINTI OSMAN,FEMALE,,51353,,DAP,LEE YEE LIAN,MALE,35,20444,,PAS,KHALID BIN SIRI,MALE,,5081,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.78,SELANGOR,P.78,ULU LANGAT,,BN - MCA,46033,8916,66.52,30621,,1032,29589,MCA,CHOW POH KHENG,FEMALE,55,18152,,DAP,ZAINAL @ JANTAN BIN RAMPAK,MALE,,9236,,PAS,AHMAD BIN YUSOF,MALE,,2201,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.79,SELANGOR,P.79,PELABOHAN KELANG,,BN - MIC,61113,11884,76.52,46765,,1212,45553,MIC,GOVINDARAJ S/O VARADARAJULU,MALE,,25026,,DAP,NADARASA A/L MUTHU THMABY @ NADARAJA,MALE,,13142,,PAS,ABDULLAH BIN HJ. HASHIM,MALE,,7385,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.80,SELANGOR,P.80,SHAH ALAM,,BN - MCA,101192,22872,72.17,73033,,1865,71168,MCA,LIEW SIP HON,MALE,52,47020,,DAP,WEE SIN CHUAN @ GWEE SINN CHUN,MALE,,24148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.81,SELANGOR,P.81,PETALING,,BN - MCA,114704,5274,71.44,81946,,1800,80146,MCA,YEOH POH SAN @ YANG PO SAN,MALE,,42710,,DAP,PATTO A/L PERUMAL,MALE,36,37436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.82,SELANGOR,P.82,KUALA LANGAT,,BN - UMNO,36225,14735,78.18,28319,,1322,26997,UMNO,AISHAH BT. GHANI @ GANI,FEMALE,59,20866,,,,,,,,PAS,MOHSINON BIN HAJI TAHIR,MALE,,6131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.83,SELANGOR,P.83,SEPANG,,BN - UMNO,33936,6492,79.69,27043,,604,26439,UMNO,HAJI MOHAMED SUHAIMI BIN DATO HAJI KAMARUDDIN,MALE,,16105,,,,,,,,PAS,MOHAMED LONG BIN SAAD,MALE,,573,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,ABD. JABAR BIN MOHD. YUSOF @ JABAR BIN YUSOF,MALE,,9613,,INDEPENDENT,THAI AH KO @ THER AH KOY,MALE,,148,LOST DEPOSIT,,,,,,,,,,,,
P.84,KUALA LUMPUR,P.84,KEPONG,,DAP,77285,1205,76.94,59465,,1321,58144,GERAKAN,KER (KERK) KIM TIM @ KERK CHOO TING,MALE,41,28163,,DAP,TAN SENG GIAW @ TAN CHUN TUN,MALE,40,29368,,,,,,,,,,,,,,,,,,,,INDEPENDENT,ISHAK BIN IBRAHIM,MALE,,613,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.85,KUALA LUMPUR,P.85,SETAPAK,,BN - UMNO,80266,19699,62.23,49947,,498,49449,UMNO,MOHAMMAD IDRIS MOHAMMAD BASARI,MALE,,32348,,DAP,MOHD. ISA BIN MOHD. ISMAIL,MALE,,12649,,PAS,OTHMAN BIN ABDUL RAZAK,MALE,,4452,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.86,KUALA LUMPUR,P.86,DAMANSARA,,BN - MCA,86576,14522,67.88,58772,,449,58323,MCA,CHIN KHOON @ TAN KOON SWAN,MALE,42,34659,,DAP,DAVID A/L VETHAMUTHU,MALE,60,20137,,PAS,RAMLI BIN MOHD. YASSIN,MALE,,3527,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.87,KUALA LUMPUR,P.87,KUALA LUMPUR BANDAR,,DAP,59186,18831,73.01,43211,,334,42877,MCA,WANG CHOON WING @ WONG SOON JOONG,MALE,,12023,,DAP,LEE LAM THYE,MALE,35,30854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.88,KUALA LUMPUR,P.88,SUNGAI BESI,,DAP,103469,5505,74.39,76969,,637,76332,MCA,KEE AH MAT @ KEE YONG WEE,MALE,,34929,,DAP,CHAN KOK KIT @ CHAN KIT,MALE,57,40434,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MEGAT AHMAD SANI BIN MEGAT HASHIM,MALE,,969,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.89,NEGERI SEMBILAN,P.89,JELEBU,,BN - UMNO,38733,16802,78.19,30285,,854,29431,UMNO,DATO' RAIS YATIM @ MAT RAIS JATIN @ YATIM,MALE,40,22279,,DAP,YAIP SEN KIONG,MALE,,5477,,PAS,RAJA AZIZ BIN RAJA KARIM,MALE,,1675,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.90,NEGERI SEMBILAN,P.90,MANTIN,,BN - MCA,41244,11019,77.1,31798,,886,30912,MCA,LEE BOON PENG @ LEE BOON LIN,MALE,,20196,,DAP,HU SE PANG,MALE,,9177,,,,,,,,,,,,,,,,,,,,INDEPENDENT,BAHARUM BIN IBRAHIM,MALE,,1539,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.91,NEGERI SEMBILAN,P.91,SEREMBAN,,BN - MCA,60739,845,77.22,46903,,1232,45671,MCA,LEE SAN CHOON @ LEE SOON SENG,MALE,47,23258,,DAP,"CHEN MAN HIN, DENNIS",MALE,,22413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.92,NEGERI SEMBILAN,P.92,KUALA PILAH,,BN - UMNO,32693,15195,74.62,24395,,1178,23217,UMNO,NAPSIAH BTE OMAR,FEMALE,,19206,,,,,,,,PAS,OTHMAN BIN HAMZAH,MALE,,4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.93,NEGERI SEMBILAN,P.93,TELOK KEMANG,,BN - MIC,38975,9015,76.67,29884,,1025,28859,MIC,DATO. K. PATHMANABAN @ K. PATHMRNATHAN S/O KUNJAMBOO,MALE,,18937,,DAP,KATHIAH S/O VADIVELOO @ A.V. KATHAIAH,MALE,,9922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.94,NEGERI SEMBILAN,P.94,TAMPIN,,BN - UMNO,49248,20984,77.93,38381,,1126,37255,UMNO,MOKHTAR BIN HASHIM,MALE,,27587,,DAP,LOO AH MAN @ LOH MING CHAI,MALE,,6603,,PAS,AZHARI B HAMZAH,MALE,,3065,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.95,MELAKA,P.95,ALOR GAJAH,,BN - UMNO,48437,20068,74.47,36070,,1114,34956,UMNO,MOHD. ADIB BIN HAJI MOHD. ADAM,MALE,,25342,,DAP,LIM SWEE,MALE,,5274,,PAS,AB. RAHMAN BIN HJ. HASAN,MALE,,4340,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.96,MELAKA,P.96,JASIN,,BN - UMNO,46588,21110,76.54,35657,,1683,33974,UMNO,ABDUL GHAFAR B. BABA,MALE,57,27542,,,,,,,,PAS,SALLEH B. AYOB,MALE,,6432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.97,MELAKA,P.97,BATU BERENDAM,,BN - MCA,54311,21605,76.9,41767,,1496,40271,MCA,TAN SRI CHONG HON NYAN,MALE,58,30938,,,,,,,,PAS,JALILUDDIN BIN HJ. ABD. WAHID,MALE,,9333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.98,MELAKA,P.98,KOTA MELAKA,,DAP,69900,4851,78.56,54914,,1145,53769,MCA,CHAN AH KOW @ CHAN TECK CHAN,MALE,,24459,,DAP,LIM KIT SIANG,MALE,41,29310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.99,JOHOR,P.99,LABIS,Y,BN - UMNO,36950,,,,,,,UMNO,BAHARI B. HARUN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.100,JOHOR,P.100,SEGAMAT,,BN - MIC,41273,11007,79.58,32845,,1305,31540,MIC,SUBRAMANIAM A/L SINNIAH,MALE,38,20932,,DAP,TAN TIEN LIM,MALE,,9925,,,,,,,,,,,,,,,,,,,,INDEPENDENT,HEE MOI @ HOOI KAI,MALE,,683,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.101,JOHOR,P.101,KELUANG,,BN - MCA,54717,6653,76.93,42094,,1227,40867,MCA,QUAH WEE LIAM,MALE,,23760,,DAP,LEE KAW,MALE,43,17107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.102,JOHOR,P.102,TENGGAROH,,BN - UMNO,24453,11565,71.47,17477,,856,16621,UMNO,KHADRI BIN SABRAN,MALE,,14093,,,,,,,,PAS,MOKHTAR BIN HAJI YAHAYA,MALE,,2528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.103,JOHOR,P.103,LEDANG,Y,BN - UMNO,33496,,,,,,,UMNO,NGAH BIN A. RAHMAN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.104,JOHOR,P.104,PAGOH,,BN - UMNO,30617,16383,74.86,22921,,1234,21687,UMNO,MAHIADDIN BIN MD. YASSIN,MALE,,19035,,,,,,,,PAS,SUMADI BIN AHMAD @ AHMAD,MALE,,2652,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.105,JOHOR,P.105,AYER HITAM,,BN - MCA,37778,15652,76.6,28937,,1115,27822,MCA,DATO' DR . HEE TIEN LAI @ HEE TEN LAI,MALE,41,21737,,DAP,CHAN YIEK NUNG @ CHAN HENG JIB,MALE,,6085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.106,JOHOR,P.106,MUAR,,BN - MCA,57997,15581,75.7,43902,,2488,41414,MCA,NEO YEE PAN @ LIM CHYE,MALE,43,27572,,DAP,TAN YANG ENGAI,MALE,,11991,,PAS,MOHAMED BIN ANANG,MALE,,1851,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.107,JOHOR,P.107,RENGGAM,,BN - MCA,54815,8391,78.35,42949,,2282,40667,MCA,CHIN HON NGIAN,MALE,,24529,,DAP,YAP AH NGAU,MALE,,16138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.108,JOHOR,P.108,PANTI,Y,BN - UMNO,50024,,,,,,,UMNO,DATO' MUSA BIN HITAM,MALE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.109,JOHOR,P.109,SRI GADING,,BN - UMNO,35727,20321,76.66,27389,,972,26417,UMNO,MUSTAFFAR BIN MOHD.,MALE,,23369,,,,,,,,PAS,AHMAD KAILANI BIN KOSNIN,MALE,,3048,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.110,JOHOR,P.110,SEMERAH,,BN - UMNO,41721,21562,73.61,30712,,1082,29630,UMNO,SHARIFFAH DORAH BINTI MOHAMMED,FEMALE,,25596,,,,,,,,PAS,ABDULLAH BIN RAHMAT,MALE,,4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.111,JOHOR,P.111,BATU PAHAT,,BN - UMNO,48552,26109,74.48,36161,,1830,34331,UMNO,DAUD BIN HAJI TAHA,MALE,,30220,,,,,,,,PAS,MOHD. JUFRI BIN HJ. TAHIR,MALE,,4111,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.112,JOHOR,P.112,PONTIAN,Y,BN - UMNO,49909,,,,,,,UMNO,MOKHTARAM BIN RABIDIN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.113,JOHOR,P.113,PULAI,,BN - UMNO,61303,23756,75.71,46412,,2446,43966,UMNO,DATO' MOHAMED BIN RAHMAT,MALE,,33861,,DAP,ABDULLAH BIN A. HAMID,MALE,,10105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.114,JOHOR,P.114,JOHOR BAHRU,,BN - UMNO,98505,26537,73.09,72001,,2888,69113,UMNO,SHARIL BIN AB. SAMAD,MALE,,47825,,,,,,,,,,,,,,PSRM,A. RAZAK BIN AHMAD,MALE,32,21288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.115,SABAH,P.115,MARUDU,,INDEPENDENT,20586,1965,68.92,14188,,341,13847,USNO,DATU ABDUL HAMID @ AFFANDY BIN TUN DATU HAJI MUSTAPHA,MALE,,5941,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,DATU HJ. AFFENDI BIN TUN HJ. MOHD FUAD STEPHENS,MALE,23,7906,,,,,,,,,,,,,,,,,,,
P.116,SABAH,P.116,BANDAU,,BN - BERJAYA,16055,3114,66.8,10725,,160,10565,BERJAYA,NEWMNAN GABAN,MALE,24,5224,,,,,,,,,,,,,,PASOK,IGNATIUS STEPHEN MALANJUM,MALE,,2110,,,,,,,,INDEPENDENT,CHUN LOI SHOON @ PETER,MALE,,1903,,INDEPENDENT,SYLVESTER CHUAN,MALE,,531,LOST DEPOSIT,INDEPENDENT,DATU BIDIN B. SARUDIN,MALE,,797,LOST DEPOSIT,,,,,,
P.117,SABAH,P.117,KOTA BELUD,,INDEPENDENT,21732,4590,79.63,17305,,346,16959,USNO,PENDIKAR AMIN HAJI MULIA,MALE,27,5362,,,,,,,,,,,,,,PASOK,EX. SAT. MAJIKON BIN MOLUNI,MALE,,884,LOST DEPOSIT,PUSAKA,JAILIN BIN TOH,MALE,,80,LOST DEPOSIT,INDEPENDENT,MOHAMMAD YAHYA BIN LAMPONG @ YAHYA LAMPONG,MALE,,9952,,INDEPENDENT,MOHD. YAKIN BIN ABD. MUMIN,MALE,,419,LOST DEPOSIT,INDEPENDENT,SISAMDIN BIN BUGAN,MALE,,262,LOST DEPOSIT,,,,,,
P.118,SABAH,P.118,LABUK SUGUT,,INDEPENDENT,17350,2165,59.7,10358,,283,10075,USNO,AMPONG BIN PUYONG,MALE,,3955,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,HASSAN ALBAN BIN HJ. SANDUKONG,MALE,,6120,,,,,,,,,,,,,,,,,,,
