UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.20_N.14,KELANTAN,P.20,BACHOK,N.14,PERUPOK,PAS,,11359,704,82.7,9394,212,9182,BERJASA,ABDUL FATTAH BIN HAJI IDRIS,MALE,,4239,,,,,,,,PAS,MAMAT BIN AWANG @ MOHD NOR B. AWANG,MALE,,4943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.20_N.15,KELANTAN,P.20,BACHOK,N.15,JELAWAT,BN - UMNO,,12955,200,82.43,10679,182,10497,UMNO,MOHAMAD BIN HAJI HASSAN,MALE,,5184,,,,,,,,PAS,SHAARY BIN HAJI AWANG,MALE,,4984,,,,,,,,,,,,,,INDEPENDENT,MOHD. ZAIN BIN ABDULLAH,MALE,,329,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.21_N.16,KELANTAN,P.21,RANTAU PANJANG,N.16,GUAL PERIOK,BN - UMNO,,9424,142,77.18,7274,96,7178,UMNO,ZAKARIA BIN BOTOK,MALE,,3660,,,,,,,,PAS,MOHD. SAARI BIN AWANG ALI,MALE,,3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.21_N.17,KELANTAN,P.21,RANTAU PANJANG,N.17,LEMAL,PAS,,9140,258,78.17,7145,127,7018,BERJASA,NOOR MOHAMED BIN MOHAMED DIN,MALE,,3380,,,,,,,,PAS,ABDUL FATAH BIN HAJI HARON,MALE,,3638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.21_N.18,KELANTAN,P.21,RANTAU PANJANG,N.18,TOK UBAN,BN - BERJASA,,9929,27,82.02,8144,217,7927,BERJASA,DAUD @ DAUD YATIMEE BIN AHMAD,MALE,,3977,,,,,,,,PAS,AB. GHANI BIN AB. RAHMAN,MALE,,3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.22_N.19,KELANTAN,P.22,NILAM PURI,N.19,SALOR,PAS,,13002,498,82.63,10744,186,10558,,,,,,,,,,,,,PAS,MUSTAPHA BIN IBRAHIM,MALE,,5528,,,,,,,,,,,,,,INDEPENDENT,MUHAMAD TAHAR JALAADIN BIN HUSIN,MALE,,5030,,,,,,,,,,,,,,,,,,,
P.22_N.20,KELANTAN,P.22,NILAM PURI,N.20,KETEREH,BN - UMNO,,11558,1015,83.61,9664,135,9529,UMNO,ARIFFIN BIN MAHMOOD,MALE,,5272,,,,,,,,PAS,CHE WIL BIN CHE ALI,MALE,,4257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.22_N.21,KELANTAN,P.22,NILAM PURI,N.21,PERINGAT,BN - BERJASA,,11398,536,81.6,9301,119,9182,BERJASA,WAN HASHIM BIN HAJI WAN AHMAD,MALE,,4859,,,,,,,,PAS,WAN DAUD BIN WAN JUSOH,MALE,,4323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.23_N.22,KELANTAN,P.23,TANAH MERAH,N.22,BUKIT PANAU,BN - UMNO,,11629,645,82.65,9611,128,9483,UMNO,AB. LATIF BIN HAJI AB. RAHMAN,MALE,,5064,,,,,,,,PAS,IBRAHIM @ WAN YUSOFF BIN HAJI WAN MARMAT,MALE,,4419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.23_N.23,KELANTAN,P.23,TANAH MERAH,N.23,LANAS,BN - UMNO,,10489,863,85.36,8954,123,8831,UMNO,MOHAMED BIN YA'ACOB,MALE,,4847,,,,,,,,PAS,ABDULLAH BIN CHE HASSAN,MALE,,3984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.23_N.24,KELANTAN,P.23,TANAH MERAH,N.24,GUAL IPOH,BN - UMNO,,8929,2047,84.86,7577,136,7441,UMNO,MUSTAFA BIN YAAKUB,MALE,,4744,,,,,,,,PAS,HAJI OTHMAN BIN HAJI HASSAN,MALE,,2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.24_N.25,KELANTAN,P.24,MACHANG,N.25,PULAI CHONDONG,BN - UMNO,,9265,1137,85.14,7888,142,7746,UMNO,ABDULLAH BIN HJ. MOHAMED,MALE,,4442,,,,,,,,PAS,ARSHAD BIN MAMAT,MALE,,3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.24_N.26,KELANTAN,P.24,MACHANG,N.26,BANDAR MACHANG,BN - UMNO,,12743,351,81.64,10404,199,10205,UMNO,IBRAHIM BIN MOHAMED,MALE,,5278,,,,,,,,PAS,ABDUL MANAN BIN MOHAMED,MALE,,4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.24_N.27,KELANTAN,P.24,MACHANG,N.27,SUNGAI RASAU,BN - UMNO,,7433,957,82.74,6150,87,6063,UMNO,YAHYA BIN HJ. YUSOFF,MALE,,3510,,,,,,,,PAS,NAWAWI BIN HJ. MUHAMMAD,MALE,,2553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.25_N.28,KELANTAN,P.25,PASIR PUTEH,N.28,SELISING,PAS,Y,12320,,,,,,,,,,,,,,,,,,PAS,ABD. RAHMAN BIN HAJI AHMAD,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.25_N.29,KELANTAN,P.25,PASIR PUTEH,N.29,BANDAR PASIR PUTEH,BN - UMNO,,10601,1227,76.94,8157,97,8060,UMNO,RAJA MAHMUD BIN RAJA MAMAT,MALE,,4567,,,,,,,,PAS,MUSTAFFA BIN HUSSAIN,MALE,,3340,,,,,,,,,,,,,,INDEPENDENT,MOHD NOOR BIN MOHAMED,MALE,,153,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.25_N.30,KELANTAN,P.25,PASIR PUTEH,N.30,CHERANG RUKU,BN - UMNO,,11163,931,84.14,9393,112,9281,UMNO,MAT JELANI @ MOHAMMED JELANI BIN JAAFAR,MALE,,5106,,,,,,,,PAS,MAT NOOR BIN MAMAT,MALE,,4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.26_N.31,KELANTAN,P.26,KUALA KERAI,N.31,TEMANGAN,BN - UMNO,,7526,1177,84.8,6382,95,6287,UMNO,SALLEH BIN CHE HARUN,MALE,,3732,,,,,,,,PAS,MOHD NOOR BIN HAJI YAAKUB,MALE,,2555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.26_N.32,KELANTAN,P.26,KUALA KERAI,N.32,GUCHIL,BN - UMNO,,8887,133,84.18,7481,156,7325,UMNO,MOHAMED BIN ISA,MALE,,3729,,,,,,,,PAS,WAN HASAN BIN WAN YUSOF,MALE,,3596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.26_N.33,KELANTAN,P.26,KUALA KERAI,N.33,PAHI,BN - UMNO,,8032,1357,79.56,6390,136,6254,UMNO,AB. AZIZ BIN TALIB,MALE,,3710,,,,,,,,PAS,MOHD. ZAHARI BIN AWANG,MALE,,2353,,,,,,,,,,,,,,INDEPENDENT,LEE PONG HIN @ LEE KHOON HENG,,,191,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.27_N.34,KELANTAN,P.27,ULU KELANTAN,N.34,JELI,BN - UMNO,,8634,751,86.33,7454,131,7323,UMNO,AB. SAMAT BIN HAJI DRAHMAN,MALE,,4037,,,,,,,,PAS,HAJI ZAINAL ABIDIN HAJI YACOB,MALE,,3286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.27_N.35,KELANTAN,P.27,ULU KELANTAN,N.35,GUA MUSANG,BN - UMNO,,13574,3726,76.58,10395,249,10146,UMNO,ABDUL GHANI BIN ABU BAKAR,MALE,,6936,,,,,,,,PAS,BUNIYAMIN BIN YAAKOB,MALE,,3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.27_N.36,KELANTAN,P.27,ULU KELANTAN,N.36,MANEK URAI,BN - UMNO,,10142,1042,81.63,8279,153,8126,UMNO,ARIFFIN BIN SAID,MALE,,4584,,,,,,,,PAS,WAN ABDULLAH BIN WAN SU,MALE,,3542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.1,TERENGGANU,P.28,BESUT,N.1,KUALA BESUT,BN - UMNO,,9402,1143,82.8,7785,166,7619,UMNO,WAN ZAKARIA BIN ABD. RAHMAN,MALE,,4381,,,,,,,,PAS,MUHAMMAD BIN JUSOH,MALE,,3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.2,TERENGGANU,P.28,BESUT,N.2,KAMPONG RAJA,BN - UMNO,,8880,1001,83.52,7417,178,7239,UMNO,ABDULLAH BIN MUHAMMAD,MALE,,4120,,,,,,,,PAS,ABDULLAH BIN MOHAMED,MALE,,3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.3,TERENGGANU,P.28,BESUT,N.3,BUKIT KENAK,BN - UMNO,,9295,1181,84.92,7893,218,7675,UMNO,HASSAN BIN HAJI SAID,MALE,,4428,,,,,,,,PAS,ABD. LATIF BIN MOHAMAD,MALE,,3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.4,TERENGGANU,P.28,BESUT,N.4,ULU BESUT,BN - UMNO,,9164,1083,82.62,7571,163,7408,UMNO,MAT HASAN BIN ABDULLAH @ HUSIN BIN HAJI ABDULLAH,MALE,,4209,,,,,,,,PAS,HUSIN BIN JUSOH,MALE,,3126,,,,,,,,,,,,,,INDEPENDENT,LUA BYEO CHEONG @ LUA CHEONG ENG,,,73,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.29_N.5,TERENGGANU,P.29,ULU NERUS,N.5,SETIU,BN - UMNO,,7367,1528,83.07,6120,210,5910,UMNO,TENGKU MAHMUD BIN MANSOR @ ABDULLAH BIN TENGKU MANSOR @ CHE KU,MALE,,3719,,,,,,,,PAS,MOHD. NOR BIN SULONG,MALE,,2191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.6,TERENGGANU,P.29,ULU NERUS,N.6,LANGKAP,BN - UMNO,,8763,1992,80.69,7071,220,6851,UMNO,SALLEH BIN MAMAT,MALE,,4380,,,,,,,,PAS,MAHMOOD BIN SULAIMAN,MALE,,2388,,PSRM,DAUD BIN AWANG,MALE,,83,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.7,TERENGGANU,P.29,ULU NERUS,N.7,BATU RAKIT,BN - UMNO,,6512,750,80.7,5255,149,5106,UMNO,W. IBRAHIM BIN W. OTHMAN,MALE,,2928,,,,,,,,PAS,DAUD BIN AWANG,MALE,,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.8,TERENGGANU,P.29,ULU NERUS,N.8,SEBERANG TAKIR,BN - UMNO,,8970,2632,76.34,6848,160,6688,UMNO,ABDUL RASHID BIN NGAH,MALE,,4660,,,,,,,,PAS,FADZULLAH BIN HAJI SHUIB,MALE,,2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.9,TERENGGANU,P.30,ULU TRENGGANU,N.9,TELEMONG,BN - UMNO,,6180,1491,87.35,5398,183,5215,UMNO,AHMAD SIDI @ MOHAMAD BIN HAJI ISMAIL,MALE,,3353,,,,,,,,PAS,MAT ALI BIN IDRIS,MALE,,1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.10,TERENGGANU,P.30,ULU TRENGGANU,N.10,BINJAI,BN - UMNO,,8889,337,83.06,7383,256,7127,UMNO,MOHD. NOR BIN ALI,MALE,,3732,,,,,,,,PAS,ABDUL WAHAB BIN SALLEH,MALE,,3395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.11,TERENGGANU,P.30,ULU TRENGGANU,N.11,TANGGOL,BN - UMNO,,7866,597,81.9,6442,199,6243,UMNO,MUSTAFA BIN MUDA,MALE,,3420,,,,,,,,PAS,HAJI ABDUL RASHID BIN SU,MALE,,2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.12,TERENGGANU,P.30,ULU TRENGGANU,N.12,KUALA BRANG,BN - UMNO,,6048,102,84.19,5092,158,4934,UMNO,WAN MUDA BIN MOHD.,MALE,,2518,,,,,,,,PAS,MOHD. GHAZALI BIN HAJI AHMAD,MALE,,2416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.13,TERENGGANU,P.31,KUALA NERUS,N.13,JERAM,PAS,,7923,208,84.87,6724,156,6568,UMNO,SUFIAN BIN MOHD. SAID,MALE,,3180,,,,,,,,PAS,ABU BAKAR BIN CHIK,MALE,,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.14,TERENGGANU,P.31,KUALA NERUS,N.14,BUKIT TUNGGAL,BN - UMNO,,7508,1781,78.69,5908,179,5729,UMNO,GHAZALI BIN ENDUT,MALE,,3755,,,,,,,,PAS,AWANG BIN ABU BAKAR,MALE,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.15,TERENGGANU,P.31,KUALA NERUS,N.15,MANIR,PAS,,9338,932,80.42,7510,174,7336,UMNO,SULAIMAN @ JAMALUDDIN BIN JUSOH,MALE,,3202,,,,,,,,PAS,HARUN BIN TAIB,MALE,,4134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.16,TERENGGANU,P.31,KUALA NERUS,N.16,BUKIT PAYONG,BN - UMNO,,8500,360,81.88,6960,182,6778,UMNO,ABDUL RAZIK BIN TAIB,MALE,,3569,,,,,,,,PAS,HUSSIN BIN ISMAIL,MALE,,3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.32_N.17,TERENGGANU,P.32,KUALA TRENGGANU,N.17,BANDAR,BN - MCA,,13630,1661,75.87,10341,264,10077,MCA,TOK TENG SAI,MALE,,4064,,,,,,,,PAS,ABD. HALIM BIN HJ. MOHD. SHAFIE,MALE,,2403,,PSRM,MAZLAN @ MAHMUD BIN EMBONG,MALE,,520,LOST DEPOSIT,,,,,,,INDEPENDENT,YUSOF BIN ABDULLAH @ YUSOF ALBAKRI,MALE,,814,LOST DEPOSIT,INDEPENDENT,MOHAMAD DAHAM BIN SULAIMAN,MALE,,60,LOST DEPOSIT,INDEPENDENT,WEE CHENG HUAT,,,2101,,INDEPENDENT,AB. GHANI BIN MOHD.,MALE,,115,LOST DEPOSIT
P.32_N.18,TERENGGANU,P.32,KUALA TRENGGANU,N.18,LADANG,BN - UMNO,,10625,2605,70.46,7487,145,7342,UMNO,ABU BAKAR BIN DAUD,MALE,,4888,,,,,,,,PAS,HAJI ABBAS BIN HJ. ALIAS,MALE,,2283,,PSRM,YASIN @ ISMAIL BIN AWANG,MALE,,171,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.32_N.19,TERENGGANU,P.32,KUALA TRENGGANU,N.19,WAKAF MEMPELAM,PAS,,9473,421,77.67,7358,172,7186,UMNO,MOHAMED SHAFIE BIN DERAMAN @ ABD. RAHMAN,MALE,,3291,,,,,,,,PAS,MUSTAFA @ HASSAN BIN ALI,MALE,,3712,,PSRM,SYED SHAFIE BIN TUAN BAHARU,MALE,,183,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.32_N.20,TERENGGANU,P.32,KUALA TRENGGANU,N.20,BATU BUROK,PAS,,10228,86,79.02,8082,210,7872,UMNO,MUSTAFA BIN AWANG,MALE,,3893,,,,,,,,PAS,WAN ABD. MUTTALIB @ WAN MUSA BIN EMBONG,MALE,,3979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33_N.21,TERENGGANU,P.33,DUNGUN,N.21,MARANG,PAS,,8497,133,85.33,7251,172,7079,UMNO,TENGKU ZAHID @ TENGKU NGAH BIN TENGKU MUSA,MALE,,3473,,,,,,,,PAS,ABDUL HADI BIN HAJI AWANG,MALE,,3606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33_N.22,TERENGGANU,P.33,DUNGUN,N.22,MERCHANG,BN - UMNO,,7341,826,81.61,5991,168,5823,UMNO,HARUN BIN ALI,MALE,,3295,,,,,,,,PAS,KASIM BIN AHMAD,MALE,,2469,,PSRM,ABDULLAH BIN MAT,MALE,,59,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33_N.23,TERENGGANU,P.33,DUNGUN,N.23,SURA,BN - UMNO,,9785,1246,74.02,7243,134,7109,UMNO,OTHMAN BIN OMAR,MALE,,4111,,,,,,,,PAS,OMAR SHUKRI BIN EMBONG,MALE,,2865,,PSRM,MOHAMAD ZAID @ MOHAMAD BIN LONG,MALE,,133,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33_N.24,TERENGGANU,P.33,DUNGUN,N.24,JERANGAU,BN - UMNO,,5441,1633,79.16,4307,86,4221,UMNO,HAJI DRAMAN @ MUDA BIN ABDULLAH,MALE,,2911,,,,,,,,PAS,ABDUL WAHAB BIN YUNUS,MALE,,1278,,PSRM,TENGKU MOHD. NOOR BIN EMBONG,MALE,,32,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.25,TERENGGANU,P.34,KEMAMAN,N.25,PAKA,BN - UMNO,,7635,984,79.82,6094,240,5854,UMNO,SYED OMAR BIN MOHAMMAD,MALE,,3419,,,,,,,,PAS,ABDULLAH BIN MOHAMAD,MALE,,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.26,TERENGGANU,P.34,KEMAMAN,N.26,KEMASEK,BN - UMNO,,8072,2416,78.64,6348,256,6092,UMNO,DATO' WAN ADNAN BIN ISMAIL,MALE,,4254,,,,,,,,PAS,AWANG BIN JUSOH,MALE,,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.27,TERENGGANU,P.34,KEMAMAN,N.27,BUKIT BANDI,BN - UMNO,,10142,1963,74.61,7567,260,7307,UMNO,ISMAIL BIN SALLEH,MALE,,4635,,,,,,,,PAS,HARON BIN ENDUT,MALE,,2672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_N.28,TERENGGANU,P.34,KEMAMAN,N.28,CHUKAI,BN - UMNO,,10618,2138,73.8,7836,233,7603,UMNO,DATO' WAN MOKHTAR BIN AHMAD,MALE,,4747,,,,,,,,PAS,SYED AGIL BIN MOHSIN,MALE,,2609,,,,,,,,,,,,,,INDEPENDENT,TUN ABU BAKAR BIN OMAR,MALE,,247,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.35_N.1,PULAU PINANG,P.35,KEPALA BATAS,N.1,PENAGA,BN - UMNO,,11063,3424,79.08,8749,237,8512,UMNO,HASSAN BIN MAT NOOR @ DATUK HAJI HASSAN NOH.,MALE,,5968,,,,,,,,PAS,ISMAIL BIN HAMID,MALE,,2544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_N.2,PULAU PINANG,P.35,KEPALA BATAS,N.2,BERTAM,BN - UMNO,,10344,4092,79.7,8244,178,8066,UMNO,ABDUL RAHMAN BIN HJ. ABBAS,MALE,,5568,,DAP,KHOO SOO HOE,,,1476,,PAS,ISMAIL BIN ABDULLAH,MALE,,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_N.3,PULAU PINANG,P.35,KEPALA BATAS,N.3,TASEK GELUGOR,BN - UMNO,,10074,2820,82.21,8282,170,8112,UMNO,SAMSUDIN BIN AHMAD @ MD. NOOR BIN AHMAD,MALE,,4800,,DAP,ONG SWEE HUAT,,,1980,,PAS,ZAINOL BIN SAAD,MALE,,1175,,,,,,,,,,,,,,INDEPENDENT,ARSHAD BIN AHMAD,MALE,,157,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.36_N.4,PULAU PINANG,P.36,MATA KUCHING,N.4,BAGAN AJAM,BN - UMNO,,14801,4478,78.27,11585,227,11358,UMNO,YUSOF BIN SALLEH,MALE,,6919,,DAP,ALI BIN KASIM,MALE,,2441,,PAS,AHMAD BIN ABDUL RAHMAN,MALE,,1607,,,,,,,,,,,,,,INDEPENDENT,KHAW HOCK TEIK @ KHAW TEIK HOCK,,,391,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.36_N.5,PULAU PINANG,P.36,MATA KUCHING,N.5,BAGAN JERMAL,BN - MCA,,22176,2639,79.21,17566,319,17247,MCA,SAK CHENG LUM,MALE,,8609,,DAP,GOH SIGN KHOON,,,5970,,,,,,,,,,,,,,,,,,,,INDEPENDENT,PHEE BOON POH,MALE,,2668,,,,,,,,,,,,,,,,,,,
P.36_N.6,PULAU PINANG,P.36,MATA KUCHING,N.6,BAGAN DALAM,BN - MIC,,20658,2579,75.27,15549,342,15207,MIC,SUBBIAH S/O THEVARAYAN CHETTIAR,MALE,,7199,,DAP,RAJA GOPAL A/L RAMAYA,MALE,,4620,,,,,,,,SDP,YEAP CHIM GUAN,MALE,,401,LOST DEPOSIT,KITA,V. APAOO A/L VEERIAYAH,MALE,,93,LOST DEPOSIT,INDEPENDENT,LOONG KOK KHOON,,,2832,,INDEPENDENT,SATHASIVAM S/O SWAMINATHEN,MALE,,62,LOST DEPOSIT,,,,,,,,,,,,
P.37_N.7,PULAU PINANG,P.37,PERMATANG PAUH,N.7,SUNGAI DUA,BN - UMNO,,9577,3141,81.07,7764,147,7617,UMNO,MOHD. SHARIFF BIN OMAR,MALE,,5379,,,,,,,,PAS,HAJI ZABIDI BIN HAJI ALI,MALE,,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.8,PULAU PINANG,P.37,PERMATANG PAUH,N.8,KUBANG SEMANG,BN - UMNO,,11623,4371,80.33,9453,201,9252,UMNO,MD. ISA BIN HAJI RAMLI,MALE,,6397,,DAP,TAN AH HUAT,,,829,LOST DEPOSIT,PAS,HJ. AHMAD HASSAN SALAHUDDIN BIN HAJI MOHD. KHALIL,MALE,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.9,PULAU PINANG,P.37,PERMATANG PAUH,N.9,PENANTI,BN - UMNO,,11178,2760,77.76,8692,244,8448,UMNO,JUSOH @ YUSOF HILMI BIN HJ. SHAFIE,MALE,,5604,,,,,,,,PAS,MOHAMAD BIN SABU,MALE,,2844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38_N.10,PULAU PINANG,P.38,BUKIT MERTAJAM,N.10,BUKIT TENGAH,BN - GERAKAN,,17547,7236,77.89,13667,391,13276,GERAKAN,LIONG AH SOW @ LIANG THAU SANG,,,9570,,,,,,,,PAS,JAFFAR BIN AHMAD,MALE,,2334,,,,,,,,,,,,,,INDEPENDENT,NG SEN KWEI,,,1372,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.38_N.11,PULAU PINANG,P.38,BUKIT MERTAJAM,N.11,PEKAN BUKIT MERTAJAM,BN - MCA,,22201,2843,77.91,17296,399,16897,MCA,SONG BAN KHENG,MALE,,9870,,DAP,CHIN KOOI THOON,,,7027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38_N.12,PULAU PINANG,P.38,BUKIT MERTAJAM,N.12,MACHANG BUBOK,BN - GERAKAN,,13576,4749,81.24,11029,282,10747,GERAKAN,LIM HENG TEE @ LIM KING GUAN,,,6859,,DAP,TAN ENG TUT @ TAN ENG TUCK,,,1778,,PAS,AHMAD SOBKI BIN ABDULLAH,MALE,,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39_N.13,PULAU PINANG,P.39,NIBONG TEBAL,N.13,BUKIT TAMBUN,BN - MCA,,9970,1291,80.87,8063,342,7721,MCA,KHOO SOO KHENG,MALE,,4506,,DAP,TAN YAM SOON,,,3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39_N.14,PULAU PINANG,P.39,NIBONG TEBAL,N.14,SUNGAI BAKAP,BN - GERAKAN,,12042,3526,77.32,9311,315,8996,GERAKAN,TEOH CHUNG HOR @ TEOH KOOI SNEAH,MALE,,5499,,DAP,LEE HEE SENG,,,1524,,PAS,AB. HAMID BIN DARUS,MALE,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39_N.15,PULAU PINANG,P.39,NIBONG TEBAL,N.15,SUNGAI ACHEH,BN - UMNO,,13983,2305,76.16,10650,266,10384,UMNO,HJ. AHMAD BIN SALEH,MALE,,5893,,DAP,MD. NOOR BIN SHAARI,MALE,,3588,,PAS,ABDUL MAJID @ ABDUL RAHIM BIN HAJI ABDUL RAHMAN,MALE,,604,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,SANDAMAN A/L YAGAPPAN,MALE,,299,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.40_N.16,PULAU PINANG,P.40,BALIK PULAU,N.16,TELOK BAHANG,BN - UMNO,,13623,2672,73.75,10047,237,9810,UMNO,YAHAYA BIN AHMAD,MALE,,6241,,,,,,,,,,,,,,PSRM,KASSIM @ OSMAN BIN AHMAD,MALE,,3569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
