UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.2_N.11,PERLIS,P.2,ARAU,N.11,KURONG ANAI,BN - UMNO,,6575,1006,77.95,5125,106,5019,UMNO,ABU BAKAR BIN HJ. AHMAD,MALE,,2927,,,,,,,,PAS,HALIM @ OMAR BIN ISMAIL,MALE,,1921,,,,,,,,,,,,,,INDEPENDENT,JUSOH BIN MAN,MALE,,171,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.2_N.12,PERLIS,P.2,ARAU,N.12,SANGLANG,BN - UMNO,,5882,467,80.38,4728,241,4487,UMNO,SAAD @ MD. ZAIN BIN HAMZAH,MALE,,2477,,,,,,,,PAS,HARUN BIN OTHMAN,MALE,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.3_N.1,KEDAH,P.3,JERLUN-LANGKAWI,N.1,LANGKAWI,BN - UMNO,,14423,6029,82.31,11872,253,11619,UMNO,SYED NAHAR BIN SYED SHEH SHAHABUDIN,MALE,,8824,,,,,,,,PAS,HAJI OTHMAN BIN BAKAR,MALE,,2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.3_N.2,KEDAH,P.3,JERLUN-LANGKAWI,N.2,JERLUN,BN - UMNO,,24535,1813,75.83,18606,243,18363,UMNO,YUSUF BIN ABD. RAHMAN,MALE,,10088,,,,,,,,PAS,HASSIM BIN OTHMAN,MALE,,8275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4_N.3,KEDAH,P.4,KUBANG PASU,N.3,TUNJANG,BN - UMNO,,22019,6356,79.49,17504,370,17134,UMNO,HANAFI BIN RAMLI,MALE,,11745,,,,,,,,PAS,ABU KASIM BIN L. ABDULLAH,MALE,,5389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4_N.4,KEDAH,P.4,KUBANG PASU,N.4,JITRA,BN - UMNO,,21564,7589,76.42,16480,367,16113,UMNO,OSMAN @ MD. DAUD BIN AROFF,MALE,,11851,,,,,,,,PAS,MOHAMAD @ MD. SALLEH BIN YAACOB,MALE,,4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5_N.5,KEDAH,P.5,PADANG TERAP,N.5,KUALA NERANG,BN - UMNO,,18926,2457,82.5,15614,361,15253,UMNO,AZIZAH BINTI L. TAIB,FEMALE,,8855,,,,,,,,PAS,MUHAUDIN BIN HAJI AHMAD,MALE,,6398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5_N.6,KEDAH,P.5,PADANG TERAP,N.6,POKOK SENA,BN - UMNO,,19905,3447,82.2,16363,340,16023,UMNO,HUSSAIN @ ABDUL HAMID BIN TAHIR,MALE,,9735,,,,,,,,PAS,DATO' SUDIN WAHAB,MALE,,6288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.6_N.7,KEDAH,P.6,KUALA KEDAH,N.7,ANAK BUKIT,BN - UMNO,,21496,1883,77.46,16652,261,16391,UMNO,KARIA @ ZAKARIA BIN SAID,MALE,,9137,,,,,,,,PAS,WAHAB BIN SULAIMAN,MALE,,7254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.6_N.8,KEDAH,P.6,KUALA KEDAH,N.8,PENGKALAN KUNDOR,BN - UMNO,,24627,4980,72.12,17762,251,17511,UMNO,HAJI JAMALUDIN BIN LEBAI BAKAR,MALE,,10652,,DAP,WONG KOK WAH,,,1187,LOST DEPOSIT,PAS,HAJI YUSOP BIN ARSHAD,MALE,,5672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.7_N.9,KEDAH,P.7,ALOR SETAR,N.9,ALOR MERAH,BN - UMNO,,23401,3919,73.3,17152,251,16901,UMNO,KHALID BIN HJ. ABDULLAH,MALE,,9592,,DAP,ONG AUN BOON,MALE,,1636,LOST DEPOSIT,PAS,DATO' HAJI ABU BAKAR BIN UMAR,MALE,,5673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.7_N.10,KEDAH,P.7,ALOR SETAR,N.10,BANDAR ALOR SETAR,BN - MCA,,35055,7038,69.86,24490,376,24114,MCA,CHEA KIM HOE @ CHEAH CHONG CHIEW,MALE,,14006,,DAP,GEORGE JOHN A/L K.M GEORGE,MALE,,6968,,PAS,OTHMAN BIN HAJI HUSAIN,MALE,,3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.8_N.11,KEDAH,P.8,KOTA SETAR,N.11,LANGGAR-LIMBONG,PAS,,17587,860,79.28,13943,203,13740,UMNO,SYED AZIZAN BIN SYED HASSAN,MALE,,6440,,,,,,,,PAS,SAID BIN YASSIN,MALE,,7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.8_N.12,KEDAH,P.8,KOTA SETAR,N.12,BUKIT RAYA,PAS,,19486,346,82.92,16158,171,15987,UMNO,HAJI SAFIROL BIN HAJI HASHIM,MALE,,7771,,,,,,,,PAS,ALI @ FADZIL BIN MD. NOOR,MALE,,8117,,,,,,,,,,,,,,INDEPENDENT,MOHD. MOKHTAR ABDULLAH,MALE,,99,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.9_N.13,KEDAH,P.9,ULU MUDA,N.13,SIK,BN - UMNO,,13885,1334,83,11525,273,11252,UMNO,HJ. MOHD. NOH BIN HAJI AHMAD,MALE,,6293,,,,,,,,PAS,HARUN BIN JUSOH,MALE,,4959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.9_N.14,KEDAH,P.9,ULU MUDA,N.14,PENDANG,BN - UMNO,,20318,2731,80.09,16273,320,15953,UMNO,HAJI SHAARI BIN ABU BAKAR,MALE,,9342,,,,,,,,PAS,AWANG BIN SAAD,MALE,,6611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.10_N.15,KEDAH,P.10,BALING,N.15,BAYU,BN - UMNO,,19099,4905,78.15,14927,330,14597,UMNO,RAJA ARIFFIN BIN RAJA SULAIMAN,MALE,,9751,,,,,,,,PAS,IBRAHIM BIN MOHAMOOD,MALE,,4846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.10_N.16,KEDAH,P.10,BALING,N.16,KUPANG,BN - UMNO,,22527,2900,77.59,17480,338,17142,UMNO,ZAINOL BIN MD. ISA,MALE,,10021,,,,,,,,PAS,MOHD. ROMLI BIN ABDULLAH,MALE,,7121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_N.17,KEDAH,P.11,JERAI,N.17,SALA,BN - UMNO,,16600,774,77.58,12878,214,12664,UMNO,AHMAD BIN HAJI AWANG,MALE,,6719,,,,,,,,PAS,CHE ME BIN AHMAD,MALE,,5945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
