UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.1,PERLIS,P.1,KANGAR,BN - UMNO,MOHD. RADZI BIN TAN SRI SHEIKH AHMAD,MALE,,
P.2,PERLIS,P.2,ARAU,BN - UMNO,DR. ABDUL HAMID BIN PAWAN TEH,MALE,,
P.3,KEDAH,P.3,JERLUN-LANGKAWI,BN - UMNO,DATO' SANUSI BIN JUNID,MALE,39,
P.4,KEDAH,P.4,KUBANG PASU,BN - UMNO,DOKTOR MAHATHIR BIN MOHAMAD,MALE,57,
P.5,KEDAH,P.5,PADANG TERAP,BN - UMNO,TAN SRI SYED AHMAD BIN SYED MAHMUD SHAHABUDIN,MALE,,
P.6,KEDAH,P.6,KUALA KEDAH,BN - UMNO,DATO' HAJI MOHAMMAD ABU BAKAR BIN RAUTIN IBRAHIM,MALE,,
P.7,KEDAH,P.7,ALOR SETAR,BN - MCA,OO GIN SUN,MALE,49,
P.8,KEDAH,P.8,KOTA SETAR,PAS,DATO' HAJI ABU BAKAR BIN OMAR,MALE,,
P.9,KEDAH,P.9,ULU MUDA,BN - UMNO,HAJI HASHIM BIN ENDUT,MALE,,
P.10,KEDAH,P.10,BALING,BN - UMNO,HAJI SEROJI BIN HAJI HARON,MALE,,
P.11,KEDAH,P.11,JERAI,BN - UMNO,ISMAIL BIN ARSHAD,MALE,,
P.12,KEDAH,P.12,KUALA MUDA,BN - UMNO,CHE' ABDUL DAIM BIN HAJI ZAINUDDIN,MALE,,
P.13,KEDAH,P.13,SUNGAI PETANI,BN - UMNO,WAN ZAINAB BT. M. A. BAKAR,FEMALE,,
P.14,KEDAH,P.14,PADANG SERAI,BN - MCA,TAN KOW KIA @ TAN KOK HOOI,MALE,,
P.15,KEDAH,P.15,KULIM-BANDAR BAHARU,BN - UMNO,ABDUL KADIR BIN HAJI SHEIKH FADZIL,MALE,43,
P.16,KELANTAN,P.16,TUMPAT,BN - UMNO,DUSUKI BIN HAJI AHMAD,MALE,,
P.17,KELANTAN,P.17,PENGKALAN CHEPA,PAS,NIK ABDUL AZIZ BIN NIK MAT,MALE,51,
P.18,KELANTAN,P.18,PASIR MAS,PAS,WAN IBRAHIM BIN WAN ABDULLAH,MALE,,
P.19,KELANTAN,P.19,KOTA BAHARU,BN - UMNO,TENGKU AHMAD RITAHUDDEN BIN TENGKU ISMAIL,MALE,54,
P.20,KELANTAN,P.20,BACHOK,PAS,MOHD. ZAIN ABDULLAH,MALE,,
P.21,KELANTAN,P.21,RANTAU PANJANG,PAS,HASSAN BIN HAJI MOHAMED,MALE,,
P.22,KELANTAN,P.22,NILAM PURI,BN - UMNO,MOHAMED HAJI ALI,MALE,,
P.23,KELANTAN,P.23,TANAH MERAH,BN - UMNO,HUSSEIN BIN MAHMOOD,MALE,,
P.24,KELANTAN,P.24,MACHANG,BN - UMNO,MOHD. KASSIM @ YAHYA BIN AHMAD,MALE,,
P.25,KELANTAN,P.25,PASIR PUTEH,BN - UMNO,WAN AHMAD NAJIB @ WAN MOHD. NAJIB BIN WAN MOHAMAD,MALE,,
P.26,KELANTAN,P.26,KUALA KERAI,BN - UMNO,NIK HUSSAIN BIN ABDUL RAHMAN,MALE,,
P.27,KELANTAN,P.27,ULU KELANTAN,BN - UMNO,TENGKU RAZALEIGH BIN TENGKU MOHD. HAMZAH,MALE,45,
P.28,TRENGGANU,P.28,BESUT,BN - UMNO,ZAKARIA @ IBRAHIM BIN ABDUL RAHMAN,MALE,,
P.29,TRENGGANU,P.29,ULU NERUS,BN - UMNO,MAMAT ABD. RAHMAN,MALE,,
P.30,TRENGGANU,P.30,ULU TRENGGANU,BN - UMNO,ALIAS MD. ALI,MALE,,
P.31,TRENGGANU,P.31,KUALA NERUS,BN - UMNO,IBRAHIM BIN HASSAN,MALE,,
P.32,TRENGGANU,P.32,KUALA TRENGGANU,BN - UMNO,ABDUL MANAN BIN OTHMAN,MALE,,
P.33,TRENGGANU,P.33,DUNGUN,BN - UMNO,AWANG BIN JABAR,MALE,,
