UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
,MALACCA,ALOR GAJAH WEST,ALLIANCE - UMNO,Y,,,,,,,,UMNO,MOHD. SUDIN BIN ABDUL RAHMAN,MALE,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MALACCA,ALOR GAJAH EAST,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HJ. TALIB BIN KARIM,MALE,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MALACCA,JASIN NORTH,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HASNAL BIN ABDUL HADI,MALE,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MALACCA,JASIN SOUTH,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HJ. MOKTI BIN HJ. ABDUL HAMID,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MALACCA,WEST CENTRAL,ALLIANCE - MCA,Y,,,,,,,,MCA,TAN CHENG SWEE,MALE,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MALACCA,EAST CENTRAL,ALLIANCE - UMNO,Y,,,,,,,,UMNO,MOHD. BIN HJ. ABDUL RAHMAN,MALE,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MALACCA,WEST FORT,ALLIANCE - MCA,Y,,,,,,,,MCA,GOH CHEE YAN,MALE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MALACCA,EAST FORT,ALLIANCE - MCA,Y,,,,,,,,MCA,GOH KAY SENG,MALE,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
