UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,USNO,USNO CANDIDATE,USNO CANDIDATE SEX,USNO CANDIDATE AGE,USNO VOTE,USNO CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P. 147_N. 35,SABAH,P. 147,KIMANIS,N. 35,KUALA PENYU,PBS,,7255,540,80.7,5855,91,5764,,,,,,,USNO,JOHAN B. O. T. GHANI @ CHRISTOPHER,MALE,,2612,,PBS,WENCES ANGANG @ JAMES,MALE,,3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 36,SABAH,P. 148,LIMBAWANG,N. 36,KLIAS,PBS,,7606,97,74.55,5670,70,5600,BERJAYA,GODFREY EIUR @ EMPIH,MALE,,199,LOST DEPOSIT,USNO,AZIZAH BTE. MOHD. DUN,FEMALE,,2652,,PBS,LAJIM BIN OKIN,MALE,,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 37,SABAH,P. 148,LIMBAWANG,N. 37,LUMADAN,USNO,,7533,2048,73.16,5511,85,5426,,,,,,,USNO,DAYANG MAHANI BINTE PENGIRAN HAJI AHMAD RAFFAE,FEMALE,,3737,,PBS,RASHID BIN GADOR @ ABDUL RASHID BIN HJ. GADOR,MALE,,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 38,SABAH,P. 149,PADAS,N. 38,SIPITANG,USNO,,6328,176,78,4936,43,4893,,,,,,,USNO,JAWAWI BIN HJ. ISA,MALE,,2421,,PBS,MIFLI BIN MOHD NOH,MALE,,2245,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,ISMAIL AWANG ADI @ HADIE ROY ISMADIE,MALE,,65,LOST DEPOSIT,INDEPENDENT - ROOSTER,DAWAR SADOM,MALE,,162,LOST DEPOSIT,,,,,,,,,,,,
P. 149_N. 39,SABAH,P. 149,PADAS,N. 39,TENOM,PBS,,6656,2056,79.9,5318,36,5282,BERJAYA,JINUIN BIN JIMIN,MALE,,1551,,,,,,,,PBS,KADOH AGUNDONG @ FERDINAND,MALE,,3607,,,,,,,,PCS,CHONG THIAM HUAT BIN PON SOH,MALE,,124,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 40,SABAH,P. 149,PADAS,N. 40,KEMABONG,PBS,,5463,1662,80.23,4383,62,4321,,,,,,,USNO,ASMAWIE CHEW @ CHEW AH NGOK,MALE,,912,,PBS,LIMUN LAIKIM,MALE,,2574,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,ANGAGON BIN ANBOU @ ANGKANGON BIN SAGUL,MALE,,835,,,,,,,,,,,,,,,,,,,
P. 150_N. 41,SABAH,P. 150,PENSIANGAN,N. 41,SOOK,PBS,,10265,3403,74.93,7692,91,7601,BERJAYA,ALBERT PENSYL,MALE,,730,LOST DEPOSIT,,,,,,,PBS,JOSEPH KURUP,MALE,,4973,,,,,,,,,,,,,,INDEPENDENT - BOOK,PETER KODOU @ PETER ANTHONY KODOU,MALE,,328,LOST DEPOSIT,INDEPENDENT - ROOSTER,DENSON B. TOM @ DEMSON B. TOM,MALE,,1570,,,,,,,,,,,,,
P. 150_N. 42,SABAH,P. 150,PENSIANGAN,N. 42,NABAWAN,PBS,,4428,1603,67.43,2986,110,2876,,,,,,,USNO,MOHD. YASSIN B. ANIK,MALE,,509,,PBS,ADUT B. SIGOH @ JOE B. SAID,MALE,,2112,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,MATUSIN B. ELOH @ DAVID B. ELOH,MALE,,255,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 151_N. 43,SABAH,P. 151,TAWAU,N. 43,MEROTAI,USNO,,11527,1990,71.22,8210,96,8114,,,,,,,USNO,MOHD. SAID B. SENANG @ MOHD SAID NOOR,MALE,,5052,,PBS,S. ABAS BIN S. ALI,MALE,,3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 151_N. 44,SABAH,P. 151,TAWAU,N. 44,SRI TANJUNG,PCBS,,16868,2776,73.97,12478,63,12415,BERJAYA,HUE MIN KONG @ HIEW MIN KONG,MALE,,4559,,,,,,,,,,,,,,PCBS,KU HIEN LIONG,MALE,,7335,,PCS,DR CHANG CHAU LAP @ CHARLIE,MALE,,521,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 152_N. 45,SABAH,P. 152,SILAM,N. 45,LAHAD DATU,PBS,,13192,793,71.48,9429,92,9337,BERJAYA,GAMUT ISMAIL @ ZAMRIN,MALE,,3763,,,,,,,,PBS,MOHAMADDIN BIN KETAPI,MALE,,4556,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,DATU NASRUN BIN DATU MANSUR,MALE,,867,LOST DEPOSIT,INDEPENDENT - OIL PALM,KASUARI B. ARIFF,MALE,,85,LOST DEPOSIT,INDEPENDENT - UMBRELLA,MOHAMMAD BIN KAMA @ MOHD. KAMAL BIN KAMARUDDIN,MALE,,49,LOST DEPOSIT,INDEPENDENT - BUS,MUHAMMAD BIN HJ. MANSUR,MALE,,17,LOST DEPOSIT
P. 152_N. 46,SABAH,P. 152,SILAM,N. 46,KUNAK,USNO,,8938,1589,68.34,6108,92,6016,,,,,,,USNO,SALIM BIN BACHU @ SALIN BIN BACHO,MALE,,3750,,PBS,WILLIAM CHIUH,MALE,,2161,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,MOHAMMAD JIKIRANAU @ UTOH IMAM TAHASSAM,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 153_N. 47,SABAH,P. 153,SEMPORNA,N. 47,BALUNG,PBS,,11244,943,73.56,8271,72,8199,BERJAYA,LO AH SU @ LO SOO ON,MALE,,883,LOST DEPOSIT,USNO,HJ. AHMAD BIN HJ. AWANG @ MADON,MALE,,3156,,PBS,AHMAD BAHROM BIN DATUK HJ. ABU BAKAR TITINGAN @ BAHROM,MALE,,4099,,PCBS,CHAN TSE HUANG @ CHAN TZE HUNG STEPHEN,MALE,,61,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 153_N. 48,SABAH,P. 153,SEMPORNA,N. 48,SULABAYAN,USNO,,11926,3143,66.8,7967,126,7841,,,,,,,USNO,DATUK HAJI SAKARAN BIN DANDAI @ HASHIM BIN DANDAI,MALE,,5360,,PBS,N.C. DATU ERANZA BIN DATU HJ. SARIBU,MALE,,2217,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,BAKAL BIN MANDUAN,MALE,,264,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
