UNIQUE CODE (1969),STATE (1969),PARLIAMENTARY CONSTITUENCY CODE (1969),PARLIAMENTARY CONSTITUENCY NAME (1969),UNIQUE CODE (1974),STATE (1974),PARLIAMENTARY CONSTITUENCY CODE (1974),PARLIAMENTARY CONSTITUENCY NAME (1974),PARLIAMENTARY NAME CHANGE,NEW PARLIAMENTARY SEAT,NOTES
P. 1,PERLIS,P. 1,PERLIS UTARA,P.1,PERLIS,P.1,KANGAR,Y,,Boundary Changed
P. 2,PERLIS,P. 2,PERLIS SELATAN,P.2,PERLIS,P.2,ARAU,Y,,Boundary Changed
P. 3,KEDAH,P. 3,JITRA - PADANG TERAP,P.5,KEDAH,P.5,PADANG TERAP,Y,,Boundary Changed
P. 4,KEDAH,P. 4,KUBANG PASU BARAT,P.3,KEDAH,P.3,JERLUN-LANGKAWI,Y,,Boundary Changed
P. 5,KEDAH,P. 5,KOTA STAR UTARA,,,,,,,Constituency Abolished
P. 6,KEDAH,P. 6,ALOR STAR,P.7,KEDAH,P.7,ALOR SETAR,Y,,Boundary Changed
P. 7,KEDAH,P. 7,KUALA KEDAH,P.6,KEDAH,P.6,KUALA KEDAH,,,Boundary Changed
P. 8,KEDAH,P. 8,KOTA STAR SELATAN,P.8,KEDAH,P.8,KOTA SETAR,Y,,Boundary Changed
P. 9,KEDAH,P. 9,KEDAH TENGAH,P.12,KEDAH,P.12,KUALA MUDA,Y,,Boundary Changed
P. 10,KEDAH,P. 10,JERAI,P.11,KEDAH,P.11,JERAI,,,Boundary Changed
P. 11,KEDAH,P. 11,BALING,P.10,KEDAH,P.10,BALING,,,Boundary Changed
P. 12,KEDAH,P. 12,SUNGEI PATANI,P.13,KEDAH,P.13,SUNGAI PETANI,Y,,Boundary Changed
P. 13,KEDAH,P. 13,KULIM UTARA,P.14,KEDAH,P.14,PADANG SERAI,Y,,Boundary Changed
P. 14,KEDAH,P. 14,KULIM - BANDAR BAHRU,P.15,KEDAH,P.15,KULIM-BANDAR BAHARU,Y,,Boundary Changed
,,,,P.9,KEDAH,P.9,ULU MUDA,,Y,Originated from Kota Setar Selatan and Kedah Tengah
,,,,P.4,KEDAH,P.4,KUBANG PASU,,Y,Originated from Jitra - Padang Terap
P. 15,KELANTAN,P. 15,TUMPAT,P.16,KELANTAN,P.16,TUMPAT,,,Boundary Changed
P. 16,KELANTAN,P. 16,KELANTAN HILIR,P.17,KELANTAN,P.17,PENGKALAN CHEPA,Y,,Boundary Changed
P. 17,KELANTAN,P. 17,PASIR MAS HILIR,P.18,KELANTAN,P.18,PASIR MAS,Y,,Boundary Changed
P. 18,KELANTAN,P. 18,KOTA BHARU HILIR,P.19,KELANTAN,P.19,KOTA BHARU,Y,,
P. 19,KELANTAN,P. 19,BACHOK,P.20,KELANTAN,P.20,BACHOK,,,
P. 20,KELANTAN,P. 20,KOTA BHARU HULU,P.22,KELANTAN,P.22,NILAM PURI,Y,,Boundary Changed
P. 21,KELANTAN,P. 21,PASIR MAS HULU,P.21,KELANTAN,P.21,RANTAU PANJANG,Y,,
P. 22,KELANTAN,P. 22,PASIR PUTEH,P.25,KELANTAN,P.25,PASIR PUTEH,,,Boundary Changed
P. 23,KELANTAN,P. 23,TANAH MERAH,P.23,KELANTAN,P.23,TANAH MERAH,,,Boundary Changed
P. 24,KELANTAN,P. 24,ULU KELANTAN,P.27,KELANTAN,P.27,ULU KELANTAN,,,
,,,,P.24,KELANTAN,P.24,MACHANG,,Y,Originated from Tanah Merah and Ulu Kelantan
,,,,P.26,KELANTAN,P.26,KUALA KERAI,,Y,Originated from Ulu Kelantan
P. 25,TRENGGANU,P. 25,BESUT,P.28,TRENGGANU,P.28,BESUT,,,Boundary Changed
