UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PSRM,PSRM CANDIDATE,PSRM CANDIDATE SEX,PSRM CANDIDATE AGE,PSRM VOTE,PSRM CANDIDATE LOST DEPOSIT,PEKEMAS,PEKEMAS CANDIDATE,PEKEMAS CANDIDATE SEX,PEKEMAS CANDIDATE AGE,PEKEMAS VOTE,PEKEMAS CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,K.I.T.A,K.I.T.A CANDIDATE,K.I.T.A CANDIDATE SEX,K.I.T.A CANDIDATE AGE,K.I.T.A VOTE,K.I.T.A CANDIDATE LOST DEPOSIT,I.P.P.P,I.P.P.P. CANDIDATE,I.P.P.P. CANDIDATE SEX,I.P.P.P. CANDIDATE AGE,I.P.P.P VOTE,I.P.P.P CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE SEX,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.6_N.8,KEDAH,P.6,KUALA KEDAH,N.8,PENGKALAN KUNDOR,BN - PAS,,18364,5719,66.38,12190,753,11437,PAS,AHMAD AWANG,MALE,,8315,,PSRM,SITI NOR HAMID TUAH,FEMALE,,2596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,HAJI ABDUL WAHAB,MALE,,526,LOST DEPOSIT,,,,,,,,,,,,
P.7_N.9,KEDAH,P.7,ALOR SETAR,N.9,ALOR MERAH,BN - UMNO,,14942,5531,62.86,9393,1028,8365,UMNO,ABU BAKAR BIN RAUTIN,MALE,,6948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MANSOR TOBENG @ MANSOR BIN MOHAMED,MALE,,1417,,,,,,,,,,,,,
P.7_N.10,KEDAH,P.7,ALOR SETAR,N.10,BANDAR ALOR SETAR,DAP,,22236,1572,65.15,14487,699,13788,GERAKAN,GEH TENG KENG,MALE,,6108,,,,,,,,,,,,,,DAP,KARPAL SINGH,MALE,34,7680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.8_N.11,KEDAH,P.8,KOTA SETAR,N.11,LANGGAR-LIMBONG,BN - PAS,,13814,5335,68.65,9483,524,8959,PAS,SUDIN WAHAB,MALE,,7147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,HASHIM BIN TAYIB @ HAJI MOHAMED TAIB,MALE,,1812,,,,,,,,,,,,,
P.8_N.12,KEDAH,P.8,KOTA SETAR,N.12,BUKIT RAYA,BN - PAS,,14471,7701,72.72,10524,649,9875,PAS,ISMAIL KASSIM,MALE,,8788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,MAN BIN SAID,MALE,,1087,LOST DEPOSIT,,,,,,,,,,,,
P.9_N.13,KEDAH,P.9,ULU MUDA,N.13,SIK,BN - PAS,Y,9576,,,,,,PAS,HARUN BIN JUSOH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.9_N.14,KEDAH,P.9,ULU MUDA,N.14,PENDANG,BN - UMNO,,15678,7263,73.6,11539,185,11354,UMNO,SHOFIROL BIN HAJI HASHIM,MALE,,9057,,PSRM,YUNUS BIN MOHAMAD,MALE,,503,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,USTAZ HAMZAH,MALE,,1794,,,,,,,,,,,,,
P.10_N.15,KEDAH,P.10,BALING,N.15,BAYU,INDEPENDENT,,15522,1822,77.3,11999,153,11846,UMNO,HARUN BIN ABDULLAH,MALE,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - WAU,ABDUL RASHID  MEHAD,MALE,,6834,,,,,,,,,,,,,
P.10_N.16,KEDAH,P.10,BALING,N.16,KUPANG,BN - PAS,Y,17809,,,,,,PAS,MOHD. ROMLI BIN ABDULLAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_N.17,KEDAH,P.11,JERAI,N.17,SALA,BN - PAS,,12530,5876,70.43,8825,169,8656,PAS,HAJI YAHAYA BIN JUNID,MALE,,7266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - WAU,IBRAHIM BIN AHMAD,MALE,,1390,,,,,,,,,,,,,
P.11_N.18,KEDAH,P.11,JERAI,N.18,YAN,BN - UMNO,Y,16735,,,,,,UMNO,ABDULLAH BIN ISMAIL,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_N.19,KEDAH,P.12,KUALA MUDA,N.19,JENIANG,BN - UMNO,,13255,5480,71.88,9528,210,9318,UMNO,ZAINOL ABIDIN JOHARI,MALE,,7399,,PSRM,SAAD BIN MAT,MALE,,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_N.20,KEDAH,P.12,KUALA MUDA,N.20,MERBOK,BN - UMNO,,15464,4775,74.26,11483,216,11267,UMNO,MANSUR AKIL,MALE,,8021,,PSRM,AHMAD BIN YAHAYA,MALE,,3246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.13_N.21,KEDAH,P.13,SUNGAI PETANI,N.21,TIKAM BATU,BN - GERAKAN,,25783,7547,74.16,19120,1101,18019,GERAKAN,ONG BOON SEONG,MALE,,11752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,HARUN HAJI CHIK,MALE,,4205,,INDEPENDENT - AEROPLANE,MAT HASSAN BIN ABDUL,MALE,,2062,LOST DEPOSIT,,,,,,
P.13_N.22,KEDAH,P.13,SUNGAI PETANI,N.22,KUALA KETIL,BN - UMNO,,11343,4695,75.62,8578,637,7941,UMNO,HJ. MOHD. MUSLIM BIN HJ. OTHMAN,MALE,,5931,,PSRM,HASSAN MAT AMIN,MALE,,774,LOST DEPOSIT,,,,,,,,,,,,,KITA,MUNIYANDY S/O RAMALINGAM,MALE,,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.14_N.23,KEDAH,P.14,PADANG SERAI,N.23,LUNAS,BN - MCA,Y,14803,,,,,,MCA,DATO' SOON CHENG LEONG,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.14_N.24,KEDAH,P.14,PADANG SERAI,N.24,MERBAU PULAS,BN - UMNO,,9433,2039,72.21,6812,379,6433,UMNO,MUSTAFFA BIN KASSIM,MALE,,4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,HAJI ISHAK BIN HAJI TAIB,MALE,,2197,,,,,,,,,,,,,
P.15_N.25,KEDAH,P.15,KULIM-BANDAR BAHARU,N.25,KULIM,BN - MCA,Y,14339,,,,,,MCA,LEONG MAN KAI,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.15_N.26,KEDAH,P.15,KULIM-BANDAR BAHARU,N.26,SERDANG,BN - UMNO,,13459,3679,75.49,10160,817,9343,UMNO,ISMAIL BIN DAHALAN,MALE,,6511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,ABDUL AZIZ BIN H. KASSIM,MALE,,2832,,,,,,,,,,,,,
P.16_N.1,KELANTAN,P.16,TUMPAT,N.1,SIMPANGAN,BN - PAS,,9966,2307,72.36,7211,476,6735,PAS,HUSSAIN BIN ABDULLAH,MALE,,4521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,TAHIR BIN ABDUL AZIZ,MALE,,2214,,,,,,,,,,,,,
P.16_N.2,KELANTAN,P.16,TUMPAT,N.2,SUNGAI PINANG,BN - UMNO,,11699,3909,70.83,8286,449,7837,UMNO,CHE LAT BIN KASSIM,MALE,,5873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,CHE HASSAN ISHAK,MALE,,1964,,,,,,,,,,,,,
P.16_N.3,KELANTAN,P.16,TUMPAT,N.3,WAKAF BAHARU,BN - UMNO,,12054,3239,73.77,8892,609,8283,UMNO,CIK OMAR BIN AWANG KECHIK,MALE,,5761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,HJ. WAN IDRIS,MALE,,2522,,,,,,,,,,,,,
P.17_N.4,KELANTAN,P.17,PENGKALAN CHEPA,N.4,SEMUT API,BN - PAS,,9159,2431,71.71,6568,660,5908,PAS,WAN MAT,MALE,,3663,,PSRM,NIK MOHD. ZIZ,MALE,,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,CIK GU IBRAHIM BIN ABDULLAH,MALE,,1013,,,,,,,,,,,,,
P.17_N.5,KELANTAN,P.17,PENGKALAN CHEPA,N.5,KEMUMIN,BN - PAS,,8597,2120,70.04,6021,547,5474,PAS,USTAZ LAH BUANG,MALE,,3672,,PSRM,ABDULLAH BIN JAAFAR,MALE,,250,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,UMAR BIN IBRAHIM,MALE,,1552,,,,,,,,,,,,,
P.17_N.6,KELANTAN,P.17,PENGKALAN CHEPA,N.6,SERING,BN - PAS,,9483,3553,70.35,6671,588,6083,PAS,PAK NIH LAH,MALE,,4818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,CIK HASSAN,MALE,,1265,,,,,,,,,,,,,
P.18_N.7,KELANTAN,P.18,PASIR MAS,N.7,TENDONG,BN - PAS,,10445,5050,73.41,7668,668,7000,PAS,DATUK HAJI MOHAMED NASIR,MALE,58,5708,,PSRM,YUSOFF BIN ISMAIL,MALE,,634,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,ABDUL AZIZ ABDULLAH,MALE,,658,LOST DEPOSIT,,,,,,,,,,,,
P.18_N.8,KELANTAN,P.18,PASIR MAS,N.8,MERANTI,BN - PAS,,9130,3132,67.84,6194,430,5764,PAS,DATUK NIK MAN,MALE,,4448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,HANIFA BIN AHMAD,MALE,,1316,,,,,,,,,,,,,
P.18_N.9,KELANTAN,P.18,PASIR MAS,N.9,BANDAR PASIR MAS,BN - PAS,,10052,2654,67.63,6798,456,6342,PAS,HASHIM BIN HAJI OMAR,MALE,,4498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,TENGKU ISKANDAR BIN TENGKU AHMED,MALE,,1844,,,,,,,,,,,,,
P.19_N.10,KELANTAN,P.19,KOTA BAHARU,N.10,SUNGAI KELADI,BN - MCA,,14008,4248,63.24,8859,203,8656,MCA,FOO CHOW YONG,MALE,,6452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,AB. MAJID BIN AHMAD,MALE,,2204,,,,,,,,,,,,,
P.19_N.11,KELANTAN,P.19,KOTA BAHARU,N.11,TELIPOK,BN - PAS,,10761,4210,63.41,6824,159,6665,PAS,HASSAN BIN HAJI YAACOB @ CHE HASSAN BIN CHE KOB,MALE,,5010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,CHE ISMAIL BIN CHE ABDULLAH,MALE,,800,LOST DEPOSIT,INDEPENDENT - TIGER,YAHYA BIN HARUN,MALE,,391,LOST DEPOSIT,INDEPENDENT - KEY,MUSTAPHA BIN MUHAMAD,MALE,,464,LOST DEPOSIT
P.19_N.12,KELANTAN,P.19,KOTA BAHARU,N.12,KUBANG KERIAN,BN - PAS,,11185,3373,71.52,8000,183,7817,PAS,SALAHUDDIN ABDULLAH,MALE,,5595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,MOHD. NORDDIN BIN HAJI AHMAD (DUN TO'KENALI),MALE,,2222,,,,,,,,,,,,,
P.20_N.13,KELANTAN,P.20,BACHOK,N.13,TAWANG,BN - PAS,,10032,5509,74.26,7450,162,7288,PAS,USTAZ NOR,MALE,,6087,,PSRM,ISMAIL BIN AWANG,MALE,,353,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,ZARAWI BIN MOHAMMAD,MALE,,578,LOST DEPOSIT,INDEPENDENT - BICYCLE,ABD. GHANI BIN KUNDOR,MALE,,270,LOST DEPOSIT,,,,,,
P.20_N.14,KELANTAN,P.20,BACHOK,N.14,PERUPOK,BN - PAS,,8392,4260,74.88,6284,152,6132,PAS,HAJI MUSTAPHA HAJI OTHMAN,MALE,,5196,,PSRM,IBRAHIM BIN ALI,MALE,,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.20_N.15,KELANTAN,P.20,BACHOK,N.15,JELAWAT,BN - UMNO,,9797,5350,70.41,6898,136,6762,UMNO,USTAZ MOHD. HAJI YACOB,MALE,48,6056,,PSRM,CHE ABDUL HADI BIN HAJI CHE JAAFAR,MALE,,706,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.21_N.16,KELANTAN,P.21,RANTAU PANJANG,N.16,GUAL PERIOK,BN - UMNO,,6443,2975,72.53,4673,294,4379,UMNO,CIKGU HUSSIN AHMAD,MALE,,3677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,AB. HAMID BIN AB. RAZAK,MALE,,702,,,,,,,,,,,,,
P.21_N.17,KELANTAN,P.21,RANTAU PANJANG,N.17,LEMAL,BN - PAS,,7403,2983,69.23,5125,422,4703,PAS,HAJI HARON BIN HAJI SULONG,MALE,,3707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,MOHAMED FAKARUDDIN,MALE,,724,,INDEPENDENT - CANDLE,HAJI AB. RAHMAN,MALE,,272,LOST DEPOSIT,,,,,,
P.21_N.18,KELANTAN,P.21,RANTAU PANJANG,N.18,TOK UBAN,BN - PAS,,8168,2298,74.89,6117,530,5587,PAS,CHE MUSA BIN MUHAMMAD,MALE,,3452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,ABDULLAH BIN CHE MAN,MALE,,981,,INDEPENDENT - BUS,WAN HASSAN BIN WAN DAUD,MALE,,1154,,,,,,,
P.22_N.19,KELANTAN,P.22,NILAM PURI,N.19,SALOR,BN - PAS,,10174,4336,74.34,7564,652,6912,PAS,PAK SU MAN,MALE,,5624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,ZAKARIA BIN YUSUFF,MALE,,1288,,,,,,,,,,,,,
P.22_N.20,KELANTAN,P.22,NILAM PURI,N.20,KETEREH,BN - PAS,,9139,1748,78.55,7179,356,6823,PAS,DATUK HJ. ISHAK LOFTI,MALE,57,4150,,PSRM,HAMZAH BIN ABU BAKAR,MALE,,271,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,MUHAMMAD SHAH BIN AWANG,MALE,,2402,,,,,,,,,,,,,
P.22_N.21,KELANTAN,P.22,NILAM PURI,N.21,PERINGAT,BN - PAS,,9213,3206,69.46,6399,471,5928,PAS,CIKGU HAMID,MALE,,4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,MOHAMED YUSUF BIN BEDUL,MALE,,1361,,,,,,,,,,,,,
P.23_N.22,KELANTAN,P.23,TANAH MERAH,N.22,BUKIT PANAU,BN - PAS,,8043,4527,76.39,6144,112,6032,PAS,HAJI OMAR BIN MAMAT,MALE,,4969,,PSRM,HAJI HUSSIN,MALE,,432,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,YUSOF BIN ABDUL LATIFF,MALE,,442,LOST DEPOSIT,INDEPENDENT - TIGER,SHAHIDIN BIN HJ. AB. RAHMAN,MALE,,189,LOST DEPOSIT,,,,,,
P.23_N.23,KELANTAN,P.23,TANAH MERAH,N.23,LANAS,BN - UMNO,,5193,1013,81.92,4254,89,4165,UMNO,USTAZ AB. SAMAT BIN HAJI DRAHMAN,MALE,,2470,,PSRM,MAT HAJI HUSSIN,MALE,,238,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,HAJI ZAINAL ABIDIN BIN YAACOB,MALE,,1457,,,,,,,,,,,,,
P.23_N.24,KELANTAN,P.23,TANAH MERAH,N.24,GUAL IPOH,BN - UMNO,,6766,3329,83.06,5620,139,5481,UMNO,CIK GU MUSTAFA,MALE,,4405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,SHAFII BIN ABDUL RAHMAN,MALE,,1076,,,,,,,,,,,,,
P.24_N.25,KELANTAN,P.24,MACHANG,N.25,PULAI CHONDONG,BN - UMNO,,7536,3193,84.57,6373,392,5981,UMNO,CIKGU LAH,MALE,,4587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,ABDUL SHUKOR BIN YAACOB,MALE,,1394,,,,,,,,,,,,,
P.24_N.26,KELANTAN,P.24,MACHANG,N.26,BANDAR MACHANG,BN - UMNO,,9944,1922,81.32,8086,488,7598,UMNO,IRBAHIM BIN MOHAMED,MALE,,4760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,PAK CU DIN,MALE,,2838,,,,,,,,,,,,,
P.24_N.27,KELANTAN,P.24,MACHANG,N.27,SUNGAI RASAU,BN - PAS,,5933,2397,79.45,4714,199,4515,PAS,WAN ISMAIL,MALE,,3205,,PSRM,MOHD. ZAIN BIN AB. SAMAD,MALE,,243,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,CHEK GU LI,MALE,,259,LOST DEPOSIT,INDEPENDENT - WAU,MOHAMAD CETONG,MALE,,808,,,,,,,
P.25_N.28,KELANTAN,P.25,PASIR PUTEH,N.28,SELISING,BN - PAS,,10638,207,76.4,8127,548,7579,PAS,USTAZ HAJI AB. KADIR,MALE,,3893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,ABDUL RAHMAN BIN HAJI AHMAD,MALE,,3686,,,,,,,,,,,,,
P.25_N.29,KELANTAN,P.25,PASIR PUTEH,N.29,BANDAR PASIR PUTEH,BN - UMNO,,8716,3018,73.5,6406,243,6163,UMNO,RAJA MAHMUD BIN RAJA MAMAT,MALE,,4450,,PSRM,USTAZ ABDULLAH BIN HAJI MOHAMED,MALE,,281,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,CIKGU MUSA SALLEH,MALE,,1432,,,,,,,,,,,,,
P.25_N.30,KELANTAN,P.25,PASIR PUTEH,N.30,CHERANG RUKU,BN - UMNO,,8730,4683,75.97,6632,277,6355,UMNO,WAN OMAR BIN WAN MAJID,MALE,,5519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,TENGKU ABD. RAZAK,MALE,,836,,,,,,,,,,,,,
P.26_N.31,KELANTAN,P.26,KUALA KERAI,N.31,TEMANGAN,BN - PAS,,5921,2788,83.99,4973,307,4666,PAS,DR. NIK HUSSAIN,MALE,,3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,AB. HANA BIN AB. SALAM,MALE,,939,,,,,,,,,,,,,
P.26_N.32,KELANTAN,P.26,KUALA KERAI,N.32,GUCHIL,BN - PAS,,5818,2172,78.22,4551,398,4153,PAS,MOHAMMAD BIN AWANG,MALE,,2853,,PSRM,AB. RAHMAN BIN HAJI YAHYA,MALE,,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,HAJAH MAHFUZAH ISMAIL ALI,FEMALE,,681,,,,,,,,,,,,,
P.26_N.33,KELANTAN,P.26,KUALA KERAI,N.33,PAHI,BN - UMNO,,5593,2410,74.27,4154,331,3823,UMNO,ABDUL AZIZ BIN TALIB,MALE,,2928,,PSRM,HASSAN BIN MOHAMED,MALE,,518,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,KERANI SAMAD,MALE,,377,LOST DEPOSIT,,,,,,,,,,,,
P.27_N.34,KELANTAN,P.27,ULU KELANTAN,N.34,JELI,BN - PAS,,5327,2462,81.6,4347,61,4286,PAS,NIK MUSTAFFA @ JEK,MALE,,3374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,DAUD YATIMEE BIN AHMAD,MALE,,912,,,,,,,,,,,,,
P.27_N.35,KELANTAN,P.27,ULU KELANTAN,N.35,GUA MUSANG,BN - UMNO,Y,7296,,,,,,UMNO,ABDUL GHANI BIN ABU BAKAR,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.27_N.36,KELANTAN,P.27,ULU KELANTAN,N.36,MANEK URAI,BN - UMNO,,4855,1455,71.14,3454,87,3367,UMNO,HUSSEIN SULAIMAN,MALE,,2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,WAN ABDULLAH BIN WAN SU,MALE,,956,,,,,,,,,,,,,
P.28_N.1,TRENGGANU,P.28,BESUT,N.1,KUALA BESUT,BN - PAS,,7328,2378,76.79,5627,191,5436,PAS,HUSIN BIN JUSOH,MALE,,3907,,PSRM,HAJI WAN ALI BIN JUSOH,MALE,,1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.2,TRENGGANU,P.28,BESUT,N.2,KAMPONG RAJA,BN - UMNO,Y,6962,,,,,,UMNO,ABU BAKAR BIN AHMAD,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.3,TRENGGANU,P.28,BESUT,N.3,BUKIT KENAK,BN - UMNO,,6809,2829,73.83,5027,176,4851,UMNO,ABDULLAH BIN JUSOH,MALE,,3840,,PSRM,TENGKU NAWAWI PUTRA,MALE,,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.4,TRENGGANU,P.28,BESUT,N.4,ULU BESUT,BN - UMNO,,6845,2774,73.29,5017,155,4862,UMNO,HUSIN BIN HJ. ABDULLAH,MALE,,3768,,PSRM,DAUD BIN ABDUL KADIR,MALE,,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,CHEONG ENG,MALE,,100,LOST DEPOSIT,,,,,,,,,,,,
P.29_N.5,TRENGGANU,P.29,ULU NERUS,N.5,SETIU,BN - UMNO,,5865,1559,77.41,4540,605,3935,UMNO,TENGKU MAHMUD BIN MANSOR,MALE,,2747,,PSRM,AWANG ALI,MALE,,1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.6,TRENGGANU,P.29,ULU NERUS,N.6,LANGKAP,BN - UMNO,,5926,1036,76.97,4561,255,4306,UMNO,SALLEH BIN MOHAMED,MALE,,2671,,PSRM,TENGKU AHMAD BIN TENGKU HUSSAIN,MALE,,1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.7,TRENGGANU,P.29,ULU NERUS,N.7,BATU RAKIT,BN - UMNO,,5536,872,77.76,4305,315,3990,UMNO,DATUK ABDULLAH BIN ABDUL RAHMAN @ DATUK  BIJAYA DI RAJA,MALE,,2431,,PSRM,ABDUL HAMED BIN EMBONG,MALE,,1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.8,TRENGGANU,P.29,ULU NERUS,N.8,SEBERANG TAKIR,BN - UMNO,,6564,563,70.38,4620,253,4367,UMNO,RASHID BIN NGAH,MALE,36,2465,,PSRM,HAJI MOHD. NAPIS BIN MOHAMED,MALE,,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.9,TRENGGANU,P.30,ULU TRENGGANU,N.9,TELEMONG,BN - UMNO,,4881,1275,86.19,4207,309,3898,UMNO,AHMAD SIDI BIN HAJI ISMAIL,MALE,,2314,,PSRM,SALLEH BIN MOHAMED,MALE,,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,MAT ALI BIN IDRIS,MALE,,330,LOST DEPOSIT,INDEPENDENT - BOOK,MAMAT BIN IBRAHIM,MALE,,215,LOST DEPOSIT,,,,,,
P.30_N.10,TRENGGANU,P.30,ULU TRENGGANU,N.10,BINJAI,BN - UMNO,,6975,2786,76.75,5353,379,4974,UMNO,ABD. RAHMAN BIN ALI,MALE,,3624,,PSRM,ABDUL FATAH B. JALIL,MALE,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TIGER,HASSAN BIN HUSSEIN,MALE,,512,LOST DEPOSIT,,,,,,,,,,,,
P.30_N.11,TRENGGANU,P.30,ULU TRENGGANU,N.11,TANGGOL,BN - UMNO,,5939,1534,78.63,4670,305,4365,UMNO,HAJI SALLEH BIN ISMAIL,MALE,,2869,,PSRM,HASHIM BIN MOHD,MALE,,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - WAU,SETIA BIN ABU BAKAR,MALE,,161,LOST DEPOSIT,,,,,,,,,,,,
