UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.1,PERLIS,P.1,KANGAR,BN - UMNO,SHAARI BIN JUSOH,MALE,,
P.2,PERLIS,P.2,ARAU,BN - UMNO,SYED HASSAN BIN SYED MOHAMAD,MALE,,
P.3,KEDAH,P.3,JERLUN-LANGKAWI,BN - UMNO,DATO' SYED NAHAR BIN TUN SYED SHEH SHAHABUDDIN,MALE,40,Y
P.4,KEDAH,P.4,KUBANG PASU,BN - UMNO,DR MAHATHIR BIN MOHAMAD,MALE,49,Y
P.5,KEDAH,P.5,PADANG TERAP,BN - PAS,AHMAD SHUKRI BIN HAJI ABDUL SHUKUR,MALE,,Y
P.6,KEDAH,P.6,KUALA KEDAH,BN - UMNO,SENU BIN ABDUL RAHMAN,MALE,55,
P.7,KEDAH,P.7,ALOR SETAR,BN - MCA,OO GIN SUN,MALE,,
P.8,KEDAH,P.8,KOTA SETAR,BN - PAS,ABU BAKAR BIN UMAR (ABU BAKAR UMAR),MALE,41,
P.9,KEDAH,P.9,ULU MUDA,BN - PAS,TUAN HAJI YUSOF BIN HAJI ABDULLAH,MALE,,Y
P.10,KEDAH,P.10,BALING,BN - UMNO,SHAFIE BIN ABDULLAH,MALE,,Y
P.11,KEDAH,P.11,JERAI,BN - UMNO,SANUSI BIN JUNID,MALE,31,Y
P.12,KEDAH,P.12,KUALA MUDA,BN - UMNO,HAJI MOHAMED KHIR BIN JOHARI,MALE,51,Y
P.13,KEDAH,P.13,SUNGAI PETANI,BN - UMNO,WAN ZAINAB BINTI M.A. BAKAR,FEMALE,,
P.14,KEDAH,P.14,PADANG SERAI,BN - MCA,LIM AH YING @KIAM HOON,MALE,,Y
P.15,KEDAH,P.15,KULIM-BANDAR BAHARU,BN - UMNO,AZAHARI BIN MD. TAIB,MALE,50,
P.16,KELANTAN,P.16,TUMPAT,BN - UMNO,TENGKU NOORASIH BINTI TENGKU AHMED,FEMALE,44,
P.17,KELANTAN,P.17,PENGKALAN CHEPA,BN - PAS,USTAZ NIK AZIZ,MALE,43,
P.18,KELANTAN,P.18,PASIR MAS,BN - PAS,TENGKU ZAID,MALE,,
P.19,KELANTAN,P.19,KOTA BAHARU,BN - UMNO,TENGKU AHMAD RITHAUDDEEN BIN TENGKU ISMAIL,MALE,46,Y
P.20,KELANTAN,P.20,BACHOK,BN - PAS,MOHD. ZAIN BIN ABDULLAH,MALE,,Y
P.21,KELANTAN,P.21,RANTAU PANJANG,BN - PAS,TUAN GURU HAJI ZAKARIA BIN ISMAIL,MALE,,
P.22,KELANTAN,P.22,NILAM PURI,BN - PAS,DATUK ASRI,MALE,51,
P.23,KELANTAN,P.23,TANAH MERAH,BN - UMNO,MOHAMED BIN YAACOB,MALE,48,Y
P.24,KELANTAN,P.24,MACHANG,BN - UMNO,DATUK HAJI ABDULLAH AHMAD,MALE,37,
P.25,KELANTAN,P.25,PASIR PUTEH,BN - PAS,WAN SULAIMAN BIN HAJI IBRAHIM,MALE,,
P.26,KELANTAN,P.26,KUALA KERAI,BN - PAS,ZAHARA AWANG,FEMALE,,
P.27,KELANTAN,P.27,ULU KELANTAN,BN - UMNO,TENGKU RAZALEIGH BIN MOHD. HAMZAH,MALE,,Y
P.28,TRENGGANU,P.28,BESUT,BN - UMNO,ZAKARIA @ IBRAHIM BIN ABDUL RAHMAN,MALE,,Y
P.29,TRENGGANU,P.29,ULU NERUS,BN - PAS,LUKMAN BIN ABDUL KADIR,MALE,,
