UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.16_N.1,KELANTAN,P.16,TUMPAT,N.1,SIMPANGAN,BN - PAS,HUSSAIN BIN ABDULLAH,MALE,,
P.16_N.2,KELANTAN,P.16,TUMPAT,N.2,SUNGAI PINANG,BN - UMNO,CHE LAT BIN KASSIM,MALE,,
P.16_N.3,KELANTAN,P.16,TUMPAT,N.3,WAKAF BAHARU,BN - UMNO,CIK OMAR BIN AWANG KECHIK,MALE,,
P.17_N.4,KELANTAN,P.17,PENGKALAN CHEPA,N.4,SEMUT API,BN - PAS,WAN MAT,MALE,,
P.17_N.5,KELANTAN,P.17,PENGKALAN CHEPA,N.5,KEMUMIN,BN - PAS,USTAZ LAH BUANG,MALE,,
P.17_N.6,KELANTAN,P.17,PENGKALAN CHEPA,N.6,SERING,BN - PAS,PAK NIH LAH,MALE,,
P.18_N.7,KELANTAN,P.18,PASIR MAS,N.7,TENDONG,BN - PAS,DATUK HAJI MOHAMED NASIR,MALE,58,
P.18_N.8,KELANTAN,P.18,PASIR MAS,N.8,MERANTI,BN - PAS,DATUK NIK MAN,MALE,,
P.18_N.9,KELANTAN,P.18,PASIR MAS,N.9,BANDAR PASIR MAS,BN - PAS,HASHIM BIN HAJI OMAR,MALE,,
P.19_N.10,KELANTAN,P.19,KOTA BAHARU,N.10,SUNGAI KELADI,BN - MCA,FOO CHOW YONG,MALE,,
P.19_N.11,KELANTAN,P.19,KOTA BAHARU,N.11,TELIPOK,BN - PAS,HASSAN BIN HAJI YAACOB @ CHE HASSAN BIN CHE KOB,MALE,,
P.19_N.12,KELANTAN,P.19,KOTA BAHARU,N.12,KUBANG KERIAN,BN - PAS,SALAHUDDIN ABDULLAH,MALE,,
P.20_N.13,KELANTAN,P.20,BACHOK,N.13,TAWANG,BN - PAS,USTAZ NOR,MALE,,
P.20_N.14,KELANTAN,P.20,BACHOK,N.14,PERUPOK,BN - PAS,HAJI MUSTAPHA HAJI OTHMAN,MALE,,
P.20_N.15,KELANTAN,P.20,BACHOK,N.15,JELAWAT,BN - UMNO,USTAZ MOHD. HAJI YACOB,MALE,48,
P.21_N.16,KELANTAN,P.21,RANTAU PANJANG,N.16,GUAL PERIOK,BN - UMNO,CIKGU HUSSIN AHMAD,MALE,,
P.21_N.17,KELANTAN,P.21,RANTAU PANJANG,N.17,LEMAL,BN - PAS,HAJI HARON BIN HAJI SULONG,MALE,,
P.21_N.18,KELANTAN,P.21,RANTAU PANJANG,N.18,TOK UBAN,BN - PAS,CHE MUSA BIN MUHAMMAD,MALE,,
P.22_N.19,KELANTAN,P.22,NILAM PURI,N.19,SALOR,BN - PAS,PAK SU MAN,MALE,,
P.22_N.20,KELANTAN,P.22,NILAM PURI,N.20,KETEREH,BN - PAS,DATUK HJ. ISHAK LOFTI,MALE,57,
P.22_N.21,KELANTAN,P.22,NILAM PURI,N.21,PERINGAT,BN - PAS,CIKGU HAMID,MALE,,
P.23_N.22,KELANTAN,P.23,TANAH MERAH,N.22,BUKIT PANAU,BN - PAS,HAJI OMAR BIN MAMAT,MALE,,
P.23_N.23,KELANTAN,P.23,TANAH MERAH,N.23,LANAS,BN - UMNO,USTAZ AB. SAMAT BIN HAJI DRAHMAN,MALE,,
P.23_N.24,KELANTAN,P.23,TANAH MERAH,N.24,GUAL IPOH,BN - UMNO,CIK GU MUSTAFA,MALE,,
P.24_N.25,KELANTAN,P.24,MACHANG,N.25,PULAI CHONDONG,BN - UMNO,CIKGU LAH,MALE,,
