UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,USNO,USNO CANDIDATE,USNO CANDIDATE SEX,USNO CANDIDATE AGE,USNO VOTE,USNO CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P. 137_N. 11,SABAH,P. 137,TUARAN,N. 11,SULAMAN,USNO,,7693,1059,76.95,5920,83,5837,BERJAYA,ANSARI ABDULLAH,MALE,,1428,,USNO,DATU ABDUL HAMID,MALE,,2678,,PBS,PATRICK JILAN @ NASIP,MALE,,1619,,BERSEPADU,RASTAM BIN BODON,MALE,,37,LOST DEPOSIT,,,,,,,BERSIH,ANING BIN ATAM,MALE,,50,LOST DEPOSIT,INDEPENDENT,MADRUS BIN YUNUS,MALE,,25,LOST DEPOSIT,,,,,,
P. 137_N. 12,SABAH,P. 137,TUARAN,N. 12,KIULU,PBS,,5991,827,76.05,4556,73,4483,BERJAYA,TOH PUAN HAJJAH RAHIMAH STEPHENS,FEMALE,,1462,,USNO,ABDUL KADIR BABA,MALE,,637,,PBS,GISIN LOMBUT,MALE,,2289,,BERSEPADU,GAIBIN BIN RANSOI,MALE,,45,LOST DEPOSIT,,,,,,,BERSIH,ABDUL KAHIM BIN ABDUL SANIP,MALE,,36,LOST DEPOSIT,INDEPENDENT,ISMAIL BIN TALIP @ ISMAIL BIN TAIB,MALE,,14,LOST DEPOSIT,,,,,,
P. 138_N. 13,SABAH,P. 138,KINABALU,N. 13,KUNDASANG,PBS,,8055,404,75.37,6071,183,5888,BERJAYA,MYNOOR GINGGOR,MALE,,1450,,USNO,ABDUL RAHMAN KIMBUYU,MALE,,1968,,PBS,EWON EBIN,MALE,,2372,,BERSEPADU,JAFFREN DANGGAL,MALE,,98,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 138_N. 14,SABAH,P. 138,KINABALU,N. 14,RANAU,PBS,,7006,1184,74.79,5240,114,5126,BERJAYA,HJ. JIRIN BIN SALIUN,MALE,,906,,USNO,ABDUL MOMEN BIN AJAK,MALE,,1518,,PBS,MARK KODING,MALE,,2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 139_N. 15,SABAH,P. 139,JAMBONGAN,N. 15,SUGUT,USNO,,4643,81,55.4,2572,83,2489,BERJAYA,PG. ABDUL KHAFID BIN DATUK PG. SALLEH,MALE,,626,,USNO,AMPONG BIN PUYON,MALE,,803,,PBS,JUBLEE BIN KK ZEN,MALE,,722,,BERSEPADU,ZIKIRI B. AJAD,MALE,,260,LOST DEPOSIT,,,,,,,BERSIH,PUDAH BIN ANGGUY,MALE,,78,LOST DEPOSIT,,,,,,,,,,,,
P. 139_N. 16,SABAH,P. 139,JAMBONGAN,N. 16,LABUK,PBS,,6036,548,71.62,4323,150,4173,BERJAYA,PAUL BAKLIN,MALE,,1179,,USNO,JABRIN BIN YAHIYA,MALE,,1080,,PBS,TAN YONG GEE,MALE,,1727,,BERSEPADU,ABDUL RAZAK BIN MOHD HARRIS,MALE,,71,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,MOHAMAD OMAR BIN AMSULONG,MALE,,116,LOST DEPOSIT,,,,,,
P. 139_N. 17,SABAH,P. 139,JAMBONGAN,N. 17,SUNGAI SIBUGA,PBS,,8625,129,70.5,6081,65,6016,BERJAYA,HASSNAR BIN EBRAHIM,MALE,,1664,,USNO,AHMAD THAMRIN BIN HAJI MOHD. JAINI,MALE,,2054,,PBS,CHU THAU HIEN,MALE,,2183,,,,,,,,,,,,,,BERSIH,LAHAM BIN KAHAR,MALE,,87,LOST DEPOSIT,INDEPENDENT,H. LAWRENCE PIKI,MALE,,28,LOST DEPOSIT,,,,,,
P. 140_N. 18,SABAH,P. 140,SANDAKAN,N. 18,ELOPURA,PBS,,10407,171,71.62,7453,60,7393,BERJAYA,DATUK YAP PAK LEONG,MALE,,2557,,USNO,PUAN NORJAN KHAN BADAR,FEMALE,,1295,,PBS,THAM NYIP SHEN,MALE,,2728,,DAP,PATRICK HO NYEN CHING,MALE,,813,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 140_N. 19,SABAH,P. 140,SANDAKAN,N. 19,TANJONG PAPAT,PBS,,11082,199,71.62,7937,53,7884,BERJAYA,WONG SOON YU,MALE,,3014,,,,,,,,PBS,TAN KIT SHER,MALE,,3213,,DAP,FUNG KET WING,MALE,,1657,,,,,,,,,,,,,,,,,,,,,,,,,
P. 140_N. 20,SABAH,P. 140,SANDAKAN,N. 20,KARAMUNTING,BN - BERJAYA,,9809,334,73.69,7228,48,7180,BERJAYA,LAU PUI KEONG,MALE,,2812,,USNO,ABDULLAH BIN HJ. SHAIBIL,MALE,,1245,,PBS,NGUI KON FOH @ DAVID NGUI TET SHIUNG,MALE,,2478,,DAP,FUNG THIAM FU,MALE,,645,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
