UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.044_N.11,PULAU PINANG,P.044,PERMATANG PAUH,N.11,PERMATANG PASIR,PH - PAN,24811,2981,87.3,21659,191,54,21414,UMNO,ANUAR FAISAL BIN YAHAYA,MALE,40,4979,,PAN,FAIZ FADZIL,MALE,41,9708,,PAS,USTAZ MUHAMMAD FAUZI BIN YUSOFF,MALE,42,6727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.044_N.12,PULAU PINANG,P.044,PERMATANG PAUH,N.12,PENANTI,PH - PKR,21437,2944,86.42,18526,176,61,18289,UMNO,SUHAIMI BIN SABUDIN,MALE,46,5277,,PKR,HJH DR NORLELA ARIFFIN,FEMALE,55,8221,,PAS,USTAZ MUHAMMAD FAWWAZ BIN MOHAMAD JAN,MALE,35,4791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.045_N.13,PULAU PINANG,P.045,BUKIT MERTAJAM,N.13,BERAPIT,PH - DAP,23779,16981,84.98,20207,202,41,19964,MCA,GOH SWEE GIM,FEMALE,55,1397,LOST DEPOSIT,DAP,HENG LEE LEE,FEMALE,39,18378,,,,,,,,PRM,SONG CHEE MENG,MALE,,84,LOST DEPOSIT,,,,,,,PFP,LEE POH KONG,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,
P.045_N.14,PULAU PINANG,P.045,BUKIT MERTAJAM,N.14,MACHANG BUBUK,PH - PKR,37260,16747,86.25,32138,376,132,31630,MCA,TAN TEIK CHENG,MALE,57,4658,,PKR,LEE KHAI LOON,MALE,40,21819,,PAS,MD JAMIL ABD RAHMAN,MALE,,5072,,PRM,TANG AH BA,MALE,,53,LOST DEPOSIT,MUP,LIM JHUN HOU,MALE,23,28,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.045_N.15,PULAU PINANG,P.045,BUKIT MERTAJAM,N.15,PADANG LALANG,PH - DAP,27959,18364,84.75,23694,224,51,23419,MCA,KUAN HIN YEEP,MALE,48,2400,LOST DEPOSIT,DAP,CHONG ENG,FEMALE,61,20764,,,,,,,,PRM,LAI YEAN NEE,FEMALE,,154,LOST DEPOSIT,,,,,,,PFP,LIEW EE JIN,,,101,LOST DEPOSIT,,,,,,,,,,,,
P.046_N.16,PULAU PINANG,P.046,BATU KAWAN,N.16,PERAI,PH - DAP,17032,9049,81.14,13819,168,17,13634,MIC,M. SURESH,MALE,57,2194,,DAP,PROF. P. RAMASAMY,MALE,69,11243,,PAP,ASOGHAN A/L GOVINDARAJU,MALE,,33,LOST DEPOSIT,PRM,SAMUGANATHAN A/L MUNIANDY,MALE,,37,LOST DEPOSIT,,,,,,,PFP,OOI KHAR GIAP,MALE,50,104,LOST DEPOSIT,INDEPENDENT - CLOCK,R.KUMARY,FEMALE,,23,LOST DEPOSIT,,,,,,
P.046_N.17,PULAU PINANG,P.046,BATU KAWAN,N.17,BUKIT TENGAH,PH - PKR,22276,8558,86.16,19192,215,30,18947,GERAKAN,DR. THOR TEONG GEE,MALE,46,3977,,PKR,GOOI HSIAO-LEUNG,MALE,46,12535,,PAS,NORAZMAN BIN ISHAK,MALE,,2355,LOST DEPOSIT,PRM,TANG HIANG LYE,MALE,,53,LOST DEPOSIT,,,,,,,PFP,EDWARD JOSEPH,MALE,61,27,LOST DEPOSIT,,,,,,,,,,,,
P.046_N.18,PULAU PINANG,P.046,BATU KAWAN,N.18,BUKIT TAMBUN,PH - PKR,26086,14880,86.08,22455,253,48,22154,GERAKAN,HARTINI TAN,FEMALE,,3184,,PKR,GOH CHOON AIK,MALE,44,18064,,PAS,KUMARAVELU A/L ARUMUGAM,MALE,,735,LOST DEPOSIT,PRM,GOH B. KOON,MALE,,117,LOST DEPOSIT,,,,,,,PFP,ONG SEONG LU,MALE,,54,LOST DEPOSIT,,,,,,,,,,,,
P.047_N.19,PULAU PINANG,P.047,NIBONG TEBAL,N.19,JAWI,PH - DAP,26699,13371,85.31,22778,377,56,22345,GERAKAN,DR. KIEW HEN CHONG,MALE,50,4188,,DAP,H'NG MOOI LYE,MALE,40,17559,,PAP,TAN BENG HUAT,MALE,57,309,LOST DEPOSIT,PRM,TAN CHEW SUAN,FEMALE,48,51,LOST DEPOSIT,MUP,KOAY XING BOON,MALE,,165,LOST DEPOSIT,PFP,DAPHNE,FEMALE,39,73,LOST DEPOSIT,,,,,,,,,,,,
P.047_N.20,PULAU PINANG,P.047,NIBONG TEBAL,N.20,SUNGAI BAKAP,PH - PKR,26666,2348,87.07,23217,353,69,22795,UMNO,DATO MOHAMED SANI BAKAR,MALE,58,8038,,PKR,DR AMAR PRITPAL BIN ABDULLAH,MALE,,10386,,PAS,USTAZ OSMAN BIN JAAFAR,MALE,,4316,,PRM,TAN CHOW KANG,MALE,75,55,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
