PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING-PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.126,JELEBU,N.01,CHENNAH,PH - DAP,12119,1155,81.54,9882,3,166,10051,MCA,SEET TEE GEE,MALE,57,3876,,DAP,LOKE SIEW FOOK,MALE,42,5031,,PAS,JAMALUS BIN MANSOR,MALE,72,975,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.126,JELEBU,N.02,PERTANG,BN - UMNO,10400,415,78.64,8179,37,176,8392,UMNO,NOOR AZMI BIN YUSOF,MALE,51,4008,,PPBM,OSMAN DUSA,MALE,67,3593,,PAS,HAMRAN BIN ABU HASAN,MALE,46,578,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.126,JELEBU,N.03,SUNGAI LUI,BN - UMNO,15739,4399,79.17,12460,87,236,12783,UMNO,MOHD RAZI BIN MOHD ALI,MALE,45,7795,,PKR,ZAINAL FIKRI,MALE,,3396,,PAS,ABD KARIM SHAHIMI BIN ABD RAZAK,MALE,59,1269,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.126,JELEBU,N.04,KLAWANG,PH - PAN,10264,976,81.45,8360,74,97,8531,UMNO,BAHARUDIN BIN JALI,MALE,60,3320,,PAN,BAKRI SAWIR,MALE,59,4296,,PAS,MAZLY BIN YASIN,MALE,60,744,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.127,JEMPOL,N.05,SERTING,BN - UMNO,22146,3768,79.62,17633,106,324,18063,UMNO,DATO' HJ SHAMSHULKAHAR BIN HJ MOHD DELI,MALE,57,9782,,PAN,ABD RAHMAN RAMLI,MALE,,6014,,PAS,AL ZUKRI,MALE,62,1837,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.127,JEMPOL,N.06,PALONG,BN - UMNO,18170,6246,79.66,14475,86,246,14807,UMNO,MUSTAPHA BIN NAGOOR,MALE,51,9575,,PPBM,DATO' ABDUL RAHMAN BIN JAAFAR,MALE,53,3329,,PAS,MASDI BIN MUSA,MALE,45,1571,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.127,JEMPOL,N.07,JERAM PADANG,BN - MIC,12337,1062,76.43,9429,24,391,9844,MIC,DATO' MANICKAM LETCHUMAN,MALE,59,3702,,PKR,S MUSLIADI SABTU,MALE,,2302,,PAS,MOHD FAIRUZ,MALE,42,785,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,SURASH A/L SREENIVASAN,MALE,,2640,,,,,,,
P.127,JEMPOL,N.08,BAHAU,PH - DAP,19469,6109,80.08,15591,40,200,15831,MCA,CHONG WAN YU,MALE,45,3985,,DAP,TEO KOK SEONG,MALE,39,10094,,PAS,CIKGU BAKRI,MALE,60,1512,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128,SEREMBAN,N.09,LENGGENG,PH - PAN,18636,986,83.38,15538,76,236,15850,UMNO,MAZALAN BIN MAAROP,MALE,,6470,,PAN,USTAZ SUHAIMI KASSIM,MALE,47,7456,,PAS,MOHAMMAD GHAZALI BIN ABU BAKAR,MALE,47,1612,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128,SEREMBAN,N.10,NILAI,PH - DAP,24657,9825,84.21,20764,53,208,21025,MCA,LEAW KOK CHAN,MALE,43,4394,,DAP,J. ARUL KUMAR,MALE,33,14219,,PAS,MOHD ABU ZARIM ABDUL RAHMAN,MALE,42,2151,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
