UNIQUE CODE (2013),STATE (2013),PARLIAMENTARY CONSTITUENCY CODE (2013),PARLIAMENTARY CONSTITUENCY NAME (2013),UNIQUE CODE (2018),STATE (2018),PARLIAMENTARY CONSTITUENCY CODE (2018),PARLIAMENTARY CONSTITUENCY NAME (2018),PARLIAMENTARY CONSTITUENCY NAME CHANGE,NOTES
P.001,PERLIS,P.001,PADANG BESAR,P. 001,PERLIS,P. 001,PADANG BESAR,,
P.002,PERLIS,P.002,KANGAR,P. 002,PERLIS,P. 002,KANGAR,,
P.003,PERLIS,P.003,ARAU,P. 003,PERLIS,P. 003,ARAU,,
P.004,KEDAH,P.004,LANGKAWI,P. 004,KEDAH,P. 004,LANGKAWI,,
P.005,KEDAH,P.005,JERLUN,P. 005,KEDAH,P. 005,JERLUN,,
P.006,KEDAH,P.006,KUBANG PASU,P. 006,KEDAH,P. 006,KUBANG PASU,,
P.007,KEDAH,P.007,PADANG TERAP,P. 007,KEDAH,P. 007,PADANG TERAP,,
P.008,KEDAH,P.008,POKOK SENA,P. 008,KEDAH,P. 008,POKOK SENA,,Boundary has changed
P.009,KEDAH,P.009,ALOR STAR,P. 009,KEDAH,P. 009,ALOR SETAR,YES,Boundary has changed
P.010,KEDAH,P.010,KUALA KEDAH,P. 010,KEDAH,P. 010,KUALA KEDAH,,Boundary has changed
P.011,KEDAH,P.011,PENDANG,P. 011,KEDAH,P. 011,PENDANG,,
P.012,KEDAH,P.012,JERAI,P. 012,KEDAH,P. 012,JERAI,,
P.013,KEDAH,P.013,SIK,P. 013,KEDAH,P. 013,SIK,,Boundary has changed
P.014,KEDAH,P.014,MERBOK,P. 014,KEDAH,P. 014,MERBOK,,Boundary has changed
P.015,KEDAH,P.015,SUNGAI PETANI,P. 015,KEDAH,P. 015,SUNGAI PETANI,,
P.016,KEDAH,P.016,BALING,P. 016,KEDAH,P. 016,BALING,,
P.017,KEDAH,P.017,PADANG SERAI,P. 017,KEDAH,P. 017,PADANG SERAI,,
P.018,KEDAH,P.018,KULIM-BANDAR BAHARU,P. 018,KEDAH,P. 018,KULIM-BANDAR BAHARU,,
P.019,KELANTAN,P.019,TUMPAT,P. 019,KELANTAN,P. 019,TUMPAT,,
P.020,KELANTAN,P.020,PENGKALAN CHEPA,P. 020,KELANTAN,P. 020,PENGKALAN CHEPA,,Boundary has changed
P.021,KELANTAN,P.021,KOTA BHARU,P. 021,KELANTAN,P. 021,KOTA BHARU,,
P.022,KELANTAN,P.022,PASIR MAS,P. 022,KELANTAN,P. 022,PASIR MAS,,Boundary has changed
P.023,KELANTAN,P.023,RANTAU PANJANG,P. 023,KELANTAN,P. 023,RANTAU PANJANG,,Boundary has changed
