UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.150_N.23,JOHOR,P.150,BATU PAHAT,N.23,PENGGARAM,PH - DAP,49750,17205,84.94,42257,207,420,41630,MCA,KANG BENG KUAN,MALE,59,9620,,DAP,GAN PECK CHENG,FEMALE,52,26825,,PAS,MISRAN BIN SAMIAN,MALE,60,5185,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.150_N.24,JOHOR,P.150,BATU PAHAT,N.24,SENGGARANG,PH - PAN,27587,809,85.16,23493,73,394,23026,UMNO,ZAIDI BIN JAPAR,MALE,49,9759,,PAN,KHAIRUDDIN BIN A RAHIM,MALE,59,10568,,PAS,DR MOHD RAMLI,MALE,67,2699,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.150_N.25,JOHOR,P.150,BATU PAHAT,N.25,RENGIT,BN - UMNO,21206,4172,84.02,17818,64,329,17425,UMNO,AYUB JAMIL,MALE,59,9642,,PKR,MALIK FAISHAL BIN AHMAD,MALE,,5470,,PAS,MOHD.TUMIRAN BIN AHMAD,MALE,57,2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.151_N.26,JOHOR,P.151,SIMPANG RENGGAM,N.26,MACHAP,BN - UMNO,24156,404,84.64,20445,48,421,19976,UMNO,ABD TAIB BIN ABU BAKAR,MALE,,9375,,PPBM,HAJI AHMAD BIN AHEM,MALE,61,8971,,PAS,USTAZ HAJI AZLISHAM,MALE,45,1630,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.151_N.27,JOHOR,P.151,SIMPANG RENGGAM,N.27,LAYANG - LAYANG,BN - UMNO,19842,364,81.93,16257,48,336,15873,UMNO,ONN HAFIZ BIN GHAZI,MALE,39,7449,,PKR,CIKGU MURUGAN,MALE,,7085,,PAS,HJ JUBRI,MALE,61,1339,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.152_N.28,JOHOR,P.152,KLUANG,N.28,MENGKIBOL,PH - DAP,48365,19226,84.06,40657,205,560,39892,MCA,CHIN SHIM LAI,MALE,63,10333,,DAP,CHEW CHONG SIN,MALE,45,29559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.152_N.29,JOHOR,P.152,KLUANG,N.29,MAHKOTA,PH - PAN,48550,1668,84.83,41185,197,550,40438,UMNO,DATUK HJ. MD JAIS SARDAY,MALE,41,17839,,PAN,MUHAMAD SAID JONIT,MALE,65,19507,,PAS,HASBULLAH NAJIB,MALE,30,3092,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.153_N.30,JOHOR,P.153,SEMBRONG,N.30,PALOH,PH - DAP,21399,783,82.4,17633,73,366,17194,MCA,TEOH YAP KUN,MALE,65,8175,,DAP,SHEIKH OMAR ALI,MALE,37,8958,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,SHAMUGAM A/L MUNISAMY,MALE,,61,LOST DEPOSIT,,,,,,
P.153_N.31,JOHOR,P.153,SEMBRONG,N.31,KAHANG,BN - MIC,22738,2861,84.14,19132,82,375,18675,MIC,R. VIDYANANTHAN,MALE,45,10768,,PPBM,NOORLIHAN BINTI ARRIFIN,FEMALE,30,7907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.154_N.32,JOHOR,P.154,MERSING,N.32,ENDAU,BN - UMNO,19538,3080,78.22,15282,58,343,14881,UMNO,ALWIYAH TALIB,FEMALE,47,7136,,PPBM,NORUL HASZARUL BIN ABU SAMAH,MALE,36,4056,,PAS,CIKGU ROSLAN,MALE,58,3689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
