UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,GSABAH (1),GSABAH (1) CANDIDATE,GSABAH (1) CANDIDATE SEX,GSABAH (1) CANDIDATE AGE,GSABAH (1) VOTE,GSABAH (2),GSABAH (2) CANDIDATE,GSABAH (2) CANDIDATE SEX,GSABAH (2) CANDIDATE AGE,GSABAH (2) VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE SEX,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE SEX,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE VOTE,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE
P.001,PERLIS,P.001,PADANG BESAR,BN - UMNO,,46096,1438,81.2,37432,152,780,36500,UMNO,DATUK ZAHIDI BIN ZAINUL ABIDIN,MALE,57,15032,,PPBM,IZIZAM BIN IBRAHIM,MALE,,13594,,PAS,USTAZ MOKHTAR SENIK,MALE,54,7874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002,PERLIS,P.002,KANGAR,PH - PKR,,55938,5603,81.7,45703,217,806,44680,UMNO,RAMLI SHARIFF,MALE,,15306,,PKR,AMIN AHMAD,MALE,36,20909,,PAS,USTAZ ZAHID IBRAHIM,MALE,35,8465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003,PERLIS,P.003,ARAU,BN - UMNO,,48187,4856,83.91,40433,143,690,39600,UMNO,SHAHIDAN BIN KASSIM,MALE,67,16547,,PPBM,DATO' DR. HAJI ABD RAHMAN BIN DAUD,MALE,,11691,,PAS,USTAZ HASHIM JASIN,MALE,79,11362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.004,KEDAH,P.004,LANGKAWI,PH - PPBM,,42697,8893,82.56,35250,119,604,34527,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,57,10061,,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,93,18954,,PAS,ZUBIR BIN AHMAD,MALE,55,5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.005,KEDAH,P.005,JERLUN,PH - PPBM,,54132,5866,82.8,44822,162,723,43937,UMNO,OTHMAN BIN AZIZ,MALE,59,12413,,PPBM,MUKHRIZ MAHATHIR,MALE,54,18695,,PAS,ABD. GHANI BIN AHMAD,MALE,48,12829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006,KEDAH,P.006,KUBANG PASU,PH - PPBM,,73881,13009,83.18,61452,348,770,60334,UMNO,DATO' SRI MOHD JOHARI BIN BAHARUM,MALE,,16975,,PPBM,DATO' AMIRUDDIN HAMZAH,MALE,56,29984,,PAS,NORHAFIZA BINTI FADZIL,FEMALE,42,13375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.007,KEDAH,P.007,PADANG TERAP,BN - UMNO,,46644,1099,85.61,39932,155,854,38923,UMNO,DATO' SERI MAHDZIR KHALID,MALE,58,16384,,PAN,KHAIRIZAL KHAZALI,MALE,37,7254,,PAS,USTAZ AZAM BIN AZIZ,MALE,,15285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008,KEDAH,P.008,POKOK SENA,PH - PAN,,86892,5558,82.76,71910,291,869,70750,UMNO,DATO' SAID ALI BIN SYED RASTAN,MALE,,18390,,PAN,DATO' HJ MAHFUZ OMAR,MALE,61,28959,,PAS,RADHI MAT DIN,MALE,53,23401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.009,KEDAH,P.009,ALOR SETAR,PH - PKR,,80272,15200,81.09,65096,284,881,63931,MCA,YOO WEI HOW,MALE,45,14181,,PKR,CHAN MING KAI,MALE,38,32475,,PAS,AMINUR SHAFIQ,MALE,28,17275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.010,KEDAH,P.010,KUALA KEDAH,PH - PKR,,97753,13481,82.41,80555,277,1111,79167,UMNO,ABDULLAH HASNAN BIN KAMARUDDIN,MALE,,19400,,PKR,DR AZMAN ISMAIL,MALE,60,36624,,PAS,MUHAMAD RIDUAN BIN OTHMAN,MALE,43,23143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.011,KEDAH,P.011,PENDANG,GS - PAS,,74867,5808,84.64,63371,173,952,62246,UMNO,OTHMAN BIN ABDUL,MALE,55,20728,,PPBM,WAN SAIFUL WAN JAN,MALE,43,14901,,PAS,HJ. AWANG SOLAHUDIN,MALE,,26536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,PENGHULU MALIK,MALE,,81,,,,,
P.012,KEDAH,P.012,JERAI,GS - PAS,,79976,539,83.68,66920,172,1012,65736,UMNO,DATO' SERI JAMIL KHIR BIN BAHAROM,MALE,57,21773,,PPBM,AKHRAMSYAH BIN SANUSI JUNID,MALE,,21651,,PAS,USTAZ SABRI BIN AZIT,MALE,52,22312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013,KEDAH,P.013,SIK,GS - PAS,,50385,5218,84.89,42772,115,729,41928,UMNO,DR MANSOR BIN ABD RAHMAN,MALE,,14870,,PAN,AZLI CHE UDA,MALE,39,6970,,PAS,USTAZ TARMIZI SULAIMAN,MALE,42,20088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.014,KEDAH,P.014,MERBOK,PH - PKR,,87782,10072,82.83,72708,250,1108,71350,UMNO,DATO' TAJUL URUS HJ. MAT ZAIN,MALE,66,20830,,PKR,NURIN AINA,FEMALE,42,30902,,PAS,USTAZ AHMAD FAUZI,MALE,,19618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.015,KEDAH,P.015,SUNGAI PETANI,PH - PKR,,112577,21569,83.36,93847,424,889,92534,UMNO,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,FEMALE,,23963,,PKR,DATO' JOHARI ABDUL,MALE,63,45532,,PAS,USTAZ SHARIR LONG,MALE,,22760,,,,,,,,,,,,,,,,,PRM,P. SRITHARAN,MALE,,279,,,,,,,,,,,,,,,,,,
P.016,KEDAH,P.016,BALING,BN - UMNO,,107213,1074,85.93,92128,228,1388,90512,UMNO,DATUK AZEEZ RAHIM,MALE,52,38557,,PPBM,MOHD TAUFIK BIN HJ YAACOB,MALE,,14472,,PAS,USTAZ HASSAN BIN SAAD,MALE,,37483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.017,KEDAH,P.017,PADANG SERAI,PH - PKR,,84834,8813,83.88,71157,246,827,70084,MCA,DATO' DR. LEONG YONG KONG,MALE,58,15449,,PKR,KARUPAIYA MUTUSAMI,MALE,65,31724,,PAS,MUHAMAD SOBRI BIN OSMAN,MALE,,22911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.018,KEDAH,P.018,KULIM-BANDAR BAHARU,PH - PKR,,66587,4860,83.18,55390,153,894,54343,UMNO,DATO' ABD AZIZ HJ. SHEIKH FADZIR,MALE,55,18299,,PKR,DATO' SAIFUDDIN NASUTION ISMAIL,MALE,55,23159,,PAS,USTAZ HASSAN RAZAK,MALE,67,12885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019,KELANTAN,P.019,TUMPAT,GS - PAS,,110924,17500,79.99,88733,746,1402,86585,UMNO,DATUK WAN,MALE,65,29541,,PPBM,DATUK NORDIN BIN SALLEH,MALE,75,10003,LOST DEPOSIT,PAS,DATO HJ CHE LAH MAT NAWI,MALE,46,47041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020,KELANTAN,P.020,PENGKALAN CHEPA,GS - PAS,,75384,13232,80.74,60862,736,739,59387,UMNO,DATUK ZALUZI,MALE,53,19360,,PAN,MEJAR MAT,MALE,65,7435,,PAS,USTAZ MARZUK SHAARY,MALE,43,32592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.021,KELANTAN,P.021,KOTA BHARU,GS - PAS,,88708,5869,77,68306,648,689,66969,UMNO,FIKHRAN HAMSHI,MALE,32,16256,,PAN,HUSAM MUSA,MALE,59,22422,,PAS,DATO' TAKIYUDDIN,MALE,56,28291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.022,KELANTAN,P.022,PASIR MAS,GS - PAS,,71222,13075,77.67,55319,536,1232,53551,UMNO,NOR AZMAWI @ BAWI,MALE,44,15005,,PPBM,CHE UJANG,MALE,,5093,LOST DEPOSIT,PAS,USTAZ FADHLI SHAARI,MALE,38,28080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CUP,DATO' DR. IBRAHIM BIN ALI,MALE,67,5373,,,,,
