UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS VOTE,GS CANDIDATE LOST DEPOSIT,GSABAH (1),GSABAH (1) CANDIDATE,GSABAH (1) CANDIDATE SEX,GSABAH (1) CANDIDATE AGE,GSABAH (1) VOTE,GSABAH (1) CANDIDATE LOST DEPOSIT,GSABAH (2),GSABAH (2) CANDIDATE,GSABAH (2) CANDIDATE SEX,GSABAH (2) CANDIDATE AGE,GSABAH (2) VOTE,GSABAH (2) CANDIDATE LOST DEPOSIT,GSABAH (3),GSABAH (3) CANDIDATE,GSABAH (3) CANDIDATE SEX,GSABAH (3) CANDIDATE AGE,GSABAH (3) VOTE,GSABAH (3) CANDIDATE LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN VOTE,WARISAN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,OTHER PARTY (4),OTHER PARTY (4) CANDIDATE,OTHER PARTY (4) CANDIDATE SEX,OTHER PARTY (4) CANDIDATE AGE,OTHER PARTY (4) VOTE,OTHER PARTY (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P. 001_N. 01,PERLIS,P. 001,PADANG BESAR,N. 01,TITI TINGGI,BN - MCA,,10111,142,79.3,8018,31,182,7805,MCA,TEH CHAI ANN,MALE,53,2762,,DAP,TEH SENG CHUAN,MALE,46,2620,,PAS,KAMIS BIN HJ YUB,MALE,53,2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,YAACOB BIN MAN,MALE,59,132,LOST DEPOSIT,,,,,,
P. 001_N. 02,PERLIS,P. 001,PADANG BESAR,N. 02,BESERI,BN - UMNO,,8914,416,78.83,7027,34,128,6865,UMNO,RUZAINI BIN RAIS,MALE,46,2879,,AMANAH,WAN KHARIZAL,MALE,56,2463,,PAS,UST . AZAMHARI,MALE,50,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 001_N. 03,PERLIS,P. 001,PADANG BESAR,N. 03,CHUPING,BN - UMNO,,10542,1367,81.81,8624,25,221,8378,UMNO,ASMAIZA BINTI AHMAD,FEMALE,43,3889,,PKR,POZIYAH BINTI HAMZAH,FEMALE,,2522,,PAS,HJ MOHD ALI PUTEH,MALE,69,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 001_N. 04,PERLIS,P. 001,PADANG BESAR,N. 04,MATA AYER,BN - UMNO,,7617,720,83.22,6339,29,146,6164,UMNO,SITI BERENEE BINTI YAHAYA,FEMALE,,2684,,PPBM,LT KOL (B) HJ AZHAR BIN HJ OMAR,MALE,57,1964,,PAS,CIKGU MOHAMMAD,MALE,61,1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 001_N. 05,PERLIS,P. 001,PADANG BESAR,N. 05,SANTAN,BN - UMNO,,8912,949,83.3,7424,41,102,7281,UMNO,AZIZAN BIN SULAIMAN,MALE,,3071,,AMANAH,CIKGU MAZLINA CHE YOB,FEMALE,55,2122,,PAS,BAHARUDDIN AHMAD,MALE,62,2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 002_N. 06,PERLIS,P. 002,KANGAR,N. 06,BINTONG,BN - UMNO,,12136,847,82.93,10064,46,198,9820,UMNO,DATO' SERI AZLAN MAN,MALE,60,3986,,AMANAH,MERI @ MOKHTAR CHE KASSIM,MALE,52,3139,,PAS,ABD JAMIL,MALE,58,2695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 002_N. 07,PERLIS,P. 002,KANGAR,N. 07,SENA,PH - PKR,,12303,314,82.2,10113,69,116,9928,UMNO,AZIHANI BINTI ALI,FEMALE,,3863,,PKR,ASRUL NIZAN BIN ABD JALIL,MALE,41,4177,,PAS,USTAZ FAKHRUL ANWAR,MALE,47,1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 002_N. 08,PERLIS,P. 002,KANGAR,N. 08,INDERA KAYANGAN,PH - PKR,,11018,3177,80.39,8857,39,114,8704,MCA,CHUAH TIAN HEE,MALE,49,1846,,PKR,GAN AY LING,FEMALE,42,5023,,PAS,CIKGU WAN HASSAN,MALE,58,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 002_N. 09,PERLIS,P. 002,KANGAR,N. 09,KUALA PERLIS,PH - PKR,,10654,1254,79.74,8496,34,144,8318,UMNO,CIKGU AZAM,MALE,60,2999,,PKR,AZAM KARAP,MALE,33,4253,,PAS,MOHAMAD FUAT,MALE,67,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 002_N. 10,PERLIS,P. 002,KANGAR,N. 10,KAYANG,BN - UMNO,,9827,435,83.1,8166,33,163,7970,UMNO,HAMIZAN BIN HASSAN,MALE,43,3275,,PPBM,ABDUL HANNAAN BIN KHAIRY,MALE,25,2840,,PAS,HJ. RADZI HASSAN,MALE,60,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
