UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),STATE CONSTITUENCY CODE (1959),STATE CONSTITUENCY NAME (1959),UNIQUE CODE (1962),PARLIAMENTARY CONSTITUENCY CODE (1962),PARLIAMENTARY CONSTITUENCY NAME (1962),STATE CONSTITUENCY CODE (1962),STATE CONSTITUENCY NAME (1962),DUN NAME CHANGE (1962),NOTES
P.9_NO. 5,MALACCA,P.9,BANDAR MALACCA,NO. 5,KOTA TIMOR,P.86_S.10,P.86,BANDAR MALACCA,S.10,KOTA TIMOR,,
P.10_NO. 6,MALACCA,P.10,MALACCA TENGAH,NO. 6,TANJONG KLING,P.85_S.1,P.85,MALACCA TENGAH,S.1,TANJONG KLING,,
P.10_NO. 7,MALACCA,P.10,MALACCA TENGAH,NO. 7,BUKIT RAMBAI,P.85_S.2,P.85,MALACCA TENGAH,S.2,BUKIT RAMBAI,,
P.10_NO. 8,MALACCA,P.10,MALACCA TENGAH,NO. 8,BATU BERENDAM,P.85_S.3,P.85,MALACCA TENGAH,S.3,BATU BERENDAM,,
P.10_NO. 9,MALACCA,P.10,MALACCA TENGAH,NO. 9,SEMABOK,P.85_S.4,P.85,MALACCA TENGAH,S.4,SEMABOK,,
P.10_NO. 10,MALACCA,P.10,MALACCA TENGAH,NO. 10,KANDANG,P.85_S.5,P.85,MALACCA TENGAH,S.5,KANDANG,,
P.11_NO. 11,MALACCA,P.11,MALACCA UTARA,NO. 11,SUNGEI BHARU,P.87_S.11,P.87,MALACCA UTARA,S.11,SUNGEI BHARU,,
P.11_NO. 12,MALACCA,P.11,MALACCA UTARA,NO. 12,RAMUAN CHINA,P.87_S.12,P.87,MALACCA UTARA,S.12,RAMUAN CHINA,,
P.11_NO. 13,MALACCA,P.11,MALACCA UTARA,NO. 13,MASJID TANAH,P.87_S.13,P.87,MALACCA UTARA,S.13,MASJID TANAH,,
P.11_NO. 14,MALACCA,P.11,MALACCA UTARA,NO. 14,ALOR GAJAH,P.87_S.14,P.87,MALACCA UTARA,S.14,ALOR GAJAH,,
P.11_NO. 15,MALACCA,P.11,MALACCA UTARA,NO. 15,PULAU SEBANG,P.87_S.15,P.87,MALACCA UTARA,S.15,PULAU SEBANG,,
P.12_NO. 16,MALACCA,P.12,MALACCA SELATAN,NO. 16,BATANG MALAKA,P.88_S.16,P.88,MALACCA SELATAN,S.16,BATANG MALAKA,,
P.12_NO. 17,MALACCA,P.12,MALACCA SELATAN,NO. 17,RIM,P.88_S.17,P.88,MALACCA SELATAN,S.17,RIM,,
P.12_NO. 18,MALACCA,P.12,MALACCA SELATAN,NO. 18,JASIN,P.88_S.18,P.88,MALACCA SELATAN,S.18,JASIN,,
P.12_NO. 19,MALACCA,P.12,MALACCA SELATAN,NO. 19,SERKAM,P.88_S.19,P.88,MALACCA SELATAN,S.19,SERKAM,,
P.12_NO. 20,MALACCA,P.12,MALACCA SELATAN,NO. 20,SUNGEI RAMBAI,P.88_S.20,P.88,MALACCA SELATAN,S.20,SUNGEI RAMBAI,,
P.13_NO. 1,PERAK,P.13,KRIAN LAUT,NO. 1,PARIT BUNTAR,P.41_S.5,P.41,KRIAN LAUT,S.5,PARIT BUNTAR,,
P.13_NO. 2,PERAK,P.13,KRIAN LAUT,NO. 2,KUALA KURAU,P.41_S.6,P.41,KRIAN LAUT,S.6,KUALA KURAU,,
P.14_NO. 3,PERAK,P.14,KRIAN DARAT,NO. 3,BAGAN SERAI,P.42_S.7,P.42,KRIAN DARAT,S.7,BAGAN SERAI,,
P.14_NO. 4,PERAK,P.14,KRIAN DARAT,NO. 4,GUNONG SEMANGGOL,P.42_S.8,P.42,KRIAN DARAT,S.8,GUNONG SEMANGGOL,,
P.15_NO. 5,PERAK,P.15,BATANG PADANG,NO. 5,TAPAH ROAD,P.58_S.39,P.58,BATANG PADANG,S.39,TAPAH ROAD,,
P.15_NO. 6,PERAK,P.15,BATANG PADANG,NO. 6,TAPAH,P.58_S.40,P.58,BATANG PADANG,S.40,TAPAH,,
P.16_NO. 7,PERAK,P.16,TANJONG MALIM,NO. 7,BIDOR,P.55_S.33,P.55,TANJONG MALIM,S.33,BIDOR,,
P.16_NO. 8,PERAK,P.16,TANJONG MALIM,NO. 8,SLIM,P.55_S.34,P.55,TANJONG MALIM,S.34,SLIM,,
P.17_NO. 9,PERAK,P.17,LARUT UTARA,NO. 9,SELAMA,P.40_S.3,P.40,LARUT UTARA,S.3,SELAMA,,
P.17_NO. 10,PERAK,P.17,LARUT UTARA,NO. 10,LARUT,P.40_S.4,P.40,LARUT UTARA,S.4,LARUT,,
P.18_NO. 11,PERAK,P.18,LARUT SELATAN,NO. 11,TAIPING,P.43_S.9,P.43,LARUT SELATAN,S.9,TAIPING,,
P.18_NO. 12,PERAK,P.18,LARUT SELATAN,NO. 12,MATANG,P.43_S.10,P.43,LARUT SELATAN,S.10,MATANG,,
P.19_NO. 13,PERAK,P.19,BRUAS,NO. 13,PENGKALAN BHARU,P.48_S.19,P.48,BRUAS,S.19,PENGKALAN BHARU,,
P.19_NO. 14,PERAK,P.19,BRUAS,NO. 14,AYER TAWAR,P.48_S.20,P.48,BRUAS,S.20,AYER TAWAR,,
P.20_NO. 15,PERAK,P.20,SITIAWAN,NO. 15,LEKIR,P.49_S.21,P.49,SITIAWAN,S.21,LEKIR,,
P.20_NO. 16,PERAK,P.20,SITIAWAN,NO. 16,LUMUT,P.49_S.22,P.49,SITIAWAN,S.22,LUMUT,,
P.21_NO. 17,PERAK,P.21,ULU PERAK,NO. 17,GRIK,P.39_S.1,P.39,ULU PERAK,S.1,GRIK,,
P.21_NO. 18,PERAK,P.21,ULU PERAK,NO. 18,LENGGONG,P.39_S.2,P.39,ULU PERAK,S.2,LENGGONG,,
P.22_NO. 19,PERAK,P.22,KUALA KANGSAR,NO. 19,SENGGANG,P.45_S.13,P.45,KUALA KANGSAR,S.13,SENGGANG,,
P.22_NO. 20,PERAK,P.22,KUALA KANGSAR,NO. 20,PADANG RENGAS,P.45_S.14,P.45,KUALA KANGSAR,S.14,PADANG RENGAS,,
P.23_NO. 21,PERAK,P.23,PARIT,NO. 21,BLANJA,P.47_S.17,P.47,PARIT,S.17,BLANJA,,
P.23_NO. 22,PERAK,P.23,PARIT,NO. 22,KAMPONG GAJAH,P.47_S.18,P.47,PARIT,S.18,KAMPONG GAJAH,,
P.24_NO. 23,PERAK,P.24,HILIR PERAK,NO. 23,SUNGEI MANIK,P.44_S.11,P.44,HILIR PERAK,S.11,SUNGEI MANIK,,
P.24_NO. 24,PERAK,P.24,HILIR PERAK,NO. 24,BANDAR,P.44_S.12,P.44,HILIR PERAK,S.12,BANDAR,,
P.25_NO. 25,PERAK,P.25,BAGAN DATOH,NO. 25,RUNGKUP,P.57_S.37,P.57,BAGAN DATOH,S.37,RUNGKUP,,
P.25_NO. 26,PERAK,P.25,BAGAN DATOH,NO. 26,HUTAN MELINTANG,P.57_S.38,P.57,BAGAN DATOH,S.38,HUTAN MELINTANG,,
P.26_NO. 27,PERAK,P.26,TELOK ANSON,NO. 27,BATAK RABIT,P.56_S.35,P.56,TELOK ANSON,S.35,BATAK RABIT,,
P.26_NO. 28,PERAK,P.26,TELOK ANSON,NO. 28,PASIR BEDAMAR,P.56_S.36,P.56,TELOK ANSON,S.36,PASIR BEDAMAR,,
P.27_NO. 29,PERAK,P.27,IPOH,NO. 29,PEKAN LAMA,P.50_S.23,P.50,IPOH,S.23,PEKAN LAMA,,
P.27_NO. 30,PERAK,P.27,IPOH,NO. 30,PEKAN BHARU,P.50_S.24,P.50,IPOH,S.24,PEKAN BHARU,,
P.28_NO. 31,PERAK,P.28,MENGLEMBU,NO. 31,PASIR PUTEH,P.51_S.25,P.51,MENGLEMBU,S.25,PASIR PUTEH,,
P.28_NO. 32,PERAK,P.28,MENGLEMBU,NO. 32,KUALA PARI,P.51_S.26,P.51,MENGLEMBU,S.26,KUALA PARI,,
P.29_NO. 33,PERAK,P.29,SUNGEI SIPUT,NO. 33,KARAI,P.46_S.15,P.46,SUNGEI SIPUT,S.15,KARAI,,
P.29_NO. 34,PERAK,P.29,SUNGEI SIPUT,NO. 34,JALONG,P.46_S.16,P.46,SUNGEI SIPUT,S.16,JALONG,,
P.30_NO. 35,PERAK,P.30,ULU KINTA,NO. 35,CHEMOR,P.52_S.27,P.52,ULU KINTA,S.27,CHEMOR,,
P.30_NO. 36,PERAK,P.30,ULU KINTA,NO. 36,SUNGEI RAIA,P.52_S.28,P.52,ULU KINTA,S.28,SUNGEI RAIA,,
P.31_NO. 37,PERAK,P.31,BATU GAJAH,NO. 37,TANJONG TUALANG,P.53_S.29,P.53,BATU GAJAH,S.29,TANJONG TUALANG,,
P.31_NO. 38,PERAK,P.31,BATU GAJAH,NO. 38,PUSING,P.53_S.30,P.53,BATU GAJAH,S.30,PUSING,,
P.32_NO. 39,PERAK,P.32,KAMPAR,NO. 39,GOPENG,P.54_S.31,P.54,KAMPAR,S.31,GOPENG,,
P.32_NO. 40,PERAK,P.32,KAMPAR,NO. 40,KUALA DIPANG,P.54_S.32,P.54,KAMPAR,S.32,KUALA DIPANG,,
P.33_NO. 1,SELANGOR,P.33,BATU,NO. 1,KEPONG,P.66_S.3,P.66,BATU,S.3,KEPONG,,
P.33_NO. 2,SELANGOR,P.33,BATU,NO. 2,PENCHALA,P.66_S.4,P.66,BATU,S.4,PENCHALA,,
P.34_NO. 3,SELANGOR,P.34,BUNGSAR,NO. 3,PANTAI,P.71_S.13,P.71,BUNGSAR,S.13,PANTAI,,
P.34_NO. 4,SELANGOR,P.34,BUNGSAR,NO. 4,SALAK,P.71_S.14,P.71,BUNGSAR,S.14,SALAK,,
P.35_NO. 5,SELANGOR,P.35,BUKIT BINTANG,NO. 5,BUKIT NANAS,P.72_S.15,P.72,BUKIT BINTANG,S.15,BUKIT NANAS,,
P.35_NO. 6,SELANGOR,P.35,BUKIT BINTANG,NO. 6,KAMPONG BAHRU,P.72_S.16,P.72,BUKIT BINTANG,S.16,KAMPONG BAHRU,,
P.36_NO. 7,SELANGOR,P.36,SETAPAK,NO. 7,AMPANG,P.70_S.11,P.70,SETAPAK,S.11,AMPANG,,
P.36_NO. 8,SELANGOR,P.36,SETAPAK,NO. 8,SENTUL,P.70_S.12,P.70,SETAPAK,S.12,SENTUL,,
P.37_NO. 9,SELANGOR,P.37,ULU SELANGOR,NO. 9,ULU BERNAM,P.78_S.27,P.78,ULU SELANGOR,S.27,ULU BERNAM,,
P.37_NO. 10,SELANGOR,P.37,ULU SELANGOR,NO. 10,KUALA KUBU,P.78_S.28,P.78,ULU SELANGOR,S.28,KUALA KUBU,,
P.38_NO. 11,SELANGOR,P.38,RAWANG,NO. 11,SERENDAH,P.68_S.7,P.68,RAWANG,S.7,SERENDAH,,
P.38_NO. 12,SELANGOR,P.38,RAWANG,NO. 12,KUANG,P.68_S.8,P.68,RAWANG,S.8,KUANG,,
P.39_NO. 13,SELANGOR,P.39,SABAK BERNAM,NO. 13,SABAK,P.77_S.25,P.77,SABAK BERNAM,S.25,SABAK,,
P.39_NO. 14,SELANGOR,P.39,SABAK BERNAM,NO. 14,SUNGEI BESAR,P.77_S.26,P.77,SABAK BERNAM,S.26,SUNGEI BESAR,,
P.40_NO. 15,SELANGOR,P.40,KUALA SELANGOR,NO. 15,TANJONG KARANG,P.65_S.1,P.65,KUALA SELANGOR,S.1,TANJONG KARANG,,
