UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),STATE CONSTITUENCY CODE (1959),STATE CONSTITUENCY NAME (1959),UNIQUE CODE (1962),PARLIAMENTARY CONSTITUENCY CODE (1962),PARLIAMENTARY CONSTITUENCY NAME (1962),STATE CONSTITUENCY CODE (1962),STATE CONSTITUENCY NAME (1962),DUN NAME CHANGE (1962),NOTES
P.61_NO. 5,JOHORE,P.61,JOHORE BAHRU TIMOR,NO. 5,PLENTONG,P.100_S.23,P.100,JOHORE BAHRU TIMOR,S.23,PLENTONG,,
P.61_NO. 6,JOHORE,P.61,JOHORE BAHRU TIMOR,NO. 6,TANJONG PETRI,P.100_S.24,P.100,JOHORE BAHRU TIMOR,S.24,TANJONG PETRI,,
P.62_NO. 7,JOHORE,P.62,JOHORE BAHRU BARAT,NO. 7,TAMPOI,P.101_S.26,P.101,JOHORE BAHRU BARAT,S.26,TAMPOI,,
P.62_NO. 8,JOHORE,P.62,JOHORE BAHRU BARAT,NO. 8,GELANG PATAH,P.101_S.25,P.101,JOHORE BAHRU BARAT,S.25,GELANG PATAH,,
P.63_NO. 9,JOHORE,P.63,PONTIAN SELATAN,NO. 9,PONTIAN DALAM,P.98_S.19,P.98,PONTIAN SELATAN,S.19,PONTIAN DALAM,,
P.63_NO. 10,JOHORE,P.63,PONTIAN SELATAN,NO. 10,PONTIAN KECHIL,P.98_S.20,P.98,PONTIAN SELATAN,S.20,PONTIAN KECHIL,,
P.64_NO. 11,JOHORE,P.64,PONTIAN UTARA,NO. 11,BENUT,P.97_S.18,P.97,PONTIAN UTARA,S.18,BENUT,,
P.64_NO. 12,JOHORE,P.64,PONTIAN UTARA,NO. 12,RENGIT,P.97_S.17,P.97,PONTIAN UTARA,S.17,RENGIT,,
P.65_NO. 13,JOHORE,P.65,KLUANG SELATAN,NO. 13,SENAI - KULAI,P.99_S.22,P.99,KLUANG SELATAN,S.22,SENAI - KULAI,,
P.65_NO. 14,JOHORE,P.65,KLUANG SELATAN,NO. 14,RENGAM,P.99_S.21,P.99,KLUANG SELATAN,S.21,RENGAM,,
P.66_NO. 15,JOHORE,P.66,KLUANG UTARA,NO. 15,GUNONG LAMBAK,P.95_S.13,P.95,KLUANG UTARA,S.13,GUNONG LAMBAK,,
P.66_NO. 16,JOHORE,P.66,KLUANG UTARA,NO. 16,SRI LALANG,P.95_S.14,P.95,KLUANG UTARA,S.14,SRI LALANG,,
P.67_NO. 17,JOHORE,P.67,BATU PAHAT,NO. 17,BANDAR PENGGARAM,P.93_S.10,P.93,BATU PAHAT,S.10,BANDAR PENGGARAM,,
P.67_NO. 18,JOHORE,P.67,BATU PAHAT,NO. 18,BROLEH,P.93_S.9,P.93,BATU PAHAT,S.9,BROLEH,,
P.68_NO. 19,JOHORE,P.68,BATU PAHAT DALAM,NO. 19,AYER HITAM,P.94_S.12,P.94,BATU PAHAT DALAM,S.12,AYER HITAM,,
P.68_NO. 20,JOHORE,P.68,BATU PAHAT DALAM,NO. 20,TANJONG SEMBRONG,P.94_S.11,P.94,BATU PAHAT DALAM,S.11,TANJONG SEMBRONG,,
P.69_NO. 21,JOHORE,P.69,MUAR SELATAN,NO. 21,SIMPANG KIRI,P.92_S.8,P.92,MUAR SELATAN,S.8,SIMPANG KIRI,,
P.69_NO. 22,JOHORE,P.69,MUAR SELATAN,NO. 22,PARIT JAWA,P.92_S.7,P.92,MUAR SELATAN,S.7,PARIT JAWA,,
P.70_NO. 23,JOHORE,P.70,MUAR PANTAI,NO. 23,PARIT BAKAR,P.91_S.6,P.91,MUAR PANTAI,S.6,PARIT BAKAR,,
P.70_NO. 24,JOHORE,P.70,MUAR PANTAI,NO. 24,BANDAR MAHARANI,P.91_S.5,P.91,MUAR PANTAI,S.5,BANDAR MAHARANI,,
P.71_NO. 25,JOHORE,P.71,MUAR UTARA,NO. 25,SEROM,P.104_S.32,P.104,MUAR UTARA,S.32,SEROM,,
P.71_NO. 26,JOHORE,P.71,MUAR UTARA,NO. 26,TANGKAK,P.104_S.31,P.104,MUAR UTARA,S.31,TANGKAK,,
P.72_NO. 27,JOHORE,P.72,MUAR DALAM,NO. 27,JORAK,P.89_S.2,P.89,MUAR DALAM,S.2,JORAK,,
P.72_NO. 28,JOHORE,P.72,MUAR DALAM,NO. 28,BUKIT SERAMPANG,P.89_S.1,P.89,MUAR DALAM,S.1,BUKIT SERAMPANG,,
P.73_NO. 29,JOHORE,P.73,SEGAMAT UTARA,NO. 29,BANDAR SEGAMAT,P.103_S.30,P.103,SEGAMAT UTARA,S.30,BANDAR SEGAMAT,,
P.73_NO. 30,JOHORE,P.73,SEGAMAT UTARA,NO. 30,BATU ANAM,P.103_S.29,P.103,SEGAMAT UTARA,S.29,BATU ANAM,,
P.74_NO. 31,JOHORE,P.74,SEGAMAT SELATAN,NO. 31,BEKOK,P.90_S.4,P.90,SEGAMAT SELATAN,S.4,BEKOK,,
P.74_NO. 32,JOHORE,P.74,SEGAMAT SELATAN,NO. 32,LABIS,P.90_S.3,P.90,SEGAMAT SELATAN,S.3,LABIS,,
P.75_NO. 1,KEDAH,P.75,ALOR STAR,NO. 1,ALOR STAR PEKAN,P.6_S.7,P.6,ALOR STAR,S.7,ALOR STAR PEKAN,,
P.75_NO. 2,KEDAH,P.75,ALOR STAR,NO. 2,ALOR STAR LUAR,P.6_S.8,P.6,ALOR STAR,S.8,ALOR STAR LUAR,,
P.76_NO. 3,KEDAH,P.76,KUALA KEDAH,NO. 3,LANGKAWI,P.7_S.9,P.7,KUALA KEDAH,S.9,LANGKAWI,,
P.76_NO. 4,KEDAH,P.76,KUALA KEDAH,NO. 4,KOTA STAR BARAT,P.7_S.10,P.7,KUALA KEDAH,S.10,KOTA STAR BARAT,,
P.77_NO. 5,KEDAH,P.77,KOTA STAR UTARA,NO. 5,LANGGAR-LIMBONG,P.5_S.5,P.5,KOTA STAR UTARA,S.5,LANGGAR-LIMBONG,,
P.77_NO. 6,KEDAH,P.77,KOTA STAR UTARA,NO. 6,POKOK SENA,P.5_S.6,P.5,KOTA STAR UTARA,S.6,POKOK SENA,,
P.78_NO. 7,KEDAH,P.78,KOTA STAR SELATAN,NO. 7,KANGKONG BUKIT RAYA,P.8_S.11,P.8,KOTA STAR SELATAN,S.11,KANGKONG BUKIT RAYA,,
P.78_NO. 8,KEDAH,P.78,KOTA STAR SELATAN,NO. 8,PADANG,P.8_S.12,P.8,KOTA STAR SELATAN,S.12,PADANG,,
P.79_NO. 9,KEDAH,P.79,KUBANG PASU BARAT,NO. 9,JERLUN KODIANG,P.4_S.3,P.4,KUBANG PASU BARAT,S.3,JERLUN KODIANG,,
P.79_NO. 10,KEDAH,P.79,KUBANG PASU BARAT,NO. 10,TUNJANG,P.4_S.4,P.4,KUBANG PASU BARAT,S.4,TUNJANG,,
P.80_NO. 11,KEDAH,P.80,JITRA-PADANG TERAP,NO. 11,JITRA,P.3_S.1,P.3,JITRA-PADANG TERAP,S.1,JITRA,,
P.80_NO. 12,KEDAH,P.80,JITRA-PADANG TERAP,NO. 12,PADANG TERAP,P.3_S.2,P.3,JITRA-PADANG TERAP,S.2,PADANG TERAP,,
P.81_NO. 13,KEDAH,P.81,JERAI,NO. 13,SALA,P.10_S.15,P.10,JERAI,S.15,SALA,,
P.81_NO. 14,KEDAH,P.81,JERAI,NO. 14,YEN-MERBOK,P.10_S.16,P.10,JERAI,S.16,YEN-MERBOK,,
P.82_NO. 15,KEDAH,P.82,KEDAH TENGAH,NO. 15,SIK-GURUN,P.9_S.13,P.9,KEDAH TENGAH,S.13,SIK-GURUN,,
P.82_NO. 16,KEDAH,P.82,KEDAH TENGAH,NO. 16,KOTA,P.9_S.14,P.9,KEDAH TENGAH,S.14,KOTA,,
P.83_NO. 17,KEDAH,P.83,SUNGEI PATANI,NO. 17,PEKAN SUNGEI PATANI,P.12_S.19,P.12,SUNGEI PATANI,S.19,PEKAN SUNGEI PATANI,,
P.83_NO. 18,KEDAH,P.83,SUNGEI PATANI,NO. 18,SUNGEI PATANI LUAR,P.12_S.20,P.12,SUNGEI PATANI,S.20,SUNGEI PATANI LUAR,,
P.84_NO. 19,KEDAH,P.84,BALING,NO. 19,BALING TIMOR,P.11_S.17,P.11,BALING,S.17,BALING TIMOR,,
P.84_NO. 20,KEDAH,P.84,BALING,NO. 20,BALING BARAT,P.11_S.18,P.11,BALING,S.18,BALING BARAT,,
P.85_NO. 21,KEDAH,P.85,KULIM UTARA,NO. 21,SIDAM,P.13_S.21,P.13,KULIM UTARA,S.21,SIDAM,,
P.85_NO. 22,KEDAH,P.85,KULIM UTARA,NO. 22,LUNAS,P.13_S.22,P.13,KULIM UTARA,S.22,LUNAS,,
P.86_NO. 23,KEDAH,P.86,KULIM-BANDAR BAHRU,NO. 23,KULIM,P.14_S.23,P.14,KULIM-BANDAR BAHRU,S.23,KULIM,,
P.86_NO. 24,KEDAH,P.86,KULIM-BANDAR BAHRU,NO. 24,BANDAR BAHRU,P.14_S.24,P.14,KULIM-BANDAR BAHRU,S.24,BANDAR BAHRU,,
P.87_NO. 1,KELANTAN,P.87,ULU KELANTAN,NO. 1,ULU KELANTAN BARAT,P.24_S.30,P.24,ULU KELANTAN,S.30,ULU KELANTAN BARAT,,
P.87_NO. 2,KELANTAN,P.87,ULU KELANTAN,NO. 2,ULU KELANTAN TIMOR,P.24_S.29,P.24,ULU KELANTAN,S.29,ULU KELANTAN TIMOR,,
P.87_NO. 3,KELANTAN,P.87,ULU KELANTAN,NO. 3,MACHANG SELATAN,P.24_S.28,P.24,ULU KELANTAN,S.28,MACHANG SELATAN,,
P.88_NO. 4,KELANTAN,P.88,TANAH MERAH,NO. 4,MACHANG UTARA,P.23_S.25,P.23,TANAH MERAH,S.25,MACHANG UTARA,,
P.88_NO. 5,KELANTAN,P.88,TANAH MERAH,NO. 5,TANAH MERAH TIMOR,P.23_S.26,P.23,TANAH MERAH,S.26,TANAH MERAH TIMOR,,
P.88_NO. 6,KELANTAN,P.88,TANAH MERAH,NO. 6,TANAH MERAH BARAT,P.23_S.27,P.23,TANAH MERAH,S.27,TANAH MERAH BARAT,,
P.89_NO. 7,KELANTAN,P.89,PASIR PUTEH,NO. 7,PASIR PUTEH UTARA,P.22_S.22,P.22,PASIR PUTEH,S.22,PASIR PUTEH UTARA,,
P.89_NO. 8,KELANTAN,P.89,PASIR PUTEH,NO. 8,PASIR PUTEH TENGAH,P.22_S.23,P.22,PASIR PUTEH,S.23,PASIR PUTEH TENGAH,,
P.89_NO. 9,KELANTAN,P.89,PASIR PUTEH,NO. 9,PASIR PUTEH TENGGARA,P.22_S.24,P.22,PASIR PUTEH,S.24,PASIR PUTEH TENGGARA,,
P.90_NO. 10,KELANTAN,P.90,BACHOK,NO. 10,BACHOK UTARA,P.19_S.13,P.19,BACHOK,S.13,BACHOK UTARA,,
P.90_NO. 11,KELANTAN,P.90,BACHOK,NO. 11,BACHOK TENGAH,P.19_S.14,P.19,BACHOK,S.14,BACHOK TENGAH,,
P.90_NO. 12,KELANTAN,P.90,BACHOK,NO. 12,BACHOK SELATAN,P.19_S.15,P.19,BACHOK,S.15,BACHOK SELATAN,,
P.91_NO. 13,KELANTAN,P.91,PASIR MAS HILIR,NO. 13,TENDONG,P.17_S.8,P.17,PASIR MAS HILIR,S.8,TENDONG,,
P.91_NO. 14,KELANTAN,P.91,PASIR MAS HILIR,NO. 14,MERANTI,P.17_S.7,P.17,PASIR MAS HILIR,S.7,MERANTI,,
P.91_NO. 15,KELANTAN,P.91,PASIR MAS HILIR,NO. 15,BANDAR PASIR MAS,P.17_S.9,P.17,PASIR MAS HILIR,S.9,BANDAR PASIR MAS,,
P.92_NO. 16,KELANTAN,P.92,PASIR MAS HULU,NO. 16,LEMAL,P.21_S.20,P.21,PASIR MAS HULU,S.20,LEMAL,,
P.92_NO. 17,KELANTAN,P.92,PASIR MAS HULU,NO. 17,TOK UBAN,P.21_S.21,P.21,PASIR MAS HULU,S.21,TOK UBAN,,
P.92_NO. 18,KELANTAN,P.92,PASIR MAS HULU,NO. 18,RANTAU PANJANG,P.21_S.19,P.21,PASIR MAS HULU,S.19,RANTAU PANJANG,,
P.93_NO. 19,KELANTAN,P.93,TUMPAT,NO. 19,TUMPAT BARAT,P.15_S.1,P.15,TUMPAT,S.1,TUMPAT BARAT,,
P.93_NO. 20,KELANTAN,P.93,TUMPAT,NO. 20,TUMPAT TENGAH,P.15_S.2,P.15,TUMPAT,S.2,TUMPAT TENGAH,,
P.93_NO. 21,KELANTAN,P.93,TUMPAT,NO. 21,TUMPAT TIMOR,P.15_S.3,P.15,TUMPAT,S.3,TUMPAT TIMOR,,
P.94_NO. 22,KELANTAN,P.94,KELANTAN HILIR,NO. 22,KUALA KELANTAN,P.16_S.4,P.16,KELANTAN HILIR,S.4,KUALA KELANTAN,,
P.94_NO. 23,KELANTAN,P.94,KELANTAN HILIR,NO. 23,KOTA BHARU UTARA,P.16_S.5,P.16,KELANTAN HILIR,S.5,KOTA BHARU UTARA,,
P.94_NO. 24,KELANTAN,P.94,KELANTAN HILIR,NO. 24,KOTA BHARU PANTAI,P.16_S.6,P.16,KELANTAN HILIR,S.6,KOTA BHARU PANTAI,,
P.95_NO. 25,KELANTAN,P.95,KOTA BHARU HILIR,NO. 25,BANDAR HILIR,P.18_S.10,P.18,KOTA BHARU HILIR,S.10,BANDAR HILIR,,
P.95_NO. 26,KELANTAN,P.95,KOTA BHARU HILIR,NO. 26,BANDAR HULU,P.18_S.11,P.18,KOTA BHARU HILIR,S.11,BANDAR HULU,,
P.95_NO. 27,KELANTAN,P.95,KOTA BHARU HILIR,NO. 27,KOTA BHARU TENGAH,P.18_S.12,P.18,KOTA BHARU HILIR,S.12,KOTA BHARU TENGAH,,
P.96_NO. 28,KELANTAN,P.96,KOTA BHARU HULU,NO. 28,KOTA BHARU TIMOR,P.20_S.16,P.20,KOTA BHARU HULU,S.16,KOTA BHARU TIMOR,,
P.96_NO. 29,KELANTAN,P.96,KOTA BHARU HULU,NO. 29,KOTA BHARU SELATAN,P.20_S.18,P.20,KOTA BHARU HULU,S.18,KOTA BHARU SELATAN,,
P.96_NO. 30,KELANTAN,P.96,KOTA BHARU HULU,NO. 30,KOTA BHARU BARAT,P.20_S.17,P.20,KOTA BHARU HULU,S.17,KOTA BHARU BARAT,,
P.97_NO. 1,TRENGGANU,P.97,BESUT,NO. 1,KUALA BESUT,P.25_S.1,P.25,BESUT,S.1,KUALA BESUT,,
P.97_NO. 2,TRENGGANU,P.97,BESUT,NO. 2,KAMPONG RAJA,P.25_S.2,P.25,BESUT,S.2,KAMPONG RAJA,,
P.97_NO. 3,TRENGGANU,P.97,BESUT,NO. 3,ULU BESUT,P.25_S.3,P.25,BESUT,S.3,ULU BESUT,,
P.97_NO. 4,TRENGGANU,P.97,BESUT,NO. 4,BESUT TENGAH,P.25_S.4,P.25,BESUT,S.4,BESUT TENGAH,,
P.97_NO. 5,TRENGGANU,P.97,BESUT,NO. 5,SETIU,P.25_S.5,P.25,BESUT,S.5,SETIU,,
P.98_NO. 6,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 6,BATU RAKIT,P.26_S.6,P.26,KUALA TRENGGANU UTARA,S.6,BATU RAKIT,,
P.98_NO. 7,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 7,KUALA NERUS,P.26_S.7,P.26,KUALA TRENGGANU UTARA,S.7,KUALA NERUS,,
P.98_NO. 8,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 8,JERAM,P.26_S.8,P.26,KUALA TRENGGANU UTARA,S.8,JERAM,,
P.98_NO. 9,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 9,LANGKAP,P.26_S.9,P.26,KUALA TRENGGANU UTARA,S.9,LANGKAP,,
P.99_NO. 10,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NO. 10,BANDAR,P.27_S.10,P.27,KUALA TRENGGANU SELATAN,S.10,BANDAR,,
P.99_NO. 11,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NO. 11,LADANG,P.27_S.11,P.27,KUALA TRENGGANU SELATAN,S.11,LADANG,,
P.99_NO. 12,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NO. 12,BUKIT BESAR,P.27_S.12,P.27,KUALA TRENGGANU SELATAN,S.12,BUKIT BESAR,,
P.99_NO. 13,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NO. 13,BATU BUROK,P.27_S.13,P.27,KUALA TRENGGANU SELATAN,S.13,BATU BUROK,,
P.100_NO. 14,TRENGGANU,P.100,TRENGGANU TENGAH,NO. 14,KUALA TRENGGANU TENGAH,P.30_S.21,P.30,TRENGGANU TENGAH,S.21,KUALA TRENGGANU TENGAH,,
P.100_NO. 15,TRENGGANU,P.100,TRENGGANU TENGAH,NO. 15,BINJAI,P.30_S.22,P.30,TRENGGANU TENGAH,S.22,BINJAI,,
P.100_NO. 16,TRENGGANU,P.100,TRENGGANU TENGAH,NO. 16,ULU TRENGGANU TIMOR,P.30_S.23,P.30,TRENGGANU TENGAH,S.23,ULU TRENGGANU TIMOR,,
P.100_NO. 17,TRENGGANU,P.100,TRENGGANU TENGAH,NO. 17,ULU TRENGGANU BARAT,P.30_S.24,P.30,TRENGGANU TENGAH,S.24,ULU TRENGGANU BARAT,,
P.101_NO. 18,TRENGGANU,P.101,DUNGUN,NO. 18,MARANG,P.28_S.14,P.28,DUNGUN,S.14,MARANG,,
P.101_NO. 19,TRENGGANU,P.101,DUNGUN,NO. 19,SURA,P.28_S.15,P.28,DUNGUN,S.15,SURA,,
P.101_NO. 20,TRENGGANU,P.101,DUNGUN,NO. 20,ULU DUNGUN,P.28_S.16,P.28,DUNGUN,S.16,ULU DUNGUN,,
P.102_NO. 21,TRENGGANU,P.102,KEMAMAN,NO. 21,PAKA KERTEH,P.29_S.17,P.29,KEMAMAN,S.17,PAKA KERTEH,,
P.102_NO. 22,TRENGGANU,P.102,KEMAMAN,NO. 22,KEMAMAN UTARA,P.29_S.18,P.29,KEMAMAN,S.18,KEMAMAN UTARA,,
P.102_NO. 23,TRENGGANU,P.102,KEMAMAN,NO. 23,CHUKAI,P.29_S.19,P.29,KEMAMAN,S.19,CHUKAI,,
P.102_NO. 24,TRENGGANU,P.102,KEMAMAN,NO. 24,KEMAMAN SELATAN,P.29_S.20,P.29,KEMAMAN,S.20,KEMAMAN SELATAN,,
P.103_NO. 1,PERLIS,P.103,PERLIS UTARA,NO. 1,KAKI BUKIT,P.1_S.1,P.1,PERLIS UTARA,S.1,KAKI BUKIT,,
P.103_NO. 2,PERLIS,P.103,PERLIS UTARA,NO. 2,PAYA,P.1_S.2,P.1,PERLIS UTARA,S.2,PAYA,,
P.103_NO. 3,PERLIS,P.103,PERLIS UTARA,NO. 3,MATA AYER,P.1_S.3,P.1,PERLIS UTARA,S.3,MATA AYER,,
P.103_NO. 4,PERLIS,P.103,PERLIS UTARA,NO. 4,KANGAR TOWN,P.1_S.4,P.1,PERLIS UTARA,S.4,BANDAR KANGAR,YES,
P.103_NO. 5,PERLIS,P.103,PERLIS UTARA,NO. 5,SENA,P.1_S.5,P.1,PERLIS UTARA,S.5,SENA,,
P.103_NO. 6,PERLIS,P.103,PERLIS UTARA,NO. 6,BINTONG,P.1_S.6,P.1,PERLIS UTARA,S.6,BINTONG,,
P.104_NO. 7,PERLIS,P.104,PERLIS SELATAN,NO. 7,KURONG ANAI,P.2_S.7,P.2,PERLIS SELATAN,S.7,KURONG ANAI,,
P.104_NO. 8,PERLIS,P.104,PERLIS SELATAN,NO. 8,ARAU,P.2_S.8,P.2,PERLIS SELATAN,S.8,ARAU,,
P.104_NO. 9,PERLIS,P.104,PERLIS SELATAN,NO. 9,HUTAN AJI,P.2_S.9,P.2,PERLIS SELATAN,S.9,HUTAN AJI,,
P.104_NO. 10,PERLIS,P.104,PERLIS SELATAN,NO. 10,KAYANG,P.2_S.10,P.2,PERLIS SELATAN,S.10,KAYANG,,
P.104_NO. 11,PERLIS,P.104,PERLIS SELATAN,NO. 11,KUALA PERLIS,P.2_S.11,P.2,PERLIS SELATAN,S.11,KUALA PERLIS,,
P.104_NO. 12,PERLIS,P.104,PERLIS SELATAN,NO. 12,SANGLANG,P.2_S.12,P.2,PERLIS SELATAN,S.12,SANGLANG,,
