UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1,PERLIS,P. 1,PERLIS UTARA,ALLIANCE - UMNO,OTHMAN BIN ABDULLAH,MALE,,
P. 2,PERLIS,P. 2,PERLIS SELATAN,ALLIANCE - UMNO,HAJI MOKHTAR BIN HAJI ISMAIL,MALE,,
P. 3,KEDAH,P. 3,JITRA - PADANG TERAP,ALLIANCE - UMNO,DATIN FATIMAH BINTI HAJI HASHIM,FEMALE,47,
P. 4,KEDAH,P. 4,KUBANG PASU BARAT,ALLIANCE - UMNO,SENU BIN ABDUL RAHMAN,MALE,45,
P. 5,KEDAH,P. 5,KOTA STAR UTARA,ALLIANCE - UMNO,HAJI ABDUL KHALID,MALE,,
P. 6,KEDAH,P. 6,ALOR STAR,ALLIANCE - MCA,LIM PEE HUNG,MALE,,
P. 7,KEDAH,P. 7,KUALA KEDAH,ALLIANCE - UMNO,TUNKU ABDUL RAHMAN PUTRA AL-HAJ,MALE,61,
P. 8,KEDAH,P. 8,KOTA STAR SELATAN,ALLIANCE - UMNO,DR MAHATHIR BIN MOHAMAD,MALE,39,
P. 9,KEDAH,P. 9,KEDAH TENGAH,ALLIANCE - UMNO,KHIR JOHARI,MALE,43,
P. 10,KEDAH,P. 10,JERAI,ALLIANCE - UMNO,HANAFIAH HUSSAIN,MALE,37,
P. 11,KEDAH,P. 11,BALING,ALLIANCE - UMNO,HARUN BIN ABDULLAH,MALE,,
P. 12,KEDAH,P. 12,SUNGEI PATANI,ALLIANCE - UMNO,MOHAMED ZAHIR BIN HAJI ISMAIL,MALE,40,
P. 13,KEDAH,P. 13,KULIM UTARA,ALLIANCE - UMNO,HANAFI BIN MOHD. YUNUS,MALE,,
P. 14,KEDAH,P. 14,KULIM - BANDAR BAHRU,ALLIANCE - MCA,TAI KUAN YANG,MALE,,
P. 15,KELANTAN,P. 15,TUMPAT,PMIP,WAN HASSAN,MALE,,
P. 16,KELANTAN,P. 16,KELANTAN HILIR,PMIP,HAJI AHMAD BIN ABDULLAH,MALE,,
P. 17,KELANTAN,P. 17,PASIR MAS HILIR,PMIP,MUHAMMAD FAKHRUDDIN BIN HAJI ABDULLAH,MALE,,
P. 18,KELANTAN,P. 18,KOTA BHARU HILIR,ALLIANCE - UMNO,DATO' NIK AHMED KAMIL,MALE,55,
P. 19,KELANTAN,P. 19,BACHOK,PMIP,ZULKIFLEE B. MUHAMMAD,MALE,36,
P. 20,KELANTAN,P. 20,KOTA BHARU HULU,PMIP,HAJI HUSAIN RAHIMI BIN HAJI SAMAN,MALE,,
P. 21,KELANTAN,P. 21,PASIR MAS HULU,PMIP,ABDUL SAMAD AHMAD,MALE,,
P. 22,KELANTAN,P. 22,PASIR PUTEH,PMIP,MOHD. ASRI,MALE,41,
P. 23,KELANTAN,P. 23,TANAH MERAH,PMIP,MUSTAPHA BIN AHMAD,MALE,,
P. 24,KELANTAN,P. 24,ULU KELANTAN,ALLIANCE - UMNO,HUSSEIN BIN SULAIMAN,MALE,,
P. 25,TRENGGANU,P. 25,BESUT,PMIP,MOHD DAUD BIN ABDUL SAMAD,MALE,,
P. 26,TRENGGANU,P. 26,KUALA TRENGGANU UTARA,ALLIANCE - UMNO,WAN ABDUL KADIR BIN ISMAIL,MALE,,
P. 27,TRENGGANU,P. 27,KUALA TRENGGANU SELATAN,ALLIANCE - UMNO,ABDULLAH BIN ABDUL RAHMAN,MALE,,
P. 28,TRENGGANU,P. 28,DUNGUN,ALLIANCE - UMNO,SULAIMAN BIN ALI,MALE,,
P. 29,TRENGGANU,P. 29,KEMAMAN,ALLIANCE - UMNO,WAN MOKHTAR BIN AHMAD,MALE,32,
P. 30,TRENGGANU,P. 30,TRENGGANU TENGAH,ALLIANCE - UMNO,ENGKU MUHSEIN BIN ABDUL KADER,MALE,38,
P. 31,PENANG,P. 31,BAGAN,ALLIANCE - MCA,TAN CHENG BEE,MALE,,
P. 32,PENANG,P. 32,SEBERANG TENGAH,ALLIANCE - UMNO,IBRAHIM BIN ABDUL RAHMAN,MALE,45,
P. 33,PENANG,P. 33,SEBERANG SELATAN,ALLIANCE - UMNO,MOHD. NOORDIN BIN MAHSEN,MALE,,
P. 34,PENANG,P. 34,PENANG UTARA,ALLIANCE - MCA,GEH CHONG KEAT,MALE,,
P. 35,PENANG,P. 35,PENANG SELATAN,ALLIANCE - UMNO,ISMAIL BIN IDRIS,MALE,,
P. 36,PENANG,P. 36,TANJONG,UDP,DR. LIM CHONG EU,MALE,45,
P. 37,PENANG,P. 37,DATO KRAMAT,SF - LPM,LIM KEAN SIEW,MALE,,
