UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1_S. 1,PERLIS,P. 1,PERLIS UTARA,S. 1,KAKI BUKIT,ALLIANCE - MCA,LOH AH TONG,MALE,,
P. 1_S. 2,PERLIS,P. 1,PERLIS UTARA,S. 2,PAYA,ALLIANCE - UMNO,CHE' YOOK @ CHE YOB BIN CHE' CHOH,MALE,,
P. 1_S. 3,PERLIS,P. 1,PERLIS UTARA,S. 3,MATA AYER,ALLIANCE - UMNO,ABDULLAH B. HAJI HASSAN,MALE,,
P. 1_S. 4,PERLIS,P. 1,PERLIS UTARA,S. 4,BANDAR KANGAR,ALLIANCE - MCA,POR SWEE GIAP,MALE,,
P. 1_S. 5,PERLIS,P. 1,PERLIS UTARA,S. 5,SENA,ALLIANCE - UMNO,WAN AHMAD BIN HJ. WAN KASSIM,MALE,,
P. 1_S. 6,PERLIS,P. 1,PERLIS UTARA,S. 6,BINTONG,ALLIANCE - UMNO,SYED OMAR BIN SYED HUSSIN,MALE,,
P. 2_S. 7,PERLIS,P. 2,PERLIS SELATAN,S. 7,KURONG ANAI,ALLIANCE - UMNO,HAJI WAN AHMAD B. WAN ABDULLAH,MALE,,
P. 2_S. 8,PERLIS,P. 2,PERLIS SELATAN,S. 8,ARAU,ALLIANCE - UMNO,TENGKU ADNAN B. TENGKU YAHYA,MALE,,
P. 2_S. 9,PERLIS,P. 2,PERLIS SELATAN,S. 9,HUTAN AJI,PMIP,TAHARIM BIN ARIFFIN,MALE,,
P. 2_S. 10,PERLIS,P. 2,PERLIS SELATAN,S. 10,KAYANG,ALLIANCE - UMNO,YUSOFF BIN ABU BAKAR,MALE,,
P. 2_S. 11,PERLIS,P. 2,PERLIS SELATAN,S. 11,KUALA PERLIS,ALLIANCE - UMNO,DATO' SHEIKH AHMAD BIN MD. HASHIM,MALE,,
P. 2_S. 12,PERLIS,P. 2,PERLIS SELATAN,S. 12,SANGLANG,ALLIANCE - UMNO,AHMAD BIN MUSA,MALE,,
P. 3_S. 1,KEDAH,P. 3,JITRA - PADANG TERAP,S. 1,JITRA,ALLIANCE - UMNO,HAJI OMAR HAJI SALLEH,MALE,,
P. 3_S. 2,KEDAH,P. 3,JITRA - PADANG TERAP,S. 2,PADANG TERAP,ALLIANCE - UMNO,SYED AHMAD SHAHABUDIN,MALE,,
P. 4_S. 3,KEDAH,P. 4,KUBANG PASU BARAT,S. 3,JERLUN KODIANG,ALLIANCE - UMNO,YAHAYA BIN JALIL,MALE,,
P. 4_S. 4,KEDAH,P. 4,KUBANG PASU BARAT,S. 4,TUNJANG,ALLIANCE - UMNO,MUSTAFA BIN AHMAD,MALE,,
P. 5_S. 5,KEDAH,P. 5,KOTA STAR UTARA,S. 5,LANGGAR - LIMBONG,ALLIANCE - UMNO,HAJI OMAR B. HJ. AHMAD,MALE,,
P. 5_S. 6,KEDAH,P. 5,KOTA STAR UTARA,S. 6,POKOK SENA,ALLIANCE - UMNO,HAMIDAH BINTI OMAR,FEMALE,,
P. 6_S. 7,KEDAH,P. 6,ALOR STAR,S. 7,ALOR STAR PEKAN,ALLIANCE - MCA,TAN HAI LOON,MALE,,
P. 6_S. 8,KEDAH,P. 6,ALOR STAR,S. 8,ALOR STAR LUAR,ALLIANCE - MIC,K. NAIR,MALE,,
