UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,UDP,UDP CANDIDATE,UDP CANDIDATE SEX,UDP CANDIDATE AGE,UDP CANDIDATE VOTE,UDP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.85,MELAKA,P.85,MALACCA TENGAH,,ALLIANCE - MCA,30569,13327,84.29%,25766,,721,25045,MCA,TAN SIEW SIN,MALE,48,18568,,PRM,HASNAL BIN ABDUL HADI,MALE,,5241,,PMIP,MOHD. KAMAL BIN SUDIN,MALE,,1236,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.86,MELAKA,P.86,BANDAR MALACCA,,ALLIANCE - MCA,33148,3131,85.60%,28375,,467,27908,MCA,TAN KEE GAK,MALE,,13789,,LPM,YEOH HO HUAT,MALE,,10658,,,,,,,,,,,,,,,,,,,,PAP,CHUA SIAN CHIN,MALE,,3461,LOST DEPOSIT,,,,,,,,,,,,
P.87,MELAKA,P.87,MALACCA UTARA,,ALLIANCE - UMNO,29443,12463,83.92%,24709,,865,23844,UMNO,AB. GHANI BIN ISHAK,MALE,,16892,,PRM,DR. SULAIMAN,MALE,,4429,,PMIP,HAJI MOHD YUSOFF BIN HAJI SULONG,MALE,,2523,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.88,MELAKA,P.88,MALACCA SELATAN,,ALLIANCE - UMNO,32425,11499,83.08%,26938,,1139,25799,UMNO,ABD. KARIM BIN ABU,MALE,,18649,,PRM,JAAFAR TAN,MALE,,7150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.89,JOHORE,P.89,MUAR DALAM,,ALLIANCE - UMNO,22723,12551,82.56%,18759,,540,18219,UMNO,AZIZ ISHAK,MALE,,15385,,PRM,MOHD. DALI BIN HJ.OTHMAN,MALE,,2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.90,JOHORE,P.90,SEGAMAT SELATAN,,ALLIANCE - MCA,22678,6399,82.43%,18693,,763,17930,MCA,LEE SAN CHOON,MALE,29,11355,,LPM,CHIU SIU MENG,MALE,,4956,,,,,,,,UDP,TAN LUAN HONG,MALE,,1619,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.91,JOHORE,P.91,MUAR PANTAI,,ALLIANCE - MCA,30116,10441,77.02%,23196,,481,22715,MCA,SEAH TENG NGAIB,MALE,,16578,,LPM,LEE BOON PIN,MALE,,6137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.92,JOHORE,P.92,MUAR SELATAN,Y,ALLIANCE - UMNO,30123,,,,,,,UMNO,AWANG BIN HASSAN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.93,JOHORE,P.93,BATU PAHAT,,ALLIANCE - MCA,25358,6858,82.91%,21024,,450,20574,MCA,SOH AH TECK,MALE,,12505,,LPM,NG JIN LAM,,,5647,,,,,,,,UDP,TAN SEOW KIEW,MALE,,2422,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.94,JOHORE,P.94,BATU PAHAT DALAM,,ALLIANCE - UMNO,28465,14169,79.89%,22741,,2460,20281,UMNO,SYED ESA BIN SYED ALWEE,MALE,,17225,,,,,,,,,,,,,,UDP,SAKRONI B. AHMAD,MALE,,3056,,,,,,,,,,,,,,,,,,,,,,,,,
P.95,JOHORE,P.95,KLUANG UTARA,,ALLIANCE - MCA,21731,2464,81.04%,17611,,523,17088,MCA,TIAH ENG BEE,MALE,,9138,,LPM,LEE AH LENG,,,6674,,,,,,,,,,,,,,,,,,,,PAP,LAI THA CHAI,MALE,,1276,LOST DEPOSIT,,,,,,,,,,,,
P.96,JOHORE,P.96,JOHORE TENGGARA,Y,ALLIANCE - UMNO,12854,,,,,,,UMNO,SYED JA'AFAR BIN HASAN ALBAR,MALE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.97,JOHORE,P.97,PONTIAN UTARA,,ALLIANCE - UMNO,26098,13762,81.69%,21320,,2030,19290,UMNO,SARDON BIN JUBIR,MALE,47,16526,,,,,,,,PMIP,ABDUL JAMIL BIN SULEIMAN,MALE,,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.98,JOHORE,P.98,PONTIAN SELATAN,,ALLIANCE - UMNO,24569,7849,82.36%,20234,,565,19669,UMNO,ALI BIN HAJI AHMAD,MALE,34,13759,,LPM,TAN TAI CHEN,,,5910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.99,JOHORE,P.99,KLUANG SELATAN,,ALLIANCE - MCA,23158,5492,81.88%,18961,,601,18360,MCA,CHAN CHONG WEN,MALE,,11926,,LPM,HON KIN SIONG,,,6434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.100,JOHORE,P.100,JOHORE BAHRU TIMOR,,ALLIANCE - UMNO,24735,7257,78.46%,19406,,730,18676,UMNO,DATIN FATIMAH BTE HJ. ABD. MAJID,FEMALE,,12600,,LPM,TAN AH NGOH,FEMALE,26,5343,,,,,,,,,,,,,,,,,,,,PAP,MOHAMED NOOR JETTEY,MALE,,733,LOST DEPOSIT,,,,,,,,,,,,
P.101,JOHORE,P.101,JOHORE BAHRU BARAT,,ALLIANCE - UMNO,22493,6926,77.91%,17525,,560,16965,UMNO,HAJI RAHMAT B. HAJI DAUD,MALE,,11722,,LPM,LIM LEE KOON,,,4796,,,,,,,,,,,,,,,,,,,,PAP,LIANG TECK SUM,MALE,,447,LOST DEPOSIT,,,,,,,,,,,,
P.102,JOHORE,P.102,JOHORE TIMOR,,ALLIANCE - UMNO,14938,9422,80.31%,11996,,756,11240,UMNO,DATO DR. ISMAIL,MALE,49,10331,,,,,,,,PMIP,KHADIJAH SIDIK,FEMALE,,909,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.103,JOHORE,P.103,SEGAMAT UTARA,,ALLIANCE - UMNO,20273,4975,85.88%,17411,,549,16862,UMNO,HJ. ABDULLAH B HAJ. MD. SALLEH,MALE,,9646,,LPM,PANG LEE SENG,,,4671,,,,,,,,UDP,LIM MENG SEE,MALE,,2545,,,,,,,,,,,,,,,,,,,,,,,,,
P.104,JOHORE,P.104,MUAR UTARA,,ALLIANCE - UMNO,27024,12841,79.80%,21566,,973,20593,UMNO,AHMAD ARSHAD,MALE,,16717,,PRM,HJ. A. HAMID B. HASSAN,MALE,,3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
