UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,UDP,UDP CANDIDATE,UDP CANDIDATE SEX,UDP CANDIDATE AGE,UDP CANDIDATE VOTE,UDP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.34,PULAU PINANG,P.34,PENANG UTARA,,ALLIANCE - MCA,39131,6538,83.44%,32650,,667,31983,MCA,GEH CHONG KEAT,MALE,,16686,,LPM,LAU TEIK HAI,,,10148,,,,,,,,UDP,TOH BOON KOOI,MALE,,5149,,,,,,,,,,,,,,,,,,,,,,,,,
P.35,PULAU PINANG,P.35,PENANG SELATAN,,ALLIANCE - UMNO,40291,3517,85.03%,34259,,848,33411,UMNO,ISMAIL BIN IDRIS,MALE,,16088,,PRM,ABUBAKAR BIN HASHIM,MALE,,12571,,,,,,,,UDP,LIM MEE LEE,MALE,,4752,,,,,,,,,,,,,,,,,,,,,,,,,
P.36,PULAU PINANG,P.36,TANJONG,,UDP,34763,4412,83.90%,29165,,672,28493,MCA,CHOONG EWE LEONG,MALE,35,6271,,LPM,TAN PHOCK KIN,,,8516,,,,,,,,UDP,DR. LIM CHONG EU,MALE,45,12928,,,,,,,,PAP,TAN CHONG BEE,MALE,,778,LOST DEPOSIT,,,,,,,,,,,,
P.37,PULAU PINANG,P.37,DATO KRAMAT,,SF - LPM,31327,1866,85.23%,26701,,656,26045,MCA,LIM CHENG POH,MALE,,7707,,LPM,LIM KEAN SIEW,,,10102,,,,,,,,UDP,TEH EWE LIM,MALE,,8236,,,,,,,,,,,,,,,,,,,,,,,,,
P.38,PULAU PINANG,P.38,SEBERANG UTARA,,ALLIANCE - UMNO,28160,11353,84.57%,23814,,1010,22804,UMNO,HAJI AHMAD BIN SAID,MALE,,15440,,PRM,OMAR BIN MOHD. YUSOFF,MALE,,3277,,PMIP,SITI FATIMAH @ SALMAH BT. SHEIK HUSSAIN,FEMALE,,4087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39,PERAK,P.39,ULU PERAK,,ALLIANCE - UMNO,23172,9831,84.26%,19525,,768,18757,UMNO,MOHD. GHAZALI BIN JAWI,MALE,40,12846,,,,,,,,PMIP,ADNAN BIN ALANG ABDUL MUTALIB,MALE,,3015,,UDP,TAN KIM SENG,MALE,,2896,,,,,,,,,,,,,,,,,,,,,,,,,
P.40,PERAK,P.40,LARUT UTARA,,ALLIANCE - UMNO,27041,10430,78.79%,21306,,836,20470,UMNO,TAJUDIN BIN ALI,MALE,,14778,,,,,,,,PMIP,HJ AB SAMAD BIN HAJI NOH,MALE,,4348,,UDP,LIM ENG KEAT,MALE,,1344,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.41,PERAK,P.41,KRIAN LAUT,,ALLIANCE - UMNO,25605,2657,79.77%,20426,,583,19843,UMNO,ABDUL RAUF BIN A. RAHMAN,MALE,,10109,,PRM,MOHD. NOORDIN BIN ABD. JALIL,MALE,,2282,LOST DEPOSIT,PMIP,ABDUL WAHAB BIN HAJI MD. NOOR,MALE,,7452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.42,PERAK,P.42,KRIAN DARAT,,ALLIANCE - UMNO,24737,5563,78.22%,19349,,1246,18103,UMNO,RAMLI BIN OMAR,MALE,,11574,,,,,,,,PMIP,BAHARUDDIN LATIF,MALE,,6011,,UDP,ASRI BIN YUSOF,MALE,,518,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.43,PERAK,P.43,LARUT SELATAN,,ALLIANCE - MCA,40909,13826,75.85%,31029,,1124,29905,MCA,DR LIM SEW AUN,MALE,49,18906,,PRM,OTHMAN ABDULLAH,MALE,,3185,LOST DEPOSIT,PMIP,ABDUL RAHMAN BIN HAJI ABD. HAMID,MALE,,2734,LOST DEPOSIT,UDP,LIM ENG CHUAN,,,5080,,,,,,,,,,,,,,,,,,,,,,,,,
P.44,PERAK,P.44,HILIR PERAK,,ALLIANCE - UMNO,15805,4038,79.83%,12617,,514,12103,UMNO,OTHMAN ABDULLAH,MALE,,7883,,,,,,,,PMIP,HASAN ADLI,MALE,,3845,,UDP,JAAFAR SIDIK BIN MAAMOR,MALE,,375,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
