UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE GENDER,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE GENDER,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE GENDER,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,UDP,UDP CANDIDATE,UDP CANDIDATE GENDER,UDP CANDIDATE AGE,UDP CANDIDATE VOTE,UDP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE GENDER,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE GENDER,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
,PERLIS,,PERLIS UTARA,,ALLIANCE - UMNO,23379,6402,82.81%,19361,,721,18640,UMNO,OTHMAN BIN ABDULLAH,MALE,,12521,,,,,,,,PMIP,ISMAIL BIN MOHAMAD,MALE,,6119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERLIS,,PERLIS SELATAN,,ALLIANCE - UMNO,23112,3236,80.39%,18579,,843,17736,UMNO,HAJI MOKHTAR BIN HAJI ISMAIL,MALE,,10486,,,,,,,,PMIP,HAJI YUSOF BIN HJ. ABDULLAH,MALE,,7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,JITRA-PADANG TERAP,,ALLIANCE - UMNO,29464,9730,78.12%,23017,,1077,21940,UMNO,DATIN FATIMAH BINTI HAJI HASHIM,FEMALE,47,15835,,,,,,,,PMIP,L. ISA BIN HJ. MAHAMAD,MALE,,6105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,KUBANG PASU BARAT,,ALLIANCE - UMNO,22351,3376,77.00%,17211,,703,16508,UMNO,SENU BIN ABDUL RAHMAN,MALE,45,9942,,,,,,,,PMIP,HAJI BAKAR BIN H. HANAFIAH,MALE,,6566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,KOTA STAR UTARA,,ALLIANCE - UMNO,23982,4925,81.74%,19604,,835,18769,UMNO,HAJI ABDUL KHALID,MALE,,11847,,,,,,,,PMIP,ABU BAKAR BIN UMAR,MALE,,6922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,ALOR STAR,,ALLIANCE - MCA,33758,11141,69.81%,23566,,767,22799,MCA,LIM PEE HUNG,MALE,,14749,,LPM,TEOH AH THOW,MALE,,1747,LOST DEPOSIT,PMIP,SYED SALIM BIN SYED HAMID AL-IDRUS,MALE,,3608,,UDP,GEH TENG KHENG,MALE,,2695,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,KUALA KEDAH,,ALLIANCE - UMNO,29872,11647,78.95%,23585,,1014,22571,UMNO,TUNKU ABDUL RAHMAN PUTRA AL-HAJ,MALE,61,17109,,,,,,,,PMIP,MMUSTAFFA BIN MOHD. SAID,MALE,,5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,KOTA STAR SELATAN,,ALLIANCE - UMNO,25898,4210,82.79%,21440,,838,20602,UMNO,DR MAHATHIR BIN MOHAMAD,MALE,39,12406,,,,,,,,PMIP,MOHD. SHAARI BIN HAJI ABD. SHUKOR,MALE,,8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,KEDAH TENGAH,,ALLIANCE - UMNO,29829,10680,74.72%,22289,,885,21404,UMNO,KHIR JOHARI,MALE,43,16042,,,,,,,,PMIP,HAJI HUSSIN CHE DOL,MALE,,5362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,JERAI,,ALLIANCE - UMNO,28271,6917,77.07%,21788,,701,21087,UMNO,HANAFIAH HUSSAIN,MALE,37,14002,,,,,,,,PMIP,HAJI OTHMAN BIN HJ. YUNUS,MALE,,7085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,BALING,,ALLIANCE - UMNO,31820,9762,72.96%,23215,,1255,21960,UMNO,HARUN BIN ABDULLAH,MALE,,14970,,PRM,ABDULLAH BIN MOHAMED HASHIM,MALE,,1782,LOST DEPOSIT,PMIP,YAACOB BIN HJ. SHAFIE,MALE,,5208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,SUNGEI PATANI,,ALLIANCE - UMNO,27156,10497,76.28%,20714,,527,20187,UMNO,MOHAMED ZAHIR BIN HAJI ISMAIL,MALE,40,14177,,LPM,TEH PEK CHOON,,,3680,,PMIP,SAID JAN ALJEFFRI,MALE,,1176,LOST DEPOSIT,UDP,ONG BOON SEONG,MALE,,1154,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,KULIM UTARA,,ALLIANCE - UMNO,24125,8929,75.58%,18233,,1484,16749,UMNO,HANAFI BIN MOHD. YUNUS,MALE,,12839,,,,,,,,PMIP,KHATIB SHORBAINI,MALE,,3910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEDAH,,KULIM-BANDAR BAHRU,,ALLIANCE - MCA,30332,10492,75.20%,22810,,887,21923,MCA,TAI KUAN YANG,MALE,,15077,,LPM,A. K. VEEMAN S/O KANUSAMY,MALE,,4585,,PMIP,MOHAMAD AMIN BIN CHE MAT,MALE,,2261,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,,TUMPAT,,PMIP,25887,192,82.03%,21235,,931,20304,UMNO,CHE' LAT BIN KASSIM,MALE,,10056,,,,,,,,PMIP,WAN HASSAN BIN WAN DAUD,MALE,,10248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,,KELANTAN HILIR,,PMIP,25451,6225,79.26%,20172,,955,19217,UMNO,TENGKU ABDULLAH BIN TENGKU AHMAD,MALE,,6496,,,,,,,,PMIP,HAJI AHAD BIN ABDULLAH,MALE,,12721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,,PASIR MAS HILIR,,PMIP,24664,8215,78.02%,19244,,507,18737,UMNO,HAJI MOKHTAR BIN HAJI AHMED,MALE,,5261,,,,,,,,PMIP,MUHAMMAD FAKHRUDDIN BIN HAJI ABDULLAH,MALE,,13476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,,KOTA BHARU HILIR,,ALLIANCE - UMNO,30942,656,75.35%,23316,,802,22514,UMNO,DATO' NIK AHMED KAMIL,MALE,55,11585,,,,,,,,PMIP,WAN MUSTAPHA BIN HAJI ALI,MALE,,10929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,,BACHOK,,PMIP,26274,4381,83.25%,21873,,936,20937,UMNO,HASSAN HAJI MOHAMED,MALE,,8278,,,,,,,,PMIP,ZULKIFLEE BIN MUHAMMAD,MALE,,12659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,,KOTA BHARU HULU,,PMIP,29978,7741,81.85%,24536,,965,23571,UMNO,HJ. IBRAHIM BIN HJ. MAT,MALE,,7915,,,,,,,,PMIP,HAJI HUSAIN RAHIMI BIN HAJI SAMAN,MALE,,15656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,,PASIR MAS HULU,,PMIP,20764,4361,77.22%,16033,,680,15353,UMNO,HUSEIN BIN AHMAD,MALE,30,5496,,,,,,,,PMIP,ABDUL SAMAD BIN GUL AHMAD MIANJI,MALE,,9857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
