UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE GENDER,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE GENDER,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE GENDER,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,UDP,UDP CANDIDATE,UDP CANDIDATE GENDER,UDP CANDIDATE AGE,UDP CANDIDATE VOTE,UDP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE GENDER,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE GENDER,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
,KELANTAN,,PASIR PUTEH,,PMIP,27042,1405,85.82%,23208,,1017,22191,UMNO,HAJI IDRIS BIN ISMAIL,MALE,,10393,,,,,,,,PMIP,MOHD. ASRI BIN HAJI MUDA,MALE,41,11798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,,TANAH MERAH,,PMIP,31250,769,80.01%,25002,,1135,23867,UMNO,ISHAK BIN ABDUL HAMID,MALE,,11549,,,,,,,,PMIP,MUSTAPHA BIN AHMAD,MALE,,12318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,,ULU KELANTAN,,ALLIANCE - UMNO,29479,3573,78.53%,23150,,947,22203,UMNO,HUSSEIN BIN SULAIMAN,MALE,,12681,,PRM,ABDULLAH BIN MAT ARIF,MALE,,414,LOST DEPOSIT,PMIP,HJ. WAN YUSOFF BIN H. CHE TENGAH,MALE,,9108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TERENGGANU,,BESUT,,PMIP,27437,136,83.22%,22834,,980,21854,UMNO,ABU BAKAR BIN AHMAD,MALE,,10859,,,,,,,,PMIP,MOHD. DAUD BIN ABDUL SAMAD,MALE,,10995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TERENGGANU,,KUALA TRENGGANU UTARA,,ALLIANCE - UMNO,24739,5671,77.68%,19218,,869,18349,UMNO,WAN ABDUL KADIR BIN ISMAIL,MALE,,11500,,,,,,,,PMIP,SALAHUDDIN BIN ABDULLAH,MALE,,5829,,,,,,,,,,,,,,NEGARA,CHE EMBONG BIN ABDULLAH,MALE,,1020,LOST DEPOSIT,,,,,,,,,,,,
,TERENGGANU,,KUALA TRENGGANU SELATAN,,ALLIANCE - UMNO,24129,4446,73.02%,17619,,700,16919,UMNO,DATO' BIJAYA DI-RAJA (ABDULLAH BIN ABDUL RAHMAN),MALE,,9795,,,,,,,,PMIP,HAJI MOHAMED TAIB BIN HAJI ISMAIL,MALE,,1775,,,,,,,,,,,,,,NEGARA,GARIEB BIN ABDUL RAOUF,MALE,,5349,,,,,,,,,,,,,
,TERENGGANU,,DUNGUN,,ALLIANCE - UMNO,21119,1542,72.40%,15290,,613,14677,UMNO,SULEIMAN BIN ALI,MALE,,7483,,PRM,HARUN BIN YUSOFF,MALE,,691,LOST DEPOSIT,PMIP,NGAH BIN MOHD.,MALE,,5941,,,,,,,,,,,,,,NEGARA,ATTAN BIN NAIB,MALE,,562,LOST DEPOSIT,,,,,,,,,,,,
,TERENGGANU,,KEMAMAN,,ALLIANCE - UMNO,22013,7081,75.21%,16556,,742,15814,UMNO,WAN MOKHTAR BIN AHMAD,MALE,32,10153,,PRM,WAN HAMID BIN WAN IBRAHIM,MALE,,3072,,PMIP,AYED NOH BIN ALWEE,MALE,,2589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TERENGGANU,,TRENGGANU TENGAH,,ALLIANCE - UMNO,25780,3609,80.76%,20821,,882,19939,UMNO,ENGKU MOHSEIN BIN ABDUL KADER,MALE,38,11002,,PRM,ABD. LATIF BIN HAJI FAKEH,MALE,,1156,LOST DEPOSIT,PMIP,CHE SU MAHMUD BIN DATO' AMAR,MALE,,7393,,,,,,,,,,,,,,NEGARA,ABU BAKAR ARSHADI,MALE,,388,LOST DEPOSIT,,,,,,,,,,,,
,PULAU PINANG,,BAGAN,,ALLIANCE - MCA,22805,2361,77.82%,17746,,403,17343,MCA,TAN CHENG BEE,MALE,,8925,,PRM,MOHD. SALLEH BIN YACOB,MALE,,6564,,PMIP,SHARIFF BIN MOHD. ISA,MALE,,983,LOST DEPOSIT,UDP,M. P. MATHEW,MALE,,871,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,PULAU PINANG,,SEBERANG TENGAH,,ALLIANCE - UMNO,35780,8174,81.90%,29304,,943,28361,UMNO,IBRAHIM BIN ABDUL RAHMAN,MALE,45,15660,,LPM,KAM YAU WAH,,,7486,,,,,,,,UDP,OOH CHOOI CHENG,MALE,,5215,,,,,,,,,,,,,,,,,,,,,,,,,
,PULAU PINANG,,SEBERANG SELATAN,,ALLIANCE - UMNO,21198,4105,84.48%,17909,,703,17206,UMNO,MOHD. NOORDIN BIN MAHSEN,MALE,,10427,,LPM,V. VEERAPPEN,MALE,,6322,,PMIP,MOHAMED NOOR BIN HJ. MOKHTAR,MALE,,457,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PULAU PINANG,,PENANG UTARA,,ALLIANCE - MCA,39131,6538,83.44%,32650,,667,31983,MCA,GEH CHONG KEAT,MALE,,16686,,LPM,LAU TEIK HAI,,,10148,,,,,,,,UDP,TOH BOON KOOI,MALE,,5149,,,,,,,,,,,,,,,,,,,,,,,,,
,PULAU PINANG,,PENANG SELATAN,,ALLIANCE - UMNO,40291,3517,85.03%,34259,,848,33411,UMNO,ISMAIL BIN IDRIS,MALE,,16088,,PRM,ABUBAKAR BIN HASHIM,MALE,,12571,,,,,,,,UDP,LIM MEE LEE,MALE,,4752,,,,,,,,,,,,,,,,,,,,,,,,,
,PULAU PINANG,,TANJONG,,UDP,34763,4412,83.90%,29165,,672,28493,MCA,CHOONG EWE LEONG,MALE,35,6271,,LPM,TAN PHOCK KIN,,,8516,,,,,,,,UDP,DR. LIM CHONG EU,MALE,45,12928,,,,,,,,PAP,TAN CHONG BEE,MALE,,778,LOST DEPOSIT,,,,,,,,,,,,
,PULAU PINANG,,DATO KRAMAT,,SF - LPM,31327,1866,85.23%,26701,,656,26045,MCA,LIM CHENG POH,MALE,,7707,,LPM,LIM KEAN SIEW,,,10102,,,,,,,,UDP,TEH EWE LIM,MALE,,8236,,,,,,,,,,,,,,,,,,,,,,,,,
,PULAU PINANG,,SEBERANG UTARA,,ALLIANCE - UMNO,28160,11353,84.57%,23814,,1010,22804,UMNO,HAJI AHMAD BIN SA'ID,MALE,,15440,,PRM,OMAR BIN MOHD. YUSFF,MALE,,3277,,PMIP,SITI FATIMAH @ SALMAH BINTI SHEIK HUSSAIN,FEMALE,,4087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,ULU PERAK,,ALLIANCE - UMNO,23172,9831,84.26%,19525,,768,18757,UMNO,MOHD. GHAZALI BIN JAWI,MALE,40,12846,,,,,,,,PMIP,ADNAN BIN ALANG ABDUL MUTALIB,MALE,,3015,,UDP,TAN KIM SENG,MALE,,2896,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,LARUT UTARA,,ALLIANCE - UMNO,27041,10430,78.79%,21306,,836,20470,UMNO,TAJUDIN BIN ALI,MALE,,14778,,,,,,,,PMIP,HJ. AB. SAMAD BIN HAJI NOH,MALE,,4348,,UDP,LIM ENG KEAT,MALE,,1344,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,KRIAN LAUT,,ALLIANCE - UMNO,25605,2657,79.77%,20426,,583,19843,UMNO,ABDUL RAUF BIN A. RAHMAN,MALE,,10109,,PRM,MOH. NOORDIN BIN ABD. JALIL,MALE,,2282,LOST DEPOSIT,PMIP,ABDUL WAHAB BIN HAJI MD. NOOR,MALE,,7452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,KRIAN DARAT,,ALLIANCE - UMNO,24737,5563,78.22%,19349,,1246,18103,UMNO,RAMLI BIN OMAR,MALE,,11574,,,,,,,,PMIP,BAHARUDDIN BIN LATIF,MALE,,6011,,UDP,ASRI BIN YUSOF,MALE,,518,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,LARUT SELATAN,,ALLIANCE - MCA,40909,13826,75.85%,31029,,1124,29905,MCA,DR. LIM SEW AUN,MALE,49,18906,,PRM,OTHMAN ABDULLAH,MALE,,3185,LOST DEPOSIT,PMIP,ABDUL RAHMAN BIN HAJI ABD. HAMID,MALE,,2734,LOST DEPOSIT,UDP,LIM ENG CHUAN,,,5080,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,HILIR PERAK,,ALLIANCE - UMNO,15805,4038,79.83%,12617,,514,12103,UMNO,OTHMAN ABDULLAH,MALE,,7883,,,,,,,,PMIP,HASAN ADLI,MALE,,3845,,UDP,JAAFAR SIDIK BIN MAAMOR,MALE,,375,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,KUALA KANGSAR,,ALLIANCE - UMNO,29714,6170,78.32%,23273,,863,22410,UMNO,DR. HAJI MEGAT KHAS,MALE,,11309,,PRM,HAJI FATHIL BIN HAJI KHALID,MALE,,3028,,PMIP,A. ZAWAWI,MALE,,5139,,UDP,SYED OSMAN JAMALULLAIL,MALE,,725,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,DR. S. UNDERWOOD,MALE,,2209,LOST DEPOSIT,,,,,,
,PERAK,,SUNGEI SIPUT,,ALLIANCE - MIC,17791,5933,81.03%,14416,,639,13777,MIC,DATO' V. T. SAMBANTHAN,MALE,45,9855,,,,,,,,,,,,,,,,,,,,PPP,RAMAIH S/O VIRAPPAN,MALE,,3922,,,,,,,,,,,,,,,,,,,
,PERAK,,PARIT,,ALLIANCE - UMNO,22296,5505,81.31%,18128,,433,17695,UMNO,HUSSEIN BIN MOHD. NOORDIN,MALE,,10571,,,,,,,,PMIP,DATO' RAJA MOHD. HANIFAH,MALE,,5066,,UDP,DATO' ZAINAL ABIDIN BIN HAJI ABBAS,MALE,,1138,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,HAJI MOHAMMED BIN HJ. SULAIMAN,MALE,,920,LOST DEPOSIT,,,,,,
,PERAK,,BRUAS,,ALLIANCE - MCA,26270,3868,79.40%,20858,,1002,19856,MCA,YEOH TAT BENG,MALE,,10587,,,,,,,,,,,,,,UDP,LOI KIEW HANG,MALE,,6719,,,,,,,,,,,,,,INDEPENDENT,PACHIK BIN AHMAD,MALE,,2550,,,,,,,
,PERAK,,SITIAWAN,,ALLIANCE - MCA,23877,3837,80.08%,19120,,685,18435,MCA,KAM WOON WAH,MALE,,11136,,,,,,,,,,,,,,UDP,TOO JOON HING,MALE,,7299,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,IPOH,,PPP,33261,4903,77.59%,25808,,831,24977,MCA,CHEAH CHUN CHING,MALE,,8897,,LPM,WONG KIM THIM,MALE,,2280,LOST DEPOSIT,,,,,,,,,,,,,PPP,D.R. SEENIVASAGAM,MALE,44,13800,,,,,,,,,,,,,,,,,,,
,PERAK,,MENGLEMBU,,PPP,45994,9121,78.68%,36187,,1117,35070,MCA,LIM ENG CHANG,MALE,,11246,,PRM,YUNUS BIN MD. ISA,MALE,,3457,LOST DEPOSIT,,,,,,,,,,,,,PPP,S.P. SEENIVASAGAM,MALE,47,20367,,,,,,,,,,,,,,,,,,,
,PERAK,,ULU KINTA,,ALLIANCE - MCA,19729,1006,83.30%,16435,,567,15868,MCA,CHIM FOON,MALE,,7351,,LPM,LOW SIN YEAN,,,2172,,,,,,,,,,,,,,PPP,CHAN SWEE HO,MALE,,6345,,,,,,,,,,,,,,,,,,,
,PERAK,,BATU GAJAH,,ALLIANCE - MCA,23723,716,83.77%,19873,,903,18970,MCA,NG FAH YAM,MALE,,9843,,,,,,,,,,,,,,,,,,,,PPP,KHONG KOK YAT,MALE,,9127,,,,,,,,,,,,,,,,,,,
,PERAK,,KAMPAR,,ALLIANCE - MCA,34215,3607,81.39%,27846,,1122,26724,MCA,TOH THEAM HOCK,MALE,,12964,,LPM,KHOR KIM YONG,MALE,,4403,,,,,,,,,,,,,,PPP,CHAN YOON ONN,MALE,,9357,,,,,,,,,,,,,,,,,,,
,PERAK,,TANJONG MALIM,,ALLIANCE - MCA,20849,7316,78.28%,16320,,856,15464,MCA,LEE SECK FUN,MALE,,9983,,PRM,OMAR BIN NORDIN,MALE,,2328,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,TAN BOON JIN,MALE,,2667,,INDEPENDENT,ABDUL RAHMAN BIN HAJI ABDUL WAHAB,MALE,,486,LOST DEPOSIT
,PERAK,,TELOK ANSON,,ALLIANCE - MCA,29130,3047,78.17%,22772,,1317,21455,MCA,DR. NGAM KAM POH,MALE,,12251,,LPM,CHAI KAI WOOI,MALE,,9204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,BAGAN DATOH,,ALLIANCE - UMNO,22766,7894,77.29%,17595,,1039,16556,UMNO,SULAIMAN BIN BULON,MALE,43,12225,,,,,,,,PMIP,IBRAHIM BIN HAJI DAHALAN,MALE,,4331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,,BATANG PADANG,,ALLIANCE - UMNO,17603,4415,80.88%,14237,,899,13338,UMNO,ABDUL HAMID KHAN BIN HAJI SAKHAWAT ALI KHAN,MALE,64,7827,,,,,,,,,,,,,,,,,,,,PPP,S.A. LINGAM,MALE,,3412,,,,,,,,INDEPENDENT,LOH JEE ME @ JIMMY,MALE,,2099,,,,,,,
,PAHANG,,RAUB,,ALLIANCE - UMNO,21590,6336,80.11%,17296,,968,16328,UMNO,HUSSEIN BIN TO' MUDA HASSAN,MALE,,11332,,PRM,ABU BAKAR BIN RESAT,MALE,,4996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,,BENTONG,,ALLIANCE - MCA,25182,6146,80.87%,20364,,846,19518,MCA,CHAN SIANG SUN,MALE,31,12832,,LPM,PHOON CHEE KAI,MALE,,6686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,,KUANTAN,,ALLIANCE - UMNO,21889,7739,73.64%,16118,,710,15408,UMNO,ABDUL RAHMAN BIN TALIB,MALE,48,10696,,PRM,MOHAMED KAMEL BIN TOH MUDA IBRAHIM,MALE,,2957,,PMIP,JAMAHIR BIN IDRIS,MALE,,1755,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,,PEKAN,,ALLIANCE - UMNO,18486,10147,76.63%,14165,,596,13569,UMNO,ABDUL RAZAK BIN HUSSAIN,MALE,42,11858,,,,,,,,PMIP,ABDUL HAMID BIN AWANG HITAM,MALE,,1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,,TEMERLOH,,ALLIANCE - UMNO,26899,7954,78.20%,21035,,1017,20018,UMNO,MOHAMED YUSOF BIN MAHMUD,MALE,,12311,,PRM,JA'AFAR BIN HUSSIN,MALE,,4357,,PMIP,ABU SAMAH BIN ALI,MALE,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,,LIPIS,,ALLIANCE - UMNO,27546,10873,76.00%,20936,,1221,19715,UMNO,ABDUL RAZAK BIN HUSSIN,MALE,,15294,,,,,,,,PMIP,NIK AHMAD BIN NIK MAN,MALE,,4421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,,KUALA SELANGOR,,ALLIANCE - UMNO,24882,7249,70.14%,17452,,1333,16119,UMNO,RAJA ROME BIN RAJA MA'AMOR,MALE,,11684,,NCP,KAMPO RADJO BIN BAGINDA KAYO,MALE,42,4435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,,BATU,,SF - LPM,32297,348,72.38%,23378,,1023,22355,MCA,YAP CHIN KWEE,MALE,29,9774,,LPM,TAN CHEE KHOON,MALE,,10122,,,,,,,,,,,,,,,,,,,,PAP,TOO CHEE CHEONG,MALE,,2459,LOST DEPOSIT,,,,,,,,,,,,
,SELANGOR,,KAPAR,,ALLIANCE - UMNO,22730,5108,78.90%,17933,,979,16954,UMNO,HAMZAH BIN ALANG,MALE,,9937,,NCP,ZAILANI BIN SULAIMAN,MALE,,4829,,PMIP,AWANG ANSARI BIN AHMAD,MALE,,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,,RAWANG,,ALLIANCE - UMNO,19951,5146,77.10%,15383,,659,14724,UMNO,ABDULLAH IBNI TUANKU ABDUL RAHMAN,MALE,,9935,,LPM,LEE CHI KIT,MALE,,4789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,,LANGAT,,ALLIANCE - UMNO,19403,6015,80.31%,15582,,1047,14535,UMNO,ZAKARIA BIN MOHAMED TAIB,MALE,,10275,,PRM,AHMAD BOESTAMAM,MALE,,4260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,,SETAPAK,,ALLIANCE - MCA,37034,4404,68.22%,25265,,871,24394,MCA,CHAN SEONG YOON,MALE,,12292,,PRM,TAJUDDIN BIN ABDUL KAHAR,MALE,,7888,,,,,,,,,,,,,,,,,,,,PAP,K.V. THAVER,MALE,,4214,,,,,,,,,,,,,
,SELANGOR,,BUNGSAR,,PAP,58261,808,67.72%,39453,,1293,38160,MCA,KOH POOI KEE,MALE,,9761,,LPM,DAVID S. VELTHAMUTHU,MALE,,12686,,,,,,,,,,,,,,PPP,CHEW CHOO SOOT,MALE,,2219,LOST DEPOSIT,PAP,CHENGARA VEETIL DEVAN NAIR,MALE,41,13494,,,,,,,,,,,,,
