UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),AREA (SQ KM),NOTES
P.63,JOHORE,P.63,PONTIAN SELATAN,543.29,Computed using Tindak Malaysia's electoral boundary files
P.64,JOHORE,P.64,PONTIAN UTARA,696.82,Computed using Tindak Malaysia's electoral boundary files
P.65,JOHORE,P.65,KLUANG SELATAN,1218.95,Computed using Tindak Malaysia's electoral boundary files
P.66,JOHORE,P.66,KLUANG UTARA,1064.4,Computed using Tindak Malaysia's electoral boundary files
P.67,JOHORE,P.67,BATU PAHAT,166.61,Computed using Tindak Malaysia's electoral boundary files
P.68,JOHORE,P.68,BATU PAHAT DALAM,1044.89,Computed using Tindak Malaysia's electoral boundary files
P.69,JOHORE,P.69,MUAR SELATAN,796.01,Computed using Tindak Malaysia's electoral boundary files
P.70,JOHORE,P.70,MUAR PANTAI,178.97,Computed using Tindak Malaysia's electoral boundary files
P.71,JOHORE,P.71,MUAR UTARA,698.65,Computed using Tindak Malaysia's electoral boundary files
P.72,JOHORE,P.72,MUAR DALAM,1184.58,Computed using Tindak Malaysia's electoral boundary files
P.73,JOHORE,P.73,SEGAMAT UTARA,1101.44,Computed using Tindak Malaysia's electoral boundary files
P.74,JOHORE,P.74,SEGAMAT SELATAN,2451.47,Computed using Tindak Malaysia's electoral boundary files
P.75,KEDAH,P.75,ALOR STAR,84.43,Computed using Tindak Malaysia's electoral boundary files
P.76,KEDAH,P.76,KUALA KEDAH,646.61,Computed using Tindak Malaysia's electoral boundary files
P.77,KEDAH,P.77,KOTA STAR UTARA,457.85,Computed using Tindak Malaysia's electoral boundary files
P.78,KEDAH,P.78,KOTA STAR SELATAN,583.03,Computed using Tindak Malaysia's electoral boundary files
P.79,KEDAH,P.79,KUBANG PASU BARAT,299.01,Computed using Tindak Malaysia's electoral boundary files
P.80,KEDAH,P.80,JITRA-PADANG TERAP,2008.69,Computed using Tindak Malaysia's electoral boundary files
P.81,KEDAH,P.81,JERAI,362.46,Computed using Tindak Malaysia's electoral boundary files
P.82,KEDAH,P.82,KEDAH TENGAH,1971.11,Computed using Tindak Malaysia's electoral boundary files
P.83,KEDAH,P.83,SUNGEI PATANI,388.83,Computed using Tindak Malaysia's electoral boundary files
P.84,KEDAH,P.84,BALING,1261.1,Computed using Tindak Malaysia's electoral boundary files
P.85,KEDAH,P.85,KULIM UTARA,753.94,Computed using Tindak Malaysia's electoral boundary files
P.86,KEDAH,P.86,KULIM-BANDAR BAHRU,668.11,Computed using Tindak Malaysia's electoral boundary files
P.87,KELANTAN,P.87,ULU KELANTAN,11421.06,Computed using Tindak Malaysia's electoral boundary files
P.88,KELANTAN,P.88,TANAH MERAH,1705.83,Computed using Tindak Malaysia's electoral boundary files
P.89,KELANTAN,P.89,PASIR PUTEH,405.16,Computed using Tindak Malaysia's electoral boundary files
P.90,KELANTAN,P.90,BACHOK,282.4,Computed using Tindak Malaysia's electoral boundary files
P.91,KELANTAN,P.91,PASIR MAS HILIR,178.7,Computed using Tindak Malaysia's electoral boundary files
P.92,KELANTAN,P.92,PASIR MAS HULU,471.03,Computed using Tindak Malaysia's electoral boundary files
P.93,KELANTAN,P.93,TUMPAT,166.63,Computed using Tindak Malaysia's electoral boundary files
P.94,KELANTAN,P.94,KELANTAN HILIR,132.96,Computed using Tindak Malaysia's electoral boundary files
P.95,KELANTAN,P.95,KOTA BHARU HILIR,64.23,Computed using Tindak Malaysia's electoral boundary files
P.96,KELANTAN,P.96,KOTA BHARU HULU,246.87,Computed using Tindak Malaysia's electoral boundary files
P.97,TRENGGANU,P.97,BESUT,1977.56,Computed using Tindak Malaysia's electoral boundary files
P.98,TRENGGANU,P.98,KUALA TRENGGANU UTARA,1107.75,Computed using Tindak Malaysia's electoral boundary files
P.99,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,59.91,Computed using Tindak Malaysia's electoral boundary files
P.100,TRENGGANU,P.100,TRENGGANU TENGAH,4032.78,Computed using Tindak Malaysia's electoral boundary files
P.101,TRENGGANU,P.101,DUNGUN,1323.78,Computed using Tindak Malaysia's electoral boundary files
P.102,TRENGGANU,P.102,KEMAMAN,4514.84,Computed using Tindak Malaysia's electoral boundary files
P.103,PERLIS,P.103,PERLIS UTARA,502.49,Computed using Tindak Malaysia's electoral boundary files
P.104,PERLIS,P.104,PERLIS SELATAN,317.9,Computed using Tindak Malaysia's electoral boundary files
