UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),STATE CONSTITUENCY CODE (1959),STATE CONSTITUENCY NAME (1959),AREA (SQ KM),NOTES
P.12_NO. 20,MALACCA,P.12,MALACCA SELATAN,NO. 20,SUNGEI RAMBAI,104.57,Computed using Tindak Malaysia's electoral boundary files
P.13_NO. 1,PERAK,P.13,KRIAN LAUT,NO. 1,PARIT BUNTAR,107.03,Computed using Tindak Malaysia's electoral boundary files
P.13_NO. 2,PERAK,P.13,KRIAN LAUT,NO. 2,KUALA KURAU,92.17,Computed using Tindak Malaysia's electoral boundary files
P.14_NO. 3,PERAK,P.14,KRIAN DARAT,NO. 3,BAGAN SERAI,211.12,Computed using Tindak Malaysia's electoral boundary files
P.14_NO. 4,PERAK,P.14,KRIAN DARAT,NO. 4,GUNONG SEMANGGOL,533.1,Computed using Tindak Malaysia's electoral boundary files
P.15_NO. 5,PERAK,P.15,BATANG PADANG,NO. 5,TAPAH ROAD,702.22,Computed using Tindak Malaysia's electoral boundary files
P.15_NO. 6,PERAK,P.15,BATANG PADANG,NO. 6,TAPAH,177.9,Computed using Tindak Malaysia's electoral boundary files
P.16_NO. 7,PERAK,P.16,TANJONG MALIM,NO. 7,BIDOR,772.68,Computed using Tindak Malaysia's electoral boundary files
P.16_NO. 8,PERAK,P.16,TANJONG MALIM,NO. 8,SLIM,1082.19,Computed using Tindak Malaysia's electoral boundary files
P.17_NO. 9,PERAK,P.17,LARUT UTARA,NO. 9,SELAMA,743.79,Computed using Tindak Malaysia's electoral boundary files
P.17_NO. 10,PERAK,P.17,LARUT UTARA,NO. 10,LARUT,421.23,Computed using Tindak Malaysia's electoral boundary files
P.18_NO. 11,PERAK,P.18,LARUT SELATAN,NO. 11,TAIPING,59.13,Computed using Tindak Malaysia's electoral boundary files
P.18_NO. 12,PERAK,P.18,LARUT SELATAN,NO. 12,MATANG,420.56,Computed using Tindak Malaysia's electoral boundary files
P.19_NO. 13,PERAK,P.19,BRUAS,NO. 13,PENGKALAN BHARU,631.05,Computed using Tindak Malaysia's electoral boundary files
P.19_NO. 14,PERAK,P.19,BRUAS,NO. 14,AYER TAWAR,473.9,Computed using Tindak Malaysia's electoral boundary files
