UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),STATE CONSTITUENCY CODE (1959),STATE CONSTITUENCY NAME (1959),AREA (SQ KM),NOTES
P.74_NO. 32,JOHORE,P.74,SEGAMAT SELATAN,NO. 32,LABIS,736.19,Computed using Tindak Malaysia's electoral boundary files
P.75_NO. 1,KEDAH,P.75,ALOR STAR,NO. 1,ALOR STAR PEKAN,7.28,Computed using Tindak Malaysia's electoral boundary files
P.75_NO. 2,KEDAH,P.75,ALOR STAR,NO. 2,ALOR STAR LUAR,77.15,Computed using Tindak Malaysia's electoral boundary files
P.76_NO. 3,KEDAH,P.76,KUALA KEDAH,NO. 3,LANGKAWI,504.71,Computed using Tindak Malaysia's electoral boundary files
P.76_NO. 4,KEDAH,P.76,KUALA KEDAH,NO. 4,KOTA STAR BARAT,141.89,Computed using Tindak Malaysia's electoral boundary files
P.77_NO. 5,KEDAH,P.77,KOTA STAR UTARA,NO. 5,LANGGAR-LIMBONG,158.55,Computed using Tindak Malaysia's electoral boundary files
P.77_NO. 6,KEDAH,P.77,KOTA STAR UTARA,NO. 6,POKOK SENA,299.3,Computed using Tindak Malaysia's electoral boundary files
P.78_NO. 7,KEDAH,P.78,KOTA STAR SELATAN,NO. 7,KANGKONG BUKIT RAYA,141.26,Computed using Tindak Malaysia's electoral boundary files
P.78_NO. 8,KEDAH,P.78,KOTA STAR SELATAN,NO. 8,PADANG,441.77,Computed using Tindak Malaysia's electoral boundary files
P.79_NO. 9,KEDAH,P.79,KUBANG PASU BARAT,NO. 9,JERLUN KODIANG,137,Computed using Tindak Malaysia's electoral boundary files
P.79_NO. 10,KEDAH,P.79,KUBANG PASU BARAT,NO. 10,TUNJANG,162.01,Computed using Tindak Malaysia's electoral boundary files
P.80_NO. 11,KEDAH,P.80,JITRA-PADANG TERAP,NO. 11,JITRA,569.89,Computed using Tindak Malaysia's electoral boundary files
P.80_NO. 12,KEDAH,P.80,JITRA-PADANG TERAP,NO. 12,PADANG TERAP,1438.8,Computed using Tindak Malaysia's electoral boundary files
P.81_NO. 13,KEDAH,P.81,JERAI,NO. 13,SALA,159.41,Computed using Tindak Malaysia's electoral boundary files
P.81_NO. 14,KEDAH,P.81,JERAI,NO. 14,YEN-MERBOK,203.06,Computed using Tindak Malaysia's electoral boundary files
P.82_NO. 15,KEDAH,P.82,KEDAH TENGAH,NO. 15,SIK-GURUN,1754.29,Computed using Tindak Malaysia's electoral boundary files
P.82_NO. 16,KEDAH,P.82,KEDAH TENGAH,NO. 16,KOTA,216.82,Computed using Tindak Malaysia's electoral boundary files
P.83_NO. 17,KEDAH,P.83,SUNGEI PATANI,NO. 17,PEKAN SUNGEI PATANI,34.18,Computed using Tindak Malaysia's electoral boundary files
P.83_NO. 18,KEDAH,P.83,SUNGEI PATANI,NO. 18,SUNGEI PATANI LUAR,354.65,Computed using Tindak Malaysia's electoral boundary files
P.84_NO. 19,KEDAH,P.84,BALING,NO. 19,BALING TIMOR,815.06,Computed using Tindak Malaysia's electoral boundary files
P.84_NO. 20,KEDAH,P.84,BALING,NO. 20,BALING BARAT,446.04,Computed using Tindak Malaysia's electoral boundary files
P.85_NO. 21,KEDAH,P.85,KULIM UTARA,NO. 21,SIDAM,251.7,Computed using Tindak Malaysia's electoral boundary files
P.85_NO. 22,KEDAH,P.85,KULIM UTARA,NO. 22,LUNAS,502.24,Computed using Tindak Malaysia's electoral boundary files
P.86_NO. 23,KEDAH,P.86,KULIM-BANDAR BAHRU,NO. 23,KULIM,397.64,Computed using Tindak Malaysia's electoral boundary files
P.86_NO. 24,KEDAH,P.86,KULIM-BANDAR BAHRU,NO. 24,BANDAR BAHRU,270.47,Computed using Tindak Malaysia's electoral boundary files
P.87_NO. 1,KELANTAN,P.87,ULU KELANTAN,NO. 1,ULU KELANTAN BARAT,6675.43,Computed using Tindak Malaysia's electoral boundary files
P.87_NO. 2,KELANTAN,P.87,ULU KELANTAN,NO. 2,ULU KELANTAN TIMOR,4408.73,Computed using Tindak Malaysia's electoral boundary files
P.87_NO. 3,KELANTAN,P.87,ULU KELANTAN,NO. 3,MACHANG SELATAN,336.91,Computed using Tindak Malaysia's electoral boundary files
P.88_NO. 4,KELANTAN,P.88,TANAH MERAH,NO. 4,MACHANG UTARA,183.48,Computed using Tindak Malaysia's electoral boundary files
P.88_NO. 5,KELANTAN,P.88,TANAH MERAH,NO. 5,TANAH MERAH TIMOR,554.38,Computed using Tindak Malaysia's electoral boundary files
P.88_NO. 6,KELANTAN,P.88,TANAH MERAH,NO. 6,TANAH MERAH BARAT,967.98,Computed using Tindak Malaysia's electoral boundary files
P.89_NO. 7,KELANTAN,P.89,PASIR PUTEH,NO. 7,PASIR PUTEH UTARA,112.44,Computed using Tindak Malaysia's electoral boundary files
P.89_NO. 8,KELANTAN,P.89,PASIR PUTEH,NO. 8,PASIR PUTEH TENGAH,119.78,Computed using Tindak Malaysia's electoral boundary files
P.89_NO. 9,KELANTAN,P.89,PASIR PUTEH,NO. 9,PASIR PUTEH TENGGARA,172.94,Computed using Tindak Malaysia's electoral boundary files
P.90_NO. 10,KELANTAN,P.90,BACHOK,NO. 10,BACHOK UTARA,78.55,Computed using Tindak Malaysia's electoral boundary files
P.90_NO. 11,KELANTAN,P.90,BACHOK,NO. 11,BACHOK TENGAH,51.85,Computed using Tindak Malaysia's electoral boundary files
P.90_NO. 12,KELANTAN,P.90,BACHOK,NO. 12,BACHOK SELATAN,152,Computed using Tindak Malaysia's electoral boundary files
P.91_NO. 13,KELANTAN,P.91,PASIR MAS HILIR,NO. 13,TENDONG,58.61,Computed using Tindak Malaysia's electoral boundary files
P.91_NO. 14,KELANTAN,P.91,PASIR MAS HILIR,NO. 14,MERANTI,81.99,Computed using Tindak Malaysia's electoral boundary files
P.91_NO. 15,KELANTAN,P.91,PASIR MAS HILIR,NO. 15,BANDAR PASIR MAS,38.1,Computed using Tindak Malaysia's electoral boundary files
P.92_NO. 16,KELANTAN,P.92,PASIR MAS HULU,NO. 16,LEMAL,151.16,Computed using Tindak Malaysia's electoral boundary files
P.92_NO. 17,KELANTAN,P.92,PASIR MAS HULU,NO. 17,TOK UBAN,121.14,Computed using Tindak Malaysia's electoral boundary files
P.92_NO. 18,KELANTAN,P.92,PASIR MAS HULU,NO. 18,RANTAU PANJANG,198.74,Computed using Tindak Malaysia's electoral boundary files
P.93_NO. 19,KELANTAN,P.93,TUMPAT,NO. 19,TUMPAT BARAT,70.73,Computed using Tindak Malaysia's electoral boundary files
P.93_NO. 20,KELANTAN,P.93,TUMPAT,NO. 20,TUMPAT TENGAH,51.94,Computed using Tindak Malaysia's electoral boundary files
P.93_NO. 21,KELANTAN,P.93,TUMPAT,NO. 21,TUMPAT TIMOR,43.96,Computed using Tindak Malaysia's electoral boundary files
P.94_NO. 22,KELANTAN,P.94,KELANTAN HILIR,NO. 22,KUALA KELANTAN,48.49,Computed using Tindak Malaysia's electoral boundary files
P.94_NO. 23,KELANTAN,P.94,KELANTAN HILIR,NO. 23,KOTA BHARU UTARA,34.47,Computed using Tindak Malaysia's electoral boundary files
P.94_NO. 24,KELANTAN,P.94,KELANTAN HILIR,NO. 24,KOTA BHARU PANTAI,50,Computed using Tindak Malaysia's electoral boundary files
P.95_NO. 25,KELANTAN,P.95,KOTA BHARU HILIR,NO. 25,BANDAR HILIR,5.14,Computed using Tindak Malaysia's electoral boundary files
P.95_NO. 26,KELANTAN,P.95,KOTA BHARU HILIR,NO. 26,BANDAR HULU,16.61,Computed using Tindak Malaysia's electoral boundary files
P.95_NO. 27,KELANTAN,P.95,KOTA BHARU HILIR,NO. 27,KOTA BHARU TENGAH,42.48,Computed using Tindak Malaysia's electoral boundary files
P.96_NO. 28,KELANTAN,P.96,KOTA BHARU HULU,NO. 28,KOTA BHARU TIMOR,82.88,Computed using Tindak Malaysia's electoral boundary files
P.96_NO. 29,KELANTAN,P.96,KOTA BHARU HULU,NO. 29,KOTA BHARU SELATAN,97.85,Computed using Tindak Malaysia's electoral boundary files
P.96_NO. 30,KELANTAN,P.96,KOTA BHARU HULU,NO. 30,KOTA BHARU BARAT,66.13,Computed using Tindak Malaysia's electoral boundary files
P.97_NO. 1,TRENGGANU,P.97,BESUT,NO. 1,KUALA BESUT,88.52,Computed using Tindak Malaysia's electoral boundary files
P.97_NO. 2,TRENGGANU,P.97,BESUT,NO. 2,KAMPONG RAJA,90.28,Computed using Tindak Malaysia's electoral boundary files
P.97_NO. 3,TRENGGANU,P.97,BESUT,NO. 3,ULU BESUT,840.49,Computed using Tindak Malaysia's electoral boundary files
P.97_NO. 4,TRENGGANU,P.97,BESUT,NO. 4,BESUT TENGAH,196.43,Computed using Tindak Malaysia's electoral boundary files
P.97_NO. 5,TRENGGANU,P.97,BESUT,NO. 5,SETIU,761.84,Computed using Tindak Malaysia's electoral boundary files
P.98_NO. 6,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 6,BATU RAKIT,226.65,Computed using Tindak Malaysia's electoral boundary files
P.98_NO. 7,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 7,KUALA NERUS,66.52,Computed using Tindak Malaysia's electoral boundary files
P.98_NO. 8,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 8,JERAM,68.17,Computed using Tindak Malaysia's electoral boundary files
P.98_NO. 9,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 9,LANGKAP,746.42,Computed using Tindak Malaysia's electoral boundary files
P.99_NO. 10,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NO. 10,BANDAR,8.71,Computed using Tindak Malaysia's electoral boundary files
P.99_NO. 11,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NO. 11,LADANG,8.51,Computed using Tindak Malaysia's electoral boundary files
P.99_NO. 12,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NO. 12,BUKIT BESAR,13.13,Computed using Tindak Malaysia's electoral boundary files
P.99_NO. 13,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NO. 13,BATU BUROK,29.56,Computed using Tindak Malaysia's electoral boundary files
P.100_NO. 14,TRENGGANU,P.100,TRENGGANU TENGAH,NO. 14,KUALA TRENGGANU TENGAH,47.62,Computed using Tindak Malaysia's electoral boundary files
P.100_NO. 15,TRENGGANU,P.100,TRENGGANU TENGAH,NO. 15,BINJAI,149.46,Computed using Tindak Malaysia's electoral boundary files
P.100_NO. 16,TRENGGANU,P.100,TRENGGANU TENGAH,NO. 16,ULU TRENGGANU TIMOR,273.84,Computed using Tindak Malaysia's electoral boundary files
P.100_NO. 17,TRENGGANU,P.100,TRENGGANU TENGAH,NO. 17,ULU TRENGGANU BARAT,3561.86,Computed using Tindak Malaysia's electoral boundary files
P.101_NO. 18,TRENGGANU,P.101,DUNGUN,NO. 18,MARANG,579.67,Computed using Tindak Malaysia's electoral boundary files
P.101_NO. 19,TRENGGANU,P.101,DUNGUN,NO. 19,SURA,63.77,Computed using Tindak Malaysia's electoral boundary files
P.101_NO. 20,TRENGGANU,P.101,DUNGUN,NO. 20,ULU DUNGUN,680.33,Computed using Tindak Malaysia's electoral boundary files
P.102_NO. 21,TRENGGANU,P.102,KEMAMAN,NO. 21,PAKA KERTEH,2231.08,Computed using Tindak Malaysia's electoral boundary files
P.102_NO. 22,TRENGGANU,P.102,KEMAMAN,NO. 22,KEMAMAN UTARA,388.24,Computed using Tindak Malaysia's electoral boundary files
P.102_NO. 23,TRENGGANU,P.102,KEMAMAN,NO. 23,CHUKAI,6.29,Computed using Tindak Malaysia's electoral boundary files
P.102_NO. 24,TRENGGANU,P.102,KEMAMAN,NO. 24,KEMAMAN SELATAN,1889.23,Computed using Tindak Malaysia's electoral boundary files
P.103_NO. 1,PERLIS,P.103,PERLIS UTARA,NO. 1,KAKI BUKIT,267.65,Computed using Tindak Malaysia's electoral boundary files
P.103_NO. 2,PERLIS,P.103,PERLIS UTARA,NO. 2,PAYA,27.81,Computed using Tindak Malaysia's electoral boundary files
P.103_NO. 3,PERLIS,P.103,PERLIS UTARA,NO. 3,MATA AYER,103.58,Computed using Tindak Malaysia's electoral boundary files
P.103_NO. 4,PERLIS,P.103,PERLIS UTARA,NO. 4,KANGAR TOWN,5.54,Computed using Tindak Malaysia's electoral boundary files
P.103_NO. 5,PERLIS,P.103,PERLIS UTARA,NO. 5,SENA,27.77,Computed using Tindak Malaysia's electoral boundary files
P.103_NO. 6,PERLIS,P.103,PERLIS UTARA,NO. 6,BINTONG,70.13,Computed using Tindak Malaysia's electoral boundary files
P.104_NO. 7,PERLIS,P.104,PERLIS SELATAN,NO. 7,KURONG ANAI,119.95,Computed using Tindak Malaysia's electoral boundary files
P.104_NO. 8,PERLIS,P.104,PERLIS SELATAN,NO. 8,ARAU,42.09,Computed using Tindak Malaysia's electoral boundary files
P.104_NO. 9,PERLIS,P.104,PERLIS SELATAN,NO. 9,HUTAN AJI,39.96,Computed using Tindak Malaysia's electoral boundary files
P.104_NO. 10,PERLIS,P.104,PERLIS SELATAN,NO. 10,KAYANG,40.97,Computed using Tindak Malaysia's electoral boundary files
P.104_NO. 11,PERLIS,P.104,PERLIS SELATAN,NO. 11,KUALA PERLIS,26.8,Computed using Tindak Malaysia's electoral boundary files
P.104_NO. 12,PERLIS,P.104,PERLIS SELATAN,NO. 12,SANGLANG,48.15,Computed using Tindak Malaysia's electoral boundary files
