UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.12_NO. 16,MALACCA,P.12,MALACCA SELATAN,NO. 16,BATANG MALAKA,ALLIANCE - UMNO,H. AB. MALEK BIN H. NONG,MALE,,
P.12_NO. 17,MALACCA,P.12,MALACCA SELATAN,NO. 17,RIM,ALLIANCE - MCA,TAN NAI KWI,MALE,,
P.12_NO. 18,MALACCA,P.12,MALACCA SELATAN,NO. 18,JASIN,ALLIANCE - UMNO,NOORDIN BIN SA'AD,MALE,,
P.12_NO. 19,MALACCA,P.12,MALACCA SELATAN,NO. 19,SERKAM,ALLIANCE - UMNO,ABDUL BIN CHUNDANG,MALE,,
P.12_NO. 20,MALACCA,P.12,MALACCA SELATAN,NO. 20,SUNGEI RAMBAI,ALLIANCE - UMNO,IBRAHIM BIN ABDUL HAMID,MALE,,
P.13_NO. 1,PERAK,P.13,KRIAN LAUT,NO. 1,PARIT BUNTAR,ALLIANCE - UMNO,HAJAH HALIMAH BINTI HJ. ABD. RAOF,FEMALE,38,
P.13_NO. 2,PERAK,P.13,KRIAN LAUT,NO. 2,KUALA KURAU,ALLIANCE - UMNO,HAJI SHAMSUDIN BIN HAJI AHMAD,MALE,57,
P.14_NO. 3,PERAK,P.14,KRIAN DARAT,NO. 3,BAGAN SERAI,ALLIANCE - UMNO,MASUD BIN UTOI,MALE,35,
P.14_NO. 4,PERAK,P.14,KRIAN DARAT,NO. 4,GUNONG SEMANGGOL,PMIP,BAHARUDDIN BIN HAJI ABDUL LATIF,MALE,32,
P.15_NO. 5,PERAK,P.15,BATANG PADANG,NO. 5,TAPAH ROAD,ALLIANCE - UMNO,MOHAMED JUMAH BIN SATIR,MALE,26,
