UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE GENDER,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE GENDER,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE GENDER,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE GENDER,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE GENDER,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.11_NO. 11,MELAKA,P.11,MALACCA UTARA,NO. 11,SUNGEI BHARU,ALLIANCE - UMNO,,6002,1213,83.02,4983,,62,4921,UMNO,TAMBY CHIK BIN ABD. KARIM,MALE,58,3067,,,,,,,,PMIP,H. KARIM BIN H. DALIB,MALE,,1854,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_NO. 12,MELAKA,P.11,MALACCA UTARA,NO. 12,RAMUAN CHINA,ALLIANCE - UMNO,,3982,955,85.06,3387,,50,3337,UMNO,MOHD. SUDIN BIN ABD. RAHMAN,MALE,57,2146,,,,,,,,PMIP,ABD. KARIM BIN YUSOF,MALE,,1191,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_NO. 13,MELAKA,P.11,MALACCA UTARA,NO. 13,MASJID TANAH,ALLIANCE - UMNO,,4484,1611,78.23,3508,,99,3409,UMNO,H. HASSAN BIN H. YA'AKUB,MALE,,2510,,,,,,,,PMIP,MOHD. YUSOF BIN ENJAH,MALE,,899,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_NO. 14,MELAKA,P.11,MALACCA UTARA,NO. 14,ALOR GAJAH,ALLIANCE - UMNO,,4487,2547,82.01,3680,,77,3603,UMNO,HAJI TALIB KARIM,MALE,46,3075,,,,,,,,PMIP,NAAM BIN MUID,MALE,,528,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_NO. 15,MELAKA,P.11,MALACCA UTARA,NO. 15,PULAU SEBANG,ALLIANCE - MCA,,3975,1231,78.24,3110,,43,3067,MCA,YEOW KAY,MALE,,2149,,LPM,LAW HENG CHOI,MALE,,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 16,MELAKA,P.12,MALACCA SELATAN,NO. 16,BATANG MALAKA,ALLIANCE - UMNO,,5840,911,79.81,4661,,148,4513,UMNO,H. AB. MALEK BIN H. NONG,MALE,,2712,,PRM,MAMAT BIN BINTONG,MALE,,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 17,MELAKA,P.12,MALACCA SELATAN,NO. 17,RIM,ALLIANCE - MCA,,5104,2875,84.52,4314,,117,4197,MCA,TAN NAI KWI,MALE,,3536,,,,,,,,PMIP,H. MD. NOR BIN H. A. LATIF,MALE,,661,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 18,MELAKA,P.12,MALACCA SELATAN,NO. 18,JASIN,ALLIANCE - UMNO,,5202,2138,76.95,4003,,107,3896,UMNO,NOORDIN BIN SA'AD,MALE,,3017,,,,,,,,PMIP,ABDUL LATIF BIN IDRIS,MALE,,879,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 19,MELAKA,P.12,MALACCA SELATAN,NO. 19,SERKAM,ALLIANCE - UMNO,,4329,1194,82.42,3568,,48,3520,UMNO,ABDUL BIN CHUNDANG,MALE,,2357,,,,,,,,PMIP,MOHD. TAHA BIN KALLU,MALE,,1163,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 20,MELAKA,P.12,MALACCA SELATAN,NO. 20,SUNGEI RAMBAI,ALLIANCE - UMNO,,4500,1241,78.58,3536,,85,3451,UMNO,IBRAHIM BIN ABDUL HAMID,MALE,,2346,,PRM,OTHMAN BIN HUSSIN,MALE,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
