UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.59_NO. 1,JOHORE,P.59,JOHORE TIMOR,NO. 1,ENDAU,ALLIANCE - UMNO,,6698,2778,73.77,4941,,116,4825,UMNO,ALI AFFENDI BIN AHMAD,MALE,,3639,,,,,,,,,,,,,,,,,,,,NEGARA,MAHMOOD BIN MAHADI,MALE,,861,,INDEPENDENT - UMBRELLA,HAJI ARIFIN BIN HAJI ISMAIL,MALE,,325,LOST DEPOSIT,,,,,,
P.59_NO. 2,JOHORE,P.59,JOHORE TIMOR,NO. 2,MERSING,ALLIANCE - MCA,,5498,3156,78.57,4320,,126,4194,MCA,POH SWEE LIM,FEMALE,,3675,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BICYCLE,YUSOFF BIN AWANG,MALE,,519,LOST DEPOSIT,,,,,,
P.60_NO. 3,JOHORE,P.60,JOHORE TENGGARA,NO. 3,KOTA TINGGI,ALLIANCE - UMNO,,5542,1238,70.48,3906,,83,3823,UMNO,ISMAIL BIN SA'DON,MALE,,2212,,LPM,P. S. MANIAM,MALE,,974,,,,,,,,,,,,,,NEGARA,MA'ON BIN OMAR,MALE,,637,,,,,,,,,,,,,
P.60_NO. 4,JOHORE,P.60,JOHORE TENGGARA,NO. 4,JOHORE LAMA,ALLIANCE - MCA,,5444,1554,73.18,3984,,94,3890,MCA,LEE YEAK KHIM,MALE,41,2722,,,,,,,,,,,,,,,,,,,,NEGARA,SYED ABU BAKAR BIN JAAFAR,MALE,52,1168,,,,,,,,,,,,,
P.61_NO. 5,JOHORE,P.61,JOHORE BAHRU TIMOR,NO. 5,PLENTONG,ALLIANCE - UMNO,,7515,3434,75.93,5706,,206,5500,UMNO,DATO HAJI MOHD. NOAH BIN OMAR,MALE,62,4467,,,,,,,,,,,,,,,,,,,,NEGARA,HAJI MOHAMED BIN HAJI HASAN,MALE,,1033,,,,,,,,,,,,,
P.61_NO. 6,JOHORE,P.61,JOHORE BAHRU TIMOR,NO. 6,TANJONG PETRI,SF - LPM,,8403,58,71.82,6035,,70,5965,UMNO,FATIMAH BINTE HAJI A. MAJID,FEMALE,40,2356,,LPM,CHU CHOON YONG,MALE,,2414,,,,,,,,,,,,,,NEGARA,WAN MOHAMED BIN IBRAHIM,MALE,,1195,,,,,,,,,,,,,
P.62_NO. 7,JOHORE,P.62,JOHORE BAHRU BARAT,NO. 7,TAMPOI,ALLIANCE - UMNO,,9146,2028,68.63,6277,,183,6094,UMNO,HAJI RAHMAT BIN HAJI DAUD,MALE,,4061,,,,,,,,,,,,,,,,,,,,NEGARA,HAJI DAUD BIN HAJI ABDUL HAMID,MALE,,2033,,,,,,,,,,,,,
P.62_NO. 8,JOHORE,P.62,JOHORE BAHRU BARAT,NO. 8,GELANG PATAH,ALLIANCE - UMNO,,6752,1120,79.00,5334,,200,5134,UMNO,SYED MOHAMED BIN EDROS,MALE,,2776,,PRM,SIDI JAS,MALE,,1656,,,,,,,,,,,,,,NEGARA,HAJI ANNUAR BIN HAJI ABDUL MALIK,MALE,,702,,,,,,,,,,,,,
P.63_NO. 9,JOHORE,P.63,PONTIAN SELATAN,NO. 9,PONTIAN DALAM,ALLIANCE - UMNO,,9679,1594,77.23,7475,,174,7301,UMNO,LEBI MOHAMED BIN YACOB,MALE,,3458,,PRM,ZAHID KARIM,MALE,42,1864,,PMIP,HAJI AHMAD BIN HAJI HASSAN,MALE,,288,LOST DEPOSIT,,,,,,,NEGARA,HAJI ABDUL SAMAD BIN HJ. MOHAMED NOOR,MALE,,793,LOST DEPOSIT,INDEPENDENT - BICYCLE,HAJI OMAR BIN HAJI ABDULLAH,MALE,,898,LOST DEPOSIT,,,,,,
P.63_NO. 10,JOHORE,P.63,PONTIAN SELATAN,NO. 10,PONTIAN KECHIL,ALLIANCE - UMNO,Y,9060,,,,,,,UMNO,ABDULLAH BIN MOHSIN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.64_NO. 11,JOHORE,P.64,PONTIAN UTARA,NO. 11,BENUT,ALLIANCE - UMNO,,11440,2248,78.10,8935,,518,8417,UMNO,BACHOK @ ABDUL MAJID BIN HASHIM @ HJ. HASHIM,MALE,,4778,,,,,,,,PMIP,AB. LATIF BIN HJ. OTHMAN,MALE,,1109,,,,,,,,,,,,,,INDEPENDENT - SPECTACLES,AH TIAM,MALE,,2530,,,,,,,
P.64_NO. 12,JOHORE,P.64,PONTIAN UTARA,NO. 12,RENGIT,ALLIANCE - UMNO,,10910,1714,81.98,8944,,239,8705,UMNO,HJ. TAHA BIN HJ. ZAKARIA,MALE,,4903,,,,,,,,PMIP,A. JAMIL BIN SULAIMAN,MALE,,613,LOST DEPOSIT,,,,,,,NEGARA,MOHD. DON BIN ABDULLAH,MALE,,3189,,,,,,,,,,,,,
P.65_NO. 13,JOHORE,P.65,KLUANG SELATAN,NO. 13,SENAI - KULAI,SF - LPM,,7547,55,79.46,5997,,126,5871,MCA,CHAN CHONG WEN,MALE,,2908,,LPM,SOH KIM SIAM,MALE,,2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.65_NO. 14,JOHORE,P.65,KLUANG SELATAN,NO. 14,RENGAM,ALLIANCE - UMNO,,9333,4471,68.88,6429,,368,6061,UMNO,HAJI ISMAIL BIN HASSAN,MALE,,5266,,,,,,,,,,,,,,,,,,,,NEGARA,ALWI BIN HAJI JAWAL,MALE,,795,,,,,,,,,,,,,
P.66_NO. 15,JOHORE,P.66,KLUANG UTARA,NO. 15,GUNONG LAMBAK,SF - LPM,,6777,90,78.37,5311,,171,5140,MCA,WOO SEE TIAM,MALE,,2525,,LPM,LEE AH LENG,MALE,,2615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.66_NO. 16,JOHORE,P.66,KLUANG UTARA,NO. 16,SRI LALANG,ALLIANCE - MCA,,6806,250,73.55,5006,,66,4940,MCA,CHEONG SOO KHENG,MALE,,2595,,PRM,MOHD. ZAIN BIN MOHAMED,MALE,,2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.67_NO. 17,JOHORE,P.67,BATU PAHAT,NO. 17,BANDAR PENGGARAM,ALLIANCE - MCA,,8245,3237,70.13,5782,,79,5703,MCA,TAN PENG KHOON,MALE,34,4470,,,,,,,,,,,,,,,,,,,,NEGARA,WOOK BIN IBRAHIM,MALE,,1233,,,,,,,,,,,,,
P.67_NO. 18,JOHORE,P.67,BATU PAHAT,NO. 18,BROLEH,ALLIANCE - UMNO,,12845,3142,75.96,9757,,133,9624,UMNO,ABDUL WAHID BIN SULEIMAN,MALE,,5384,,PRM,MANAP JAMHARI,MALE,,2242,,,,,,,,,,,,,,NEGARA,HJ. AHMAD BIN HJ. MOHD. PAIMAN,MALE,,1998,,,,,,,,,,,,,
P.68_NO. 19,JOHORE,P.68,BATU PAHAT DALAM,NO. 19,AYER HITAM,ALLIANCE - UMNO,,11499,3964,73.68,8472,,110,8362,UMNO,NORDIN BIN HAJI HASHIM,MALE,,6005,,,,,,,,PMIP,HASHIM IRRAKAL,MALE,,316,LOST DEPOSIT,,,,,,,NEGARA,HAJI HASSAN BIN HAJI NOOR,MALE,,2041,,,,,,,,,,,,,
P.68_NO. 20,JOHORE,P.68,BATU PAHAT DALAM,NO. 20,TANJONG SEMBRONG,ALLIANCE - UMNO,,11343,3730,75.07,8515,,179,8336,UMNO,HAJI MOHAMED NOOR BIN JUMA'AT,MALE,,5739,,,,,,,,PMIP,JAILANI BIN HAJI ABDULLAH,MALE,,588,LOST DEPOSIT,,,,,,,NEGARA,HAJI ABDUL HAMID BIN HAJI ABDUL KARIM,MALE,,2009,,,,,,,,,,,,,
P.69_NO. 21,JOHORE,P.69,MUAR SELATAN,NO. 21,SIMPANG KIRI,ALLIANCE - MCA,,12613,3330,75.99,9584,,174,9410,MCA,TAN CHIN CHEONG,MALE,,6370,,,,,,,,,,,,,,,,,,,,NEGARA,HAJI MAHFOZ BIN HJ. ALI,MALE,,3040,,,,,,,,,,,,,
P.69_NO. 22,JOHORE,P.69,MUAR SELATAN,NO. 22,PARIT JAWA,ALLIANCE - UMNO,,13093,7020,78.68,10302,,218,10084,UMNO,SULEIMAN BIN NINAM SHAH,MALE,39,8552,,,,,,,,PMIP,HAJI MOHAMMED TAHIR,MALE,,1532,,,,,,,,,,,,,,,,,,,,,,,,,
P.70_NO. 23,JOHORE,P.70,MUAR PANTAI,NO. 23,PARIT BAKAR,ALLIANCE - UMNO,,10122,2970,70.86,7172,,103,7069,UMNO,KOSAI BIN HAJI MOHD. SALLEH,MALE,45,4874,,,,,,,,PMIP,SHIKH ALI ALBITTEY,MALE,,291,LOST DEPOSIT,,,,,,,NEGARA,HJ. MOHAMED BIN HJ. JUNID,MALE,,1904,,,,,,,,,,,,,
P.70_NO. 24,JOHORE,P.70,MUAR PANTAI,NO. 24,BANDAR MAHARANI,ALLIANCE - MCA,,12762,4598,75.70,9661,,91,9570,MCA,CHUA SONG LIM,MALE,,6410,,PRM,ABD. GHANI BIN HASHIM,MALE,,1812,,,,,,,,,,,,,,NEGARA,NASIR BIN HAJI BAKAR,MALE,,1348,,,,,,,,,,,,,
