UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.39_NO. 14,SELANGOR,P.39,SABAK BERNAM,NO. 14,SUNGEI BESAR,ALLIANCE - UMNO,,8810,1042,64.60,5691,,275,5416,UMNO,TAIBAN BIN HASSAN,MALE,,3229,,,,,,,,PMIP,HAJI ABDUL HAKIM HILMY,MALE,,2187,,,,,,,,,,,,,,,,,,,,,,,,,
P.40_NO. 15,SELANGOR,P.40,KUALA SELANGOR,NO. 15,TANJONG KARANG,ALLIANCE - UMNO,,9062,1139,72.47,6567,,254,6313,UMNO,RAJA ROME,MALE,51,3726,,,,,,,,PMIP,MOHAMED AMBIA BIN SANUSI,MALE,,2587,,,,,,,,,,,,,,,,,,,,,,,,,
P.40_NO. 16,SELANGOR,P.40,KUALA SELANGOR,NO. 16,KUALA SELANGOR PEKAN,ALLIANCE - MCA,,10004,1427,78.95,7898,,280,7618,MCA,TAN SIEW KANG,MALE,,3994,,,,,,,,PMIP,AWANG BIN AHMAD,MALE,,1057,,,,,,,,M.P.,MANICKAM,MALE,,2567,,,,,,,,,,,,,
P.41_NO. 17,SELANGOR,P.41,LANGAT,NO. 17,KAJANG,ALLIANCE - UMNO,,9068,1082,77.60,7037,,109,6928,UMNO,MUSTAFA RUNUS,MALE,,3180,,PRM,YAHAYA BIN HAJI HUSSAIN,MALE,,2098,,,,,,,,,,,,,,NEGARA,MOHAMED NAZIR BIN HAJI ABDUL JALIL,MALE,,1650,,,,,,,,,,,,,
P.41_NO. 18,SELANGOR,P.41,LANGAT,NO. 18,SEMENYIH,ALLIANCE - UMNO,,6881,2943,78.65,5412,,295,5117,UMNO,DATUK KAMPO RADJO,MALE,37,3734,,,,,,,,PMIP,YUNUS BIN HAJI YATIM,MALE,,592,LOST DEPOSIT,,,,,,,NEGARA,DATO DAGANG SILIN,MALE,,791,,,,,,,,,,,,,
P.42_NO. 19,SELANGOR,P.42,SEPANG,NO. 19,DENGKIL,ALLIANCE - UMNO,,6754,3188,72.31,4884,,208,4676,UMNO,ABU BAKAR BIN BAGINDA,MALE,60,3809,,,,,,,,PMIP,OMAR BIN BUJANG,MALE,,621,,,,,,,,,,,,,,INDEPENDENT,LEE SIOK YEW,MALE,,246,LOST DEPOSIT,,,,,,
P.42_NO. 20,SELANGOR,P.42,SEPANG,NO. 20,SUNGEI RAWANG,INDEPENDENT,,6594,481,85.02,5606,,114,5492,MIC,D. JAYARATNAM,MALE,33,1383,,,,,,,,PMIP,MOHD. SAHID BIN HAJI ARSHAD,MALE,,892,,PPP,K.V. NADARAJAH,MALE,,1353,,,,,,,,INDEPENDENT,LIM TUANG SIONG,MALE,,1864,,,,,,,
P.43_NO. 21,SELANGOR,P.43,KLANG,NO. 21,PORT SWETTENHAM,ALLIANCE - UMNO,,9303,4013,67.51,6280,,291,5989,UMNO,ABDULLAH BIN HAJI HASSAN,MALE,,5001,,,,,,,,PMIP,SHAHRUDDIN BIN GAYAU TARWITA,MALE,,988,,,,,,,,,,,,,,,,,,,,,,,,,
P.43_NO. 22,SELANGOR,P.43,KLANG,NO. 22,KAMPONG JAWA,ALLIANCE - MCA,,10374,5684,75.40,7822,,218,7604,MCA,CHEONG JIN HOE,MALE,,6644,,,,,,,,PMIP,RAJA SHARIN BIN RAJA OTHMAN,MALE,,960,,,,,,,,,,,,,,,,,,,,,,,,,
P.44_NO. 23,SELANGOR,P.44,KUALA LANGAT,NO. 23,TELOK DATOH,ALLIANCE - UMNO,,8525,2191,83.55,7123,,282,6841,UMNO,RAJA ISMAIL BIN RAJA IBRAHIM,MALE,,4516,,,,,,,,PMIP,ALI BIN HAJI SALLEH,MALE,,2325,,,,,,,,,,,,,,,,,,,,,,,,,
P.44_NO. 24,SELANGOR,P.44,KUALA LANGAT,NO. 24,MORIB,ALLIANCE - UMNO,,8589,3719,84.54,7261,,150,7111,UMNO,MOHAMED TAHIR BIN ABDUL MAJID,MALE,,4888,,,,,,,,PMIP,ADNI BIN KUSAS,MALE,,1169,,,,,,,,NEGARA,RAJA ADNAN BIN RAJA BASOK,MALE,56,1054,,,,,,,,,,,,,
P.45_NO. 25,SELANGOR,P.45,KAPAR,NO. 25,JERAM,ALLIANCE - UMNO,,7496,2263,77.52,5811,,188,5623,UMNO,HUSSAIN BIN ABDULLAH,MALE,,3943,,,,,,,,PMIP,KASSIM BIN HAJI SIRAJ,MALE,,1680,,,,,,,,,,,,,,,,,,,,,,,,,
P.45_NO. 26,SELANGOR,P.45,KAPAR,NO. 26,SEMENTA,ALLIANCE - UMNO,,7643,3131,69.57,5317,,170,5147,UMNO,HAJI MASOD BIN HAYATI,MALE,,4139,,,,,,,,PMIP,AHMAD BIN HAJI HASSAN,MALE,,1008,,,,,,,,,,,,,,,,,,,,,,,,,
P.46_NO. 27,SELANGOR,P.46,DAMANSARA,NO. 27,SERDANG,SF - PRM,,13502,1889,74.69,10084,,207,9877,MCA,CHAN CHEE HONG,MALE,45,3994,,PRM,K .KARAM SINGH,MALE,23,5883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.46_NO. 28,SELANGOR,P.46,DAMANSARA,NO. 28,BUKIT RAJA,ALLIANCE - MIC,,6255,1018,72.10,4510,,126,4384,MIC,MURUGESU SUNDRAM,MALE,,2701,,,,,,,,,,,,,,PPP,FUNG AH CHAT,MALE,,1683,,,,,,,,,,,,,,,,,,,
