UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.62,JOHORE,P.62,JOHORE BAHRU BARAT,ALLIANCE - UMNO,,15899,2781,75.07,11935,152,11783,UMNO,AHMAD BIN MOHAMED SHAH,MALE,,7282,,PRM,ZAHID BIN ABD. KARIM,MALE,,4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.63,JOHORE,P.63,PONTIAN SELATAN,ALLIANCE - UMNO,,18753,3821,81.82,15344,227,15117,UMNO,CHE HAJAH ZAIN BINTE SULAIMAN,FEMALE,35,9469,,LPM,LEE AH LENG,MALE,40,5648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.64,JOHORE,P.64,PONTIAN UTARA,ALLIANCE - UMNO,,22341,7860,78.96,17641,234,17407,UMNO,SARDON BIN HAJI ZUBIR,MALE,42,11850,,,,,,,,PMIP,JAMIL BIN SULEIMAN,MALE,,1567,LOST DEPOSIT,,,,,,,NEGARA,GARIEB BIN RAOUF,MALE,,3990,,,,,,,,,,,,,
P.65,JOHORE,P.65,KLUANG SELATAN,ALLIANCE - MCA,,16880,4214,79.64,13444,150,13294,MCA,CHAN CHONG WEN,MALE,,8754,,LPM,TAN KAI HEE,MALE,,4540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.66,JOHORE,P.66,KLUANG UTARA,ALLIANCE - MCA,,13583,1455,77.99,10594,79,10515,MCA,LEE SAN CHOON,MALE,24,5985,,LPM,WEE LEE FONG,MALE,,4530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.67,JOHORE,P.67,BATU PAHAT,ALLIANCE - MCA,,21090,6303,72.11,15207,108,15099,MCA,KANG KOCK SENG,MALE,,10261,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,KOH KIM BOON,MALE,,3958,,INDEPENDENT,HAJI ABDULLAH BIN HAJI OTHMAN,MALE,,880,LOST DEPOSIT
P.68,JOHORE,P.68,BATU PAHAT DALAM,ALLIANCE - UMNO,,22842,5257,76.71,17522,128,17394,UMNO,SYED ESA BIN ALWEE,MALE,58,9495,,,,,,,,,,,,,,,,,,,,NEGARA,HAJI DAUD BIN H. A. HAMID,MALE,,3661,,INDEPENDENT,TAN SUAN KOK,MALE,,4238,,,,,,,
P.69,JOHORE,P.69,MUAR SELATAN,ALLIANCE - UMNO,,25706,12287,76.38,19634,262,19372,UMNO,SULAIMAN BIN DATO ABDUL RAHMAN,MALE,,14795,,,,,,,,PMIP,HAJI MD. TAHIR BIN DAING MENGANTI,MALE,,2508,,,,,,,,NEGARA,RAJA HASHIM BIN HAJI MAHMOOD,MALE,,2069,LOST DEPOSIT,,,,,,,,,,,,
P.70,JOHORE,P.70,MUAR PANTAI,ALLIANCE - MCA,,22884,5266,74.33,17010,126,16884,MCA,SEAH TENG NGIAB,MALE,,8997,,LPM,CHUA ANG TECK,MALE,,1994,LOST DEPOSIT,,,,,,,PPP,TAN KWEE WAH,MALE,,2162,,NEGARA,MOHAMAD NOR BIN HAMID,MALE,,3731,,,,,,,,,,,,,
P.71,JOHORE,P.71,MUAR UTARA,ALLIANCE - UMNO,,21510,10211,72.34,15561,284,15277,UMNO,AHMAD BIN ARSHAD,MALE,,12744,,,,,,,,,,,,,,,,,,,,NEGARA,NASIR BIN ABDULLAH,MALE,,2533,,,,,,,,,,,,,
P.72,JOHORE,P.72,MUAR DALAM,ALLIANCE - UMNO,,20050,7382,77.37,15513,237,15276,UMNO,AZIZ BIN ISHAK,MALE,,11329,,,,,,,,,,,,,,,,,,,,NEGARA,AHMAD BIN ABU,MALE,,3947,,,,,,,,,,,,,
P.73,JOHORE,P.73,SEGAMAT UTARA,ALLIANCE - UMNO,,15044,1624,83.4,12546,109,12437,UMNO,HAJI ABDULLAH BIN HAJI MOHD. SALLEH,MALE,,6572,,,,,,,,PMIP,SYED MOHAMMAD BIN ABDULLAH AL KHERD,MALE,,917,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,LIM MENG SEE,MALE,,4948,,,,,,,
P.74,JOHORE,P.74,SEGAMAT SELATAN,ALLIANCE - MCA,,15548,2966,82.59,12841,151,12690,MCA,TEOH CHZE CHONG,MALE,,7828,,LPM,LIM CHIN KHEAN,MALE,41,4862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.75,KEDAH,P.75,ALOR STAR,ALLIANCE - MCA,,25540,6518,68.03,17375,144,17231,MCA,LIM JOO KONG,MALE,,10730,,LPM,TEOH AH TOW,MALE,,2289,,PMIP,ABDUL MALIK BIN ABDUL RAHMAN,MALE,,4212,,,,,,,,,,,,,,,,,,,,,,,,,
P.76,KEDAH,P.76,KUALA KEDAH,ALLIANCE - UMNO,,25946,7490,72.53,18818,244,18574,UMNO,TENGKU ABDUL RAHMAN,MALE,56,13032,,,,,,,,PMIP,HAJI HASSAN BIN ABDUL RAHMAN,MALE,,5542,,,,,,,,,,,,,,,,,,,,,,,,,
P.77,KEDAH,P.77,KOTA STAR UTARA,ALLIANCE - UMNO,,20053,2663,76.86,15412,191,15221,UMNO,HAJI ABDUL KHALID,MALE,,8942,,,,,,,,PMIP,ABU BAKAR BIN OMAR,MALE,,6279,,,,,,,,,,,,,,,,,,,,,,,,,
P.78,KEDAH,P.78,KOTA STAR SELATAN,ALLIANCE - UMNO,,21069,545,77.74,16378,185,16193,UMNO,WAN SULAIMAN BIN WAN TAM,MALE,,8369,,,,,,,,PMIP,LEBAI OTHMAN BIN HAJI YUNUS,MALE,,7824,,,,,,,,,,,,,,,,,,,,,,,,,
P.79,KEDAH,P.79,KUBANG PASU BARAT,ALLIANCE - UMNO,,19303,2758,73.66,14218,200,14018,UMNO,HAJI AZAHARI BIN HAJI IBRAHIM,MALE,,8388,,,,,,,,PMIP,HAJI ABDULLAH BIN ABBAS,MALE,,5630,,,,,,,,,,,,,,,,,,,,,,,,,
P.80,KEDAH,P.80,JITRA-PADANG TERAP,ALLIANCE - UMNO,,22576,5125,75.52,17049,212,16837,UMNO,FATIMAH BINTI HAJI HASHIM,FEMALE,,10981,,,,,,,,PMIP,HAJI HUSIN BIN HAJI SALLEH,MALE,,5856,,,,,,,,,,,,,,,,,,,,,,,,,
P.81,KEDAH,P.81,JERAI,ALLIANCE - UMNO,,24820,4947,72.03,17879,126,17753,UMNO,MD. ISMAIL BIN YUSOF,MALE,,11350,,,,,,,,PMIP,HAJI MAHMOOD BIN HAJI ABDULLAH,MALE,45,6403,,,,,,,,,,,,,,,,,,,,,,,,,
P.82,KEDAH,P.82,KEDAH TENGAH,ALLIANCE - UMNO,,22762,6836,75.4,17163,223,16940,UMNO,MOHAMED KHIR JOHARI,MALE,36,11271,,PRM,MOHAMED SHARIF BIN BABUL,MALE,,1234,LOST DEPOSIT,PMIP,HAJI MANSUR BIN HAJI ISHAK,MALE,41,4435,,,,,,,,,,,,,,,,,,,,,,,,,
P.83,KEDAH,P.83,SUNGEI PATANI,ALLIANCE - UMNO,,20031,3513,75.03,15029,170,14859,UMNO,ABDUL SAMAD BIN OSMAN,MALE,,9186,,PRM,MANSOR TOBENG,MALE,33,5673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.84,KEDAH,P.84,BALING,ALLIANCE - UMNO,,23043,8597,75.41,17376,132,17244,UMNO,HARUN BIN ABDULLAH,MALE,40,12118,,,,,,,,PMIP,SYED JAN ALJEFFRI,MALE,,3521,,,,,,,,,,,,,,INDEPENDENT,WAN BASOR ALI BIN WAN SALIM,MALE,,1605,LOST DEPOSIT,,,,,,
P.85,KEDAH,P.85,KULIM UTARA,ALLIANCE - UMNO,,19708,9748,76.74,15124,310,14814,UMNO,HANAFIE BIN MOHD. YUNUS,MALE,,12281,,,,,,,,PMIP,KHATIB SHORBAINI BIN HAJI HASSAN,MALE,33,2533,,,,,,,,,,,,,,,,,,,,,,,,,
P.86,KEDAH,P.86,KULIM-BANDAR BAHRU,ALLIANCE - MCA,,23264,6371,71.38,16607,344,16263,MCA,TAN TYE CHER,MALE,42,11317,,LPM,CHOONG AH FONG,MALE,48,4946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.87,KELANTAN,P.87,ULU KELANTAN,ALLIANCE - UMNO,,22839,464,76.32,17430,62,17368,UMNO,TENGKU INDRA PETRA,MALE,,8770,,,,,,,,PMIP,AMALUDDIN BIN DARUS,MALE,,8306,,,,,,,,NEGARA,HAJI MD. YATIM BIN HAJI SHAMSUDDIN,MALE,,292,LOST DEPOSIT,,,,,,,,,,,,
P.88,KELANTAN,P.88,TANAH MERAH,PMIP,,25793,5978,76.2,19653,127,19526,UMNO,USTAZ AZHARI BIN ABDUL RAHMAN,MALE,,6774,,,,,,,,PMIP,USTAZ OTHMAN BIN ABDULLAH,MALE,,12752,,,,,,,,,,,,,,,,,,,,,,,,,
P.89,KELANTAN,P.89,PASIR PUTEH,PMIP,,26326,5654,72.29,19031,117,18914,UMNO,MD. IDIRS,MALE,,6630,,,,,,,,PMIP,USTAZ MD. ASRI,MALE,,12284,,,,,,,,,,,,,,,,,,,,,,,,,
P.90,KELANTAN,P.90,BACHOK,PMIP,,25382,10119,70.41,17872,231,17641,UMNO,NIK MIN ALI,MALE,,3761,,,,,,,,PMIP,ZULKIFLEE BIN MUHAMMAD,MALE,,13880,,,,,,,,,,,,,,,,,,,,,,,,,
P.91,KELANTAN,P.91,PASIR MAS HILIR,PMIP,,21891,9292,71.38,15626,74,15552,UMNO,CHE OMAR HAJI ALI,MALE,,3130,,,,,,,,PMIP,NIK MAN BIN NIK MOHAMED,MALE,,12422,,,,,,,,,,,,,,,,,,,,,,,,,
P.92,KELANTAN,P.92,PASIR MAS HULU,PMIP,,18364,5959,72.03,13227,150,13077,UMNO,YAACOB BIN AWANG,MALE,,3559,,,,,,,,PMIP,DATO RAJA HANIFAH,MALE,,9518,,,,,,,,,,,,,,,,,,,,,,,,,
P.93,KELANTAN,P.93,TUMPAT,PMIP,,24383,3869,68.67,16744,115,16629,UMNO,MAHMOOD BIN ZAKARIAH JUHAN,MALE,,6380,,,,,,,,PMIP,HAJI CHE HASSAN,MALE,,10249,,,,,,,,,,,,,,,,,,,,,,,,,
P.94,KELANTAN,P.94,KELANTAN HILIR,PMIP,,23975,8111,70.41,16880,115,16765,UMNO,HASSAN BIN HAJI YA'ACOB,MALE,,4327,,,,,,,,PMIP,WAN MUSTAPHA,MALE,,12438,,,,,,,,,,,,,,,,,,,,,,,,,
P.95,KELANTAN,P.95,KOTA BHARU HILIR,PMIP,,24178,3161,65.61,15862,97,15765,UMNO,NIK ISMAIL BIN NIK HUSSIN,MALE,,6302,,,,,,,,PMIP,HAJI AHMAD,MALE,,9463,,,,,,,,,,,,,,,,,,,,,,,,,
P.96,KELANTAN,P.96,KOTA BHARU HULU,PMIP,,27421,11026,68.86,18882,358,18524,UMNO,ISMAIL IBRAHIM,MALE,,3749,,,,,,,,PMIP,HAJI HUSSIN RAHIMI,MALE,,14775,,,,,,,,,,,,,,,,,,,,,,,,,
P.97,TRENGGANU,P.97,BESUT,PMIP,,21399,5772,67.33,14409,205,14204,UMNO,HUSIN BIN HAJI ABDULLAH,MALE,30,4216,,,,,,,,PMIP,DR. BURHANUDDIN BIN MD. NOOR,MALE,48,9988,,,,,,,,,,,,,,,,,,,,,,,,,
P.98,TRENGGANU,P.98,KUALA TRENGGANU UTARA,PMIP,,19994,727,73.08,14611,274,14337,UMNO,WAN ABDUL KADIR BIN ISMAIL,MALE,30,6535,,,,,,,,PMIP,HASSAN ADLI BIN HAJI ARSHAD,MALE,,7262,,,,,,,,,,,,,,INDEPENDENT,IBRAHIM BIN ABDUL KADIR,MALE,,540,LOST DEPOSIT,,,,,,
P.99,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NEGARA,,19247,2612,70.09,13491,131,13360,UMNO,ENGKU MUHSEIN BIN ABDUL KADIR,MALE,31,5374,,,,,,,,,,,,,,,,,,,,NEGARA,DATO ONN BIN JAAFAR,MALE,64,7986,,,,,,,,,,,,,
P.100,TRENGGANU,P.100,TRENGGANU TENGAH,PMIP,,20765,3671,70.91,14724,188,14536,UMNO,ISMAIL BIN HAJI KASSIM,MALE,41,4954,,,,,,,,PMIP,HARUN BIN PILUS,MALE,,8625,,,,,,,,,,,,,,INDEPENDENT,SETIA BIN ABU BAKAR,MALE,38,758,LOST DEPOSIT,INDEPENDENT,UNGKU SYED MOHSEIN BIN ZABIDIN,MALE,25,199,LOST DEPOSIT
P.101,TRENGGANU,P.101,DUNGUN,PMIP,,15759,2091,70.45,11102,100,11002,UMNO,MD. ADIB BIN OMAR,MALE,29,4158,,PRM,WAN SALLEH BIN ABDUL KADIR,MALE,,595,LOST DEPOSIT,PMIP,KHADIJAH SIDEK BINTI MD. SIDEK,FEMALE,,6249,,,,,,,,,,,,,,,,,,,,,,,,,
P.102,TRENGGANU,P.102,KEMAMAN,ALLIANCE - UMNO,Y,17734,,,,,,UMNO,WAN YAHYA BIN HAJI WAN MOHAMED,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.103,PERLIS,P.103,PERLIS UTARA,ALLIANCE - UMNO,,19560,3851,79.5,15551,126,15425,UMNO,OTHMAN BIN ABDULLAH,MALE,,9638,,,,,,,,PMIP,ABU BAKAR BIN HAMZAH,MALE,,5787,,,,,,,,,,,,,,,,,,,,,,,,,
P.104,PERLIS,P.104,PERLIS SELATAN,ALLIANCE - UMNO,,18795,1852,75.95,14275,97,14178,UMNO,HAJI MOKHTAR BIN HAJI ISMAIL,MALE,,8015,,,,,,,,PMIP,ABDUL RAHMAN BIN OSMAN,MALE,,6163,,,,,,,,,,,,,,,,,,,,,,,,,
