UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.14,PERAK,P.14,KRIAN DARAT,ALLIANCE - UMNO,,21248,2256,65.23,13861,209,13652,UMNO,AHMAD BIN HAJI YUSOF,MALE,40,7954,,,,,,,,PMIP,USTAZ ABDUL WAHAB BIN HAJI MOHD NOOR,MALE,37,5698,,,,,,,,,,,,,,,,,,,,,,,,,
P.15,PERAK,P.15,BATANG PADANG,ALLIANCE - UMNO,,16667,2482,69.46,11577,93,11484,UMNO,ABDUL HAMID KHAN,MALE,59,6231,,,,,,,,PMIP,HASHIM BIN MAHABOOB,MALE,57,1504,,PPP,JAYA RAMACHANDRAN S/O SUPPIAH,MALE,24,3749,,,,,,,,,,,,,,,,,,,
P.16,PERAK,P.16,TANJONG MALIM,ALLIANCE - MCA,,19274,3261,67.57,13023,208,12815,MCA,LEE SECK FUN,MALE,33,8038,,,,,,,,,,,,,,PPP,R. C. M. RAYAN,MALE,50,4777,,,,,,,,,,,,,,,,,,,
P.17,PERAK,P.17,LARUT UTARA,ALLIANCE - UMNO,,24864,6426,67.69,16830,170,16660,UMNO,TAJUDIN BIN ALI,MALE,37,11543,,,,,,,,PMIP,IBRAHIM BIN ALLA DITTA,MALE,45,5117,,,,,,,,,,,,,,,,,,,,,,,,,
P.18,PERAK,P.18,LARUT SELATAN,ALLIANCE - MCA,,32633,4774,63.99,20881,148,20733,MCA,DR. LIM SWEE AUN,MALE,44,11218,,,,,,,,PMIP,HAJI MOHAMED YUNUS BIN HAJI MOHD. HASHIM,MALE,59,3071,,PPP,C.H. YIN,MALE,,6444,,,,,,,,,,,,,,,,,,,
P.19,PERAK,P.19,BRUAS,INDEPENDENT,,24384,752,66.85,16300,913,15387,UMNO,MOHD NOOR BIN MOHAMED,MALE,45,5215,,,,,,,,,,,,,,PPP,RAMAN K.,MALE,,4205,,,,,,,,INDEPENDENT,YEOH TAT BENG,MALE,45,5967,,,,,,,
P.20,PERAK,P.20,SITIAWAN,ALLIANCE - MCA,,20531,363,76.05,15613,155,15458,MCA,YONG WOO MING,MALE,47,6442,,,,,,,,,,,,,,PPP,HOR HUCK LUNG,MALE,41,2937,,,,,,,,INDEPENDENT,TOO JOON HING,MALE,48,6079,,,,,,,
P.21,PERAK,P.21,ULU PERAK,ALLIANCE - UMNO,,21330,4089,68.02,14509,183,14326,UMNO,MOHD. NOR BIN MOHD DAHAN,MALE,34,7869,,,,,,,,PMIP,HAJI ABDUL SAMAD BIN HAJI MOHAMMAD NOH,MALE,43,2677,,,,,,,,,,,,,,INDEPENDENT,TAN KIM SENG,MALE,35,3780,,,,,,,
P.22,PERAK,P.22,KUALA KANGSAR,ALLIANCE - UMNO,,26466,2786,71.31,18874,146,18728,UMNO,HAJI ABDULLAH BIN HAJI ABDUL RAOF,MALE,51,8367,,PRM,OMAR BIN NORDIN,MALE,32,4780,,PMIP,SYED NORDIN BIN HUSEIN,MALE,53,5581,,,,,,,,,,,,,,,,,,,,,,,,,
P.23,PERAK,P.23,PARIT,ALLIANCE - UMNO,,18945,2991,79.64,15087,82,15005,UMNO,HUSSEIN BIN MOHAMED NOORDIN,MALE,39,8998,,,,,,,,PMIP,HAJI OSMAN BIN HAJI BODIN,MALE,54,6007,,,,,,,,,,,,,,,,,,,,,,,,,
