UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,UNCONTESTED VICTORY,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.81_NO. 13,KEDAH,P.81,JERAI,NO. 13,SALA,,ALLIANCE - UMNO,13098,718,71.06%,9307,,377,8930,UMNO,ARSHAD BIN ISMAIL,MALE,,4824,,,,,,,,PMIP,ABDUL HAMID BIN HAJI IBRAHIM,MALE,,4106,,,,,,,,,,,,,,,,,,,,,,,,,
P.81_NO. 14,KEDAH,P.81,JERAI,NO. 14,YEN-MERBOK,,ALLIANCE - UMNO,11722,4936,76.39%,8955,,457,8498,UMNO,HJ. NYAK GAM BIN NYAK ABDULLAH,MALE,,6717,,,,,,,,PMIP,HJ. NAWAWI ABDUL RAHMAN,MALE,,1781,,,,,,,,,,,,,,,,,,,,,,,,,
P.82_NO. 15,KEDAH,P.82,KEDAH TENGAH,NO. 15,SIK-GURUN,,ALLIANCE - UMNO,11342,3685,73.46%,8332,,526,7806,UMNO,HAMIDAH BINTE OMAR,FEMALE,,5352,,PRM,AZIZAN JOHARI,MALE,,787,LOST DEPOSIT,PMIP,HAJI YAHAYA BIN JUNID,MALE,,1667,,,,,,,,,,,,,,,,,,,,,,,,,
P.82_NO. 16,KEDAH,P.82,KEDAH TENGAH,NO. 16,KOTA,,ALLIANCE - UMNO,11330,4650,81.55%,9240,,206,9034,UMNO,MOHAMED ZAHIR ISMAIL,MALE,,6842,,,,,,,,PMIP,ABU HASHIM,MALE,,2192,,,,,,,,,,,,,,,,,,,,,,,,,
P.83_NO. 17,KEDAH,P.83,SUNGEI PATANI,NO. 17,PEKAN SUNGEI PATANI,,ALLIANCE - MCA,9002,2254,75.69%,6814,,134,6680,MCA,CHIN CHIN CHEANG,MALE,,4280,,PRM,MANSOR TOBENG,MALE,33,2026,,PMIP,OSMAN BIN DARUS,MALE,,374,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.83_NO. 18,KEDAH,P.83,SUNGEI PATANI,NO. 18,SUNGEI PATANI LUAR,,ALLIANCE - UMNO,11029,5490,77.43%,8540,,213,8327,UMNO,AZAHARI TAIB,MALE,,6571,,LPM,C. A. D'CRUZ,MALE,,675,LOST DEPOSIT,PMIP,SYED JAN ALJEFFRI,MALE,,1081,,,,,,,,,,,,,,,,,,,,,,,,,
P.84_NO. 19,KEDAH,P.84,BALING,NO. 19,BALING TIMOR,,ALLIANCE - UMNO,12530,6987,80.51%,10088,,337,9751,UMNO,SHAFIE BIN ABDULLAH,MALE,,8369,,,,,,,,PMIP,HAJI HASSAN,MALE,,1382,,,,,,,,,,,,,,,,,,,,,,,,,
P.84_NO. 20,KEDAH,P.84,BALING,NO. 20,BALING BARAT,,ALLIANCE - UMNO,10513,3256,75.42%,7929,,273,7656,UMNO,SYED OMAR SHAHABUDIN,MALE,57,5456,,,,,,,,PMIP,HJ. AHMAD BIN HJ. ABDUL RAHMAN,MALE,,2200,,,,,,,,,,,,,,,,,,,,,,,,,
P.85_NO. 21,KEDAH,P.85,KULIM UTARA,NO. 21,SIDAM,,ALLIANCE - UMNO,10085,5100,75.34%,7598,,550,7048,UMNO,HAJI YASIN BIN IBRAHIM,MALE,,6074,,,,,,,,PMIP,HARUN BIN RASHED,MALE,,974,,,,,,,,,,,,,,,,,,,,,,,,,
P.85_NO. 22,KEDAH,P.85,KULIM UTARA,NO. 22,LUNAS,,ALLIANCE - MCA,9623,4423,79.26%,7627,,306,7321,MCA,SOON CHENG LEONG,MALE,,5872,,,,,,,,PMIP,MOHD. ROMLI BIN ABDULLAH,MALE,,1449,,,,,,,,,,,,,,,,,,,,,,,,,
P.86_NO. 23,KEDAH,P.86,KULIM-BANDAR BAHRU,NO. 23,KULIM,,ALLIANCE - MCA,12363,4436,72.89%,9012,,335,8677,MCA,TAI KUAN YANG,MALE,,6151,,LPM,CHOONG AH FONG,MALE,,1715,,PMIP,KHATIB SHORBAINI,MALE,,811,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.86_NO. 24,KEDAH,P.86,KULIM-BANDAR BAHRU,NO. 24,BANDAR BAHRU,,ALLIANCE - UMNO,10901,4809,82.06%,8945,,194,8751,UMNO,ZAINUDDIN BIN HJ. DIN,MALE,,6780,,,,,,,,PMIP,GHAZALI BIN HAJI MOHAMED,MALE,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
