UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.87_NO. 1,KELANTAN,P.87,ULU KELANTAN,NO. 1,ULU KELANTAN BARAT,PMIP,,4752,346,84.32,4007,,54,3953,MCA,WONG YEOW WYE,MALE,,1126,,PRM,CHE HUSSEIN ARO,MALE,,99,LOST DEPOSIT,PMIP,KHAIDIR KHATIB,MALE,,1472,,,,,,,,NEGARA,WAN YAACOB B. WAN AHMAD,MALE,,347,LOST DEPOSIT,INDEPENDENT,TUAN HJ MOHD YUSOFF BANGS,MALE,,853,,INDEPENDENT,MAT CHE LATEH,MALE,,56,LOST DEPOSIT
P.87_NO. 2,KELANTAN,P.87,ULU KELANTAN,NO. 2,ULU KELANTAN TIMOR,ALLIANCE - UMNO,,8451,1073,72.81,6153,,211,5942,UMNO,NGAH ALI,MALE,,3051,,LPM,JOHN,MALE,,305,LOST DEPOSIT,PMIP,WAN ISMAIL B. WAN AHMAD,MALE,,1978,,,,,,,,,,,,,,INDEPENDENT,HAJI NIK JAAFAR B. NIK SOH,MALE,,608,LOST DEPOSIT,,,,,,
P.87_NO. 3,KELANTAN,P.87,ULU KELANTAN,NO. 3,MACHANG SELATAN,PMIP,,9636,1779,80.19,7727,,82,7645,UMNO,USTAZ SALLEH ZAKI HUSSIN,MALE,,2655,,PRM,CHE WIL @ ISMAIL BIN OMAR,MALE,,241,LOST DEPOSIT,PMIP,HAJI MOHAMED NOOR B. HJ. YUSOFF,MALE,,4434,,,,,,,,NEGARA,MOHD GHAZALI B. HJ. NOH,MALE,,315,LOST DEPOSIT,,,,,,,,,,,,
P.88_NO. 4,KELANTAN,P.88,TANAH MERAH,NO. 4,MACHANG UTARA,PMIP,,9611,1632,84.04,8077,,148,7929,UMNO,IBRAHIM B. MOHAMAD,MALE,,2834,,,,,,,,PMIP,HAJI MOHAMAD B. NASIR,MALE,,4466,,,,,,,,NEGARA,MOHAMED TAIB B. HJ. IBRAHIM,MALE,,629,LOST DEPOSIT,,,,,,,,,,,,
P.88_NO. 5,KELANTAN,P.88,TANAH MERAH,NO. 5,TANAH MERAH TIMOR,PMIP,,8865,1090,74.60,6613,,178,6435,UMNO,OTHMAN B. AHMED,MALE,,2094,,PRM,MOHAMED B. ALI,MALE,,177,LOST DEPOSIT,PMIP,CHE' GU DAUD,MALE,,3184,,,,,,,,NEGARA,HAJI WAN YUSOF B. WAN ALI,MALE,,980,,,,,,,,,,,,,
P.88_NO. 6,KELANTAN,P.88,TANAH MERAH,NO. 6,TANAH MERAH BARAT,PMIP,,7317,2480,82.27,6020,,189,5831,UMNO,ABDUL GHANI B. MOHAMED,MALE,,765,,PRM,SAID B. AWANG,MALE,,144,LOST DEPOSIT,PMIP,YUSOFF B. AB. LATIF,MALE,,3345,,,,,,,,NEGARA,WAN JA'AFAR B. HJ. WAN MAHMOOD PENGLIMA BAYU,MALE,,712,LOST DEPOSIT,INDEPENDENT,HUSSIN DRIVER,MALE,,865,,,,,,,
P.89_NO. 7,KELANTAN,P.89,PASIR PUTEH,NO. 7,PASIR PUTEH UTARA,PMIP,,8300,3392,79.37,6588,,116,6472,UMNO,WAN ISMA' BT. HJ. ABD. KADIR,FEMALE,,1274,,PRM,MAT B. CHE' MOH,MALE,,106,LOST DEPOSIT,PMIP,TENGKU MOHAMED,MALE,,4666,,,,,,,,NEGARA,HASSAN B. YAACOB,MALE,,426,LOST DEPOSIT,,,,,,,,,,,,
P.89_NO. 8,KELANTAN,P.89,PASIR PUTEH,NO. 8,PASIR PUTEH TENGAH,PMIP,,8518,539,77.13,6570,,161,6409,UMNO,HAJI ABDUL RAHMAN B. HJ YUSOFF,MALE,,2826,,PRM,USTAZ ABDULLAH B. HJ. MOHAMED,MALE,,218,LOST DEPOSIT,PMIP,USTAZ WAN SULAIMAN,MALE,,3365,,,,,,,,,,,,,,,,,,,,,,,,,
P.89_NO. 9,KELANTAN,P.89,PASIR PUTEH,NO. 9,PASIR PUTEH TENGGARA,PMIP,,9508,2661,78.25,7440,,161,7279,UMNO,GHAZALI B. YUSOF,MALE,,2207,,PRM,HAJI ALIAS TOK IMAM,MALE,,204,LOST DEPOSIT,PMIP,USTAZ AB. RAHMAN,MALE,,4868,,,,,,,,,,,,,,,,,,,,,,,,,
P.90_NO. 10,KELANTAN,P.90,BACHOK,NO. 10,BACHOK UTARA,PMIP,,9546,4267,76.22,7276,,207,7069,UMNO,JAAFAR B. MOHAMAD,MALE,,1290,,,,,,,,PMIP,SHAFEI B. AHMAD,MALE,,5557,,,,,,,,NEGARA,HAJI NIK MOHD. SALLEH B. HAJI WAN MUSA,MALE,,222,LOST DEPOSIT,,,,,,,,,,,,
