UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 3_N. 13,PERLIS,P. 3,ARAU,N. 13,GUAR SANJI,BN - UMNO,,6926,298,77.64,5380,5,91,5284,UMNO,AROF BIN HJ SAAD,MALE,,2791,,PAS,BAHARI BIN ALI,MALE,,2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3_N. 14,PERLIS,P. 3,ARAU,N. 14,SIMPANG EMPAT,BN - UMNO,,6250,939,73.92,4620,6,111,4503,UMNO,CHE AH BT LONG,FEMALE,,2721,,,,,,,,,,,,,,S46,RAMLI BIN ABDUL KARIM,MALE,,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3_N. 15,PERLIS,P. 3,ARAU,N. 15,SANGLANG,BN - UMNO,,7161,246,77.64,5560,2,84,5474,UMNO,KARIM BIN SALLEH,MALE,,2860,,PAS,HASHIM B HJ JASIN,MALE,,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 4_N.1,KEDAH,P. 4,LANGKAWI,N.1,PADANG MATSIRAT,BN - UMNO,,12029,3815,77.48,9320,6,284,9030,UMNO,MD. HASSAN BIN BULAT,MALE,,6375,,PAS,LONG BIN SAAD,MALE,,2560,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,AZIZAN BIN ABU BAKAR,MALE,,95,LOST DEPOSIT,,,,,,,,,,,,
P. 4_N.2,KEDAH,P. 4,LANGKAWI,N.2,KUAH,BN - UMNO,,9690,4162,74.34,7204,40,454,6710,UMNO,SANUSI BIN JUNID,MALE,,5436,,,,,,,,,,,,,,S46,YUSOF BIN ABDULLAH,MALE,,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 5_N.3,KEDAH,P. 5,JERLUN,N.3,AYER HITAM,BN - UMNO,,22055,1717,75.83,16725,8,296,16421,UMNO,ABDUL RAHMAN BIN ARIFFIN,MALE,,9069,,PAS,HASHIM BIN OSMAN,MALE,,7352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 5_N.4,KEDAH,P. 5,JERLUN,N.4,KOTA SIPUTEH,BN - UMNO,,21822,2550,76.65,16727,11,300,16416,UMNO,ABU HASSAN BIN SHARIF,MALE,,9483,,PAS,ABU KASIM BIN ABDULLAH,MALE,,6933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 6_N.5,KEDAH,P. 6,KUBANG PASU,N.5,TUNJANG,BN - UMNO,,22539,7244,73.87,16650,214,460,15976,UMNO,BARISHAH @ HABSHAH BT. SAAD,FEMALE,,11610,,PAS,YUSOFF B ABDULLAH,MALE,,4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 6_N.6,KEDAH,P. 6,KUBANG PASU,N.6,JITRA,BN - UMNO,,22304,8438,74.18,16545,40,615,15890,UMNO,OSMAN @ MD DAUD BIN AROF,MALE,,12164,,,,,,,,,,,,,,S46,SYED IDRUS BIN SYED BAHAROM,MALE,,3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 7_N.7,KEDAH,P. 7,PADANG TERAP,N.7,KUALA NERANG,BN - UMNO,,14330,11,76.67,10987,25,367,10595,UMNO,ABD. LATEH BIN HJ MOHD. SAMAN,MALE,,5303,,PAS,MOHAMAD YUSOFF BIN ZAKARIA @ MUNIR HJ ZAKARIA,MALE,,5292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
