UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 20_N. 5,KELANTAN,P. 20,PENGKALAN CHEPA,N. 5,CHEMPAKA,APU - PAS,,15268,4917,79.53,12142,729,628,10785,UMNO,YUSOF BIN ISA,MALE,,2934,,PAS,NIK ABDUL AZIZ BIN NIK MAT,MALE,,7851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 20_N. 6,KELANTAN,P. 20,PENGKALAN CHEPA,N. 6,PANCHOR,APU - PAS,,14002,3051,74.4,10418,105,260,10053,UMNO,HAMDI BIN OMAR,MALE,,3448,,PAS,MOHD. YUSOFF BIN LUDIN A.K.A. TOK IMAM SOF,MALE,,6499,,,,,,,,,,,,,,AKIM,YUSOF BIN MAT,MALE,,106,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 21_N. 7,KELANTAN,P. 21,KOTA BHARU,N. 7,TANJONG MAS,APU - PAS,,19153,4985,71.77,13746,49,199,13498,UMNO,DATUK HAJI MOHAMAD FATMI B. CHE SALLEH,MALE,,4228,,PAS,ABD. RAHIM BIN WAN ABDULLAH,MALE,,9213,,,,,,,,,,,,,,AKIM,RAMLI BIN SULAIMAN,MALE,,57,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 21_N. 8,KELANTAN,P. 21,KOTA BHARU,N. 8,KOTA LAMA,BN - MCA,,24054,1676,69.74,16776,124,336,16316,MCA,LEONG SU SIANG,MALE,,8837,,BERJASA,MOHD YUSOFF @ YUSOF BIN HAJI MOHD NOR,MALE,,7161,,,,,,,,,,,,,,AKIM,MOHD DIN BIN NIZAMDIN,MALE,,104,LOST DEPOSIT,,,,,,,INDEPENDENT,FOO CHEE LIAN @ FOO CHEE TOW,,,214,LOST DEPOSIT,,,,,,,,,,,,
P. 21_N. 9,KELANTAN,P. 21,KOTA BHARU,N. 9,BUNUT PAYONG,APU - PAS,,17159,2490,73.01,12527,49,140,12338,UMNO,ZAHARI BIN AB. WAHAB,MALE,,4924,,PAS,HALIM BIN MOHAMED,MALE,,7414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 22_N. 10,KELANTAN,P. 22,PASIR MAS,N. 10,WAKAF BHARU,APU - PAS,,17007,1277,79.06,13445,172,297,12976,UMNO,NORDIN BIN SALEH,MALE,,5800,,PAS,RAMLI BIN ABU BAKAR,MALE,,7077,,,,,,,,,,,,,,AKIM,OTHMAN BIN LATIF,MALE,,99,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 22_N. 11,KELANTAN,P. 22,PASIR MAS,N. 11,TENDONG,S46,,14446,587,77.59,11208,32,253,10923,UMNO,MOHD. YAMAN BIN MUHAMAD,MALE,,5168,,,,,,,,,,,,,,S46,HUSSIN BIN AHMAD,MALE,,5755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 22_N. 12,KELANTAN,P. 22,PASIR MAS,N. 12,PENGKALAN PASIR,APU - PAS,,16936,1036,73.05,12371,77,272,12022,UMNO,MOHD. HASSAN @ HASSAN B. CHE WAIL @ ISMAIL,MALE,,5493,,PAS,CHE HASSAN BIN ABDULLAH,MALE,,6529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 23_N. 13,KELANTAN,P. 23,RANTAU PANJANG,N. 13,MERANTI,APU - PAS,,11819,2076,69.68,8235,30,161,8044,UMNO,MOHAMED BIN YAACOB,MALE,,2984,,PAS,MOHD. NASURUDDIN BIN HAJI DAUD,MALE,,5060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 23_N. 14,KELANTAN,P. 23,RANTAU PANJANG,N. 14,GUAL PERIOK,S46,,16606,1468,67.57,11220,51,367,10802,UMNO,ABDUL RAHMAN BIN AWANG,MALE,,4667,,,,,,,,,,,,,,S46,NIK MUSTAPHA BIN NIK LODING,MALE,,6135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 23_N. 15,KELANTAN,P. 23,RANTAU PANJANG,N. 15,BUKIT TUKU,APU - PAS,,14329,1741,68.28,9784,21,247,9516,UMNO,HASSAN BIN AHMAD,MALE,,3595,,PAS,MOHD. YUSOF BIN ABDULLAH,MALE,,5336,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,RAMLI BIN AWANG,MALE,,585,LOST DEPOSIT,,,,,,,,,,,,
P. 24_N. 16,KELANTAN,P. 24,KUBANG KERIAN,N. 16,SALOR,S46,,13876,1879,76.56,10623,38,239,10346,UMNO,SITI JELIHA @ ZALEHA BTE HUSSUN,FEMALE,,4197,,,,,,,,,,,,,,S46,AHMAD RUSLI BIN IBERAHIM,MALE,,6076,,AKIM,CHE MAN @ AB RAHMAN BIN IBRAHIM,MALE,,73,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 24_N. 17,KELANTAN,P. 24,KUBANG KERIAN,N. 17,PASIR TUMBUH,APU - PAS,,12407,2972,76.26,9461,28,147,9286,UMNO,MUSTAPHA BIN TAIB,MALE,,3157,,PAS,DAUD BIN JUSOH,MALE,,6129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 24_N. 18,KELANTAN,P. 24,KUBANG KERIAN,N. 18,KENALI,APU - PAS,,18036,5446,75.2,13564,37,223,13304,UMNO,ARIFIN BIN OTHMAN,MALE,,3929,,PAS,MOHD. BIN DAUD A.K.A. USTAZ MAT IRAQI,MALE,,9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 25_N. 19,KELANTAN,P. 25,BACHOK,N. 19,TAWANG,APU - PAS,,15645,2445,78.84,12335,20,271,12044,UMNO,CHE RAZALI BIN IBRAHIM,MALE,,4746,,PAS,HAJI HASSAN BIN MOHAMOOD,MALE,,7191,,,,,,,,,,,,,,AKIM,RAJA HARUN BIN R. ISMAIL,MALE,,107,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 25_N. 20,KELANTAN,P. 25,BACHOK,N. 20,PERUPOK,APU - PAS,,16222,1784,76.48,12406,4,280,12122,UMNO,AB. KADIR @ MOHD. KHADIR BIN HASSAN,MALE,,5169,,PAS,OMAR BIN MOHAMMED,MALE,,6953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 25_N. 21,KELANTAN,P. 25,BACHOK,N. 21,JELAWAT,S46,,18117,1361,78.89,14293,49,359,13885,UMNO,HAJI AHMAD SHAHIBUDDIN BIN MOHD. NOR,MALE,,6262,,,,,,,,,,,,,,S46,HAJI MOHD DAUD BIN JA'AFAR,MALE,,7623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 26_N. 22,KELANTAN,P. 26,PERINGAT,N. 22,MELOR,BN - UMNO,,14405,331,76.41,11007,22,234,10751,UMNO,ZAINAL ABIDIN BIN AB. KADIR,MALE,,5486,,,,,,,,,,,,,,S46,KHAIRULDDEN BIN HAJI MAT ADAM,MALE,,5155,,AKIM,TUAN MOHAMAD BIN TUAN SOH,MALE,,110,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 26_N. 23,KELANTAN,P. 26,PERINGAT,N. 23,KADOK,APU - PAS,,12859,1341,77.58,9976,17,195,9764,UMNO,MOHD. SOBERI BIN SHAFII,MALE,,4165,,PAS,SHAMSUDIN @ MOHAMED SHUKRI BIN AB. RAHMAN,MALE,,5506,,,,,,,,,,,,,,AKIM,AHMAD ZAILANI BIN ABDUL WAHAB,MALE,,93,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 26_N. 24,KELANTAN,P. 26,PERINGAT,N. 24,KETEREH,BN - UMNO,,14984,1417,83.11,12453,252,1028,11173,UMNO,ARIFFIN BIN MAHMOOD,MALE,,6270,,PAS,MD. ASHARI BIN MAMAT,MALE,,4853,,,,,,,,,,,,,,AKIM,JONDI BIN ABD. RAHIM,MALE,,50,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 27_N. 25,KELANTAN,P. 27,TANAH MERAH,N. 25,CHETOK,APU - PAS,,13224,343,72.54,9593,21,247,9325,UMNO,CHE KAMARUL WZAMAN BIN CHE HARON,MALE,,4491,,PAS,HANAFI BIN HAJI DAUD,MALE,,4834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 27_N. 26,KELANTAN,P. 27,TANAH MERAH,N. 26,BUKIT PANAU,APU - PAS,,15787,964,76.9,12140,43,221,11876,UMNO,MOHAMAD SUPARADI BIN MD. NOOR,MALE,,5456,,PAS,MAT YUSOFF BIN MAT SAH,MALE,,6420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 27_N. 27,KELANTAN,P. 27,TANAH MERAH,N. 27,GUAL IPOH,S46,,11895,116,77.78,9252,10,194,9048,UMNO,HASSAN BIN YUSOF,MALE,,4466,,,,,,,,,,,,,,S46,TENGKU ALANG BIN T. SULONG,MALE,,4582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 28_N. 28,KELANTAN,P. 28,PASIR PUTEH,N. 28,SELISING,APU - PAS,,14136,1347,74.61,10547,13,281,10253,UMNO,CHE AGE BIN AWANG,MALE,,4420,,PAS,CHE BISI BIN HASSAN,MALE,,5767,,,,,,,,,,,,,,AKIM,NIK HASSAN BIN NIK YA,MALE,,66,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 28_N. 29,KELANTAN,P. 28,PASIR PUTEH,N. 29,LIMBONGAN,S46,,15812,1973,74.96,11852,71,228,11553,UMNO,WAN AHMAD NAJID @ WAN MOHD. NAJIB BIN WAN MOHAMED,MALE,,4737,,,,,,,,,,,,,,S46,SAMAT BIN MAMAT,MALE,,6710,,AKIM,AMANULLAH BIN AB KUDUS,MALE,,106,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 28_N. 30,KELANTAN,P. 28,PASIR PUTEH,N. 30,SEMERAK,APU - PAS,,12178,248,79.07,9629,1,222,9406,UMNO,ISMAIL BIN AWANG,MALE,,4536,,PAS,SULAIMAN BIN AHMAD,MALE,,4784,,,,,,,,,,,,,,AKIM,MUSA BIN SALEH,MALE,,86,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 28_N. 31,KELANTAN,P. 28,PASIR PUTEH,N. 31,GAAL,APU - PAS,,12020,1324,77.16,9275,23,186,9066,UMNO,ISMAIL BIN MUHAMMAD,MALE,,3844,,PAS,ALWI BIN JUSOH,MALE,,5168,,,,,,,,,,,,,,AKIM,ABDULLAH SANI BIN MUSA,MALE,,54,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 29_N. 32,KELANTAN,P. 29,MACHANG,N. 32,PULAI CHONDONG,S46,,12645,1461,75.89,9596,27,200,9369,UMNO,AHMAD SHUKRI @ NOORUDDIN B HJ. HASSAN,MALE,,3954,,,,,,,,,,,,,,S46,MOHAMAD NOOR BIN AHMAD,MALE,,5415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 29_N. 33,KELANTAN,P. 29,MACHANG,N. 33,BANGGOL JUDAH,APU - PAS,,14039,1332,76.47,10736,36,190,10510,UMNO,YAAKUB BIN MUHAMAD,MALE,,4589,,PAS,YAHYA BIN SAMAN @ HAJI OTHMAN,MALE,,5921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 29_N. 34,KELANTAN,P. 29,MACHANG,N. 34,KEMUNING,APU - PAS,,12533,102,76.5,9588,20,152,9416,UMNO,ISMAIL BIN MAMAT,MALE,,4657,,PAS,HAJI HASSAN BIN HAJI MUHAMAD,MALE,,4759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 30_N. 35,KELANTAN,P. 30,JELI,N. 35,KEMAHANG,BN - UMNO,,12963,390,83.16,10780,100,228,10452,UMNO,MOHD. ADHAN BIN KECHIK,MALE,,5421,,,,,,,,,,,,,,S46,NIK KAMARUZAMAN BIN SULONG,MALE,,5031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 30_N. 36,KELANTAN,P. 30,JELI,N. 36,AIR LANAS,APU - PAS,,11186,409,79.42,8884,51,162,8671,UMNO,MUSTAFA BIN MUSA,MALE,,4131,,PAS,ABDULLAH BIN YA'KUB A.K.A. TOK IMAM LAH,MALE,,4540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 30_N. 37,KELANTAN,P. 30,JELI,N. 37,PERGAU,BN - UMNO,,9074,265,81.23,7371,32,224,7115,UMNO,ABDUL AZIZ BIN DERASHID,MALE,,3690,,PAS,YUSOF BIN YAAKUB,MALE,,3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 31_N. 38,KELANTAN,P. 31,KUALA KRAI,N. 38,GUCHIL,BN - UMNO,,12658,577,73.13,9257,53,163,9041,UMNO,MOHAMED RAZALI BIN HAJI CHE MAMAT,MALE,,4809,,PAS,WAN HASSAN BIN WAN YUSOF,MALE,,4232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 31_N. 39,KELANTAN,P. 31,KUALA KRAI,N. 39,MENGKEBANG,S46,,13310,2099,80.16,10669,17,289,10363,UMNO,HAJI NIK SAPEIA BIN NIK YUSOF,MALE,,4132,,,,,,,,,,,,,,S46,MEK SOM BINTI MOHAMED,FEMALE,,6231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 31_N. 40,KELANTAN,P. 31,KUALA KRAI,N. 40,MANEK URAI,APU - PAS,,10412,1829,74.7,7778,13,212,7553,UMNO,AHMAD BIN YUSOFF,MALE,,2862,,PAS,ISMAIL BIN YAACOB A.K.A. PAK SU WILL,MALE,,4691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 32_N. 41,KELANTAN,P. 32,GUA MUSANG,N. 41,DABONG,S46,,7283,888,78.58,5723,46,225,5452,UMNO,ARIFIN BIN SAID,MALE,,2282,,,,,,,,,,,,,,S46,MOHAMAD ROZALI BIN ISOHAK,MALE,,3170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 32_N. 42,KELANTAN,P. 32,GUA MUSANG,N. 42,PALOH,S46,,9591,3251,83.77,8034,7,355,7672,UMNO,MOHD. AKRAM KHAN BIN AWANG SHAIKH,MALE,,2171,,,,,,,,,,,,,,S46,NOZULA BIN MAT DIAH,MALE,,5422,,AKIM,MOHAMAD BIN YUSOF,MALE,,79,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 32_N. 43,KELANTAN,P. 32,GUA MUSANG,N. 43,GALAS,S46,,11231,893,70.81,7953,57,472,7424,UMNO,ZAKARIA BIN HASAN,MALE,,3163,,,,,,,,,,,,,,S46,OMAR BIN MOHAMED,MALE,,4056,,AKIM,NIK ISMAIL BIN HJ. MAN IDRIS A.K.A PAK NIK WEIL,MALE,,205,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 33_N.1,TERENGGANU,P. 33,BESUT,N.1,KUALA BESUT,BN - UMNO,,10408,811,81.92,8526,44,221,8261,UMNO,WAN ZAKARIA ABD. RAHMAN,MALE,,4536,,PAS,CHE KU HASHIM BIN CHE KU MAT,MALE,,3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 33_N.2,TERENGGANU,P. 33,BESUT,N.2,KAMPUNG RAJA,BN - UMNO,,11379,1693,82.48,9385,41,239,9105,UMNO,MOHD. JUSOH @ YUSOFF B. HAJI MD. NOOR,MALE,,5399,,,,,,,,,,,,,,S46,SAZALI BIN HASSAN,MALE,,3706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 33_N.3,TERENGGANU,P. 33,BESUT,N.3,JERTIH,BN - UMNO,,11174,916,78.88,8814,47,199,8568,UMNO,IDRIS BIN MAMAT,MALE,,4742,,PAS,ABD. LATIF BIN MOHAMAD,MALE,,3826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 33_N.4,TERENGGANU,P. 33,BESUT,N.4,HULU BESUT,BN - UMNO,,10588,821,82.48,8733,14,204,8515,UMNO,TUAN YAAKUB BIN ABD. KADIR,MALE,,4668,,PAS,ABDUL RAHMAN BIN AB. KADIR,MALE,,3847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 34_N.5,TERENGGANU,P. 34,SETIU,N.5,JABI,BN - UMNO,,10302,27,81.89,8436,12,203,8221,UMNO,MOHD. LUKMAN BIN MUDA,MALE,,4124,,PAS,ZAHARI BIN MOHAMED,MALE,,4097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 34_N.6,TERENGGANU,P. 34,SETIU,N.6,PERMAISURI,BN - UMNO,,11195,2567,83.01,9293,25,305,8963,UMNO,MOHD. JIDIN BIN SHAFEE,MALE,,5765,,,,,,,,,,,,,,S46,ABDULLAH BIN MAT AMIN,MALE,,3198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 34_N.7,TERENGGANU,P. 34,SETIU,N.7,LANGKAP,BN - UMNO,,9143,2427,82,7497,10,286,7201,UMNO,MAMAT BIN ABDUL RAHMAN,MALE,,4814,,,,,,,,,,,,,,S46,ALIAS BIN ZAINAL,MALE,,2387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 34_N.8,TERENGGANU,P. 34,SETIU,N.8,BATU RAKIT,BN - UMNO,,8511,590,84.47,7189,12,229,6948,UMNO,MOHAMAD @ ABDUL WAHAB BIN NGAH,MALE,,3769,,PAS,ABU BAKAR BIN CHIK,MALE,,3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 35_N.9,TERENGGANU,P. 35,KUALA NERUS,N.9,TEPUH,APU - PAS,,12400,344,80.9,10032,10,208,9814,UMNO,ABDULLAH @ WAHAB BIN SAAID,MALE,,4735,,PAS,ABU BAKAR BIN ABDULLAH,MALE,,5079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 35_N.10,TERENGGANU,P. 35,KUALA NERUS,N.10,TELUK PASU,APU - PAS,,11492,236,85.23,9795,24,167,9604,UMNO,ABDUL RAHMAN BIN MOHD.,MALE,,4684,,PAS,ISMAIL BIN HAJI MAMAT,MALE,,4920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 35_N.11,TERENGGANU,P. 35,KUALA NERUS,N.11,SEBERANG TAKIR,BN - UMNO,,9293,3064,83.98,7804,264,288,7252,UMNO,ABDUL RASHID BIN NGAH,MALE,,5158,,,,,,,,,,,,,,S46,IBRAHIM BIN HASAN @ IBRAHIM AZMI,MALE,,2094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 35_N.12,TERENGGANU,P. 35,KUALA NERUS,N.12,BUKIT TUNGGAL,BN - UMNO,,8683,387,80.19,6963,8,208,6747,UMNO,MOHAMAD BIN ABU BAKAR,MALE,,3567,,,,,,,,,,,,,,S46,MANSOR BIN SULONG,MALE,,3180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 36_N.13,TERENGGANU,P. 36,KUALA TERENGGANU,N.13,WAKAF MEMPELAM,APU - PAS,,15059,1119,79.01,11898,23,236,11639,UMNO,SULONG BIN MAMAT,MALE,,5260,,PAS,MOHD. ADUL WAHID BIN ENDUT,MALE,,6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 36_N.14,TERENGGANU,P. 36,KUALA TERENGGANU,N.14,BANDAR,BN - MCA,,17119,1408,74.91,12823,37,254,12532,MCA,WONG FOON MENG,MALE,,6970,,PAS,MUSTAFA @ HASSAN BIN ALI,MALE,,5562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 36_N.15,TERENGGANU,P. 36,KUALA TERENGGANU,N.15,LADANG,BN - UMNO,,13693,1925,74.72,10232,134,289,9809,UMNO,ROSLAN BIN AWANG CHIK,MALE,,5775,,,,,,,,,,,,,,S46,ZULKIFLI BIN CHIK,MALE,,3850,,,,,,,,,,,,,,INDEPENDENT,HARUN @ ABD. RAHMAN BIN MOHAMAD,MALE,,184,LOST DEPOSIT,,,,,,,,,,,,
P. 36_N.16,TERENGGANU,P. 36,KUALA TERENGGANU,N.16,BATU BURUK,APU - PAS,,16712,641,78.91,13188,54,263,12871,UMNO,ZUBIR BIN EMBONG,MALE,,6115,,PAS,WAN ABD MUTALIB @ WAN MUSA BIN EMBONG,MALE,,6756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 37_N.17,TERENGGANU,P. 37,MARANG,N.17,ALUR LIMBAT,APU - PAS,,13864,269,80.08,11102,35,266,10801,UMNO,AZMI BIN AHMAD,MALE,,5266,,PAS,YAHAYA BIN ALI,MALE,,5535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 37_N.18,TERENGGANU,P. 37,MARANG,N.18,BUKIT PAYUNG,BN - UMNO,,11782,165,84.06,9904,27,186,9691,UMNO,ABDUL LATIFF BIN AWANG,MALE,,4928,,PAS,BAHARUDIN @ ISMAIL BIN MOHD,MALE,,4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 37_N.19,TERENGGANU,P. 37,MARANG,N.19,RU RENDANG,APU - PAS,,14056,1394,80.85,11364,16,172,11176,UMNO,BAKAR B. SEMAN @ ABU BAKAR B. OTHMAN,MALE,,4891,,PAS,ABDUL HADI BIN HAJI AWANG,MALE,,6285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 37_N.20,TERENGGANU,P. 37,MARANG,N.20,PENGKALAN BERANGAN,BN - UMNO,,14417,1232,82.73,11927,13,258,11656,UMNO,MUDA BIN MAMAT,MALE,,6444,,PAS,MUHAMMAD BIN ABDULLAH,MALE,,5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 38_N.21,TERENGGANU,P. 38,HULU TERENGGANU,N.21,TELEMUNG,BN - UMNO,,7972,2236,86.03,6858,6,203,6649,UMNO,T. PUTERA BIN T. SULAIMAN,MALE,,4369,,,,,,,,,,,,,,S46,AZIZ BIN AHMAD,MALE,,2133,,,,,,,,,,,,,,INDEPENDENT,ABDUL MAJID BIN SULAIMAN,MALE,,147,LOST DEPOSIT,,,,,,,,,,,,
P. 38_N.22,TERENGGANU,P. 38,HULU TERENGGANU,N.22,MANIR,APU - PAS,,9565,365,83.43,7980,10,153,7817,UMNO,SHAMSUDIN BIN SULONG,MALE,,3726,,PAS,HARUN BIN TAIB,MALE,,4091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 38_N.23,TERENGGANU,P. 38,HULU TERENGGANU,N.23,KUALA BERANG,BN - UMNO,,9489,896,83.15,7890,21,163,7706,UMNO,IBRAHIM BIN YUSOF,MALE,,4301,,PAS,MUHYIDIN BIN HAJI ABD. RASHID,MALE,,3405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 38_N.24,TERENGGANU,P. 38,HULU TERENGGANU,N.24,AJIL,BN - UMNO,,10053,1965,85.6,8605,10,228,8367,UMNO,OTHMAN BIN DAUD,MALE,,5166,,,,,,,,,,,,,,S46,TENGKU IBRAHIM IBNI SULTAN ISMAIL NASIRUDDIN SHAH @ TENGKU SRI PADUKA RAJA,MALE,,3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 39_N.25,TERENGGANU,P. 39,DUNGUN,N.25,BUKIT BESI,BN - UMNO,,7854,1501,81.02,6363,7,189,6167,UMNO,AWANG BIN JABAR,MALE,,3834,,,,,,,,,,,,,,S46,T. MOHD ASRI BIN T. HASHIM,MALE,,2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 39_N.26,TERENGGANU,P. 39,DUNGUN,N.26,RANTAU ABANG,BN - UMNO,Y,10033,,,,,,,UMNO,SHAFIE BIN DAUD,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 39_N.27,TERENGGANU,P. 39,DUNGUN,N.27,SURA,BN - UMNO,Y,12916,,,,,,,UMNO,IBRAHIM BIN AWANG,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 39_N.28,TERENGGANU,P. 39,DUNGUN,N.28,PAKA,BN - UMNO,,11284,318,84.51,9536,8,212,9316,UMNO,SYED OMAR BIN MOHAMMAD ENGKU BIJAYA SURA,MALE,,4817,,,,,,,,,,,,,,S46,DATO' SULONG BIN MAHMOOD,MALE,,4499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 40_N.29,TERENGGANU,P. 40,KEMAMAN,N.29,KEMASIK,BN - UMNO,,9684,2812,81.53,7895,10,185,7700,UMNO,MOHAMAD A. BAKAR BIN ALI,MALE,,5256,,,,,,,,,,,,,,S46,JAHAYA YAHYA BIN AB. RAHMAN,MALE,,2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
