UNIQUE CODE (1994),STATE (1994),PARLIAMENTARY CONSTITUENCY CODE (1994),PARLIAMENTARY CONSTITUENCY NAME (1994),STATE CONSTITUENCY CODE (1994),STATE CONSTITUENCY NAME (1994),AREA (SQ KM),NOTES
P.1_N.1,PERLIS,P.1,PADANG BESAR,N.1,TITI TINGGI,119,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.1_N.2,PERLIS,P.1,PADANG BESAR,N.2,BESERI,136,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.1_N.3,PERLIS,P.1,PADANG BESAR,N.3,CHUPING,143,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.1_N.4,PERLIS,P.1,PADANG BESAR,N.4,MATA AYER,19,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.1_N.5,PERLIS,P.1,PADANG BESAR,N.5,SANTAN,24,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.2_N.6,PERLIS,P.2,KANGAR,N.6,BINTONG,66,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.2_N.7,PERLIS,P.2,KANGAR,N.7,SENA,26,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.2_N.8,PERLIS,P.2,KANGAR,N.8,INDERA KAYANGAN,6,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.2_N.9,PERLIS,P.2,KANGAR,N.9,KUALA PERLIS,21,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.2_N.10,PERLIS,P.2,KANGAR,N.10,KAYANG,31,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.3_N.11,PERLIS,P.3,ARAU,N.11,PAUH,50,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.3_N.12,PERLIS,P.3,ARAU,N.12,TAMBUN TULANG,42,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.3_N.13,PERLIS,P.3,ARAU,N.13,GUAR SANJI,43,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.3_N.14,PERLIS,P.3,ARAU,N.14,SIMPANG EMPAT,36,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.3_N.15,PERLIS,P.3,ARAU,N.15,SANGLANG,40,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.4_N.1,KEDAH,P.4,LANGKAWI,N.1,PADANG MATSIRAT,305,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
