UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 58,PERAK,P. 58,CHENDEROH,BN - UMNO,,34381,11793,67.31,23141,96,872,22173,UMNO,MOHAMED NAZRI BIN ABDUL AZIZ,MALE,41,16983,,,,,,,,,,,,,,S46,SAIDIN BIN MAT PIAH,MALE,,5190,,,,,,,,,,,,,,,,,,,,,,,,,
P. 59,PERAK,P. 59,SUNGAI SIPUT,BN - MIC,,45156,15610,67.66,30552,91,842,29619,MIC,S. SAMY VELLU A/L SANGALIMUTHU,MALE,59,21283,,PAS,MOHAMMAD HASHIM BIN SALIM,MALE,,2663,LOST DEPOSIT,,,,,,,,,,,,,DAP,LIM AH GUAN @ LIM SOON GUAN,MALE,,5673,,,,,,,,,,,,,,,,,,,
P. 60,PERAK,P. 60,TAMBUN,BN - UMNO,,58572,26639,72.96,42732,1609,1314,39809,UMNO,AHMAD HUSNI BIN MOHAMAD HANADZLAH,MALE,43,33224,,,,,,,,,,,,,,S46,ABDUL RAHMAN BIN MD. NUR,MALE,,6585,,,,,,,,,,,,,,,,,,,,,,,,,
P. 61,PERAK,P. 61,IPOH TIMOR,BN - MCA,,73832,292,66.68,49233,392,875,47966,MCA,CHANG KON YOU @ CHEN KWAN WU,MALE,47,24129,,,,,,,,,,,,,,,,,,,,DAP,KERK KIM HOCK,MALE,39,23837,,,,,,,,,,,,,,,,,,,
P. 62,PERAK,P. 62,IPOH BARAT,BN - MCA,,66502,4869,68.71,45693,257,1073,44363,MCA,HO CHEONG SING,MALE,46,24616,,,,,,,,,,,,,,,,,,,,DAP,TERESA KOK SUH SIM,FEMALE,31,19747,,,,,,,,,,,,,,,,,,,
P. 63,PERAK,P. 63,BATU GAJAH,BN - MCA,,58445,1579,68.63,40110,159,1220,38731,MCA,YEONG CHEE WAH,MALE,45,20155,,,,,,,,,,,,,,,,,,,,DAP,NGEH KOO HAM,MALE,31,18576,,,,,,,,,,,,,,,,,,,
P. 64,PERAK,P. 64,KUALA KANGSAR,BN - UMNO,,32015,10649,65.56,20989,116,736,20137,UMNO,RAFIDAH BT. AB. AZIZ,FEMALE,52,15393,,,,,,,,,,,,,,S46,ABDUL KHALID BIN MOHD. NASIR,MALE,,4744,,,,,,,,,,,,,,,,,,,,,,,,,
P. 65,PERAK,P. 65,BERUAS,BN - GERAKAN,,41857,11254,66.56,27859,58,1050,26751,GERAKAN,LIM KENG YAIK @ LIM KHENG HEANG,MALE,56,18313,,,,,,,,,,,,,,,,,,,,DAP,CHEN LIM PIOW,MALE,,7059,,INDEPENDENT - KEY,RAMLI BIN ARRIFIN,MALE,,708,LOST DEPOSIT,INDEPENDENT - UMBRELLA,TAN KIAT SENG @ SHUK YIK,MALE,,671,LOST DEPOSIT,,,,,,
P. 66,PERAK,P. 66,PARIT,BN - UMNO,,33460,7573,65.08,21776,117,818,20841,UMNO,AINON KHARIYAH BINTI MOHD. ABAS,FEMALE,51,14207,,PAS,AHMAD SUBKI BIN HAJI ABD. LATIF @ SUBKY ABD. LATIF,MALE,47,6634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 67,PERAK,P. 67,GOPENG,BN - MCA,,47169,14788,68.01,32078,0,1318,30760,MCA,DR. TING CHEW PEH,MALE,52,22774,,,,,,,,,,,,,,,,,,,,DAP,LIM MENG LOONG,MALE,,7986,,,,,,,,,,,,,,,,,,,
P. 68,PERAK,P. 68,KAMPAR,BN - MCA,,62349,14163,65.3,40715,63,1509,39143,MCA,HEW SEE TONG,MALE,64,26653,,,,,,,,,,,,,,,,,,,,DAP,CHONG JOON KIN,MALE,,12490,,,,,,,,,,,,,,,,,,,
P. 69,PERAK,P. 69,TAPAH,BN - MIC,,39831,9851,64.66,25756,349,1298,24109,MIC,K. KUMARAN A/L KARUNAGARAN,MALE,58,15543,,PAS,MOHAMED HAMKA BIN MOHAMED JUMAH,MALE,,2596,LOST DEPOSIT,,,,,,,,,,,,,DAP,MOHAMAD ASRI BIN OTHMAN,MALE,,5692,,INDEPENDENT - UMBRELLA,FOO KOON YOW,MALE,,278,LOST DEPOSIT,,,,,,,,,,,,
P. 70,PERAK,P. 70,PASIR SALAK,BN - UMNO,,42171,17115,65.97,27822,113,1444,26265,UMNO,MEGAT JUNID BIN MEGAT AYOB,MALE,52,21690,,PAS,MOHD RUS BIN JAAFAR,MALE,,4575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 71,PERAK,P. 71,LUMUT,BN - MCA,,62635,12543,69.67,43640,3487,2114,38039,MCA,YAP THONG @ YAP YIT THONG,MALE,51,25291,,,,,,,,,,,,,,,,,,,,DAP,LING NGUK BING @ LING NGIK BING,MALE,,12748,,,,,,,,,,,,,,,,,,,
P. 72,PERAK,P. 72,BAGAN DATOK,BN - UMNO,,35368,14830,62.02,21937,63,1412,20462,UMNO,AHMAD ZAHID BIN HAMDI,MALE,42,17646,,,,,,,,,,,,,,S46,ASHA'ARI BIN MARSOM,MALE,,2816,,,,,,,,,,,,,,,,,,,,,,,,,
P. 73,PERAK,P. 73,TELOK INTAN,BN - GERAKAN,,51500,13968,64.43,33180,125,1090,31965,GERAKAN,ONG TIN KIM @ WONG THEAN CHING,MALE,57,21641,,PAS,HAFITH BIN JAAFAR,MALE,,2651,LOST DEPOSIT,,,,,,,,,,,,,DAP,PROSO WATMA @ PROSOTHMAN A/L APPOO,MALE,,7673,,,,,,,,,,,,,,,,,,,
P. 74,PERAK,P. 74,TANJONG MALIM,BN - MCA,,52398,20664,60.9,31910,157,913,30840,MCA,LOKE YUEN YOW,MALE,43,25752,,,,,,,,,,,,,,S46,WAN MOKHTAR BIN WAN ENDUT,MALE,,5088,,,,,,,,,,,,,,,,,,,,,,,,,
P. 75,PAHANG,P. 75,LIPIS,BN - UMNO,,42361,10113,68.49,29011,251,1859,26901,UMNO,ABU DAHARI BIN OSMAN,MALE,47,18507,,,,,,,,,,,,,,S46,AHD. SHABERY BIN CHEEK,MALE,37,8394,,,,,,,,,,,,,,,,,,,,,,,,,
P. 76,PAHANG,P. 76,RAUB,BN - MCA,,51453,15232,71.84,36966,469,1796,34701,MCA,TENG AH LUAN @ TENG GAIK KWAN,FEMALE,56,23065,,,,,,,,,,,,,,,,,,,,DAP,NG KWI LING,MALE,,7833,,INDEPENDENT - ROOSTER,IBRAHIM BIN YUSOF,MALE,,2447,LOST DEPOSIT,INDEPENDENT - UMBRELLA,SARIF BIN UDIN,MALE,,1356,LOST DEPOSIT,,,,,,
P. 77,PAHANG,P. 77,JERANTUT,BN - UMNO,,39936,7194,74.58,29784,141,1213,28430,UMNO,AHMAD KAMARUZAMAN BIN MOHAMED BARIA,MALE,47,17812,,PAS,SYED IBRAHIM BIN SYED ABD RAHMAN,MALE,,10618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 78,PAHANG,P. 78,KUANTAN,BN - UMNO,,65639,23096,72.44,47547,1423,1784,44340,UMNO,FAUZI BIN ABDUL RAHMAN,MALE,49,33718,,,,,,,,,,,,,,S46,NOORSIAH BINTI TAUJIB,MALE,,10622,,,,,,,,,,,,,,,,,,,,,,,,,
P. 79,PAHANG,P. 79,PAYA BESAR,BN - UMNO,,47684,16759,78.06,37221,1342,1536,34343,UMNO,SITI ZAHARAH BINTI SULAIMAN,FEMALE,46,25551,,,,,,,,,,,,,,S46,WAN ABDUL RAHMAN BIN WAN YUSOFF,MALE,,8792,,,,,,,,,,,,,,,,,,,,,,,,,
P. 80,PAHANG,P. 80,PEKAN,BN - UMNO,,34307,10793,71.6,24565,223,1127,23215,UMNO,MOHD NAJIB BIN HJ ABD RAZAK,MALE,42,17004,,,,,,,,,,,,,,S46,M. SAMUEIL BIN MOHAMAD KAMEIL,MALE,,6211,,,,,,,,,,,,,,,,,,,,,,,,,
P. 81,PAHANG,P. 81,MARAN,BN - UMNO,,41406,14046,76.84,31816,102,1016,30698,UMNO,MUHAMAD BIN ABDULLAH,MALE,53,22372,,PAS,MOHAMED RUSDI BIN ARIF,MALE,,8326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 82,PAHANG,P. 82,MENTEKAB,BN - MCA,,41837,11513,72.13,30176,1,1346,28829,MCA,FU AH KIOW @ OH (FU) SOON GUAN,MALE,46,19906,,,,,,,,,,,,,,S46,MOHAMED BIN HARUN,MALE,,8393,,,,,,,,INDEPENDENT - SCISSORS,SOLEH BIN MOHAMAD,MALE,,530,LOST DEPOSIT,,,,,,,,,,,,
P. 83,PAHANG,P. 83,BENTUNG,BN - MCA,,49137,18789,72.38,35563,827,1465,33271,MCA,DATO' LIM AH LEK,MALE,53,26030,,,,,,,,,,,,,,,,,,,,DAP,LEONG CHEE MENG,MALE,,7241,,,,,,,,,,,,,,,,,,,
P. 84,PAHANG,P. 84,TEMERLUH,BN - UMNO,,51410,8066,76.7,39434,1896,1448,36090,UMNO,SABBARUDDIN CHIK,MALE,54,22078,,,,,,,,,,,,,,S46,TENGKU AZLAN IBNI SULTAN ABU BAKAR,MALE,46,14012,,,,,,,,,,,,,,,,,,,,,,,,,
P. 85,PAHANG,P. 85,ROMPIN,BN - UMNO,,33069,12825,76.55,25313,72,1004,24237,UMNO,JAMALIDIN BIN MOHD JARJIS,MALE,43,18531,,PAS,YAHYA BIN HAJI AWANG,MALE,,5706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 86,SELANGOR,P. 86,SABAK BERNAM,BN - UMNO,,34887,14452,65.9,22990,67,1419,21504,UMNO,MAHBUD BIN HAJI HASHIM,MALE,,17978,,,,,,,,,,,,,,S46,DAWOOD BIN SIKANDAR ALI,MALE,,3526,,,,,,,,,,,,,,,,,,,,,,,,,
P. 87,SELANGOR,P. 87,TANJUNG KARANG,BN - UMNO,,41160,15818,66.59,27410,1,1303,26106,UMNO,NOH BIN OMAR,MALE,37,20962,,,,,,,,,,,,,,S46,NORDIN BIN ABDUL LATIF,MALE,,5144,,,,,,,,,,,,,,,,,,,,,,,,,
P. 88,SELANGOR,P. 88,HULU SELANGOR,BN - MIC,,51256,21415,68.72,35223,174,1575,33474,MIC,PALANIVEL A/L GOVINDASAMY,MALE,46,26829,,,,,,,,,,,,,,S46,ADNAN BIN DIN,MALE,,5414,,DAP,PENG KIM SING,MALE,,1231,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 89,SELANGOR,P. 89,KUALA SELANGOR,BN - UMNO,,49730,23460,70.88,35247,98,2035,33114,UMNO,ABU HASSAN B HJ OMAR,MALE,55,28287,,,,,,,,,,,,,,S46,AMIN HUSSAINI BIN ABDUL MANAN,MALE,,4827,,,,,,,,,,,,,,,,,,,,,,,,,
P. 90,SELANGOR,P. 90,SELAYANG,BN - MCA,,78312,38627,69.89,54731,471,2103,52157,MCA,CHAN KONG CHOY,MALE,40,45392,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ZAINUL AMRI BIN ABDUL AZIZ,MALE,,6765,,,,,,,,,,,,,
P. 91,SELANGOR,P. 91,GOMBAK,BN - UMNO,,67634,30878,70.93,47973,390,935,46648,UMNO,ZALEHA BINTI ISMAIL,FEMALE,59,38763,,PAS,ISMAIL BIN NAHU,MALE,,7885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 92,SELANGOR,P. 92,AMPANG JAYA,BN - MCA,,85954,31061,71.68,61608,328,1777,59503,MCA,ONG TEE KEAT,MALE,39,45282,,,,,,,,,,,,,,S46,WAN MOHD. FUAAD B WAN ABDULLAH,MALE,,14221,,,,,,,,,,,,,,,,,,,,,,,,,
P. 93,SELANGOR,P. 93,HULU LANGAT,BN - UMNO,,66747,30812,71.6,47793,583,1678,45532,UMNO,BADRUL HISHAM BIN ABDUL AZIZ,MALE,36,38172,,,,,,,,,,,,,,S46,MOHD ZAINAL ABDIDIN BIN ABDUL MUTALIB,MALE,,7360,,,,,,,,,,,,,,,,,,,,,,,,,
P. 94,SELANGOR,P. 94,PJ UTARA,BN - MCA,Y,68828,,,,,,,MCA,LIM KUO PHAU,MALE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 95,SELANGOR,P. 95,PJ SELATAN,BN - MCA,,66786,11625,65.66,43854,354,1022,42478,MCA,LIM SING CHAI,MALE,40,26646,,,,,,,,PRM,SYED HUSSEIN BIN ALI,MALE,59,15021,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,SELVANATHAN A/L SAVARIMUTHU,MALE,,811,LOST DEPOSIT,,,,,,,,,,,,
P. 96,SELANGOR,P. 96,SERDANG,BN - MCA,,78462,9437,77.35,60691,388,1243,59060,MCA,YAP PIAN HON,MALE,52,32757,,PAS,MOHD. RADZI BIN HJ. HUSSAIN,MALE,,2983,LOST DEPOSIT,,,,,,,,,,,,,DAP,LEE BAN CHEN,MALE,,23320,,,,,,,,,,,,,,,,,,,
P. 97,SELANGOR,P. 97,SUBANG,BN - MIC,,73868,25763,70.26,51901,1028,2142,48731,MIC,DATO' M. MAHALINGAM A/L MUTHUKRISHNEN,MALE,60,37247,,,,,,,,,,,,,,S46,USULLUDIN BIN JAMIL,MALE,,11484,,,,,,,,,,,,,,,,,,,,,,,,,
P. 98,SELANGOR,P. 98,SHAH ALAM,BN - UMNO,,85202,40715,74.03,63074,305,1552,61217,UMNO,SALAMON BIN SELAMAT,MALE,48,50966,,,,,,,,,,,,,,S46,HUSSEIN BIN AHMAD,MALE,,10251,,,,,,,,,,,,,,,,,,,,,,,,,
P. 99,SELANGOR,P. 99,KAPAR,BN - MIC,,67555,18759,73.41,49595,110,1678,47807,MIC,LEELAVATHI A/P K. GOVINDASAMY,FEMALE,51,33283,,,,,,,,,,,,,,S46,SANAD BIN HAJI SAID,MALE,,14524,,,,,,,,,,,,,,,,,,,,,,,,,
P. 100,SELANGOR,P. 100,KLANG,BN - MCA,,77188,6124,70.9,54724,92,841,53791,MCA,TAN YEW KEW,FEMALE,42,28984,,PAS,MOHD YUSOF BIN JASMIN,MALE,,1947,LOST DEPOSIT,,,,,,,,,,,,,DAP,FONG KUI LUN,MALE,49,22860,,,,,,,,,,,,,,,,,,,
P. 101,SELANGOR,P. 101,KUALA LANGAT,BN - UMNO,,53718,19211,73.69,39584,167,1826,37591,UMNO,SHAFIE BIN MOHD. SALLEH,MALE,49,28401,,,,,,,,,,,,,,S46,TARIKH BIN MOHD. JONID,MALE,,9190,,,,,,,,,,,,,,,,,,,,,,,,,
P. 102,SELANGOR,P. 102,SEPANG,BN - UMNO,,52071,15669,73.33,38182,106,1701,36375,UMNO,SERIPAH NOLI BINTI SYED HUSSIN,FEMALE,39,26022,,,,,,,,,,,,,,S46,HAJI MOHAMED SUHAIMI BIN HAJI KAMARUDDIN,MALE,,10353,,,,,,,,,,,,,,,,,,,,,,,,,
P. 103,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 103,KEPONG,DAP,,60111,5022,75.62,45454,56,270,45128,GERAKAN,TAN POH ENG,MALE,,20053,,,,,,,,,,,,,,,,,,,,DAP,DR. TAN SENG GIAW,MALE,53,25075,,,,,,,,,,,,,,,,,,,
P. 104,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 104,BATU,BN - GERAKAN,,58299,14842,68.49,39930,842,284,38804,GERAKAN,CHONG CHEK AH,MALE,44,26823,,,,,,,,PRM,SANUSI BIN OSMAN,MALE,,11981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 105,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 105,WANGSA MAJU,BN - UMNO,,65199,27894,74.73,48725,3147,1704,43874,UMNO,KAMAL BIN MAT SALIH,MALE,49,35884,,,,,,,,,,,,,,S46,ALIAH @ NAILAH BT NANI,MALE,,7990,,,,,,,,,,,,,,,,,,,,,,,,,
P. 106,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 106,SEGAMBUT,BN - GERAKAN,,57127,12158,68.06,38880,2088,432,36360,GERAKAN,TAN KEE KWONG,MALE,48,24259,,,,,,,,,,,,,,,,,,,,DAP,ABDUL MULUK BIN DAUD,MALE,48,12101,,,,,,,,,,,,,,,,,,,
P. 107,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 107,TITIWANGSA,BN - UMNO,,54176,18966,60.56,32811,346,341,32124,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,25545,,PAS,OTHMAN BIN NGAH,MALE,,6579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 108,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 108,BUKIT BINTANG,DAP,,59375,5546,61.75,36666,850,433,35383,MCA,DR. LEE CHONG MENG,MALE,46,14857,,,,,,,,,,,,,,,,,,,,DAP,WEE CHOO KEONG,MALE,42,20403,,INDEPENDENT - AEROPLANE,TENG CHANG KIM,MALE,,123,LOST DEPOSIT,,,,,,,,,,,,
P. 109,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 109,LEMBAH PANTAI,BN - UMNO,,52108,13389,65.22,33984,193,286,33505,UMNO,SHAHRIZAT @ SHAHRIZAT BTE ABDUL JALIL,FEMALE,42,23447,,,,,,,,,,,,,,S46,HAJI MOHD SALLEH BIN ABBAS,MALE,66,10058,,,,,,,,,,,,,,,,,,,,,,,,,
P. 110,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 110,SEPUTEH,DAP,,67829,5615,70.73,47975,90,261,47624,MCA,OOI SAW CHOO,FEMALE,,20903,,,,,,,,,,,,,,,,,,,,DAP,LIEW AH KIM,MALE,57,26518,,INDEPENDENT - TIGER,LIEW CHOON TECK,MALE,,203,LOST DEPOSIT,,,,,,,,,,,,
P. 111,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 111,CHERAS,DAP,,63895,14375,69.5,44406,77,224,44105,MCA,MOOK SOON MAN @ MOOK SOON CHEONG,MALE,,14865,,,,,,,,,,,,,,,,,,,,DAP,TAN KOK WAI,MALE,38,29240,,,,,,,,,,,,,,,,,,,
P. 112,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 112,BANDAR TUN RAZAK,BN - MCA,,53687,14735,71.39,38326,523,539,37264,MCA,TAN CHAI HO,MALE,49,25382,,PAS,ABD. MALEK BIN HUSSIN,MALE,39,1235,LOST DEPOSIT,,,,,,,,,,,,,DAP,LEE YEE LIAN,MALE,48,10647,,,,,,,,,,,,,,,,,,,
P. 113,NEGERI SEMBILAN,P. 113,JELEBU,BN - UMNO,,35984,2940,77.34,27830,363,1107,26360,UMNO,YUNUS BIN RAHMAT,MALE,40,14650,,,,,,,,,,,,,,S46,RAIS YATIM @ MAT RAIS BIN JATIN @ YATIM,MALE,53,11710,,,,,,,,,,,,,,,,,,,,,,,,,
P. 114,NEGERI SEMBILAN,P. 114,JEMPOL,BN - UMNO,,47127,15704,74.8,35251,176,1473,33602,UMNO,MOHD KHALID BIN MOHD YUNUS,MALE,52,24653,,,,,,,,,,,,,,S46,ABDUL AZIZ BIN ABDULLAH,MALE,,8949,,,,,,,,,,,,,,,,,,,,,,,,,
P. 115,NEGERI SEMBILAN,P. 115,TAMPIN,BN - UMNO,,43797,23440,73.59,32230,290,1454,30486,UMNO,MOHD NOH BIN RAJAB,MALE,48,26127,,PAS,ALI BIN MAIDIN KUTTY,MALE,,2687,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,S. OMAR BIN S. ABDULLAH,MALE,,1672,LOST DEPOSIT,,,,,,,,,,,,
P. 116,NEGERI SEMBILAN,P. 116,KUALA PILAH,BN - UMNO,,42869,20600,69.29,29704,63,1271,28370,UMNO,ABU ZAHAR BIN DATO' NIKA UJANG,MALE,51,24485,,,,,,,,,,,,,,S46,MOHD YUSOF BIN ABD MALIK,MALE,,3885,,,,,,,,,,,,,,,,,,,,,,,,,
P. 117,NEGERI SEMBILAN,P. 117,SEREMBAN,BN - MCA,,73689,18235,73.81,54392,549,1632,52211,MCA,HON CHOON KIM,MALE,47,33452,,PAS,ISHAK BIN MAT ARIS,MALE,,3542,LOST DEPOSIT,,,,,,,,,,,,,DAP,LEE YUEN FONG,MALE,45,15217,,,,,,,,,,,,,,,,,,,
P. 118,NEGERI SEMBILAN,P. 118,RASAH,BN - MCA,,73076,10171,73.53,53732,486,1525,51721,MCA,WONG SEE WAH,MALE,49,30946,,,,,,,,,,,,,,,,,,,,DAP,CHEN MAN HIN DENNIS,MALE,70,20775,,,,,,,,,,,,,,,,,,,
P. 119,NEGERI SEMBILAN,P. 119,TELOK KEMANG,BN - MIC,,65346,21015,72.92,47651,1336,2244,44071,MIC,KRISHNAN A/L LETCHUMANAN,MALE,47,32543,,,,,,,,,,,,,,,,,,,,DAP,THANGASAMY A/L PERIASAMY,MALE,,11528,,,,,,,,,,,,,,,,,,,
P. 120,MELAKA,P. 120,ALOR GAJAH,BN - UMNO,,46363,25096,79.7,36950,1239,1503,34208,UMNO,ABU SEMAN BIN HAJI YUSOP,MALE,51,29652,,PAS,OMAR BIN BABA,MALE,,4556,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 121,MELAKA,P. 121,SELANDAR,BN - MCA,,47641,23180,73.8,35160,111,1497,33552,MCA,FONG CHAN ONN,MALE,51,28366,,,,,,,,,,,,,,S46,BURKHAN BIN ABDULLAH,MALE,,5186,,,,,,,,,,,,,,,,,,,,,,,,,
P. 122,MELAKA,P. 122,BATU BERENDAM,BN - UMNO,,79861,22175,78.3,62528,150,1526,60852,UMNO,MOHD ALI BIN MOHD RUSTAM,MALE,46,37846,,PAS,MOHD. NOR B. HAJI JAAFAR,MALE,,7335,LOST DEPOSIT,,,,,,,,,,,,,DAP,TAN SENG SENG,MALE,32,15671,,,,,,,,,,,,,,,,,,,
P. 123,MELAKA,P. 123,KOTA MELAKA,DAP,,73894,4964,76.8,56752,191,2231,54330,MCA,SOON TIAN SZU,MALE,30,24683,,,,,,,,,,,,,,,,,,,,DAP,LIM GUAN ENG,MALE,35,29647,,,,,,,,,,,,,,,,,,,
P. 124,MELAKA,P. 124,JASIN,BN - UMNO,,45096,20837,75.8,34181,69,1253,32859,UMNO,ABDUL GHAFAR BIN BABA,MALE,70,25693,,PAS,AHMAD DALI BIN ABU HASSAN,MALE,,4856,,,,,,,,S46,TAWAB BIN KHATAB,MALE,,2310,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 125,JOHOR,P. 125,SEGAMAT,BN - MIC,,57774,17567,72.75,42031,46,1391,40594,MIC,SUBRAMANIAM A/L SINNIAH,MALE,51,28710,,,,,,,,,,,,,,,,,,,,DAP,YAAKOB BIN JANTAN,MALE,,11143,,INDEPENDENT - UMBRELLA,LIM WAH KIN,MALE,,741,LOST DEPOSIT,,,,,,,,,,,,
P. 126,JOHOR,P. 126,LEDANG,BN - UMNO,,54467,23361,71.1,38726,91,2100,36535,UMNO,HASHIM BIN ISMAIL,MALE,50,29948,,,,,,,,,,,,,,S46,ISMAIL BIN NASIR,MALE,,6587,,,,,,,,,,,,,,,,,,,,,,,,,
P. 127,JOHOR,P. 127,PAGOH,BN - UMNO,,38895,17599,70.7,27497,5,1379,26113,UMNO,MAHIADDIN BIN MD. YASSIN,MALE,48,21856,,,,,,,,,,,,,,S46,ROSDAN TAHA BIN ABD. RAHMAN,MALE,,4257,,,,,,,,,,,,,,,,,,,,,,,,,
P. 128,JOHOR,P. 128,LABIS,BN - MCA,,47413,15045,73.17,34693,46,1322,33325,MCA,DATO' SERI DR. LIM LIONG SEEK @ LING LIONG SIK,MALE,52,24185,,,,,,,,,,,,,,,,,,,,DAP,AHMAD BIN TON,MALE,46,9140,,,,,,,,,,,,,,,,,,,
P. 129,JOHOR,P. 129,MERSING,BN - UMNO,,37782,13525,70.47,26624,66,1369,25189,UMNO,ZAINAL ABIDIN BIN OSMAN,MALE,46,19357,,,,,,,,,,,,,,S46,A. KADIR BIN JOHAN,MALE,,5832,,,,,,,,,,,,,,,,,,,,,,,,,
P. 130,JOHOR,P. 130,KLUANG,BN - MCA,,60293,19083,72.11,43479,817,1551,41111,MCA,HOO SEONG CHANG,MALE,38,30097,,,,,,,,,,,,,,,,,,,,DAP,LIM SER HO,MALE,,11014,,,,,,,,,,,,,,,,,,,
P. 131,JOHOR,P. 131,PARIT SULONG,BN - UMNO,,58591,25354,74.19,43467,551,2646,40270,UMNO,RUHANIE AHMAD,MALE,48,32812,,PAS,HAJI OMAR BIN JANI,MALE,,7458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 132,JOHOR,P. 132,BAKRI,BN - MCA,,49982,12318,73.71,36842,219,1076,35547,MCA,CHUA JUI MENG,MALE,52,22162,,PAS,MOHD HURIDIN BIN SAMURI,MALE,,3541,LOST DEPOSIT,,,,,,,,,,,,,DAP,TAN KOK KWANG,MALE,,9844,,,,,,,,,,,,,,,,,,,
P. 133,JOHOR,P. 133,MUAR,BN - UMNO,,40991,9483,69.76,28595,151,1451,26993,UMNO,ABDUL AZIZ B MOHD. YASSIN,MALE,63,18238,,,,,,,,,,,,,,S46,ZAWAWI BIN MOHD. ZIN,MALE,,8755,,,,,,,,,,,,,,,,,,,,,,,,,
P. 134,JOHOR,P. 134,SRI GADING,BN - UMNO,,51910,26350,73.44,38122,66,1700,36356,UMNO,HAMZAH BIN RAMLI,MALE,48,31353,,,,,,,,,,,,,,S46,KAMELAH BT YAHAYA,FEMALE,,5003,,,,,,,,,,,,,,,,,,,,,,,,,
P. 135,JOHOR,P. 135,BATU PAHAT,BN - UMNO,,62058,24993,72.67,45098,136,2395,42567,UMNO,MANSOR BIN MASIKON,MALE,51,33780,,,,,,,,,,,,,,S46,ABDULLAH @ ALI BIN SIRAN,MALE,,8787,,,,,,,,,,,,,,,,,,,,,,,,,
