UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1_N. 1,PERLIS,P. 1,PADANG BESAR,N. 1,TITI TINGGI,BN - MCA,LOH YOON FOO,MALE,,
P. 1_N. 2,PERLIS,P. 1,PADANG BESAR,N. 2,BESERI,BN - UMNO,NORDIN BIN HJ. ABDULLAH,MALE,,
P. 1_N. 3,PERLIS,P. 1,PADANG BESAR,N. 3,CHUPING,BN - UMNO,YAZIZ @ YAZID BIN MAT,MALE,,
P. 1_N. 4,PERLIS,P. 1,PADANG BESAR,N. 4,MATA AYER,BN - UMNO,ISHAK BIN ARSHAD,MALE,,
P. 1_N. 5,PERLIS,P. 1,PADANG BESAR,N. 5,SANTAN,BN - UMNO,BAHARI BIN HJ. TAIB,MALE,,
P. 2_N. 6,PERLIS,P. 2,KANGAR,N. 6,BINTONG,BN - UMNO,SOFIAH BT AHMAD,FEMALE,,
P. 2_N. 7,PERLIS,P. 2,KANGAR,N. 7,SENA,BN - UMNO,SELAMAT BIN SAAD,MALE,,
P. 2_N. 8,PERLIS,P. 2,KANGAR,N. 8,INDERA KAYANGAN,BN - MCA,KHOR LIANG TEE @ KHOR LIAN TEE,MALE,,
P. 2_N. 9,PERLIS,P. 2,KANGAR,N. 9,KUALA PERLIS,BN - UMNO,ABD KARIM @ IBRAHIM BIN MAT SALLEH,MALE,,
P. 2_N. 10,PERLIS,P. 2,KANGAR,N. 10,KAYANG,BN - UMNO,MOHAMAD HADZI BIN NORDIN,MALE,,
P. 3_N. 11,PERLIS,P. 3,ARAU,N. 11,PAUH,BN - UMNO,ABDUL AZIZ BIN SAAD,MALE,,
P. 3_N. 12,PERLIS,P. 3,ARAU,N. 12,TAMBUN TULANG,BN - UMNO,SHAHIDAN BIN KASSIM,MALE,,
P. 3_N. 13,PERLIS,P. 3,ARAU,N. 13,GUAR SANJI,BN - UMNO,AROF BIN HJ SAAD,MALE,,
P. 3_N. 14,PERLIS,P. 3,ARAU,N. 14,SIMPANG EMPAT,BN - UMNO,CHE AH BT LONG,FEMALE,,
P. 3_N. 15,PERLIS,P. 3,ARAU,N. 15,SANGLANG,BN - UMNO,KARIM BIN SALLEH,MALE,,
P. 4_N.1,KEDAH,P. 4,LANGKAWI,N.1,PADANG MATSIRAT,BN - UMNO,MD. HASSAN BIN BULAT,MALE,,
P. 4_N.2,KEDAH,P. 4,LANGKAWI,N.2,KUAH,BN - UMNO,SANUSI BIN JUNID,MALE,,
P. 5_N.3,KEDAH,P. 5,JERLUN,N.3,AYER HITAM,BN - UMNO,ABDUL RAHMAN BIN ARIFFIN,MALE,,
P. 5_N.4,KEDAH,P. 5,JERLUN,N.4,KOTA SIPUTEH,BN - UMNO,ABU HASSAN BIN SHARIF,MALE,,
P. 6_N.5,KEDAH,P. 6,KUBANG PASU,N.5,TUNJANG,BN - UMNO,BARISHAH @ HABSHAH BT. SAAD,FEMALE,,
P. 6_N.6,KEDAH,P. 6,KUBANG PASU,N.6,JITRA,BN - UMNO,OSMAN @ MD DAUD BIN AROF,MALE,,
P. 7_N.7,KEDAH,P. 7,PADANG TERAP,N.7,KUALA NERANG,BN - UMNO,ABD. LATEH BIN HJ MOHD. SAMAN,MALE,,
P. 7_N.8,KEDAH,P. 7,PADANG TERAP,N.8,PEDU,BN - UMNO,GHAZALI BIN IBRAHIM,MALE,,
P. 8_N.9,KEDAH,P. 8,POKOK SENA,N.9,BUKIT LADA,BN - UMNO,AHMAD BIN SUDIN,MALE,,
P. 8_N.10,KEDAH,P. 8,POKOK SENA,N.10,LANGGAR,BN - UMNO,ALIAS BIN MUSTAFA,MALE,,
P. 8_N.11,KEDAH,P. 8,POKOK SENA,N.11,TANJONG SERI,BN - UMNO,ADUL RAHMAN BIN IBRAHIM,MALE,,
P. 9_N.12,KEDAH,P. 9,ALOR SETAR,N.12,DERGA,BN - GERAKAN,CHEUNG KAI YAN,,,
P. 9_N.13,KEDAH,P. 9,ALOR SETAR,N.13,KOTA DARUL AMAN,BN - MCA,CHONG ITT CHEW @ CHONG KAW CHAI,MALE,,
P. 9_N.14,KEDAH,P. 9,ALOR SETAR,N.14,ALOR MERAH,BN - UMNO,AHMAD BASHAH BIN MD. HANIPAH,MALE,,
P. 10_N.15,KEDAH,P. 10,KUALA KEDAH,N.15,ANAK BUKIT,BN - UMNO,ABDULLAH HASNAN BIN KAMARUDDIN,MALE,,
P. 10_N.16,KEDAH,P. 10,KUALA KEDAH,N.16,KUBANG ROTAN,BN - UMNO,SYED RAZAK BIN SYED ZAIN,MALE,,
P. 10_N.17,KEDAH,P. 10,KUALA KEDAH,N.17,PENGKALAN KUNDOR,BN - UMNO,MOHD. JAMIL BIN HAJI MD. IDROSS,MALE,,
P. 11_N.18,KEDAH,P. 11,PENDANG,N.18,BUKIT RAYA,APU - PAS,ALI @ FADZIL BIN MD NOOR,MALE,,
P. 11_N.19,KEDAH,P. 11,PENDANG,N.19,SUNGAI TIANG,BN - UMNO,FATIMAH BINTI HAJI ISMAIL,FEMALE,,
P. 12_N.20,KEDAH,P. 12,YAN,N.20,SALA,APU - PAS,AZIZAN BIN ABDUL RAZAK,MALE,,
P. 12_N.21,KEDAH,P. 12,YAN,N.21,GUAR CHEMPEDAK,BN - UMNO,ABD. RAZAK BIN HASHIM,MALE,,
P. 13_N.22,KEDAH,P. 13,SIK,N.22,BELANTEK,BN - UMNO,HAMLAN BIN DIN,MALE,,
P. 13_N.23,KEDAH,P. 13,SIK,N.23,JENERI,BN - UMNO,MOHD. HADZIR BIN MOHD. JAAFAR @ JAAFAR,MALE,,
P. 14_N.24,KEDAH,P. 14,MERBOK,N.24,BUKIT SELAMBAU,BN - MIC,SARAVANAN A/L VELIAUDAYAR,MALE,,
P. 14_N.25,KEDAH,P. 14,MERBOK,N.25,GURUN,BN - MCA,BEH HENG SEONG,MALE,,
P. 14_N.26,KEDAH,P. 14,MERBOK,N.26,TANJONG DAWAI,BN - UMNO,BADRI BIN HAJI YUNUS,MALE,,
P. 15_N.27,KEDAH,P. 15,SUNGAI PETANI,N.27,PANTAI MERDEKA,BN - UMNO,JAMALUDIN BIN YUSOF,MALE,,
P. 15_N.28,KEDAH,P. 15,SUNGAI PETANI,N.28,BAKAR ARANG,BN - MCA,TAN HONG ENG,,,
P. 15_N.29,KEDAH,P. 15,SUNGAI PETANI,N.29,SIDAM,BN - GERAKAN,FONG CHOK GIN @ FONG TOK JENG,MALE,,
P. 16_N.30,KEDAH,P. 16,BALING,N.30,BAYU,BN - UMNO,MOHD. SIBI BIN AHMAD,MALE,,
P. 16_N.31,KEDAH,P. 16,BALING,N.31,KUPANG,BN - UMNO,ZAINOL BIN MD. ISA,MALE,,
P. 16_N.32,KEDAH,P. 16,BALING,N.32,KUALA KETIL,BN - UMNO,MOHD. HADZIR BIN ISMAIL,MALE,,
P. 17_N.33,KEDAH,P. 17,PADANG SERAI,N.33,MERBAU PULAS,BN - UMNO,CHE PORA BT. OMAR,FEMALE,,
P. 17_N.34,KEDAH,P. 17,PADANG SERAI,N.34,LUNAS,BN - MIC,M. JOSEPH PHILOMIN A/L JOSEPH FERNANDEZ,MALE,,
P. 18_N.35,KEDAH,P. 18,KULIM-BANDAR BAHARU,N.35,KULIM,BN - MCA,YONG PAU CHAK,MALE,,
